# columns = TERM LEMMA POS
# identifier = dumas1844d-07
# creator = Dumas, Alexandre
# created = 1844
# isPartOf = Fernande
# title = VII

↵↵↵	↵↵↵	PUNCTstruct
		TOKEN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
La	le	DET
femme	femme	NOUN
qui	qui	PRON
causait	causer	VERB
tant de	tant de	DET
trouble	trouble	NOUN
dans	dans	ADP
la	le	DET
famille	famille	NOUN
de	de	ADP
madame	madame	NOUN
de	de	ADP
Barthèle	Barthèle	PROPN
se	se	PRON
souvint	souvenir	VERB
,	,	PUNCTclause
en	en	ADP
reprenant	reprendre	VERB
ses	son	DET
sens	sens	NOUN
,	,	PUNCTclause
de	de	ADP
la	le	DET
situation	situation	NOUN
dans	dans	ADP
laquelle	laquelle	PRON
on	on	PRON
venait	venir	VERB
de	de	ADP
la	le:PRON	PRON
placer	placer	VERB
malgré	malgré	ADP
elle	elle	PRON
.	.	PUNCTsent
Par	par	ADP
une	un	DET
puissante	puissant	ADJ
réaction	réaction	NOUN
,	,	PUNCTclause
elle	elle	PRON
retrouva	retrouver	VERB
sa	son	DET
présence	présence	NOUN
de	de	ADP
esprit	esprit	NOUN
,	,	PUNCTclause
et	et	CCONJ
rappela	rappeler	VERB
cette	ce	DET
force	force	NOUN
de	de	ADP
volonté	volonté	NOUN
qui	qui	PRON
lui	lui	PRON
donnait	donner	VERB
tant de	tant de	DET
assurance	assurance	NOUN
;	;	PUNCTclause
car	car	CCONJ
,	,	PUNCTclause
pour	pour	ADP
quiconque	quiconque	PRON
ne	ne	ADV
était	être	AUX
pas	pas	ADV
intéressé	intéresser	VERB
à	à	ADP
connaître	connaître	VERB
le	le	DET
fond	fond	NOUN
de	de	ADP
son	son	DET
existence	existence	NOUN
,	,	PUNCTclause
la	le	DET
vie	vie	NOUN
de	de	ADP
Fernande	Fernande	PROPN
était	être	AUX
pure	pur	ADJ
de	de	ADP
tout	tout	PRON
scandale	scandale	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
il y a	il y a	VERB
plus	plus	ADV
,	,	PUNCTclause
Fernande	Fernande	PROPN
se	se	PRON
était	être	AUX
,	,	PUNCTclause
pour	pour	ADP
ainsi	ainsi	ADV
dire	dire	VERB
fait	faire	VERB
un	un	DET
rang	rang	NOUN
dans	dans	ADP
le	le	DET
monde	monde	NOUN
parisien	parisien	ADJ
,	,	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
par	par	ADP
ce	ce	DET
mot	mot	NOUN
,	,	PUNCTclause
il	il	PRON
faut	falloir	VERB
entendre	entendre	VERB
ce	ce	DET
cercle	cercle	NOUN
de	de	ADP
jeunes	jeune	ADJ
gens	gens	NOUN
riches	riche	ADJ
,	,	PUNCTclause
nobles	noble	ADJ
et	et	CCONJ
élégants	élégant	ADJ
,	,	PUNCTclause
qui	qui	PRON
,	,	PUNCTclause
du	du	ADP_DET
boulevard	boulevard	NOUN
des	un	ADP_DET
Italiens	Italiens	NOUN
,	,	PUNCTclause
donnent	donner	VERB
le	le	DET
ton	ton	NOUN
au	au	ADP_DET
monde	monde	NOUN
.	.	PUNCTsent
Quoique	quoique	SCONJ
l'on	on	PRON
eût	avoir	VERB
connu	connaître	VERB
à	à	ADP
Fernande	Fernande	PROPN
peu de	peu de	DET
relations	relation	NOUN
intimes	intime	ADJ
,	,	PUNCTclause
tous	tous	PRON
la	le	DET
connaissaient	connaître	VERB
pour	pour	ADP
avoir	avoir	AUX
été	être	AUX
reine	reine	NOUN
,	,	PUNCTclause
sinon	sinon	CCONJ
dans	dans	ADP
son	son	DET
boudoir	boudoir	NOUN
,	,	PUNCTclause
du	du	ADP_DET
moins	moins	ADV
dans	dans	ADP
son	son	DET
salon	salon	NOUN
,	,	PUNCTclause
centre	centre	NOUN
des	un	ADP_DET
gens	gens	NOUN
de	de	ADP
esprit	esprit	NOUN
qui	qui	PRON
se	se	PRON
faisaient	faire	VERB
présenter	présenter	VERB
à	à	ADP
elle	elle	PRON
,	,	PUNCTclause
comme	comme	ADP
autrefois	autrefois	ADV
on	on	PRON
se	se	PRON
faisait	faire	VERB
présenter	présenter	VERB
à	à	ADP
Ninon	Ninon	PROPN
de	de	ADP
Lenclos	Lenclos	PROPN
.	.	PUNCTsent
l'	le	DET
entourage	entourage	NOUN
de	de	ADP
Fernande	Fernande	PROPN
était	être	AUX
donc	donc	ADV
une	un	DET
véritable	véritable	ADJ
cour	cour	NOUN
,	,	PUNCTclause
un	un	DET
hôtel	hôtel	NOUN
de	de	ADP
Rambouillet	Rambouillet	PROPN
,	,	PUNCTclause
moins	moins	ADV
le	le	DET
pathos	pathos	NOUN
philologique	philologique	ADJ
et	et	CCONJ
les	le	DET
haines	haine	NOUN
littéraires	littéraire	ADJ
,	,	PUNCTclause
un	un	DET
tribunal	tribunal	NOUN
de	de	ADP
goût	goût	NOUN
par	par	ADP
lequel	lequel	PRON
les	le	DET
gens	gens	NOUN
ayant	avoir	VERB
prétention	prétention	NOUN
à	à	ADP
l'	le	DET
élégance	élégance	NOUN
ou	ou	CCONJ
à	à	ADP
l'	le	DET
esprit	esprit	NOUN
devaient	devoir	VERB
passer	passer	VERB
,	,	PUNCTclause
et	et	CCONJ
du	du	ADP_DET
milieu	milieu	NOUN
duquel	duquel	ADP_PRON
les	le	DET
jugements	jugement	NOUN
rendus	rendre	VERB
se	se	PRON
répandaient	répandre	VERB
avec	avec	ADP
force	force	NOUN
de	de	ADP
arrêt	arrêt	NOUN
chez	chez	ADP
les	le	DET
artistes	artiste	NOUN
et	et	CCONJ
chez	chez	ADP
les	le	DET
gens du monde	gens du monde	NOUN
.	.	PUNCTsent
Il	il	PRON
en	en	PRON
était	être	AUX
résulté	résulter	VERB
que	que	SCONJ
les	le	DET
soupers	souper	NOUN
de	de	ADP
Fernande	Fernande	PROPN
avaient	avoir	AUX
acquis	acquérir	VERB
une	un	DET
grande	grand	ADJ
réputation	réputation	NOUN
,	,	PUNCTclause
et	et	CCONJ
que	que	PRON
l'on	on	PRON
disait	dire	VERB
tout	tout	ADV
haut	haut	ADV
dans	dans	ADP
le	le	DET
salon	salon	NOUN
le	le	DET
plus	plus	ADV
aristocratique	aristocratique	ADJ
du	du	ADP_DET
faubourg	faubourg	NOUN
Saint-Germain	Saint-Germain	PROPN
,	,	PUNCTclause
et	et	CCONJ
dans	dans	ADP
l'	le	DET
atelier	atelier	NOUN
le	le	DET
plus	plus	ADV
élégant	élégant	ADJ
de	de	ADP
la	le	DET
Nouvelle-Athènes	Nouvelle-Athènes	PROPN
:	:	PUNCTclause
«	«	PUNCTsent
je	je	PRON
ai	avoir	AUX
soupé	souper	VERB
hier	hier	ADV
chez	chez	ADP
Fernande	Fernande	PROPN
;	;	PUNCTclause
»	»	PUNCTclause
puis	puis	CCONJ
,	,	PUNCTclause
si	si	SCONJ
l'on	on	PRON
demandait	demander	VERB
avec	avec	ADP
qui	qui	PRON
,	,	PUNCTclause
il	il	PRON
arrivait	arriver	VERB
presque	presque	ADV
toujours	toujours	ADV
que	que	SCONJ
les	le	DET
noms	nom	NOUN
des	un	ADP_DET
convives	convive	NOUN
appartenaient	appartenir	VERB
à	à	ADP
la	le	DET
liste	liste	NOUN
des	un	ADP_DET
noms	nom	NOUN
illustres	illustre	ADJ
de	de	ADP
la	le	DET
France	France	PROPN
.	.	PUNCTsent
Il	il	PRON
en	en	PRON
était	être	AUX
résulté	résulter	VERB
que	que	SCONJ
l'	le	DET
esprit	esprit	NOUN
de	de	ADP
justice	justice	NOUN
,	,	PUNCTclause
si	si	ADV
rare	rare	ADJ
cependant	cependant	ADV
chez	chez	ADP
nous	nous	PRON
,	,	PUNCTclause
avait	avoir	AUX
assigné	assigner	VERB
à	à	ADP
Fernande	Fernande	PROPN
une	un	DET
position	position	NOUN
exceptionnelle	exceptionnel	ADJ
,	,	PUNCTclause
et	et	CCONJ
que	que	SCONJ
on	on	PRON
ne	ne	ADV
la	le:PRON	PRON
confondait	confondre	VERB
pas	pas	ADV
avec	avec	ADP
les	le	DET
femmes	femme	NOUN
vulgairement	vulgairement	ADV
appelées	appeler	VERB
femmes	femme	NOUN
entretenues	entretenir	VERB
,	,	PUNCTclause
sans	sans	ADP
cependant que	cependant que	SCONJ
on	on	PRON
eût	avoir	VERB
pour	pour	ADP
elle	elle	PRON
toutes	tout	ADJ
les	le	DET
déférences	déférence	NOUN
accordées	accorder	VERB
aux	au	ADP_DET
femmes	femme	NOUN
mariées	marier	VERB
,	,	PUNCTclause
quelque	quelque	DET
galantes	galant	NOUN
quelles	quel	DET
soient	être	AUX
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Cependant	cependant	ADV
le	le	DET
besoin	besoin	NOUN
que	que	SCONJ
on	on	PRON
avait	avoir	VERB
de	de	ADP
l'	le	DET
ange	ange	NOUN
déchu	déchoir	VERB
dans	dans	ADP
la	le	DET
maison	maison	NOUN
de	de	ADP
Fontenay-aux-Roses	Fontenay-aux-Roses	PROPN
donnait	donner	VERB
,	,	PUNCTclause
sans que	sans que	SCONJ
on	on	PRON
y	y	PRON
prît	prendre	VERB
garde	garde	NOUN
,	,	PUNCTclause
aux	au	ADP_DET
soins	soin	NOUN
que	que	SCONJ
on	on	PRON
lui	lui	PRON
rendait	rendre	VERB
quelque chose	quelque chose	PRON
de	de	ADP
la	le	DET
tendresse	tendresse	NOUN
que	que	PRON
l'on	on	PRON
a	avoir	VERB
pour	pour	ADP
