# columns = TERM LEMMA POS
# identifier = dumas1844g-13
# creator = Dumas, Alexandre
# created = 1844
# isPartOf = Cécile
# title = XII. Dieu dispose.

↵↵↵	↵↵↵	PUNCTstruct
		TOKEN
.	.	PUNCTsent
Dieu	dieu	NOUN
dispose	disposer	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Lorsque	lorsque	SCONJ
madame	madame	NOUN
de	de	ADP
Lorges	Lorges	PROPN
et	et	CCONJ
Henri	Henri	PROPN
de	de	ADP
Sennones	Sennones	PROPN
furent	être	AUX
partis	partir	VERB
,	,	PUNCTclause
lorsque	lorsque	SCONJ
la	le	DET
marquise	marquis	NOUN
fut	être	AUX
rentrée	rentrer	VERB
dans	dans	ADP
sa	son	DET
chambre	chambre	NOUN
et	et	CCONJ
la	le	DET
baronne	baron	NOUN
dans	dans	ADP
la sienne	la sienne	PRON
,	,	PUNCTclause
lorsque	lorsque	SCONJ
Cécile	Cécile	PROPN
se	se	PRON
trouva	trouver	VERB
seule	seul	ADJ
enfin	enfin	ADV
,	,	PUNCTclause
il	il	PRON
lui	lui	PRON
sembla	sembler	VERB
que	que	SCONJ
il	il	PRON
venait	venir	VERB
de	de	ADP
se	se	PRON
faire	faire	VERB
un	un	DET
grand	grand	ADJ
changement	changement	NOUN
dans	dans	ADP
sa	son	DET
vie	vie	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Et	et	CCONJ
cependant	cependant	ADV
,	,	PUNCTclause
en	en	ADP
cherchant	chercher	VERB
ce	ce	DET
changement	changement	NOUN
,	,	PUNCTclause
elle	elle	PRON
ne	ne	ADV
le	le:PRON	PRON
trouvait	trouver	VERB
pas	pas	ADV
;	;	PUNCTclause
elle	elle	PRON
ne	ne	ADV
aurait	avoir	AUX
pu	pouvoir	VERB
l'	le	DET
indiquer	indiquer	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Hélas	hélas	INTJ
!	!	PUNCTsent
le	le	DET
premier	premier	ADJ
sentiment	sentiment	NOUN
de	de	ADP
l'	le	DET
amour	amour	NOUN
venait	venir	VERB
de	de	ADP
entrer	entrer	VERB
dans	dans	ADP
le	le	DET
cœur	cœur	NOUN
de	de	ADP
la	le	DET
pauvre	pauvre	NOUN
enfant	enfant	NOUN
,	,	PUNCTclause
et	et	CCONJ
comme	comme	SCONJ
fait	faire	AUX
le	le	DET
premier	premier	ADJ
rayon	rayon	NOUN
du	du	ADP_DET
soleil	soleil	NOUN
,	,	PUNCTclause
il	il	PRON
rendait	rendre	VERB
visible	visible	ADJ
à	à	ADP
ses	son	DET
yeux	œil	NOUN
une	un	DET
foule	foule	NOUN
de	de	ADP
choses	chose	NOUN
perdues	perdre	VERB
jusque	jusque	ADP
dans	dans	ADP
la	le	DET
nuit	nuit	NOUN
de	de	ADP
son	son	DET
indifférence	indifférence	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
D'abord	d'abord	ADV
,	,	PUNCTclause
il	il	PRON
lui	lui	PRON
sembla	sembler	VERB
que	que	SCONJ
elle	elle	PRON
avait	avoir	VERB
besoin	besoin	NOUN
de	de	ADP
air	air	NOUN
;	;	PUNCTclause
elle	elle	PRON
descendit	descendre	VERB
au	au	ADP_DET
jardin	jardin	NOUN
.	.	PUNCTsent
Le	le	DET
temps	temps	NOUN
était	être	AUX
à	à	ADP
l'	le	DET
orage	orage	NOUN
;	;	PUNCTclause
ses	son	DET
fleurs	fleur	NOUN
se	se	PRON
inclinaient	incliner	VERB
sur	sur	ADP
leurs	leur	DET
tiges	tige	NOUN
comme	comme	SCONJ
si	si	SCONJ
l'	le	DET
air	air	NOUN
aussi	aussi	ADV
était	être	AUX
trop	trop	ADV
pesant	pesant	ADJ
pour	pour	ADP
elles	elles	PRON
.	.	PUNCTsent
Autrefois	autrefois	ADV
,	,	PUNCTclause
Cécile	Cécile	PROPN
les	le:PRON	PRON
consolait	consoler	VERB
;	;	PUNCTclause
aujourd'hui	aujourd'hui	ADV
,	,	PUNCTclause
Cécile	Cécile	PROPN
penchait	pencher	VERB
à	à	ADP
son	son	DET
tour	tour	NOUN
sa	son	DET
tête	tête	NOUN
sur	sur	ADP
sa	son	DET
poitrine	poitrine	NOUN
,	,	PUNCTclause
sans doute	sans doute	ADV
par	par	ADP
pressentiment	pressentiment	NOUN
de	de	ADP
quelque	quelque	DET
orage	orage	NOUN
à	à	ADP
venir	venir	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Elle	elle	PRON
fit	faire	AUX
deux fois	deux fois	ADV
le	le	DET
tour	tour	NOUN
de	de	ADP
son	son	DET
petit	petit	ADJ
monde	monde	NOUN
;	;	PUNCTclause
elle	elle	PRON
alla	aller	VERB
se	se	PRON
asseoir	asseoir	VERB
sous	sous	ADP
son	son	DET
berceau	berceau	NOUN
;	;	PUNCTclause
elle	elle	PRON
essaya	essayer	VERB
de	de	ADP
suivre	suivre	VERB
le	le	DET
chant	chant	NOUN
de	de	ADP
une	un	DET
fauvette	fauvette	NOUN
qui	qui	PRON
gazouillait	gazouiller	VERB
dans	dans	ADP
un	un	DET
massif	massif	NOUN
de	de	ADP
lilas	lilas	NOUN
;	;	PUNCTclause
mais	mais	CCONJ
il y a	il y a	VERB
une	un	DET
espèce	espèce	NOUN
de	de	ADP
voile	voile	NOUN
entre	entre	ADP
son	son	DET
esprit	esprit	NOUN
et	et	CCONJ
les	le	DET
objets	objet	NOUN
dont	dont	PRON
elle	elle	PRON
était	être	AUX
entourée	entourer	VERB
;	;	PUNCTclause
elle	elle	PRON
ne	ne	ADV
était	être	AUX
plus	plus	ADV
la	le	DET
maîtresse	maître	NOUN
de	de	ADP
sa	son	DET
pensée	pensée	NOUN
;	;	PUNCTclause
il y a	il y a	VERB
quelque chose	quelque chose	PRON
de	de	ADP
inconnu	inconnu	ADJ
en	en	ADP
elle	elle	PRON
qui	qui	PRON
pensait	penser	VERB
malgré	malgré	ADP
elle	elle	PRON
;	;	PUNCTclause
son	son	DET
pouls	pouls	NOUN
battait	battre	VERB
tout	tout	ADV
à	à	ADP
coup	coup	NOUN
si	si	ADV
rapidement	rapidement	ADV
que	que	SCONJ
elle	elle	PRON
tressaillait	tressaillir	VERB
comme	comme	SCONJ
si	si	SCONJ
elle	elle	PRON
avait	avoir	AUX
eu	avoir	VERB
la	le	DET
fièvre	fièvre	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Quelques	quelque	DET
larges	large	ADJ
gouttes	goutte	NOUN
de	de	ADP
pluie	pluie	NOUN
tombèrent	tomber	VERB
et	et	CCONJ
un	un	DET
éclat	éclat	NOUN
de	de	ADP
tonnerre	tonnerre	NOUN
se	se	PRON
fit	faire	AUX
entendre	entendre	VERB
;	;	PUNCTclause
Cécile	Cécile	NOUN
ne	ne	ADV
entendit	entendre	VERB
point	point	ADV
le	le	DET
tonnerre	tonnerre	NOUN
et	et	CCONJ
ne	ne	ADV
sentit	sentir	VERB
point	point	ADV
la	le	DET
pluie	pluie	NOUN
.	.	PUNCTsent
Sa	son	DET
mère	mère	NOUN
,	,	PUNCTclause
inquiète	inquiéter	VERB
,	,	PUNCTclause
l'	le	DET
appela	appeler	VERB
;	;	PUNCTclause
mais	mais	CCONJ
ce	ce	PRON
ne	ne	ADV
fut	être	AUX
que	que	ADV
au	au	ADP_DET
second	second	NOUN
appel	appel	NOUN
que	que	SCONJ
elle	elle	PRON
reconnut	reconnaître	VERB
la	le	DET
voix	voix	NOUN
de	de	ADP
sa	son	DET
mère	mère	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
En	en	ADP
repassant	repasser	VERB
par	par	ADP
le	le	DET
salon	salon	NOUN
,	,	PUNCTclause
elle	elle	PRON
vit	vivre	VERB
son	son	DET
album	album	NOUN
sur	sur	ADP
la	le	DET
table	table	NOUN
et	et	CCONJ
son	son	DET
piano	piano	NOUN
encore	encore	ADV
ouvert	ouvert	ADJ
;	;	PUNCTclause
elle	elle	PRON
se	se	PRON
mit	mettre	VERB
à	à	ADP
regarder	regarder	VERB
ses	son	DET
fleurs	fleur	NOUN
,	,	PUNCTclause
se	se	PRON
arrêtant	arrêter	VERB
aux	au	ADP_DET
mêmes	même	ADJ
pages	page	NOUN
où	où	PRON
elle	elle	PRON
se	se	PRON
était	être	AUX
arrêtée	arrêter	VERB
avec	avec	ADP
Henri	Henri	PROPN
,	,	PUNCTclause
repassant	repasser	VERB
dans	dans	ADP
sa	son	DET
mémoire	mémoire	NOUN
tout	tout	ADJ
ce	ce	PRON
que	que	PRON
elle	elle	PRON
avait	avoir	AUX
dit	dire	VERB
au	au	ADP_DET
jeune	jeune	ADJ
homme	homme	NOUN
et	et	CCONJ
tout	tout	ADJ
ce	ce	PRON
que	que	PRON
le	le	DET
jeune	jeune	ADJ
homme	homme	NOUN
lui	lui	PRON
avait	avoir	AUX
répondu	répondre	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Puis	puis	CCONJ
elle	elle	PRON
alla	aller	VERB
se	se	PRON
asseoir	asseoir	VERB
devant	devant	ADP
son	son	DET
piano	piano	NOUN
;	;	PUNCTclause
ses	son	DET
doigts	doigt	NOUN
retombèrent	retomber	VERB
sur	sur	ADP
les	le	DET
mêmes	même	ADJ
touches	touche	NOUN
,	,	PUNCTclause
et	et	CCONJ
la	le	DET
mélodieuse	mélodieux	ADJ
fantaisie	fantaisie	NOUN
recommença	recommencer	VERB
