# columns = TERM LEMMA POS
# identifier = dumas1846c-015
# creator = Dumas, Alexandre
# created = 1846
# isPartOf = Le Comte de Monte-Cristo
# title = XV. Le numéro 34 et le numéro 27.

↵↵↵	↵↵↵	PUNCTstruct
		TOKEN
.	.	PUNCTsent
Le	le	DET
numéro	numéro	NOUN
34	34	NUM
et	et	CCONJ
le	le	DET
numéro	numéro	NOUN
27	27	NUM
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Dantès	Dantès	PROPN
passa	passer	VERB
tous	tout	ADJ
les	le	DET
degrés	degré	NOUN
du	du	ADP_DET
malheur	malheur	NOUN
que	que	SCONJ
subissent	subir	VERB
les	le	DET
prisonniers	prisonnier	NOUN
oubliés	oublier	VERB
dans	dans	ADP
une	un	DET
prison	prison	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Il	il	PRON
commença	commencer	VERB
par	par	ADP
l'	le	DET
orgueil	orgueil	NOUN
,	,	PUNCTclause
qui	qui	PRON
est	être	AUX
une	un	DET
suite	suite	NOUN
de	de	ADP
l'	le	DET
espoir	espoir	NOUN
et	et	CCONJ
une	un	DET
conscience	conscience	NOUN
de	de	ADP
l'	le	DET
innocence	innocence	NOUN
;	;	PUNCTclause
puis	puis	CCONJ
il	il	PRON
en	en	PRON
vint	venir	VERB
à	à	ADP
douter	douter	VERB
de	de	ADP
son	son	DET
innocence	innocence	NOUN
,	,	PUNCTclause
ce	ce	PRON
qui	qui	PRON
ne	ne	ADV
justifiait	justifier	VERB
pas	pas	ADV
mal	mal	ADV
les	le	DET
idées	idée	NOUN
du	du	ADP_DET
gouverneur	gouverneur	NOUN
sur	sur	ADP
l'	le	DET
aliénation	aliénation	NOUN
mentale	mental	ADJ
;	;	PUNCTclause
enfin	enfin	ADV
il	il	PRON
tomba	tomber	VERB
du	du	ADP_DET
haut	haut	NOUN
de	de	ADP
son	son	DET
orgueil	orgueil	NOUN
,	,	PUNCTclause
il	il	PRON
pria	prier	VERB
,	,	PUNCTclause
non	non	ADV
pas	pas	ADV
encore	encore	ADV
Dieu	Dieu	PROPN
,	,	PUNCTclause
mais	mais	CCONJ
les	le	DET
hommes	homme	NOUN
;	;	PUNCTclause
Dieu	Dieu	PROPN
est	être	AUX
le	le	DET
dernier	dernier	ADJ
recours	recours	NOUN
.	.	PUNCTsent
Le	le	DET
malheureux	malheureux	ADJ
,	,	PUNCTclause
qui	qui	PRON
devrait	devoir	VERB
commencer	commencer	VERB
par	par	ADP
le	le	DET
Dieu	Dieu	PROPN
,	,	PUNCTclause
ne	ne	ADV
en	en	PRON
arrive	arriver	VERB
à	à	ADP
espérer	espérer	VERB
en	en	ADP
lui	lui	PRON
que	que	SCONJ
après	après	ADP
avoir	avoir	AUX
épuisé	épuiser	VERB
toutes	tout	ADJ
les	le	DET
autres	autre	ADJ
espérances	espérance	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Dantès	Dantès	PROPN
pria	prier	VERB
donc	donc	ADV
que	que	SCONJ
on	on	PRON
voulût	vouloir	VERB
bien	bien	ADV
le	le	DET
tirer	tirer	VERB
de	de	ADP
son	son	DET
cachot	cachot	NOUN
pour	pour	ADP
le	le	DET
mettre	mettre	VERB
dans	dans	ADP
un	un	DET
autre	autre	ADJ
,	,	PUNCTclause
fût	fût	NOUN
il	il	PRON
plus	plus	ADV
noir	noir	ADJ
et	et	CCONJ
plus	plus	ADV
profond	profond	ADJ
.	.	PUNCTsent
Un	un	DET
changement	changement	NOUN
,	,	PUNCTclause
même	même	ADV
désavantageux	désavantageux	ADJ
,	,	PUNCTclause
était	être	AUX
toujours	toujours	ADV
un	un	DET
changement	changement	NOUN
,	,	PUNCTclause
et	et	CCONJ
procurerait	procurer	VERB
à	à	ADP
Dantès	Dantès	PROPN
une	un	DET
distraction	distraction	NOUN
de	de	ADP
quelques	quelque	DET
jours	jour	NOUN
.	.	PUNCTsent
Il	il	PRON
pria	prier	VERB
que	que	SCONJ
on	on	PRON
lui	lui	PRON
accordât	accorder	VERB
la	le	DET
promenade	promenade	NOUN
,	,	PUNCTclause
l'	le	DET
air	air	NOUN
,	,	PUNCTclause
des	un	DET
livres	livre	NOUN
,	,	PUNCTclause
des	un	DET
instruments	instrument	NOUN
.	.	PUNCTsent
Rien	rien	PRON
de	de	ADP
tout	tout	ADJ
cela	cela	PRON
ne	ne	ADV
lui	lui	PRON
fut	être	AUX
accordé	accorder	VERB
;	;	PUNCTclause
mais	mais	CCONJ
n'importe	n'importe	ADV
,	,	PUNCTclause
il	il	PRON
demandait	demander	VERB
toujours	toujours	ADV
.	.	PUNCTsent
Il	il	PRON
se	se	PRON
était	être	AUX
habitué	habituer	VERB
à	à	ADP
parler	parler	VERB
à	à	ADP
son	son	DET
nouveau	nouveau	ADJ
geôlier	geôlier	NOUN
,	,	PUNCTclause
quoique	quoique	SCONJ
il	il	PRON
fût	être	AUX
encore	encore	ADV
,	,	PUNCTclause
si	si	SCONJ
il	il	PRON
était	être	AUX
possible	possible	ADJ
,	,	PUNCTclause
plus	plus	ADV
muet	muet	ADJ
que	que	SCONJ
l'	le	DET
ancien	ancien	ADJ
;	;	PUNCTclause
mais	mais	CCONJ
parler	parler	VERB
à	à	ADP
un	un	DET
homme	homme	NOUN
,	,	PUNCTclause
même	même	ADV
à	à	ADP
un	un	DET
muet	muet	ADJ
,	,	PUNCTclause
était	être	AUX
encore	encore	ADV
un	un	DET
plaisir	plaisir	NOUN
.	.	PUNCTsent
Dantès	Dantès	PROPN
parlait	parler	VERB
pour	pour	ADP
entendre	entendre	VERB
le	le	DET
son	son	NOUN
de	de	ADP
sa	son	DET
propre	propre	ADJ
voix	voix	NOUN
:	:	PUNCTclause
il	il	PRON
avait	avoir	AUX
essayé	essayer	VERB
de	de	ADP
parler	parler	VERB
lorsque	lorsque	SCONJ
il	il	PRON
était	être	AUX
seul	seul	ADJ
,	,	PUNCTclause
mais	mais	CCONJ
alors	alors	ADV
il	il	PRON
se	se	PRON
faisait	faire	VERB
peur	peur	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Souvent	souvent	ADV
,	,	PUNCTclause
du temps que	du temps que	ADP
il	il	PRON
était	être	AUX
en	en	ADP
liberté	liberté	NOUN
,	,	PUNCTclause
Dantès	Dantès	PROPN
se	se	PRON
était	être	AUX
fait	faire	VERB
un	un	DET
épouvantail	épouvantail	NOUN
de	de	ADP
ces	ce	DET
chambrées	chambrée	NOUN
de	de	ADP
prisonniers	prisonnier	NOUN
,	,	PUNCTclause
composées	composer	VERB
de	de	ADP
vagabonds	vagabond	NOUN
,	,	PUNCTclause
de	de	ADP
bandits	bandit	NOUN
et	et	CCONJ
de	de	ADP
assassins	assassin	NOUN
,	,	PUNCTclause
dont	dont	PRON
la	le	DET
joie	joie	NOUN
ignoble	ignoble	ADJ
met	mettre	VERB
en	en	ADP
commun	commun	ADJ
des	un	DET
orgies	orgie	NOUN
inintelligibles	inintelligible	ADJ
et	et	CCONJ
des	un	DET
amitiés	amitié	NOUN
effrayantes	effrayant	ADJ
.	.	PUNCTsent
Il	il	PRON
en	en	PRON
vint	venir	VERB
à	à	ADP
souhaiter	souhaiter	VERB
de	de	ADP
être	être	AUX
jeté	jeter	VERB
dans	dans	ADP
quelqu'un	quelqu'un	PRON
de	de	ADP
ces	ce	DET
bouges	bouge	NOUN
,	,	PUNCTclause
afin de	afin de	ADP
voir	voir	VERB
d'autres	d'autre	PRON
visages	visage	NOUN
que	que	SCONJ
celui	celui	PRON
de	de	ADP
ce	ce	DET
geôlier	geôlier	NOUN
impassible	impassible	ADJ
qui	qui	PRON
ne	ne	ADV
voulait	vouloir	VERB
point	point	ADV
parler	parler	VERB
;	;	PUNCTclause
il	il	PRON
regrettait	regretter	VERB
le	le	DET
bagne	bagne	NOUN
avec	avec	ADP
son	son	DET
costume	costume	NOUN
infamant	infamant	ADJ
,	,	PUNCTclause
sa	son	DET
chaîne	chaîne	NOUN
au	au	ADP_DET
pied	pied	NOUN
,	,	PUNCTclause
sa	son	DET
flétrissure	flétrissure	NOUN
sur	sur	ADP
l'	le	DET
épaule	épaule	NOUN
.	.	PUNCTsent
au moins	au moins	ADV
,	,	PUNCTclause
les	le	DET
galériens	galérien	NOUN
étaient	être	AUX
dans	dans	ADP
la	le	DET
société	société	NOUN
de	de	ADP
leurs	leur	DET
semblables	semblable	ADJ
,	,	PUNCTclause
ils	ils	PRON
respiraient	respirer	VERB
l'	le	DET
air	air	NOUN
,	,	PUNCTclause
ils	ils	PRON
voyaient	voir	VERB
le	le	DET
ciel	ciel	NOUN
;	;	PUNCTclause
les	le	DET
galériens	galérien	NOUN
étaient	être	AUX
bien	bien	ADV
heureux	heureux	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Il	il	PRON
supplia	supplier	VERB
un	un	DET
jour	jour	NOUN
le	le	DET
geôlier	geôlier	NOUN
de	de	ADP
demander	demander	VERB
pour	pour	ADP
lui	lui	PRON
un	un	DET
compagnon	compagnon	NOUN
,	,	PUNCTclause
quel	quel	DET
que	que	SCONJ
il	il	PRON
fût	être	AUX
,	,	PUNCTclause
ce	ce	DET
compagnon	compagnon	NOUN
dût	devoir	VERB
il	il	PRON
être	être	AUX
cet	ce	DET
abbé	abbé	NOUN
fou	fou	ADJ
dont	dont	PRON
il	il	PRON
avait	avoir	AUX
entendu	entendre	VERB
parler	parler	VERB
.	.	PUNCTsent
Sous	sous	ADP
l'	le	DET
écorce	écorce	NOUN
du	du	ADP_DET
geôlier	geôlier	NOUN
,	,	PUNCTclause
si	si	ADV
rude	rude	ADJ
que	que	SCONJ
elle	elle	PRON
soit	soit	ADV
,	,	PUNCTclause
il	il	PRON
reste	rester	VERB
toujours	toujours	ADV
un	un	DET
peu de	peu de	DET
l'	le:PRON	PRON
homme	homme	NOUN
.	.	PUNCTsent
Celui	celui	PRON
avait	avoir	AUX
souvent	souvent	ADV
,	,	PUNCTclause
du fond du cœur	du fond du cœur	ADV
,	,	PUNCTclause
et	et	CCONJ
quoique	quoique	SCONJ
son	son	DET
visage	visage	NOUN
ne	ne	ADV
en	en	PRON
eût	avoir	VERB
rien	rien	PRON
dit	dire	VERB
,	,	PUNCTclause
plaint	plaindre	VERB
ce	ce	DET
malheureux	malheureux	ADJ
