# columns = TERM LEMMA POS
# identifier = dumas1846c-052
# creator = Dumas, Alexandre
# created = 1846
# isPartOf = Le Comte de Monte-Cristo
# title = LII. Toxicologie.

↵↵↵	↵↵↵	PUNCTstruct
		TOKEN
.	.	PUNCTsent
Toxicologie	toxicologie	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
ce	ce	PRON
était	être	AUX
bien	bien	ADV
réellement	réellement	ADV
M.	M.	NOUN
le	le	DET
comte	comte	NOUN
de	de	ADP
Monte-Cristo	Monte-Cristo	PROPN
qui	qui	PRON
venait	venir	VERB
de	de	ADP
entrer	entrer	VERB
chez	chez	ADP
madame	madame	NOUN
de	de	ADP
Villefort	Villefort	PROPN
,	,	PUNCTclause
dans	dans	ADP
l'	le	DET
intention	intention	NOUN
de	de	ADP
rendre	rendre	VERB
à	à	ADP
M.	M.	NOUN
le	le	DET
procureur du roi	procureur du roi	NOUN
la	le	DET
visite	visite	NOUN
que	que	PRON
il	il	PRON
lui	lui	PRON
avait	avoir	AUX
faite	faire	VERB
,	,	PUNCTclause
et	et	CCONJ
à	à	ADP
ce	ce	DET
nom	nom	NOUN
toute	tout	ADJ
la	le	DET
maison	maison	NOUN
,	,	PUNCTclause
comme	comme	ADP
on	on	PRON
le	le:PRON	PRON
comprend	comprendre	VERB
bien	bien	ADV
,	,	PUNCTclause
avait	avoir	AUX
été	être	AUX
mise	mettre	VERB
en	en	ADP
émoi	émoi	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
madame	madame	NOUN
de	de	ADP
Villefort	Villefort	PROPN
,	,	PUNCTclause
qui	qui	PRON
était	être	VERB
au	au	ADP_DET
salon	salon	NOUN
lorsque	lorsque	SCONJ
on	on	PRON
annonça	annoncer	VERB
le	le	DET
comte	comte	NOUN
,	,	PUNCTclause
fit	faire	VERB
aussitôt	aussitôt	ADV
venir	venir	VERB
son	son	DET
fils	fils	NOUN
pour que	pour que	SCONJ
l'	le	DET
enfant	enfant	NOUN
réitérât	réitérer	VERB
ses	son	DET
remerciements	remerciement	NOUN
au	au	ADP_DET
comte	comte	NOUN
,	,	PUNCTclause
et	et	CCONJ
Édouard	Édouard	PROPN
,	,	PUNCTclause
qui	qui	PRON
ne	ne	ADV
avait	avoir	AUX
cessé	cesser	VERB
de	de	ADP
entendre parler	entendre parler	VERB
depuis	depuis	ADP
deux	deux	NUM
jours	jour	NOUN
du	du	ADP_DET
grand	grand	ADJ
personnage	personnage	NOUN
,	,	PUNCTclause
se	se	PRON
hâta	hâter	VERB
de	de	ADP
accourir	accourir	VERB
,	,	PUNCTclause
non	non	ADV
par	par	ADP
obéissance	obéissance	NOUN
pour	pour	ADP
sa	son	DET
mère	mère	NOUN
,	,	PUNCTclause
non	non	ADV
pour	pour	ADP
remercier	remercier	VERB
le	le	DET
comte	comte	NOUN
,	,	PUNCTclause
mais	mais	CCONJ
par	par	ADP
curiosité	curiosité	NOUN
et	et	CCONJ
pour	pour	ADP
faire	faire	VERB
quelque	quelque	DET
remarque	remarque	NOUN
à l'aide de	à l'aide de	ADP
laquelle	laquelle	PRON
il	il	PRON
pût	pouvoir	VERB
placer	placer	VERB
un	un	DET
de	de	ADP
ces	ce	DET
lazzis	lazzi	NOUN
qui	qui	PRON
faisaient	faire	VERB
dire	dire	VERB
à	à	ADP
sa	son	DET
mère	mère	NOUN
:	:	PUNCTclause
«	«	PUNCTsent
Ô	ô	INTJ
le	le	DET
méchant	méchant	ADJ
enfant	enfant	NOUN
!	!	PUNCTsent
Mais	mais	CCONJ
il	il	PRON
faut	falloir	VERB
bien	bien	ADV
que	que	SCONJ
je	je	PRON
lui	lui	PRON
pardonne	pardonner	VERB
,	,	PUNCTclause
il	il	PRON
a	avoir	AUX
tant de	tant de	DET
esprit	esprit	NOUN
!	!	PUNCTsent
»	»	PUNCTclause
↵↵	↵↵	PUNCTstruct
Après	après	ADP
les	le	DET
premières	premier	ADJ
politesses	politesse	NOUN
de	de	ADP
usage	usage	NOUN
,	,	PUNCTclause
le	le	DET
comte	comte	NOUN
se	se	PRON
informa	informer	VERB
de	de	ADP
M.	M.	NOUN
de	de	ADP
Villefort	Villefort	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
«	«	PUNCTclause
Mon	mon	DET
mari	mari	NOUN
dîne	dîner	VERB
chez	chez	ADP
M.	M.	PROPN
le	le	DET
Chancelier	Chancelier	PROPN
,	,	PUNCTclause
répondit	répondre	VERB
la	le	DET
jeune	jeune	ADJ
femme	femme	NOUN
;	;	PUNCTclause
il	il	PRON
vient	venir	VERB
de	de	ADP
partir	partir	VERB
à l'instant même	à l'instant même	ADV
,	,	PUNCTclause
et	et	CCONJ
il	il	PRON
regrettera	regretter	VERB
bien	bien	ADV
,	,	PUNCTclause
je	je	PRON
en	en	PRON
suis	être	AUX
sûre	sûr	ADJ
,	,	PUNCTclause
de	de	ADP
avoir	avoir	AUX
été	être	AUX
privé	priver	VERB
du	du	ADP_DET
bonheur	bonheur	NOUN
de	de	ADP
vous	vous	PRON
voir	voir	VERB
.	.	PUNCTsent
»	»	PUNCTclause
↵↵	↵↵	PUNCTstruct
Deux	Deux	NUM
visiteurs	visiteur	NOUN
qui	qui	PRON
avaient	avoir	AUX
précédé	précéder	VERB
le	le	DET
comte	comte	NOUN
dans	dans	ADP
le	le	DET
salon	salon	NOUN
,	,	PUNCTclause
et	et	CCONJ
qui	qui	PRON
le	le:PRON	PRON
dévoraient	dévorer	VERB
des	un	DET
yeux	œil	NOUN
se	se	PRON
retirèrent	retirer	VERB
après	après	ADP
le	le	DET
temps	temps	NOUN
raisonnable	raisonnable	ADJ
exigé	exiger	VERB
à la fois	à la fois	ADV
par	par	ADP
la	le	DET
politesse	politesse	NOUN
et	et	CCONJ
par	par	ADP
la	le	DET
curiosité	curiosité	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
«	«	PUNCTclause
À	à	ADP
propos	propos	NOUN
,	,	PUNCTclause
que	que	PRON
fait	faire	VERB
donc	donc	ADV
ta	ton	DET
sœur	sœur	NOUN
Valentine	Valentine	PROPN
?	?	PUNCTsent
dit	dire	VERB
madame	madame	NOUN
de	de	ADP
Villefort	Villefort	PROPN
à	à	ADP
Édouard	Édouard	PROPN
;	;	PUNCTclause
que	que	SCONJ
on	on	PRON
la	le	DET
prévienne	prévenir	VERB
afin que	afin que	SCONJ
je	je	PRON
aie	avoir	VERB
l'	le	DET
honneur	honneur	NOUN
de	de	ADP
la	le	DET
présenter	présenter	VERB
à	à	ADP
M.	M.	NOUN
le	le	DET
comte	comte	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Vous	vous	PRON
avez	avoir	VERB
une	un	DET
fille	fille	NOUN
,	,	PUNCTclause
madame	madame	NOUN
?	?	PUNCTsent
demanda	demander	VERB
le	le	DET
comte	comte	NOUN
,	,	PUNCTclause
mais	mais	CCONJ
ce	ce	PRON
doit	devoir	VERB
être	être	AUX
une	un	DET
enfant	enfant	NOUN
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ce	ce	PRON
est	être	AUX
la	le	DET
fille	fille	NOUN
de	de	ADP
M.	M.	NOUN
de	de	ADP
Villefort	Villefort	PROPN
,	,	PUNCTclause
répliqua	répliquer	VERB
la	le	DET
jeune	jeune	ADJ
femme	femme	NOUN
;	;	PUNCTclause
une	un	DET
fille	fille	NOUN
de	de	ADP
un	un	DET
premier	premier	ADJ
mariage	mariage	NOUN
,	,	PUNCTclause
une	un	DET
grande	grand	ADJ
et	et	CCONJ
belle	beau	ADJ
personne	personne	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Mais	mais	CCONJ
mélancolique	mélancolique	ADJ
»	»	PUNCTclause
,	,	PUNCTclause
interrompit	interrompre	VERB
le	le	DET
jeune	jeune	ADJ
Édouard	Édouard	PROPN
en	en	ADP
arrachant	arracher	VERB
,	,	PUNCTclause
pour	pour	ADP
en	en	PRON
faire	faire	VERB
une	un	DET
aigrette	aigret	NOUN
à	à	ADP
son	son	DET
chapeau	chapeau	NOUN
,	,	PUNCTclause
les	le	DET
plumes	plume	NOUN
de	de	ADP
la	le	DET
queue	queue	NOUN
de	de	ADP
un	un	DET
magnifique	magnifique	ADJ
ara	ara	NOUN
qui	qui	PRON
criait	crier	VERB
de	de	ADP
douleur	douleur	NOUN
sur	sur	ADP
son	son	DET
perchoir	perchoir	NOUN
doré	doré	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
madame	madame	NOUN
de	de	ADP
Villefort	Villefort	PROPN
se	se	PRON
contenta	contenter	VERB
de	de	ADP
dire	dire	VERB
:	:	PUNCTclause
↵↵	↵↵	PUNCTstruct
«	«	PUNCTclause
Silence	silence	NOUN
,	,	PUNCTclause
Édouard	Édouard	PROPN
!	!	PUNCTsent
↵↵	↵↵	PUNCTstruct
«	«	PUNCTclause
Ce	ce	DET
jeune	jeune	ADJ
étourdi	étourdi	NOUN
a	avoir	AUX
presque	presque	ADV
raison	raison	NOUN
,	,	PUNCTclause
et	et	CCONJ
répète	répéter	VERB
là	là	ADV
ce	ce	PRON
que	que	PRON
il	il	PRON
me	me	PRON
a	avoir	AUX
bien	bien	ADV
des	un	DET
fois	fois	NOUN
entendue	entendre	VERB
dire	dire	VERB
avec	avec	ADP
douleur	douleur	NOUN
car	car	CCONJ
mademoiselle	mademoiselle	NOUN
de	de	ADP
Villefort	Villefort	PROPN
est	être	AUX
,	,	PUNCTclause
malgré tout	malgré tout	ADV
ce	ce	PRON
que	que	PRON
nous	nous	PRON
pouvons	pouvoir	VERB
faire	faire	VERB
pour	pour	ADP
la	le	DET
distraire	distraire	VERB
,	,	PUNCTclause
de	de	ADP
un	un	DET
caractère	caractère	NOUN
triste	triste	ADJ
et	et	CCONJ
de	de	ADP
une	un	DET
humeur	humeur	NOUN
taciturne	taciturne	ADJ
qui	qui	PRON
nuisent	nuire	VERB
souvent	souvent	ADV
à l'effet de	à l'effet de	ADP
sa	son	DET
beauté	beauté	NOUN
.	.	PUNCTsent
Mais	mais	CCONJ
elle	elle	PRON
ne	ne	ADV
vient	venir	VERB
pas	pas	ADV
;	;	PUNCTclause
Édouard	Édouard	PROPN
