# columns = TERM LEMMA POS
# identifier = dumas1847-57
# creator = Dumas, Alexandre
# created = 1847
# isPartOf = Le bâtard de Mauléon
# title = LVII. Explication.

↵↵↵	↵↵↵	PUNCTstruct
Lvii	Lvii	PROPN
.	.	PUNCTsent
Explication	explication	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Doña	doña	NOUN
Maria	Maria	PROPN
ne	ne	ADV
se	se	PRON
faisait	faire	VERB
pas	pas	ADV
illusion	illusion	NOUN
:	:	PUNCTclause
le	le	DET
danger	danger	NOUN
était	être	AUX
extrême	extrême	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Las	las	ADJ
de	de	ADP
une	un	DET
possession	possession	NOUN
de	de	ADP
plusieurs	plusieurs	DET
années	année	NOUN
,	,	PUNCTclause
blasé	blaser	VERB
par	par	ADP
les	le	DET
succès	succès	NOUN
,	,	PUNCTclause
et	et	CCONJ
corrompu	corrompre	VERB
par	par	ADP
l'	le	DET
adversité	adversité	NOUN
qui	qui	PRON
purifie	purifier	VERB
les	le	DET
bonnes	bon	ADJ
natures	nature	NOUN
égarées	égaré	ADJ
,	,	PUNCTclause
don	don	NOUN
Pedro	Pedro	PROPN
avait	avoir	VERB
besoin	besoin	NOUN
de	de	ADP
stimulants	stimulant	NOUN
pour	pour	ADP
le	le	DET
mal	mal	NOUN
,	,	PUNCTclause
et	et	CCONJ
nullement	nullement	ADV
de	de	ADP
conseils	conseil	NOUN
pour	pour	ADP
le	le	DET
bien	bien	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Il	il	PRON
se	se	PRON
agissait	agir	VERB
de	de	ADP
changer	changer	VERB
les	le	DET
dispositions	disposition	NOUN
de	de	ADP
cette	ce	DET
âme	âme	NOUN
,	,	PUNCTclause
et	et	CCONJ
rien	rien	PRON
ne	ne	ADV
eût	avoir	VERB
été	être	AUX
impossible	impossible	ADJ
avec	avec	ADP
de	de	ADP
l'	le	DET
amour	amour	NOUN
;	;	PUNCTclause
mais	mais	CCONJ
il	il	PRON
était	être	AUX
à	à	ADP
craindre	craindre	VERB
que	que	SCONJ
don	don	NOUN
Pedro	Pedro	PROPN
ne	ne	ADV
en	en	PRON
eût	avoir	VERB
plus	plus	ADV
pour	pour	ADP
doña	doña	NOUN
Maria	Maria	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Elle	elle	PRON
allait	aller	VERB
donc	donc	ADV
en	en	ADP
aveugle	aveugle	NOUN
dans	dans	ADP
ce	ce	DET
chemin	chemin	NOUN
si	si	ADV
bien	bien	ADV
éclairé	éclairer	VERB
pour	pour	ADP
Mothril	Mothril	PROPN
son	son	DET
ennemi	ennemi	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Nul	nul	ADJ
doute	doute	NOUN
que	que	SCONJ
si	si	SCONJ
elle	elle	PRON
eût	avoir	VERB
rencontré	rencontrer	VERB
le	le	DET
More	More	PROPN
en	en	ADP
route	route	NOUN
,	,	PUNCTclause
et	et	CCONJ
que	que	SCONJ
elle	elle	PRON
eût	avoir	AUX
tenu	tenir	VERB
un	un	DET
poignard	poignard	NOUN
,	,	PUNCTclause
elle	elle	PRON
l'	le:PRON	PRON
en	en	PRON
eût	avoir	VERB
frappé	frapper	VERB
sans	sans	ADP
miséricorde	miséricorde	NOUN
,	,	PUNCTclause
car	car	CCONJ
elle	elle	PRON
sentait	sentir	VERB
que	que	SCONJ
cette	ce	DET
influence	influence	NOUN
maudite	maudit	ADJ
pesait	peser	VERB
sur	sur	ADP
sa	son	DET
vie	vie	NOUN
depuis	depuis	ADP
un	un	DET
an	an	NOUN
,	,	PUNCTclause
et	et	CCONJ
commençait	commencer	VERB
à	à	ADP
la	le	DET
dominer	dominer	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Maria	marier	VERB
pensait	penser	VERB
tout	tout	DET
cela	cela	PRON
quand	quand	SCONJ
elle	elle	PRON
ouvrit	ouvrir	VERB
la	le	DET
porte	porte	NOUN
secrète	secret	ADJ
et	et	CCONJ
se	se	PRON
trouva	trouver	VERB
dans	dans	ADP
l'	le	DET
appartement	appartement	NOUN
du	du	ADP_DET
roi	roi	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Don	don	NOUN
Pedro	Pedro	PROPN
,	,	PUNCTclause
épouvanté	épouvanter	VERB
,	,	PUNCTclause
incertain	incertain	ADJ
,	,	PUNCTclause
errait	errer	VERB
comme	comme	ADP
une	un	DET
ombre	ombre	NOUN
dans	dans	ADP
sa	son	DET
galerie	galerie	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Ce	ce	DET
silence	silence	NOUN
de	de	ADP
doña	doña	NOUN
Maria	Maria	PROPN
,	,	PUNCTclause
cette	ce	DET
colère	colère	NOUN
calme	calme	ADJ
,	,	PUNCTclause
lui	lui	PRON
donnait	donner	VERB
les	le	DET
plus	plus	ADV
vives	vif	ADJ
appréhensions	appréhension	NOUN
et	et	CCONJ
la	le	DET
plus	plus	ADV
dangereuse	dangereux	ADJ
colère	colère	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
On	on	PRON
vient	venir	VERB
,	,	PUNCTclause
disait	dire	VERB
il	il	PRON
,	,	PUNCTclause
me	me	PRON
braver	braver	VERB
jusque	jusque	ADP
en	en	ADP
ma	mon	DET
cour	cour	NOUN
,	,	PUNCTclause
on	on	PRON
me	me	PRON
montre	montrer	VERB
que	que	SCONJ
je	je	PRON
ne	ne	ADV
suis	être	AUX
pas	pas	ADV
le	le	DET
maître	maître	NOUN
,	,	PUNCTclause
et	et	CCONJ
réellement	réellement	ADV
je	je	PRON
ne	ne	ADV
le	le:PRON	PRON
suis	être	AUX
pas	pas	ADV
,	,	PUNCTclause
puisque	puisque	SCONJ
l'	le	DET
arrivée	arrivée	NOUN
de	de	ADP
une	un	DET
femme	femme	NOUN
bouleverse	bouleverser	VERB
tous	tous	PRON
mes	mon	DET
projets	projet	NOUN
,	,	PUNCTclause
et	et	CCONJ
détruit	détruire	VERB
l'	le	DET
espoir	espoir	NOUN
de	de	ADP
tous	tous	PRON
mes	mon	DET
plaisirs	plaisir	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
ce	ce	PRON
est	être	AUX
un	un	DET
joug	joug	NOUN
que	que	PRON
il	il	PRON
faut	falloir	VERB
que	que	SCONJ
je	je	PRON
rompe	rompre	VERB
…	…	PUNCTsent
si	si	SCONJ
je	je	PRON
ne	ne	ADV
suis	suivre	VERB
pas	pas	ADV
assez	assez	ADV
fort	fort	ADV
pour	pour	ADP
agir	agir	VERB
seul	seul	ADJ
,	,	PUNCTclause
on	on	PRON
me	me	PRON
aidera	aider	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Il	il	PRON
disait	dire	VERB
ces	ce	DET
mots	mot	NOUN
quand	quand	ADV
Maria	Maria	PROPN
,	,	PUNCTclause
qui	qui	PRON
avait	avoir	AUX
glissé	glisser	VERB
comme	comme	ADP
une	un	DET
fée	fée	NOUN
sur	sur	ADP
la	le	DET
dalle	dalle	NOUN
de	de	ADP
faïence	faïence	NOUN
polie	poli	ADJ
,	,	PUNCTclause
l'	le	DET
arrêta	arrêter	VERB
par	par	ADP
le	le	DET
bras	bras	NOUN
et	et	CCONJ
lui	lui	PRON
dit	dire	VERB
:	:	PUNCTclause
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Qui	qui	PRON
vous	vous	PRON
aidera	aider	VERB
,	,	PUNCTclause
señor	señor	NOUN
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Doña	doña	NOUN
Maria	Maria	PROPN
!	!	PUNCTsent
se	se	PRON
écria	écrier	VERB
le	le	DET
roi	roi	NOUN
comme	comme	SCONJ
si	si	SCONJ
il	il	PRON
eût	avoir	VERB
vu	vu	ADP
un	un	DET
spectre	spectre	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Oui	oui	INTJ
,	,	PUNCTclause
doña	doña	NOUN
Maria	Maria	PROPN
,	,	PUNCTclause
qui	qui	PRON
vient	venir	VERB
vous	vous	PRON
demander	demander	VERB
,	,	PUNCTclause
à	à	ADP
vous	vous	PRON
,	,	PUNCTclause
au	au	ADP_DET
roi	roi	NOUN
,	,	PUNCTclause
en	en	ADP
quoi	quoi	PRON
le	le	DET
conseil	conseil	NOUN
,	,	PUNCTclause
le	le	DET
joug	joug	NOUN
,	,	PUNCTclause
si	si	SCONJ
vous	vous	PRON
voulez	vouloir	VERB
,	,	PUNCTclause
de	de	ADP
une	un	DET
noble	noble	NOUN
espagnole	espagnol	ADJ
,	,	PUNCTclause
de	de	ADP
une	un	DET
femme	femme	NOUN
qui	qui	PRON
vous	vous	PRON
aime	aimer	VERB
,	,	PUNCTclause
est	être	AUX
plus	plus	ADV
déshonorant	déshonorant	ADJ
et	et	CCONJ
plus	plus	ADV
lourd	lourd	ADJ
que	que	SCONJ
le	le	DET
joug	joug	NOUN
imposé	imposer	VERB
à	à	ADP
don	don	NOUN
Pedro	Pedro	PROPN
par	par	ADP
Mothril	Mothril	PROPN
,	,	PUNCTclause
à	à	ADP
un	un	DET
roi	roi	NOUN
chrétien	chrétien	NOUN
par	par	ADP
un	un	DET
More	More	PROPN
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
Don	don	NOUN
Pedro	Pedro	PROPN
serra	serrer	VERB
les	le	DET
poings	poing	NOUN
avec	avec	ADP
fureur	fureur	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Pas	pas	ADV
de	de	ADP
impatience	impatience	NOUN
,	,	PUNCTclause
dit	dire	VERB
doña	doña	NOUN
Maria	Maria	PROPN
,	,	PUNCTclause
pas	pas	ADV
de	de	ADP
colère	colère	NOUN
,	,	PUNCTclause
ce	ce	PRON
ne	ne	ADV
est	être	AUX
pas	pas	ADV
l'	le	DET
heure	heure	NOUN
ni	ni	CCONJ
le	le	DET
lieu	lieu	NOUN
.	.	PUNCTsent
Vous	vous	PRON
êtes	être	VERB
ici	ici	ADV
chez	chez	ADP
vous	vous	PRON
,	,	PUNCTclause
et	et	CCONJ
moi	moi	PRON
,	,	PUNCTclause
votre	votre	DET
sujette	sujet	NOUN
,	,	PUNCTclause
je	je	PRON
ne	ne	ADV
vais	aller	VERB
pas	pas	ADV
,	,	PUNCTclause
vous	vous	PRON
le	le:PRON	PRON
comprenez	comprendre	VERB
,	,	PUNCTclause
vous	vous	PRON
dicter	dicter	VERB
des	un	DET
volontés	volonté	NOUN
.	.	PUNCTsent
Ainsi	ainsi	ADV
,	,	PUNCTclause
maître	maître	NOUN
comme	comme	ADP
vous	vous	PRON
l'	le:PRON	PRON
êtes	être	AUX
,	,	PUNCTclause
señor	señor	NOUN
,	,	PUNCTclause
ne	ne	ADV
prenez	prendre	VERB
pas	pas	ADV
la	le	DET
peine	peine	NOUN
de	de	ADP
vous	vous	PRON
irriter	irriter	VERB
.	.	PUNCTsent
Le	le	DET
lion	lion	NOUN
ne	ne	ADV
querelle	quereller	VERB
pas	pas	ADV
la	le	DET
fourmi	fourmi	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Don	don	NOUN
Pedro	Pedro	PROPN
ne	ne	ADV
était	être	AUX
pas	pas	ADV
accoutumé	accoutumer	VERB
à	à	ADP
ces	ce	DET
