# columns = TERM LEMMA POS
# identifier = dumas1848a-05
# creator = Dumas, Alexandre
# created = 1847
# isPartOf = Les Quarante-cinq
# title = V. Le supplice

↵↵↵	↵↵↵	PUNCTstruct
V.	V.	PROPN
Le	le	DET
supplice	supplice	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Les	le	DET
conseillers	conseiller	NOUN
se	se	PRON
tenaient	tenir	VERB
au	au	ADP_DET
fond	fond	NOUN
de	de	ADP
la	le	DET
loge	loge	NOUN
du	du	ADP_DET
roi	roi	NOUN
,	,	PUNCTclause
debout	debout	ADV
et	et	CCONJ
silencieux	silencieux	ADJ
,	,	PUNCTclause
attendant	attendre	VERB
que	que	SCONJ
le	le	DET
roi	roi	NOUN
leur	leur	PRON
adressât	adresser	VERB
la	le	DET
parole	parole	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
roi	roi	NOUN
se	se	PRON
laissa	laisser	VERB
attendre	attendre	VERB
un	un	DET
instant	instant	NOUN
,	,	PUNCTclause
puis	puis	CCONJ
,	,	PUNCTclause
se	se	PRON
retournant	retourner	VERB
de	de	ADP
leur	leur	DET
côté	côté	NOUN
:	:	PUNCTclause
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
hé	hé	INTJ
bien	bien	ADV
!	!	PUNCTsent
messieurs	monsieur	NOUN
,	,	PUNCTclause
—	—	PUNCTclause
quoi	quoi	PRON
de nouveau	de nouveau	ADV
?	?	PUNCTsent
demanda	demander	VERB
il	il	PRON
.	.	PUNCTsent
Bonjour	bonjour	NOUN
,	,	PUNCTclause
monsieur	monsieur	NOUN
le	le	DET
président	président	NOUN
Brisson	Brisson	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Sire	sire	NOUN
,	,	PUNCTclause
répondit	répondre	VERB
le	le	DET
président	président	NOUN
avec	avec	ADP
sa	son	DET
dignité	dignité	NOUN
facile	facile	ADJ
que	que	PRON
l'on	on	PRON
appelait	appeler	VERB
à	à	ADP
la	le	DET
cour	cour	NOUN
sa	son	DET
courtoisie	courtoisie	NOUN
de	de	ADP
huguenot	huguenot	NOUN
,	,	PUNCTclause
nous	nous	PRON
venons	venir	VERB
supplier	supplier	VERB
Votre	votre	DET
Majesté	Majesté	PROPN
,	,	PUNCTclause
ainsi	ainsi	ADV
que	que	SCONJ
l'	le:PRON	PRON
a	avoir	AUX
désiré	désirer	VERB
M.	M.	NOUN
de	de	ADP
Thou	Thou	PROPN
,	,	PUNCTclause
de	de	ADP
ménager	ménager	VERB
la	le	DET
vie	vie	NOUN
du	du	ADP_DET
coupable	coupable	NOUN
.	.	PUNCTsent
Il	il	PRON
a	avoir	AUX
sans doute	sans doute	ADV
quelques	quelque	DET
révélations	révélation	NOUN
à	à	ADP
faire	faire	VERB
,	,	PUNCTclause
et	et	CCONJ
en	en	ADP
lui	lui	PRON
promettant	promettre	VERB
la	le	DET
vie	vie	NOUN
on	on	PRON
les	le	DET
obtiendrait	obtenir	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Mais	mais	CCONJ
,	,	PUNCTclause
dit	dire	VERB
le	le	DET
roi	roi	NOUN
,	,	PUNCTclause
ne	ne	ADV
les	le:PRON	PRON
a	avoir	AUX
on	on	PRON
pas	pas	ADV
obtenues	obtenir	VERB
,	,	PUNCTclause
monsieur	monsieur	NOUN
le	le	DET
président	président	NOUN
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Oui	oui	INTJ
,	,	PUNCTclause
sire	sire	NOUN
,	,	PUNCTclause
—	—	PUNCTclause
en	en	PRON
partie	partie	NOUN
:	:	PUNCTclause
—	—	PUNCTclause
est	être	AUX
ce	ce	PRON
suffisant	suffire	VERB
pour	pour	ADP
Votre	Votre	PROPN
Majesté	Majesté	PROPN
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Je	je	PRON
sais	savoir	VERB
ce	ce	PRON
que	que	PRON
je	je	PRON
sais	savoir	VERB
,	,	PUNCTclause
messire	messire	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Votre	votre	DET
Majesté	Majesté	PROPN
sait	savoir	VERB
alors	alors	ADV
à	à	ADP
quoi	quoi	PRON
se	se	PRON
en	en	PRON
tenir	tenir	VERB
sur	sur	ADP
la	le	DET
participation	participation	NOUN
de	de	ADP
l'	le	DET
Espagne	Espagne	PROPN
dans	dans	ADP
cette	ce	DET
affaire	affaire	NOUN
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
De	de	ADP
l'	le	DET
Espagne	Espagne	PROPN
?	?	PUNCTsent
oui	oui	INTJ
,	,	PUNCTclause
monsieur	monsieur	NOUN
le	le	DET
président	président	NOUN
,	,	PUNCTclause
et	et	CCONJ
même	même	ADV
de	de	ADP
plusieurs	plusieurs	DET
autres	autre	ADJ
puissances	puissance	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Il	il	PRON
serait	être	AUX
important	important	ADJ
de	de	ADP
constater	constater	VERB
cette	ce	DET
participation	participation	NOUN
,	,	PUNCTclause
sire	sire	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Aussi	aussi	ADV
,	,	PUNCTclause
interrompit	interrompre	VERB
Catherine	Catherine	PROPN
,	,	PUNCTclause
le	le	DET
roi	roi	NOUN
a	avoir	VERB
il	il	PRON
l'	le	DET
intention	intention	NOUN
,	,	PUNCTclause
monsieur	monsieur	NOUN
le	le	DET
président	président	NOUN
,	,	PUNCTclause
de	de	ADP
surseoir	surseoir	VERB
à	à	ADP
l'	le	DET
exécution	exécution	NOUN
,	,	PUNCTclause
si	si	SCONJ
le	le	DET
coupable	coupable	NOUN
signe	signer	VERB
une	un	DET
confession	confession	NOUN
analogue	analogue	ADJ
à	à	ADP
ses	son	DET
dépositions	déposition	NOUN
devant	devant	ADP
le	le	DET
juge	juge	NOUN
qui	qui	PRON
lui	lui	PRON
a	avoir	AUX
fait	faire	VERB
infliger	infliger	VERB
la	le	DET
question	question	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Brisson	Brisson	PROPN
interrogea	interroger	VERB
le	le	DET
roi	roi	NOUN
des	un	ADP_DET
yeux	œil	NOUN
et	et	CCONJ
du	du	ADP_DET
geste	geste	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ce	ce	PRON
est	être	AUX
mon	mon	DET
intention	intention	NOUN
,	,	PUNCTclause
dit	dire	VERB
Henri	Henri	PROPN
,	,	PUNCTclause
et	et	CCONJ
je	je	PRON
ne	ne	ADV
le	le:PRON	PRON
cache	cacher	VERB
pas	pas	ADV
plus	plus	ADV
longtemps	longtemps	ADV
;	;	PUNCTclause
vous	vous	PRON
pouvez	pouvoir	VERB
vous	vous	PRON
en	en	PRON
assurer	assurer	VERB
,	,	PUNCTclause
monsieur	monsieur	NOUN
Brisson	Brisson	PROPN
,	,	PUNCTclause
en	en	PRON
faisant	faire	VERB
parler	parler	VERB
au	au	ADP_DET
patient	patient	NOUN
par	par	ADP
votre	votre	DET
lieutenant	lieutenant	NOUN
de	de	ADP
robe	robe	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Votre	votre	DET
Majesté	Majesté	PROPN
ne	ne	ADV
a	avoir	VERB
rien	rien	PRON
de plus	de plus	ADV
à	à	ADP
recommander	recommander	VERB
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Rien	rien	PRON
.	.	PUNCTsent
Mais	mais	CCONJ
pas	pas	ADV
de	de	ADP
variation	variation	NOUN
dans	dans	ADP
les	le	DET
aveux	aveu	NOUN
,	,	PUNCTclause
ou	ou	CCONJ
je	je	PRON
retire	retirer	VERB
ma	mon	DET
parole	parole	NOUN
.	.	PUNCTsent
—	—	PUNCTclause
Ils	ils	PRON
sont	être	AUX
publics	public	ADJ
,	,	PUNCTclause
ils	ils	PRON
doivent	devoir	VERB
être	être	AUX
complets	complet	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Oui	oui	INTJ
,	,	PUNCTclause
sire	sire	NOUN
.	.	PUNCTsent
—	—	PUNCTclause
Avec	avec	ADP
les	le	DET
noms	nom	NOUN
des	un	ADP_DET
personnages	personnage	NOUN
compromis	compromettre	VERB
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Avec	avec	ADP
les	le	DET
noms	nom	NOUN
,	,	PUNCTclause
tous	tout	ADJ
les	le	DET
noms	nom	NOUN
!	!	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Même	même	ADV
lorsque	lorsque	SCONJ
ces	ce	DET
noms	nom	NOUN
seraient	être	AUX
entachés	entacher	VERB
,	,	PUNCTclause
