# columns = TERM LEMMA POS
# identifier = dumas1848a-39
# creator = Dumas, Alexandre
# created = 1847
# isPartOf = Les Quarante-cinq
# title = XXXIX. La cour aux chevaux

↵↵↵	↵↵↵	PUNCTstruct
Xxxix	Xxxix	NUM
.	.	PUNCTsent
La	le	DET
cour	cour	NOUN
aux	au	ADP_DET
chevaux	cheval	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Ernauton	Ernauton	PROPN
partit	partir	VERB
à l'instant même	à l'instant même	ADV
,	,	PUNCTclause
et	et	CCONJ
comme	comme	SCONJ
il	il	PRON
avait	avoir	AUX
pris	prendre	VERB
le	le	DET
cheval	cheval	NOUN
du	du	ADP_DET
duc	duc	NOUN
en	en	ADP
remplacement	remplacement	NOUN
du	du	ADP_DET
sien	sien	PRON
,	,	PUNCTclause
que	que	SCONJ
il	il	PRON
avait	avoir	AUX
donné	donner	VERB
à	à	ADP
Robert	Robert	PROPN
Briquet	Briquet	PROPN
,	,	PUNCTclause
il	il	PRON
marcha	marcher	VERB
rapidement	rapidement	ADV
,	,	PUNCTclause
de sorte que	de sorte que	SCONJ
vers	vers	ADP
la	le	DET
moitié	moitié	NOUN
du	du	ADP_DET
troisième	troisième	ADJ
jour	jour	NOUN
il	il	PRON
arriva	arriver	VERB
à	à	ADP
Paris	Paris	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
À	à	ADP
trois	trois	NUM
heures	heure	NOUN
de	de	ADP
l'	le	DET
après-midi	après-midi	NOUN
il	il	PRON
entrait	entrer	VERB
au	au	ADP_DET
Louvre	Louvre	NOUN
,	,	PUNCTclause
au	au	ADP_DET
logis	logis	NOUN
des	un	ADP_DET
quarante-cinq	quarante-cinq	NUM
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Aucun	aucun	DET
événement	événement	NOUN
de	de	ADP
importance	importance	NOUN
,	,	PUNCTclause
d'ailleurs	d'ailleurs	ADV
,	,	PUNCTclause
ne	ne	ADV
avait	avoir	AUX
signalé	signaler	VERB
son	son	DET
retour	retour	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Les	le	DET
Gascons	Gascons	PROPN
,	,	PUNCTclause
en	en	ADP
le	le:PRON	PRON
voyant	voir	VERB
,	,	PUNCTclause
poussèrent	pousser	VERB
des	un	DET
cris	cri	NOUN
de	de	ADP
surprise	surprise	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
M.	M.	PROPN
de	de	ADP
Loignac	Loignac	PROPN
,	,	PUNCTclause
à	à	ADP
ces	ce	DET
cris	cri	NOUN
,	,	PUNCTclause
entra	entrer	VERB
,	,	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
en	en	ADP
apercevant	apercevoir	VERB
Ernauton	Ernauton	PROPN
,	,	PUNCTclause
prit	prendre	VERB
sa	son	DET
figure	figure	NOUN
la	le	DET
plus	plus	ADV
renfrognée	renfrogner	VERB
,	,	PUNCTclause
ce	ce	PRON
qui	qui	PRON
ne	ne	ADV
empêcha	empêcher	VERB
point	point	ADV
Ernauton	Ernauton	PROPN
de	de	ADP
marcher	marcher	VERB
droit	droit	NOUN
à	à	ADP
lui	lui	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
M.	M.	PROPN
de	de	ADP
Loignac	Loignac	PROPN
fit	faire	AUX
signe	signer	VERB
au	au	ADP_DET
jeune	jeune	ADJ
homme	homme	NOUN
de	de	ADP
passer	passer	VERB
dans	dans	ADP
le	le	DET
petit	petit	ADJ
cabinet	cabinet	NOUN
situé	situer	VERB
au	au	ADP_DET
bout	bout	NOUN
du	du	ADP_DET
dortoir	dortoir	NOUN
,	,	PUNCTclause
espèce	espèce	NOUN
de	de	ADP
salle	salle	NOUN
de	de	ADP
audience	audience	NOUN
où	où	PRON
ce	ce	PRON
juge	juger	VERB
sans	sans	ADP
appel	appel	NOUN
rendait	rendre	VERB
ses	son	DET
arrêts	arrêt	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Est	être	AUX
ce	ce	DET
donc	donc	ADV
ainsi	ainsi	ADV
que	que	SCONJ
on	on	PRON
se	se	PRON
conduit	conduire	VERB
,	,	PUNCTclause
monsieur	monsieur	NOUN
?	?	PUNCTsent
lui	lui	PRON
dit	dire	VERB
il	il	PRON
tout	tout	PRON
d'abord	d'abord	ADV
;	;	PUNCTclause
voilà	voilà	ADP
,	,	PUNCTclause
si	si	SCONJ
je	je	PRON
compte	compter	VERB
bien	bien	ADV
,	,	PUNCTclause
cinq	cinq	NUM
jours	jour	NOUN
et	et	CCONJ
cinq	cinq	NUM
nuits	nuit	NOUN
de	de	ADP
absence	absence	NOUN
,	,	PUNCTclause
et	et	CCONJ
ce	ce	PRON
est	être	AUX
vous	vous	PRON
,	,	PUNCTclause
vous	vous	PRON
,	,	PUNCTclause
monsieur	monsieur	NOUN
,	,	PUNCTclause
que	que	PRON
je	je	PRON
croyais	croire	VERB
un	un	DET
des	un	DET
plus	plus	ADV
raisonnables	raisonnable	ADJ
,	,	PUNCTclause
qui	qui	PRON
donnez	donner	VERB
l'	le	DET
exemple	exemple	NOUN
de	de	ADP
une	un	DET
pareille	pareil	NOUN
infraction	infraction	NOUN
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Monsieur	monsieur	NOUN
,	,	PUNCTclause
répondit	répondre	VERB
Ernauton	Ernauton	PROPN
en	en	ADP
se	se	PRON
inclinant	incliner	VERB
,	,	PUNCTclause
je	je	PRON
ai	avoir	AUX
fait	faire	VERB
ce	ce	DET
