# columns = TERM LEMMA POS
# identifier = dumas1850a-081
# creator = Dumas, Alexandre
# created = 1850
# isPartOf = Le Vicomte de Bragelonne
# title = LXXXI. La cour de l’hôtel Grammont

↵↵↵	↵↵↵	PUNCTstruct
Lxxxi	Lxxxi	PROPN
.	.	PUNCTsent
La	le	DET
cour	cour	NOUN
de	de	ADP
l'	le	DET
hôtel	hôtel	NOUN
Grammont	Grammont	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Lorsque	lorsque	SCONJ
Malicorne	Malicorne	PROPN
arriva	arriver	VERB
à	à	ADP
Étampes	Étampes	PROPN
,	,	PUNCTclause
il	il	PRON
apprit	apprendre	VERB
que	que	SCONJ
le	le	DET
comte	comte	NOUN
de	de	ADP
Guiche	Guiche	PROPN
venait	venir	VERB
de	de	ADP
partir	partir	VERB
pour	pour	ADP
Paris	Paris	PROPN
.	.	PUNCTsent
Malicorne	Malicorne	PROPN
prit	prendre	VERB
deux	deux	NUM
heures	heure	NOUN
de	de	ADP
repos	repos	NOUN
et	et	CCONJ
se	se	PRON
apprêta	apprêter	VERB
à	à	ADP
continuer	continuer	VERB
son	son	DET
chemin	chemin	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Il	il	PRON
arriva	arriver	VERB
dans	dans	ADP
la	le	DET
nuit	nuit	NOUN
à	à	ADP
Paris	Paris	PROPN
,	,	PUNCTclause
descendit	descendre	VERB
à	à	ADP
un	un	DET
petit	petit	ADJ
hôtel	hôtel	NOUN
dont	dont	PRON
il	il	PRON
avait	avoir	VERB
l'	le	DET
habitude	habitude	NOUN
lors de	lors de	ADP
ses	son	DET
voyages	voyage	NOUN
dans	dans	ADP
la	le	DET
capitale	capital	NOUN
,	,	PUNCTclause
et	et	CCONJ
le	le	DET
lendemain	lendemain	NOUN
,	,	PUNCTclause
à	à	ADP
huit	huit	NUM
heures	heure	NOUN
,	,	PUNCTclause
il	il	PRON
se	se	PRON
présenta	présenter	VERB
à	à	ADP
l'	le	DET
hôtel	hôtel	NOUN
Grammont	Grammont	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Il	il	PRON
était	être	AUX
temps	temps	NOUN
que	que	SCONJ
Malicorne	Malicorne	PROPN
arrivât	arriver	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
comte	comte	NOUN
de	de	ADP
Guiche	Guiche	PROPN
se	se	PRON
préparait	préparer	VERB
à	à	ADP
faire	faire	VERB
