# columns = TERM LEMMA POS
# identifier = dumas1851b-44
# creator = Dumas, Alexandre
# created = 1851
# isPartOf = Dieu dispose
# title = XII. Terreur contagieuse

↵↵↵	↵↵↵	PUNCTstruct
		TOKEN
.	.	PUNCTsent
Terreur	terreur	NOUN
contagieuse	contagieux	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Quand	quand	SCONJ
la	le	DET
femme	femme	NOUN
de	de	ADP
Hans	Hans	PROPN
fut	être	AUX
partie	partie	NOUN
,	,	PUNCTclause
Frédérique	Frédérique	PROPN
se	se	PRON
tourna	tourner	VERB
vers	vers	ADP
la	le	DET
chevrière	chevrier	NOUN
:	:	PUNCTclause
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Nous	nous	PRON
sommes	être	AUX
seules	seul	ADJ
.	.	PUNCTsent
Expliquez	expliquer	VERB
moi	moi	PRON
ce	ce	PRON
que	que	SCONJ
vous	vous	PRON
ne	ne	ADV
avez	avoir	AUX
pas	pas	ADV
voulu	vouloir	VERB
me	me	PRON
dire	dire	VERB
dans	dans	ADP
la	le	DET
voiture	voiture	NOUN
.	.	PUNCTsent
Pourquoi	pourquoi	ADV
la	le	DET
nouvelle	nouveau	ADJ
de	de	ADP
mon	mon	DET
mariage	mariage	NOUN
avec	avec	ADP
le	le	DET
comte	comte	NOUN
de	de	ADP
Eberbach	Eberbach	PROPN
a	avoir	AUX
elle	elle	PRON
paru	paraître	VERB
vous	vous	PRON
combler	combler	VERB
ainsi	ainsi	ADV
de	de	ADP
surprise	surprise	NOUN
et	et	CCONJ
de	de	ADP
tristesse	tristesse	NOUN
?	?	PUNCTsent
Parlez	parler	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Pas	pas	ADV
ici	ici	ADV
!	!	PUNCTsent
dit	dire	VERB
Gretchen	Gretchen	PROPN
.	.	PUNCTsent
Il	il	PRON
se	se	PRON
est	être	AUX
passé	passer	VERB
dans	dans	ADP
cette	ce	DET
chambre	chambre	NOUN
des	un	ADP_DET
choses	chose	NOUN
trop	trop	ADV
affreuses	affreux	ADJ
;	;	PUNCTclause
leur	leur	PRON
souvenir	souvenir	VERB
nous	nous	PRON
porterait	porter	VERB
malheur	malheur	NOUN
.	.	PUNCTsent
Venez	venir	VERB
dans	dans	ADP
la	le	DET
pièce	pièce	NOUN
de	de	ADP
à	à	ADP
côté	côté	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Et	et	CCONJ
elle	elle	PRON
entraîna	entraîner	VERB
Frédérique	Frédérique	PROPN
dans	dans	ADP
le	le	DET
petit	petit	ADJ
salon	salon	NOUN
qui	qui	PRON
attenait	attenait	VERB
à	à	ADP
la	le	DET
chambre	chambre	NOUN
où	où	PRON
Christiane	Christiane	PROPN
avait	avoir	VERB
tant	tant	ADV
souffert	souffrir	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Parlez	parler	VERB
,	,	PUNCTclause
dit	dire	VERB
Frédérique	Frédérique	PROPN
.	.	PUNCTsent
Mais	mais	CCONJ
comme	comme	SCONJ
vous	vous	PRON
êtes	être	AUX
pâle	pâle	ADJ
!	!	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ho	ho	INTJ
!	!	PUNCTsent
ce	ce	PRON
est	être	AUX
que	que	PRON
je	je	PRON
ai	avoir	VERB
bien	bien	ADV
peur	peur	NOUN
!	!	PUNCTsent
répondit	répondre	VERB
la	le	DET
chevrière	chevrier	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Peur	peur	NOUN
de	de	ADP
quoi	quoi	PRON
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Vous	vous	PRON
,	,	PUNCTclause
comtesse	comte	NOUN
de	de	ADP
Eberbach	Eberbach	PROPN
!	!	PUNCTsent
reprit	reprendre	VERB
Gretchen	Gretchen	PROPN
sans	sans	ADP
répondre	répondre	VERB
.	.	PUNCTsent
ha	ha	INTJ
!	!	PUNCTsent
ce	ce	PRON
est	être	AUX
ma	mon	DET
faute	faute	NOUN
!	!	PUNCTsent
ce	ce	PRON
est	être	AUX
la	le	DET
punition	punition	NOUN
de	de	ADP
ce	ce	DET
que	que	PRON
je	je	PRON
ai	avoir	AUX
fait	faire	VERB
!	!	PUNCTsent
je	je	PRON
aurais	avoir	AUX
dû	devoir	VERB
parler	parler	VERB
.	.	PUNCTsent
Mais	mais	CCONJ
non	non	ADV
,	,	PUNCTclause
je	je	PRON
ne	ne	ADV
le	le:PRON	PRON
pouvais	pouvoir	VERB
pas	pas	ADV
,	,	PUNCTclause
puisque	puisque	SCONJ
je	je	PRON
avais	avoir	AUX
juré	jurer	VERB
de	de	DET
me	me	PRON
taire	taire	VERB
.	.	PUNCTsent
ha	ha	INTJ
!	!	PUNCTsent
Sainte	saint	ADJ
Vierge	Vierge	PROPN
!	!	PUNCTsent
Sainte	saint	ADJ
Vierge	Vierge	PROPN
!	!	PUNCTsent
est	être	AUX
il	il	PRON
possible	possible	ADJ
que	que	SCONJ
le	le:PRON	PRON
bon Dieu	bon Dieu	INTJ
accable	accabler	VERB
de	de	ADP
un	un	DET
poids	poids	NOUN
si	si	ADV
lourd	lourd	ADJ
la	le	DET
pauvre	pauvre	NOUN
conscience	conscience	NOUN
de	de	ADP
une	un	DET
humble	humble	ADJ
créature	créature	NOUN
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Mais	mais	CCONJ
,	,	PUNCTclause
qu'est-ce que	qu'est-ce que	ADV
vous	vous	PRON
voulez	vouloir	VERB
dire	dire	VERB
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Frédérique	Frédérique	PROPN
…	…	PUNCTsent
madame	madame	NOUN
…	…	PUNCTsent
Vous	vous	PRON
me	me	PRON
avez	avoir	AUX
dit	dire	VERB
une	un	DET
chose	chose	NOUN
qui	qui	PRON
me	me	PRON
a	avoir	AUX
consternée	consterner	VERB
,	,	PUNCTclause
mais	mais	CCONJ
vous	vous	PRON
me	me	PRON
avez	avoir	AUX
dit	dire	VERB
une	un	DET
chose	chose	NOUN
qui	qui	PRON
me	me	PRON
a	avoir	AUX
fait	faire	VERB
entrevoir	entrevoir	VERB
une	un	DET
lueur	lueur	NOUN
de	de	ADP
espérance	espérance	NOUN
.	.	PUNCTsent
Je	je	PRON
vous	vous	PRON
supplie	supplier	VERB
de	de	ADP
ne	ne	ADV
pas	pas	ADV
vous	vous	PRON
offenser	offenser	VERB
de	de	ADP
la	le	DET
question	question	NOUN
que	que	PRON
je	je	PRON
vais	aller	VERB
vous	vous	PRON
faire	faire	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ho	ho	INTJ
!	!	PUNCTsent
je	je	PRON
ne	ne	ADV
me	me	PRON
offenserais	offenser	VERB
que	que	ADV
de	de	ADP
votre	votre	DET
silence	silence	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Vous	vous	PRON
me	me	PRON
avez	avoir	AUX
dit	dire	VERB
,	,	PUNCTclause
dans	dans	ADP
la	le	DET
voiture	voiture	NOUN
,	,	PUNCTclause
que	que	ADV
lorsque	lorsque	SCONJ
vous	vous	PRON
aviez	avoir	VERB
épousée	épouser	VERB
le	le	DET
comte	comte	NOUN
de	de	ADP
Eberbach	Eberbach	PROPN
,	,	PUNCTclause
il	il	PRON
était	être	AUX
malade	malade	ADJ
et	et	CCONJ
presque	presque	ADV
mourant	mourir	VERB
;	;	PUNCTclause
vous	vous	PRON
me	me	PRON
avez	avoir	AUX
dit	dire	VERB
que	que	SCONJ
,	,	PUNCTclause
le	le	DET
jour	jour	NOUN
même	même	ADV
de	de	ADP
votre	votre	DET
mariage	mariage	NOUN
,	,	PUNCTclause
M.	M.	NOUN
Lothario	Lothario	PROPN
était	être	AUX
arrivé	arriver	VERB
,	,	PUNCTclause
et	et	CCONJ
que	que	SCONJ
M.	M.	NOUN
le	le	DET
comte	comte	NOUN
de	de	ADP
Eberbach	Eberbach	PROPN
vous	vous	PRON
avait	avoir	AUX
fiancée	fiancer	VERB
à	à	ADP
son	son	DET
neveu	neveu	NOUN
,	,	PUNCTclause
vous	vous	PRON
avait	avoir	AUX
déclaré	déclarer	VERB
que	que	SCONJ
vous	vous	PRON
étiez	être	VERB
sa	son	DET
fille	fille	NOUN
et	et	CCONJ
non	non	ADV
sa	son	DET
femme	femme	NOUN
,	,	PUNCTclause
et	et	CCONJ
vous	vous	PRON
avait	avoir	AUX
installée	installer	VERB
à	à	ADP
la	le	DET
campagne	campagne	NOUN
pendant que	pendant que	SCONJ
il	il	PRON
restait	rester	VERB
à	à	ADP
Paris	Paris	PROPN
.	.	PUNCTsent
Madame	madame	NOUN
,	,	PUNCTclause
pardonnez	pardonner	VERB
moi	moi	PRON
de	de	ADP
vous	vous	PRON
demander	demander	VERB
cela	cela	PRON
,	,	PUNCTclause
mais	mais	CCONJ
il	il	PRON
y	y	PRON
va	aller	VERB
de	de	ADP
la	le	DET
tranquillité	tranquillité	NOUN
de	de	ADP
une	un	DET
conscience	conscience	NOUN
;	;	PUNCTclause
vous	vous	PRON
savez	savoir	VERB
si	si	SCONJ
je	je	PRON
vous	vous	PRON
suis	être	AUX
dévouée	dévouer	VERB
;	;	PUNCTclause
le	le	DET
voyage	voyage	NOUN
que	que	SCONJ
vous	vous	PRON
venez	venir	VERB
de	de	ADP
faire	faire	VERB
en	en	ADP
voiture	voiture	NOUN
,	,	PUNCTclause
je	je	PRON
l'	le:PRON	PRON
ai	avoir	AUX
fait	faire	AUX
dix	dix	NUM
fois	fois	NOUN
à	à	ADP
pied	pied	NOUN
rien	rien	PRON
que	que	SCONJ
pour	pour	ADP
vous	vous	PRON
entrevoir	entrevoir	VERB
et	et	CCONJ
savoir	savoir	VERB
de	de	ADP
vos	vos	DET
nouvelles	nouvelle	NOUN
.	.	PUNCTsent
hé	hé	INTJ
bien	bien	ADV
!	!	PUNCTsent
en	en	ADP
récompense	récompense	NOUN
de	de	ADP
mon	mon	DET
dévouement	dévouement	NOUN
et	et	CCONJ
de	de	ADP
mes	mon	DET
