# columns = TERM LEMMA POS
# identifier = dumas1854b-07
# creator = Dumas, Alexandre
# created = 1854
# isPartOf = Le capitaine Richard
# title = VII. Cinq victoires en cinq jours

↵↵↵	↵↵↵	PUNCTstruct
VII	VII	NOUN
.	.	PUNCTsent
Cinq	Cinq	NUM
victoires	victoire	NOUN
en	en	ADP
cinq	cinq	NUM
jours	jour	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Ce	ce	PRON
que	que	PRON
avait	avoir	AUX
prévu	prévoir	VERB
Napoléon	Napoléon	PROPN
arriva	arriver	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Lannes	Lannes	PROPN
,	,	PUNCTclause
qui	qui	PRON
tenait	tenir	VERB
la	le	DET
gauche	gauche	NOUN
avec	avec	ADP
vingt	vingt	NUM
mille	mille	NUM
fantassins	fantassin	NOUN
,	,	PUNCTclause
quinze	quinze	NUM
cents	cents	NUM
chasseurs	chasseur	NOUN
et	et	CCONJ
trois	trois	NUM
mille	mille	NUM
cinq	cinq	NUM
cents	cents	NUM
cuirassiers	cuirassier	NOUN
,	,	PUNCTclause
se	se	PRON
avança	avancer	VERB
sur	sur	ADP
Rohr	Rohr	PROPN
,	,	PUNCTclause
que	que	SCONJ
il	il	PRON
avait	avoir	VERB
,	,	PUNCTclause
on	on	PRON
se	se	PRON
le	le:PRON	PRON
rappelle	rappeler	VERB
,	,	PUNCTclause
reçu	recevoir	VERB
l'	le	DET
ordre	ordre	NOUN
de	de	ADP
enlever	enlever	VERB
,	,	PUNCTclause
à	à	ADP
quelque	quelque	DET
prix	prix	NOUN
que	que	PRON
ce	ce	PRON
fût	être	AUX
,	,	PUNCTclause
par	par	ADP
Offenstetten	Offenstetten	PROPN
et	et	CCONJ
Bachel	Bachel	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Il	il	PRON
marchait	marcher	VERB
à travers	à travers	ADP
un	un	DET
pays	pays	NOUN
semé	semer	VERB
de	de	ADP
bois	bois	NOUN
et	et	CCONJ
coupé	couper	VERB
de	de	DET
nombreux	nombreux	ADJ
défilés	défilé	NOUN
;	;	PUNCTclause
en sorte que	en sorte que	SCONJ
sa	son	DET
tête	tête	NOUN
de	de	ADP
colonne	colonne	NOUN
heurta	heurter	VERB
tout	tout	ADV
à	à	ADP
coup	coup	NOUN
,	,	PUNCTclause
et	et	CCONJ
dans	dans	ADP
le	le	DET
flanc	flanc	NOUN
,	,	PUNCTclause
le	le	DET
général	général	ADJ
autrichien	autrichien	ADJ
Thierry	Thierry	PROPN
et	et	CCONJ
son	son	DET
infanterie	infanterie	NOUN
;	;	PUNCTclause
la	le	DET
cavalerie	cavalerie	NOUN
—	—	PUNCTclause
qui	qui	PRON
accomplissait	accomplir	VERB
le	le	DET
mouvement	mouvement	NOUN
ordonné	ordonner	VERB
par	par	ADP
l'	le	DET
archiduc	archiduc	NOUN
sur	sur	ADP
Ratisbonne	Ratisbonne	PROPN
—	—	PUNCTclause
,	,	PUNCTclause
la	le	DET
cavalerie	cavalerie	NOUN
,	,	PUNCTclause
marchant	marcher	VERB
plus	plus	ADV
vite	vite	ADV
que	que	SCONJ
l'	le	DET
infanterie	infanterie	NOUN
,	,	PUNCTclause
était	être	AUX
déjà	déjà	ADV
passée	passer	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Lannes	Lannes	PROPN
fit	faire	AUX
charger	charger	VERB
cette	ce	DET
infanterie	infanterie	NOUN
par	par	ADP
ses	son	DET
quinze	quinze	NUM
cents	cents	NUM
chasseurs	chasseur	NOUN
à	à	ADP
cheval	cheval	NOUN
,	,	PUNCTclause
qui	qui	PRON
tombèrent	tomber	VERB
sur	sur	ADP
elle	elle	PRON
à	à	ADP
bride	bride	NOUN
abattue	abattre	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
au lieu de	au lieu de	ADP
se	se	PRON
former	former	VERB
en	en	ADP
carré	carré	NOUN
et	et	CCONJ
de	de	ADP
attendre	attendre	VERB
la	le	DET
charge	charge	NOUN
,	,	PUNCTclause
l'	le	DET
infanterie	infanterie	NOUN
,	,	PUNCTclause
qui	qui	PRON
ignorait	ignorer	VERB
à	à	ADP
quel	quel	DET
petit	petit	ADJ
nombre	nombre	NOUN
de	de	ADP
cavaliers	cavalier	NOUN
elle	elle	PRON
avait	avoir	AUX
affaire	affaire	NOUN
,	,	PUNCTclause
essaya	essayer	VERB
de	de	ADP
gagner	gagner	VERB
l'	le	DET
abri	abri	NOUN
des	un	ADP_DET
bois	bois	NOUN
;	;	PUNCTclause
mais	mais	CCONJ
,	,	PUNCTclause
avant de	avant de	ADP
y	y	PRON
arriver	arriver	VERB
,	,	PUNCTclause
elle	elle	PRON
fut	être	AUX
sabrée	sabrer	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
général	général	NOUN
Thierry	Thierry	PROPN
se	se	PRON
retira	retirer	VERB
en	en	ADP
désordre	désordre	NOUN
sur	sur	ADP
Rohr	Rohr	PROPN
,	,	PUNCTclause
où	où	PRON
il	il	PRON
trouva	trouver	VERB
le	le	DET
général	général	NOUN
Schusteck	Schusteck	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Les	le	DET
deux	deux	NUM
généraux	général	NOUN
réunirent	réunir	VERB
leurs	leur	DET
forces	force	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Mais	mais	CCONJ
Lannes	Lannes	PROPN
se	se	PRON
rappelait	rappeler	VERB
l'	le	DET
ordre	ordre	NOUN
que	que	SCONJ
il	il	PRON
avait	avoir	AUX
reçu	recevoir	VERB
de	de	ADP
enlever	enlever	VERB
Rohr	Rohr	PROPN
à	à	ADP
tout	tout	DET
prix	prix	NOUN
,	,	PUNCTclause
et	et	CCONJ
ses	son	DET
chasseurs	chasseur	NOUN
poursuivaient	poursuivre	VERB
les	le	DET
fuyards	fuyard	NOUN
,	,	PUNCTclause
leur	leur	DET
poussant	pousser	VERB
le	le	DET
sabre	sabre	NOUN
dans	dans	ADP
les	le	DET
reins	rein	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Les	le	DET
généraux	général	NOUN
autrichiens	autrichien	ADJ
avaient	avoir	VERB
trois	trois	NUM
mille	mille	NUM
hussards	hussard	NOUN
que	que	SCONJ
ils	ils	PRON
lancèrent	lancer	VERB
sur	sur	ADP
les	le	DET
chasseurs	chasseur	NOUN
;	;	PUNCTclause
Lannes	Lannes	PROPN
,	,	PUNCTclause
voyant	voir	VERB
le	le	DET
mouvement	mouvement	NOUN
,	,	PUNCTclause
lança	lancer	VERB
de	de	ADP
son	son	DET
côté	côté	NOUN
un	un	DET
régiment	régiment	NOUN
de	de	ADP
cuirassiers	cuirassier	NOUN
qui	qui	PRON
traversa	traverser	VERB
de	de	ADP
outre	outre	ADV
en outre	en outre	ADV
la	le	DET
division	division	NOUN
de	de	ADP
hussards	hussard	NOUN
et	et	CCONJ
la	le	DET
força	forcer	VERB
de	de	ADP
se	se	PRON
rejeter	rejeter	VERB
sur	sur	ADP
le	le	DET
village	village	NOUN
de	de	ADP
Rohr	Rohr	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
En	en	ADP
ce	ce	DET
moment	moment	NOUN
arrivaient	arriver	VERB
nos	nos	DET
vingt	vingt	NUM
mille	mille	NUM
fantassins	fantassin	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
30	30	NUM
e	e	SYM
régiment	régiment	NOUN
,	,	PUNCTclause
soutenu	soutenir	VERB
par	par	ADP
les	le	DET
cuirassiers	cuirassier	NOUN
,	,	PUNCTclause
aborda	aborder	VERB
le	le	DET
village	village	NOUN
de	de	ADP
front	front	NOUN
,	,	PUNCTclause
tandis que	tandis que	SCONJ
le	le	DET
13	13	NUM
e	e	SYM
et	et	CCONJ
le	le	DET
17	17	NUM
e	e	SYM
se	se	PRON
écartaient	écarter	VERB
à	à	ADP
droite	droite	NOUN
et	et	CCONJ
à	à	ADP
gauche	gauche	NOUN
pour	pour	ADP
l'	le	DET
envelopper	envelopper	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Les	le	DET
deux	deux	NUM
généraux	général	NOUN
autrichiens	autrichien	ADJ
ne	ne	ADV
tinrent	tenir	VERB
dans	dans	ADP
le	le	DET
village	village	NOUN
que	que	SCONJ
le	le	DET
temps	temps	NOUN
de	de	ADP
se	se	PRON
mettre	mettre	VERB
en	en	ADP
retraite	retrait	NOUN
:	:	PUNCTclause
au bout de	au bout de	ADP
une	un	DET
demi-heure	demi-heure	NOUN
de	de	ADP
combat	combat	NOUN
,	,	PUNCTclause
leurs	leur	DET
colonnes	colonne	NOUN
se	se	PRON
