# columns = TERM LEMMA POS
# identifier = dumas1855a-075
# creator = Dumas, Alexandre
# created = 1855
# isPartOf = La comtesse de Charny
# title = LXXV. Ce que le roi avait dit ; ce qu’avait dit la reine

↵↵↵	↵↵↵	PUNCTstruct
Lxxv	Lxxv	PROPN
.	.	PUNCTsent
Ce	ce	PRON
que	que	PRON
le	le	DET
roi	roi	NOUN
avait	avoir	AUX
dit	dire	VERB
;	;	PUNCTclause
ce	ce	PRON
que	que	PRON
avait	avoir	AUX
dit	dire	VERB
la	le	DET
reine	reine	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Gilbert	Gilbert	PROPN
se	se	PRON
acquitta	acquitter	VERB
scrupuleusement	scrupuleusement	ADV
de	de	ADP
la	le	DET
double	double	NOUN
promesse	promesse	NOUN
faite	faire	VERB
à	à	ADP
Mirabeau	Mirabeau	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
En	en	ADP
rentrant	rentrer	VERB
dans	dans	ADP
Paris	Paris	PROPN
,	,	PUNCTclause
il	il	PRON
rencontra	rencontrer	VERB
Camille	Camille	PROPN
Desmoulins	Desmoulins	PROPN
,	,	PUNCTclause
la	le	DET
gazette	gazette	NOUN
vivante	vivant	ADJ
,	,	PUNCTclause
le	le	DET
journal	journal	NOUN
incarné	incarner	VERB
du	du	ADP_DET
temps	temps	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Il	il	PRON
lui	lui	PRON
annonça	annoncer	VERB
la	le	DET
maladie	maladie	NOUN
de	de	ADP
Mirabeau	Mirabeau	PROPN
,	,	PUNCTclause
que	que	SCONJ
il	il	PRON
fit	faire	VERB
,	,	PUNCTclause
avec	avec	ADP
intention	intention	NOUN
,	,	PUNCTclause
plus	plus	ADV
grave	grave	ADJ
,	,	PUNCTclause
non	non	ADV
pas	pas	ADV
que	que	SCONJ
elle	elle	PRON
ne	ne	ADV
pouvait	pouvoir	VERB
devenir	devenir	VERB
si	si	SCONJ
Mirabeau	Mirabeau	PROPN
faisait	faire	VERB
quelque	quelque	DET
nouvelle	nouveau	ADJ
imprudence	imprudence	NOUN
,	,	PUNCTclause
mais	mais	CCONJ
que	que	SCONJ
elle	elle	PRON
ne	ne	ADV
était	être	AUX
en	en	ADP
ce	ce	DET
moment	moment	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Puis	puis	CCONJ
il	il	PRON
alla	aller	VERB
aux	au	ADP_DET
Tuileries	Tuileries	PROPN
,	,	PUNCTclause
et	et	CCONJ
annonça	annoncer	VERB
cette	ce	DET
même	même	ADJ
maladie	maladie	NOUN
au	au	ADP_DET
roi	roi	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
roi	roi	NOUN
se	se	PRON
contenta	contenter	VERB
de	de	ADP
dire	dire	VERB
:	:	PUNCTclause
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ha	ha	INTJ
!	!	PUNCTsent
ha	ha	INTJ
!	!	PUNCTsent
pauvre	pauvre	ADJ
comte	comte	NOUN
!	!	PUNCTsent
et	et	CCONJ
a	avoir	AUX
il	il	PRON
perdu	perdre	VERB
l'	le	DET
appétit	appétit	NOUN
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Oui	oui	INTJ
,	,	PUNCTclause
sire	sire	NOUN
,	,	PUNCTclause
répondit	répondre	VERB
Gilbert	Gilbert	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Alors	alors	ADV
,	,	PUNCTclause
ce	ce	PRON
est	être	AUX
grave	grave	ADJ
,	,	PUNCTclause
dit	dire	VERB
le	le	DET
roi	roi	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Et	et	CCONJ
il	il	PRON
parla	parler	VERB
d'autre	d'autre	ADP
chose	chose	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Gilbert	Gilbert	PROPN
,	,	PUNCTclause
en	en	ADP
sortant	sortir	VERB
de	de	ADP
chez	chez	ADP
le	le	DET
roi	roi	NOUN
,	,	PUNCTclause
entra	entrer	VERB
chez	chez	ADP
la	le	DET
reine	reine	NOUN
,	,	PUNCTclause
et	et	CCONJ
lui	lui	PRON
répéta	répéter	VERB
la	le	DET
même chose	même chose	NOUN
que	que	PRON
il	il	PRON
avait	avoir	AUX
dite	dire	VERB
au	au	ADP_DET
roi	roi	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
front	front	NOUN
hautain	hautain	ADJ
de	de	ADP
la	le	DET
fille	fille	NOUN
de	de	ADP
Marie-Thérèse	Marie-Thérèse	PROPN
se	se	PRON
plissa	plisser	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Pourquoi	pourquoi	ADV
,	,	PUNCTclause
dit	dire	VERB
elle	elle	PRON
,	,	PUNCTclause
cette	ce	DET
maladie	maladie	NOUN
ne	ne	ADV
l'	le:PRON	PRON
a	avoir	AUX
elle	elle	PRON
point	point	ADV
pris	prendre	VERB
le	le	DET
matin	matin	NOUN
du	du	ADP_DET
jour	jour	NOUN
où	où	PRON
il	il	PRON
a	avoir	AUX
fait	faire	VERB
son	son	DET
beau	beau	ADJ
discours	discours	NOUN
sur	sur	ADP
le	le	DET
drapeau	drapeau	NOUN
tricolore	tricolore	ADJ
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
Puis	puis	CCONJ
,	,	PUNCTclause
comme	comme	SCONJ
si	si	SCONJ
elle	elle	PRON
se	se	PRON
repentait	repentir	VERB
de	de	ADP
avoir	avoir	AUX
laissé	laisser	VERB
échapper	échapper	VERB
devant	devant	ADP
Gilbert	Gilbert	PROPN
l'	le	DET
expression	expression	NOUN
de	de	ADP
sa	son	DET
haine	haine	NOUN
pour	pour	ADP
ce	ce	DET
signe	signe	NOUN
de	de	ADP
la	le	DET
nationalité	nationalité	NOUN
française	français	ADJ
:	:	PUNCTclause
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
N'importe	n'importe	NOUN
,	,	PUNCTclause
dit	dire	VERB
elle	elle	PRON
,	,	PUNCTclause
ce	ce	PRON
serait	être	AUX
bien	bien	ADV
malheureux	malheureux	ADJ
pour	pour	ADP
la	le	DET
France	France	PROPN
et	et	CCONJ
pour	pour	ADP
nous	nous	PRON
si	si	SCONJ
cette	ce	DET
indisposition	indisposition	NOUN
faisait	faire	VERB
des	un	DET
progrès	progrès	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Je	je	PRON
croyais	croire	VERB
avoir	avoir	AUX
eu	avoir	VERB
l'	le	DET
honneur	honneur	NOUN
de	de	ADP
dire	dire	VERB
à	à	ADP
la	le	DET
reine	reine	NOUN
,	,	PUNCTclause
répéta	répéter	VERB
Gilbert	Gilbert	PROPN
,	,	PUNCTclause
que	que	SCONJ
ce	ce	PRON
était	être	AUX
plus	plus	ADV
que	que	SCONJ
une	un	DET
indisposition	indisposition	NOUN
,	,	PUNCTclause
que	que	SCONJ
ce	ce	PRON
était	être	AUX
une	un	DET
maladie	maladie	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
