# columns = TERM LEMMA POS
# identifier = dumas1859b-286
# creator = Dumas, Alexandre
# created = 1859
# isPartOf = Les Mohicans de Paris
# title = CCLXXXVI. Ce que M. Gérard trouva, ou plutôt ne trouva pas, en arrivant à Vanves.

↵↵↵	↵↵↵	PUNCTstruct
Cclxxxvi	Cclxxxvi	PROPN
.	.	PUNCTsent
Ce	ce	PRON
que	que	PRON
M.	M.	PROPN
Gérard	Gérard	PROPN
trouva	trouver	VERB
,	,	PUNCTclause
ou	ou	CCONJ
plutôt	plutôt	ADV
ne	ne	ADV
trouva	trouver	VERB
pas	pas	ADV
,	,	PUNCTclause
en	en	ADP
arrivant	arriver	VERB
à	à	ADP
Vanves	Vanves	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Resté	rester	VERB
seul	seul	ADJ
et	et	CCONJ
condamné	condamner	VERB
à	à	ADP
l'	le	DET
allure	allure	NOUN
mélancolique	mélancolique	ADJ
de	de	ADP
deux	deux	NUM
rosses	rosse	NOUN
éreintées	éreinter	VERB
,	,	PUNCTclause
M.	M.	PROPN
Gérard	Gérard	PROPN
se	se	PRON
lança	lancer	VERB
dans	dans	ADP
une	un	DET
mer	mer	NOUN
de	de	ADP
conjectures	conjecture	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Sa	son	DET
première	premier	ADJ
idée	idée	NOUN
avait	avoir	AUX
été	être	AUX
de	de	ADP
pousser	pousser	VERB
jusque	jusque	ADP
chez	chez	ADP
M.	M.	NOUN
Jackal	Jackal	PROPN
et	et	CCONJ
de	de	ADP
lui	lui	PRON
demander	demander	VERB
satisfaction	satisfaction	NOUN
de	de	ADP
la	le	DET
mauvaise	mauvais	ADJ
plaisanterie	plaisanterie	NOUN
que	que	PRON
lui	lui	PRON
avait	avoir	AUX
faite	faire	VERB
son	son	DET
agent	agent	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Mais	mais	CCONJ
M.	M.	NOUN
Jackal	Jackal	PROPN
avait	avoir	VERB
,	,	PUNCTclause
de	de	ADP
habitude	habitude	NOUN
,	,	PUNCTclause
lorsque	lorsque	SCONJ
il	il	PRON
parlait	parler	VERB
au	au	ADP_DET
digne	digne	ADJ
M.	M.	NOUN
Gérard	Gérard	PROPN
,	,	PUNCTclause
un	un	DET
ton	ton	NOUN
narquois	narquois	ADJ
qui	qui	PRON
mettait	mettre	VERB
celui	celui	PRON
si	si	ADV
mal	mal	ADV
à	à	ADP
son	son	DET
aise	aise	NOUN
,	,	PUNCTclause
que	que	SCONJ
les	le	DET
instants	instant	NOUN
que	que	PRON
il	il	PRON
passait	passer	VERB
avec	avec	ADP
le	le	DET
chef	chef	NOUN
de	de	ADP
la	le	DET
police	police	NOUN
de	de	ADP
sûreté	sûreté	NOUN
étaient	être	AUX
,	,	PUNCTclause
en général	en général	ADV
,	,	PUNCTclause
les	le	DET
instants	instant	NOUN
les	le	DET
plus	plus	ADV
pénibles	pénible	ADJ
de	de	ADP
sa	son	DET
vie	vie	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Puis	puis	CCONJ
de	de	ADP
quoi	quoi	PRON
aurait	avoir	VERB
