# columns = TERM LEMMA POS
# identifier = dumas1859b-323
# creator = Dumas, Alexandre
# created = 1859
# isPartOf = Les Mohicans de Paris
# title = CCCXXIII. Où l’étoile de M. Rappt commence à pâlir.

↵↵↵	↵↵↵	PUNCTstruct
Cccxxiii	Cccxxiii	PROPN
.	.	PUNCTsent
Où	où	PRON
l'	le	DET
étoile	étoile	NOUN
de	de	ADP
M.	M.	PROPN
Rappt	Rappt	PROPN
commence	commencer	VERB
à	à	ADP
pâlir	pâlir	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Lui	lui	PRON
!	!	PUNCTsent
murmura	murmurer	VERB
sourdement	sourdement	ADV
,	,	PUNCTclause
en	en	ADP
voyant	voir	VERB
le	le	DET
comte	comte	NOUN
Rappt	Rappt	PROPN
,	,	PUNCTclause
le	le	DET
maréchal	maréchal	NOUN
de	de	ADP
Lamothe-Houdon	Lamothe-Houdon	PROPN
,	,	PUNCTclause
dont	dont	PRON
le	le	DET
visage	visage	NOUN
prit	prendre	VERB
une	un	DET
expression	expression	NOUN
sinistre	sinistre	ADJ
,	,	PUNCTclause
ce	ce	DET
visage	visage	NOUN
qui	qui	PRON
de	de	ADP
ordinaire	ordinaire	ADJ
ne	ne	ADV
exprimait	exprimer	VERB
que	que	ADV
la	le	DET
douceur	douceur	NOUN
.	.	PUNCTsent
Lui	lui	PRON
!	!	PUNCTsent
répéta	répéter	VERB
il	il	PRON
en	en	PRON
jetant	jeter	VERB
sur	sur	ADP
le	le	DET
comte	comte	NOUN
des	un	ADP_DET
yeux	œil	NOUN
étincelants	étincelant	ADJ
et	et	CCONJ
en	en	ADP
le	le	DET
regardant	regarder	VERB
à	à	ADP
la	le	DET
façon	façon	NOUN
dont	dont	PRON
le	le	DET
tonnerre	tonnerre	NOUN
doit	devoir	VERB
regarder	regarder	VERB
le	le	DET
champ	champ	NOUN
que	que	SCONJ
il	il	PRON
va	aller	VERB
enflammer	enflammer	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
comte	comte	NOUN
Rappt	Rappt	PROPN
,	,	PUNCTclause
nous	nous	PRON
l'	le:PRON	PRON
avons	avoir	AUX
vu	voir	VERB
à	à	ADP
l'	le	DET
œuvre	œuvre	NOUN
,	,	PUNCTclause
était	être	AUX
brave	brave	ADJ
,	,	PUNCTclause
hardi	hardi	ADJ
,	,	PUNCTclause
audacieux	audacieux	ADJ
,	,	PUNCTclause
plein	plein	ADJ
de	de	ADP
sang-froid	sang-froid	NOUN
et	et	CCONJ
de	de	ADP
courage	courage	NOUN
,	,	PUNCTclause
et	et	CCONJ
cependant	cependant	ADV
,	,	PUNCTclause
explique	expliquer	VERB
qui	qui	PRON
pourra	pouvoir	VERB
ce	ce	DET
phénomène	phénomène	NOUN
,	,	PUNCTclause
son	son	DET
sang-froid	sang-froid	NOUN
,	,	PUNCTclause
son	son	DET
courage	courage	NOUN
,	,	PUNCTclause
sa	son	DET
hardiesse	hardiesse	NOUN
et	et	CCONJ
son	son	DET
audace	audace	NOUN
tombèrent	tomber	VERB
tout	tout	ADV
à	à	ADP
coup	coup	NOUN
devant	devant	ADP
le	le	DET
maréchal	maréchal	NOUN
comme	comme	ADP
les	le	DET
remparts	rempart	NOUN
de	de	ADP
une	un	DET
ville	ville	NOUN
assiégée	assiéger	VERB
devant	devant	ADP
l'	le	DET
ennemi	ennemi	NOUN
vainqueur	vainqueur	ADJ
!	!	PUNCTsent
tant de	tant de	DET
éclairs	éclair	NOUN
jaillirent	jaillir	VERB
des	un	DET
yeux	œil	NOUN
du	du	ADP_DET
vieillard	vieillard	NOUN
outragé	outrager	VERB
,	,	PUNCTclause
tant de	tant de	DET
menaces	menace	NOUN
terribles	terrible	ADJ
lança	lancer	VERB
son	son	DET
regard	regard	NOUN
,	,	PUNCTclause
que	que	PRON
le	le	DET
comte	comte	NOUN
,	,	PUNCTclause
sans	sans	ADP
rien	rien	PRON
deviner	deviner	VERB
,	,	PUNCTclause
fit	faire	AUX
toute	toute	DET
espèce	espèce	NOUN
de	de	ADP
conjectures	conjecture	NOUN
et	et	CCONJ
frissonna	frissonner	VERB
involontairement	involontairement	ADV
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Il	il	PRON
crut	croire	VERB
M.	M.	PROPN
de	de	ADP
Lamothe-Houdon	Lamothe-Houdon	PROPN
devenu	devenir	VERB
fou	fou	ADJ
après	après	ADP
la	le	DET
mort	mort	NOUN
de	de	ADP
sa	son	DET
femme	femme	NOUN
.	.	PUNCTsent
Il	il	PRON
attribua	attribuer	VERB
la	le	DET
fixité	fixité	NOUN
de	de	ADP
son	son	DET
regard	regard	NOUN
à	à	ADP
l'	le	DET
égarement	égarement	NOUN
,	,	PUNCTclause
il	il	PRON
prit	prendre	VERB
sa	son	DET
colère	colère	NOUN
pour	pour	ADP
du	du	DET
désespoir	désespoir	NOUN
,	,	PUNCTclause
et	et	CCONJ
il	il	PRON
songea	songer	VERB
à	à	ADP
le	le	DET
consoler	consoler	VERB
.	.	PUNCTsent
Il	il	PRON
essaya	essayer	VERB
donc	donc	ADV
de	de	ADP
recouvrer	recouvrer	VERB
tout	tout	DET
le	le	DET
calme	calme	NOUN
nécessaire	nécessaire	ADJ
pour	pour	ADP
exprimer	exprimer	VERB
convenablement	convenablement	ADV
le	le	DET
chagrin	chagrin	NOUN
que	que	PRON
lui	lui	PRON
faisait	faire	VERB
éprouver	éprouver	VERB
la	le	DET
mort	mort	NOUN
de	de	ADP
la	le	DET
princesse	prince	NOUN
et	et	CCONJ
la	le	DET
part	part	NOUN
que	que	SCONJ
il	il	PRON
prenait	prendre	VERB
à	à	ADP
la	le	DET
douleur	douleur	NOUN
du	du	ADP_DET
maréchal	maréchal	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Il	il	PRON
se	se	PRON
avança	avancer	VERB
vers	vers	ADP
M.	M.	PROPN
de	de	ADP
Lamothe-Houdon	Lamothe-Houdon	PROPN
en	en	ADP
inclinant	incliner	VERB
la	le	DET
tête	tête	NOUN
,	,	PUNCTclause
en	en	ADP
signe	signe	NOUN
de	de	ADP
tristesse	tristesse	NOUN
et	et	CCONJ
de	de	ADP
compassion	compassion	NOUN
.	.	PUNCTsent
Le	le	DET
maréchal	maréchal	NOUN
lui	lui	PRON
laissa	laisser	VERB
faire	faire	VERB
trois	trois	NUM
ou	ou	CCONJ
quatre	quatre	NUM
pas	pas	NOUN
dans	dans	ADP
la	le	DET
chambre	chambre	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
M.	M.	PUNCT
Rappt	Rappt	PROPN
dit	dire	VERB
,	,	PUNCTclause
de	de	ADP
une	un	DET
voix	voix	NOUN
que	que	SCONJ
il	il	PRON
se	se	PRON
efforça	efforcer	VERB
de	de	ADP
rendre	rendre	VERB
émue	ému	ADJ
:	:	PUNCTclause
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Maréchal	maréchal	NOUN
,	,	PUNCTclause
croyez	croire	VERB
que	que	SCONJ
je	je	PRON
suis	être	AUX
profondément	profondément	ADV
touché	toucher	VERB
du	du	ADP_DET
malheur	malheur	NOUN
qui	qui	PRON
vous	vous	PRON
arrive	arriver	VERB
!	!	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
maréchal	maréchal	NOUN
le	le:PRON	PRON
laissa	laisser	VERB
dire	dire	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
M.	M.	PUNCT
Rappt	Rappt	PROPN
continua	continuer	VERB
:	:	PUNCTclause
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Le	le:PRON	PRON
malheur	malheur	NOUN
a	avoir	AUX
cela	cela	PRON
de	de	ADP
consolant	consoler	VERB
,	,	PUNCTclause
du	du	ADP_DET
moins	moins	ADV
,	,	PUNCTclause
que	que	SCONJ
il	il	PRON
nous	nous	PRON
rend	rendre	VERB
plus	plus	ADV
chers	cher	ADJ
les	le	DET
amis	ami	NOUN
qui	qui	PRON
nous	nous	PRON
restent	rester	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
maréchal	maréchal	NOUN
garda	garder	VERB
le	le	DET
silence	silence	NOUN
.	.	PUNCTsent
Le	le	DET
comte	comte	NOUN
poursuivit	poursuivre	VERB
:	:	PUNCTclause
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
En	en	ADP
cette	ce	DET
triste	triste	ADJ
circonstance	circonstance	NOUN
,	,	PUNCTclause
comme	comme	ADP
en	en	ADP
toute	toute	DET
autre	autre	ADJ
,	,	PUNCTclause
croyez	croire	VERB
bien	bien	ADV
,	,	PUNCTclause
monsieur	monsieur	NOUN
le	le	DET
maréchal	maréchal	NOUN
,	,	PUNCTclause
que	que	SCONJ
je	je	PRON
suis	être	AUX
tout	tout	ADV
à	à	ADP
votre	votre	DET
service	service	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
ce	ce	DET
en	en	PRON
était	être	AUX
trop	trop	ADV
!	!	PUNCTsent
En	en	ADP
entendant	entendre	VERB
ces	ce	DET
paroles	parole	NOUN
,	,	PUNCTclause
M.	M.	PROPN
de	de	ADP
Lamothe-Houdon	Lamothe-Houdon	PROPN
bondit	bondir	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
que	que	SCONJ
avez	avoir	VERB
vous	vous	PRON
,	,	PUNCTclause
monsieur	monsieur	NOUN
le	le	DET
maréchal	maréchal	NOUN
?	?	PUNCTsent
se	se	PRON
écria	écrier	VERB
le	le	DET
comte	comte	NOUN
Rappt	Rappt	PROPN
épouvanté	épouvanter	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Ce	ce	DET
que	que	SCONJ
je	je	PRON
ai	avoir	VERB
,	,	PUNCTclause
misérable	misérable	ADJ
?	?	PUNCTsent
murmura	murmurer	VERB
à	à	ADP
demi-voix	demi-voix	DET
le	le:PRON	PRON
maréchal	maréchal	NOUN
en	en	ADP
se	se	PRON
avançant	avancer	VERB
vers	vers	ADP
le	le	DET
comte	comte	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Celui	celui	PRON
recula	reculer	VERB
de	de	ADP
deux	deux	NUM
ou	ou	CCONJ
trois	trois	NUM
pas	pas	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Ce	ce	DET
que	que	SCONJ
je	je	PRON
ai	avoir	VERB
,	,	PUNCTclause
infâme	infâme	ADJ
,	,	PUNCTclause
traître	traître	NOUN
,	,	PUNCTclause
lâche	lâcher	VERB
?	?	PUNCTsent
continua	continuer	VERB
le	le	DET
maréchal	maréchal	NOUN
en	en	ADP
regardant	regarder	VERB
le	le	DET
comte	comte	NOUN
comme	comme	SCONJ
si	si	SCONJ
il	il	PRON
eût	avoir	VERB
voulu	vouloir	VERB
le	le	DET
dévorer	dévorer	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Monsieur	monsieur	NOUN
le	le	DET
maréchal	maréchal	NOUN
…	…	PUNCTsent
se	se	PRON
écria	écrier	VERB
le	le	DET
comte	comte	NOUN
Rappt	Rappt	PROPN
,	,	PUNCTclause
qui	qui	PRON
commençait	commencer	VERB
à	à	ADP
entrevoir	entrevoir	VERB
la	le	DET
vérité	vérité	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Traître	traître	NOUN
!	!	PUNCTsent
infâme	infâme	ADJ
!	!	PUNCTsent
répéta	répéter	VERB
M.	M.	PROPN
de	de	ADP
Lamothe-Houdon	Lamothe-Houdon	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
je	je	PRON
ai	avoir	VERB
peur	peur	NOUN
,	,	PUNCTclause
monsieur	monsieur	NOUN
le	le	DET
maréchal	maréchal	NOUN
,	,	PUNCTclause
dit	dire	VERB
,	,	PUNCTclause
en	en	ADP
se	se	PRON
dirigeant	diriger	VERB
vers	vers	ADP
la	le	DET
porte	porte	NOUN
,	,	PUNCTclause
le	le	DET
comte	comte	NOUN
Rappt	Rappt	PROPN
,	,	PUNCTclause
que	que	SCONJ
votre	votre	DET
profonde	profond	ADJ
douleur	douleur	NOUN
ne	ne	ADV
occasionne	occasionner	VERB
un	un	DET
trouble	trouble	NOUN
dans	dans	ADP
votre	votre	DET
raison	raison	NOUN
,	,	PUNCTclause
et	et	CCONJ
je	je	PRON
vous	vous	PRON
demande	demander	VERB
la	le	DET
permission	permission	NOUN
de	de	ADP
me	me	PRON
retirer	retirer	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Vous	vous	PRON
ne	ne	ADV
sortirez	sortir	VERB
pas	pas	ADV
d'ici	d'ici	ADV
!	!	PUNCTsent
dit	dire	VERB
le	le	DET
maréchal	maréchal	NOUN
en	en	ADP
sautant	sauter	VERB
du côté de	du côté de	ADP
la	le	DET
porte	porte	NOUN
et	et	CCONJ
en	en	ADP
lui	lui	PRON
barrant	barrer	VERB
le	le	DET
passage	passage	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Monsieur	monsieur	NOUN
le	le	DET
maréchal	maréchal	NOUN
,	,	PUNCTclause
objecta	objecter	VERB
le	le	DET
comte	comte	NOUN
en	en	ADP
montrant	montrer	VERB
du	du	ADP_DET
doigt	doigt	NOUN
le	le	DET
lit	lit	NOUN
mortuaire	mortuaire	ADJ
,	,	PUNCTclause
une	un	DET
scène	scène	NOUN
pareille	pareil	ADJ
dans	dans	ADP
un	un	DET
lieu	lieu	NOUN
semblable	semblable	ADJ
,	,	PUNCTclause
quelle	quel	DET
que	que	SCONJ
en	en	PRON
soit	être	AUX
la	le	DET
cause	cause	NOUN
,	,	PUNCTclause
ne	ne	ADV
saurait	savoir	VERB
être	être	AUX
plus	plus	ADV
de	de	ADP
votre	votre	DET
goût	goût	NOUN
que	que	SCONJ
du	du	ADP_DET
mien	mien	PRON
.	.	PUNCTsent
Je	je	PRON
vous	vous	PRON
prie	prier	VERB
de	de	ADP
me	me	PRON
laisser	laisser	VERB
sortir	sortir	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Non	non	ADV
!	!	PUNCTsent
dit	dire	VERB
le	le	DET
maréchal	maréchal	NOUN
,	,	PUNCTclause
ce	ce	PRON
est	être	AUX
ici	ici	ADV
que	que	SCONJ
je	je	PRON
ai	avoir	AUX
appris	apprendre	VERB
l'	le	DET
offense	offense	NOUN
;	;	PUNCTclause
ce	ce	PRON
est	être	AUX
d'ici	d'ici	ADV
que	que	SCONJ
doit	devoir	VERB
partir	partir	VERB
la	le	DET
réparation	réparation	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Si	si	SCONJ
je	je	PRON
comprends	comprendre	VERB
,	,	PUNCTclause
monsieur	monsieur	NOUN
le	le	DET
maréchal	maréchal	NOUN
,	,	PUNCTclause
dit	dire	VERB
froidement	froidement	ADV
le	le	DET
comte	comte	NOUN
,	,	PUNCTclause
vous	vous	PRON
avez	avoir	VERB
,	,	PUNCTclause
pour	pour	ADP
une	un	DET
raison	raison	NOUN
ou	ou	CCONJ
pour	pour	ADP
une	un	DET
autre	autre	ADJ
,	,	PUNCTclause
une	un	DET
explication	explication	NOUN
à	à	ADP
me	me	PRON
demander	demander	VERB
.	.	PUNCTsent
Je	je	PRON
suis	suivre	VERB
à	à	ADP
vos	vos	DET
ordres	ordre	NOUN
,	,	PUNCTclause
mais	mais	CCONJ
,	,	PUNCTclause
je	je	PRON
vous	vous	PRON
le	le:PRON	PRON
répète	répéter	VERB
,	,	PUNCTclause
dans	dans	ADP
un	un	DET
autre	autre	ADJ
moment	moment	NOUN
et	et	CCONJ
dans	dans	ADP
un	un	DET
autre	autre	ADJ
lieu	lieu	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
À	à	ADP
cette	ce	DET
heure	heure	NOUN
et	et	CCONJ
ici	ici	ADV
!	!	PUNCTsent
répondit	répondre	VERB
le	le	DET
maréchal	maréchal	NOUN
de	de	ADP
une	un	DET
voix	voix	NOUN
si	si	ADV
impérieuse	impérieux	ADJ
,	,	PUNCTclause
que	que	SCONJ
elle	elle	PRON
ne	ne	ADV
souffrait	souffrir	VERB
pas	pas	ADV
de	de	ADP
réplique	réplique	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Comme	comme	SCONJ
vous	vous	PRON
voudrez	vouloir	VERB
,	,	PUNCTclause
dit	dire	VERB
laconiquement	laconiquement	ADV
le	le	DET
comte	comte	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Connaissez	connaître	VERB
vous	vous	PRON
cette	ce	DET
écriture	écriture	NOUN
?	?	PUNCTsent
demanda	demander	VERB
le	le	DET
maréchal	maréchal	NOUN
en	en	ADP
tendant	tendre	VERB
au	au	ADP_DET
comte	comte	NOUN
Rappt	Rappt	PROPN
le	le	DET
paquet	paquet	NOUN
de	de	ADP
lettres	lettre	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
comte	comte	NOUN
prit	prendre	VERB
les	le	DET
lettres	lettre	NOUN
,	,	PUNCTclause
les	le	DET
regarda	regarder	VERB
et	et	CCONJ
pâlit	pâlir	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Ainsi	ainsi	ADV
,	,	PUNCTclause
continua	continuer	VERB
le	le	DET
maréchal	maréchal	NOUN
,	,	PUNCTclause
vous	vous	PRON
vous	vous	PRON
reconnaissez	reconnaître	VERB
pour	pour	ADP
l'	le	DET
auteur	auteur	NOUN
de	de	ADP
ces	ce	DET
lettres	lettre	NOUN
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Oui	oui	INTJ
,	,	PUNCTclause
répondit	répondre	VERB
sourdement	sourdement	ADV
le	le	DET
comte	comte	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Ainsi	ainsi	ADV
,	,	PUNCTclause
la	le	DET
princesse	prince	NOUN
Régina	Régina	PROPN
est	être	AUX
votre	votre	DET
fille	fille	NOUN
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
comte	comte	NOUN
cacha	cacher	VERB
son	son	DET
front	front	NOUN
dans	dans	ADP
ses	son	DET
mains	main	NOUN
;	;	PUNCTclause
on	on	PRON
eût	avoir	AUX
dit	dire	VERB
que	que	SCONJ
il	il	PRON
cherchait	chercher	VERB
à	à	ADP
éviter	éviter	VERB
la	le	DET
foudre	foudre	NOUN
qui	qui	PRON
,	,	PUNCTclause
depuis	depuis	ADP
son	son	DET
entrée	entrée	NOUN
dans	dans	ADP
la	le	DET
chambre	chambre	NOUN
mortuaire	mortuaire	ADJ
,	,	PUNCTclause
grondait	gronder	VERB
au-dessus	au-dessus	ADV
de	de	ADP
sa	son	DET
tête	tête	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Ainsi	ainsi	ADV
,	,	PUNCTclause
poursuivit	poursuivre	VERB
le	le	DET
maréchal	maréchal	NOUN
de	de	ADP
Lamothe-Houdon	Lamothe-Houdon	PROPN
,	,	PUNCTclause
qui	qui	PRON
semblait	sembler	VERB
ne	ne	ADV
pas	pas	ADV
pouvoir	pouvoir	VERB
prononcer	prononcer	VERB
ces	ce	DET
paroles	parole	NOUN
,	,	PUNCTclause
ainsi	ainsi	ADV
votre	votre	DET
fille	fille	NOUN
…	…	PUNCTsent
est	être	AUX
…	…	PUNCTsent
votre	votre	DET
…	…	PUNCTsent
femme	femme	NOUN
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Devant	devant	ADP
Dieu	Dieu	PROPN
,	,	PUNCTclause
elle	elle	PRON
restée	rester	VERB
ma	mon	DET
fille	fille	NOUN
,	,	PUNCTclause
monsieur	monsieur	NOUN
le	le	DET
maréchal	maréchal	NOUN
!	!	PUNCTsent
se	se	PRON
écria	écrier	VERB
vivement	vivement	ADV
le	le	DET
comte	comte	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Traître	traître	NOUN
!	!	PUNCTsent
infâme	infâme	ADJ
!…	!…	PUNCTsent
murmura	murmurer	VERB
le	le	DET
maréchal	maréchal	NOUN
.	.	PUNCTsent
Un	un	DET
être	être	NOUN
que	que	PRON
je	je	PRON
ai	avoir	AUX
tiré	tirer	VERB
de	de	ADP
la	le	DET
boue	boue	NOUN
,	,	PUNCTclause
que	que	PRON
je	je	PRON
ai	avoir	AUX
accablé	accabler	VERB
de	de	ADP
bienfaits	bienfait	NOUN
,	,	PUNCTclause
dont	dont	PRON
je	je	PRON
ai	avoir	AUX
serré	serrer	VERB
loyalement	loyalement	ADV
la	le	DET
main	main	NOUN
pendant	pendant	ADP
vingt	vingt	NUM
années	année	NOUN
,	,	PUNCTclause
le	le	DET
voilà	voilà	ADP
qui	qui	PRON
entre	entrer	VERB
dans	dans	ADP
ma	mon	DET
famille	famille	NOUN
comme	comme	ADP
un	un	DET
honnête homme	honnête homme	NOUN
,	,	PUNCTclause
et	et	CCONJ
qui	qui	PRON
,	,	PUNCTclause
pendant	pendant	ADP
vingt	vingt	NUM
ans	an	NOUN
,	,	PUNCTclause
me	me	PRON
pille	piller	VERB
comme	comme	ADP
un	un	DET
voleur	voleur	NOUN
!	!	PUNCTsent
Misérable	misérable	ADJ
!	!	PUNCTsent
mais	mais	CCONJ
une	un	DET
crainte	crainte	NOUN
,	,	PUNCTclause
un	un	DET
remords	remords	NOUN
ne	ne	ADV
est	être	AUX
donc	donc	ADV
jamais	jamais	ADV
entré	entrer	VERB
dans	dans	ADP
votre	votre	DET
cœur	cœur	NOUN
!	!	PUNCTsent
Votre	votre	DET
âme	âme	NOUN
est	être	AUX
donc	donc	ADV
un	un	DET
bourbier	bourbier	NOUN
fétide	fétide	ADJ
où	où	PRON
l'	le	DET
air	air	NOUN
pur	pur	ADJ
ne	ne	ADV
a	avoir	AUX
jamais	jamais	ADV
pénétré	pénétrer	VERB
!	!	PUNCTsent
Traître	traître	NOUN
!	!	PUNCTsent
voleur	voleur	NOUN
de	de	ADP
mon	mon	DET
bien	bien	NOUN
!	!	PUNCTsent
assassin	assassin	NOUN
de	de	ADP
mon	mon	DET
bonheur	bonheur	NOUN
!…	!…	PUNCTsent
Et	et	CCONJ
la	le	DET
pensée	pensée	NOUN
ne	ne	ADV
vous	vous	PRON
est	être	AUX
pas	pas	ADV
venue	venir	VERB
un	un	DET
moment	moment	NOUN
que	que	SCONJ
je	je	PRON
pouvais	pouvoir	VERB
tout	tout	ADV
apprendre	apprendre	VERB
,	,	PUNCTclause
et	et	CCONJ
que	que	PRON
je	je	PRON
aurais	avoir	VERB
à	à	ADP
vous	vous	PRON
demander	demander	VERB
un	un	DET
terrible	terrible	ADJ
compte	compte	NOUN
de	de	ADP
vos	vos	DET
vingt	vingt	NUM
années	année	NOUN
de	de	ADP
mensonge	mensonge	NOUN
et	et	CCONJ
de	de	ADP
infamie	infamie	NOUN
!	!	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Monsieur	monsieur	NOUN
le	le	DET
maréchal	maréchal	NOUN
…	…	PUNCTsent
bégaya	bégayer	VERB
le	le	DET
comte	comte	NOUN
Rappt	Rappt	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Taisez	taire	VERB
vous	vous	PRON
,	,	PUNCTclause
misérable	misérable	NOUN
!	!	PUNCTsent
dit	dire	VERB
durement	durement	ADV
M.	M.	PROPN
de	de	ADP
Lamothe-Houdon	Lamothe-Houdon	PROPN
,	,	PUNCTclause
et	et	CCONJ
écoutez	écouter	VERB
moi	moi	PRON
jusqu'au bout	jusqu'au bout	ADV
.	.	PUNCTsent
ce	ce	PRON
est	être	AUX
moi	moi	PRON
qui	qui	PRON
vous	vous	PRON
ai	avoir	AUX
appris	apprendre	VERB
à	à	ADP
tenir	tenir	VERB
une	un	DET
épée	épée	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
comte	comte	NOUN
ne	ne	ADV
répondit	répondre	VERB
pas	pas	ADV
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Est	être	AUX
ce	ce	DET
moi	moi	PRON
,	,	PUNCTclause
oui	oui	INTJ
ou	ou	CCONJ
non	non	ADV
?	?	PUNCTsent
demanda	demander	VERB
le	le	DET
vieillard	vieillard	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ce	ce	PRON
est	être	AUX
vous	vous	PRON
,	,	PUNCTclause
monsieur	monsieur	NOUN
le	le	DET
maréchal	maréchal	NOUN
,	,	PUNCTclause
répondit	répondre	VERB
le	le	DET
comte	comte	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Vous	vous	PRON
connaissez	connaître	VERB
donc	donc	ADV
,	,	PUNCTclause
continua	continuer	VERB
le	le	DET
maréchal	maréchal	NOUN
de	de	ADP
un	un	DET
ton	ton	NOUN
bref	bref	ADJ
,	,	PUNCTclause
la	le	DET
façon	façon	NOUN
dont	dont	PRON
je	je	PRON
puis	puis	CCONJ
me	me	PRON
en	en	PRON
servir	servir	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Monsieur	monsieur	NOUN
le	le	DET
maréchal	maréchal	NOUN
…	…	PUNCTsent
interrompit	interrompre	VERB
le	le	DET
comte	comte	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Taisez	taire	VERB
vous	vous	PRON
,	,	PUNCTclause
vous	vous	PRON
dis	dire	VERB
je	je	PRON
!	!	PUNCTsent
—	—	PUNCTclause
Je	je	PRON
suis	être	AUX
donc	donc	ADV
sûr	sûr	ADJ
de	de	ADP
vous	vous	PRON
tuer	tuer	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Vous	vous	PRON
pouvez	pouvoir	VERB
me	me	PRON
tuer	tuer	VERB
tout de suite	tout de suite	ADV
,	,	PUNCTclause
monsieur	monsieur	NOUN
le	le	DET
maréchal	maréchal	NOUN
,	,	PUNCTclause
se	se	PRON
écria	écrier	VERB
le	le	DET
comte	comte	NOUN
Rappt	Rappt	PROPN
;	;	PUNCTclause
car	car	CCONJ
,	,	PUNCTclause
sur	sur	ADP
mon	mon	DET
honneur	honneur	NOUN
,	,	PUNCTclause
je	je	PRON
ne	ne	ADV
me	me	PRON
défendrai	défendre	VERB
pas	pas	ADV
contre	contre	ADP
vous	vous	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Vous	vous	PRON
