# columns = TERM LEMMA POS
# identifier = dumas1859c-02
# creator = Dumas, Alexandre
# created = 1859
# isPartOf = L’île de feu
# title = II. Le docteur Basilius

↵↵↵	↵↵↵	PUNCTstruct
		TOKEN
.	.	PUNCTsent
Le	le	DET
docteur	docteur	NOUN
Basilius	Basilius	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Voyant	voir	VERB
cette	ce	DET
résistance	résistance	NOUN
de	de	ADP
la	le	DET
porte	porte	NOUN
et	et	CCONJ
ce	ce	DET
silence	silence	NOUN
de	de	ADP
la	le	DET
maison	maison	NOUN
,	,	PUNCTclause
Eusèbe	Eusèbe	PROPN
pensa	penser	VERB
que	que	SCONJ
ce	ce	PRON
que	que	PRON
il	il	PRON
avait	avoir	AUX
de	de	ADP
mieux	mieux	ADV
à	à	ADP
faire	faire	VERB
était	être	AUX
de	de	ADP
attendre	attendre	VERB
que	que	SCONJ
le	le	DET
docteur	docteur	NOUN
Basilius	Basilius	PROPN
sortît	sortir	VERB
de	de	ADP
chez	chez	ADP
lui	lui	PRON
,	,	PUNCTclause
ainsi	ainsi	ADV
que	que	SCONJ
il	il	PRON
avait	avoir	AUX
promis	promettre	VERB
de	de	ADP
le	le	DET
faire	faire	AUX
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Alors	alors	ADV
il	il	PRON
se	se	PRON
présenterait	présenter	VERB
au	au	ADP_DET
docteur	docteur	NOUN
et	et	CCONJ
lui	lui	PRON
servirait	servir	VERB
de	de	ADP
guide	guide	NOUN
jusque	jusque	ADP
à	à	ADP
sa	son	DET
maison	maison	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
La	le	DET
tempête	tempête	NOUN
continuait	continuer	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Les	le	DET
mugissements	mugissement	NOUN
de	de	ADP
la	le	DET
mer	mer	NOUN
et	et	CCONJ
les	le	DET
sifflements	sifflement	NOUN
du	du	ADP_DET
vent	vent	NOUN
étaient	être	AUX
toujours	toujours	ADV
les	le	DET
mêmes	même	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
quant à	quant à	ADP
la	le	DET
pluie	pluie	NOUN
,	,	PUNCTclause
elle	elle	PRON
tombait	tomber	VERB
avec	avec	ADP
une	un	DET
telle	tel	PRON
violence	violence	NOUN
que	que	SCONJ
il	il	PRON
semblait	sembler	VERB
que	que	SCONJ
les	le	DET
nuages	nuage	NOUN
fussent	être	VERB
reliés	relier	VERB
à	à	ADP
la	le	DET
terre	terre	NOUN
par	par	ADP
une	un	DET
nappe	nappe	NOUN
de	de	ADP
eau	eau	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Mais	mais	CCONJ
la	le	DET
douleur	douleur	NOUN
de	de	ADP
Eusèbe	Eusèbe	PROPN
était	être	AUX
si	si	ADV
profonde	profond	ADJ
,	,	PUNCTclause
son	son	DET
esprit	esprit	NOUN
était	être	AUX
si	si	SCONJ
loin de	loin de	ADP
ce	ce	DET
qui	qui	PRON
se	se	PRON
passait	passer	VERB
autour de	autour de	ADP
lui	lui	PRON
,	,	PUNCTclause
que	que	SCONJ
il	il	PRON
ne	ne	ADV
songea	songer	VERB
pas	pas	ADV
même	même	ADV
à	à	ADP
se	se	PRON
abriter	abriter	VERB
sous	sous	ADP
les	le	DET
prélarts	prélart	NOUN
et	et	CCONJ
resta	rester	VERB
exposé	exposer	VERB
à	à	ADP
l'	le	DET
ouragan	ouragan	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Au	au	ADP_DET
reste	reste	NOUN
,	,	PUNCTclause
la	le	DET
tempête	tempête	NOUN
des	un	ADP_DET
éléments	élément	NOUN
était	être	AUX
à	à	ADP
la	le	DET
hauteur	hauteur	NOUN
de	de	ADP
celle	celle	PRON
de	de	ADP
son	son	DET
âme	âme	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Il	il	PRON
attendit	attendre	VERB
ainsi	ainsi	ADV
pendant	pendant	ADP
une	un	DET
heure	heure	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Puis	puis	CCONJ
,	,	PUNCTclause
voyant	voir	VERB
que	que	SCONJ
la	le	DET
porte	porte	NOUN
restait	rester	VERB
fermée	fermer	VERB
,	,	PUNCTclause
que	que	SCONJ
aucun	aucun	DET
bruit	bruit	NOUN
dans	dans	ADP
l'	le	DET
intérieur	intérieur	NOUN
de	de	ADP
la	le	DET
maison	maison	NOUN
ne	ne	ADV
indiquait	indiquer	VERB
que	que	SCONJ
le	le	DET
docteur	docteur	NOUN
se	se	PRON
apprêtât	apprêter	VERB
à	à	ADP
tenir	tenir	VERB
sa	son	DET
promesse	promesse	NOUN
,	,	PUNCTclause
il	il	PRON
se	se	PRON
mit	mettre	VERB
à	à	ADP
heurter	heurter	VERB
de nouveau	de nouveau	ADV
,	,	PUNCTclause
non	non	ADV
plus	plus	ADV
avec	avec	ADP
désespoir	désespoir	NOUN
,	,	PUNCTclause
mais	mais	CCONJ
avec	avec	ADP
rage	rage	NOUN
.	.	PUNCTsent
Tout	tout	PRON
fut	être	AUX
inutile	inutile	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Alors	alors	ADV
,	,	PUNCTclause
découragé	décourager	VERB
,	,	PUNCTclause
anéanti	anéantir	VERB
,	,	PUNCTclause
convaincu	convaincre	VERB
que	que	SCONJ
la	le	DET
jeune	jeune	ADJ
Hollandaise	Hollandaise	PROPN
avait	avoir	AUX
abusé	abuser	VERB
de	de	ADP
sa	son	DET
crédulité	crédulité	NOUN
et	et	CCONJ
que	que	SCONJ
le	le	DET
docteur	docteur	NOUN
Basilius	Basilius	PROPN
ne	ne	ADV
voulait	vouloir	VERB
pas	pas	ADV
se	se	PRON
déranger	déranger	VERB
pour	pour	ADP
lui	lui	PRON
,	,	PUNCTclause
il	il	PRON
reprit	reprendre	VERB
tristement	tristement	ADV
la	le	DET
petite	petit	ADJ
chaussée	chaussée	NOUN
qui	qui	PRON
conduisait	conduire	VERB
au	au	ADP_DET
quai	quai	NOUN
et	et	CCONJ
,	,	PUNCTclause
par	par	ADP
la	le	DET
pente	pente	NOUN
que	que	PRON
nous	nous	PRON
lui	lui	PRON
avons	avoir	AUX
vu	voir	VERB
descendre	descendre	VERB
,	,	PUNCTclause
remonta	remonter	VERB
vers	vers	ADP
la	le	DET
ville	ville	NOUN
haute	haut	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
À	à	ADP
moitié	moitié	NOUN
chemin	chemin	NOUN
,	,	PUNCTclause
il	il	PRON
se	se	PRON
arrêta	arrêter	VERB
pour	pour	ADP
jeter	jeter	VERB
un	un	DET
dernier	dernier	ADJ
regard	regard	NOUN
sur	sur	ADP
la	le	DET
route	route	NOUN
que	que	SCONJ
il	il	PRON
venait	venir	VERB
de	de	ADP
suivre	suivre	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Aussi	aussi	ADV
loin	loin	ADV
que	que	SCONJ
sa	son	DET
vue	vue	NOUN
pouvait	pouvoir	VERB
se	se	PRON
étendre	étendre	VERB
dans	dans	ADP
l'	le	DET
obscurité	obscurité	NOUN
et	et	CCONJ
à travers	à travers	ADP
le	le	DET
déluge	déluge	NOUN
qui	qui	PRON
se	se	PRON
précipitait	précipiter	VERB
du	du	ADP_DET
ciel	ciel	NOUN
sur	sur	ADP
la	le	DET
terre	terre	NOUN
,	,	PUNCTclause
la	le	DET
route	route	NOUN
était	être	AUX
déserte	désert	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ho	ho	INTJ
!	!	PUNCTsent
le	le	DET
misérable	misérable	NOUN
!	!	PUNCTsent
se	se	PRON
écriait	écrier	VERB
il	il	PRON
,	,	PUNCTclause
les	le	DET
bras	bras	NOUN
étendus	étendre	VERB
comme	comme	SCONJ
pour	pour	ADP
appeler	appeler	VERB
la	le	DET
malédiction	malédiction	NOUN
de	de	ADP
Dieu	Dieu	PROPN
sur	sur	ADP
lui	lui	PRON
.	.	PUNCTsent
Il	il	PRON
a	avoir	VERB
dans	dans	ADP
les	le	DET
mains	main	NOUN
le	le	DET
salut	salut	NOUN
de	de	ADP
un	un	PRON
de	de	ADP
ses	son	DET
semblables	semblable	ADJ
,	,	PUNCTclause
et	et	CCONJ
il	il	PRON
tient	tenir	VERB
ses	son	DET
mains	main	NOUN
fermées	fermer	VERB
parce que	parce que	SCONJ
l'on	on	PRON
ne	ne	ADV
a	avoir	AUX
pas	pas	ADV
de	de	ADP
or	or	NOUN
à	à	ADP
lui	lui	PRON
donner	donner	VERB
en	en	ADP
échange	échange	NOUN
de	de	ADP
une	un	DET
vie	vie	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Puis	puis	CCONJ
,	,	PUNCTclause
portant	porter	VERB
son	son	DET
regard	regard	NOUN
sur	sur	ADP
tous	tout	ADJ
les	le	DET
points	point	NOUN
de	de	ADP
l'	le	DET
horizon	horizon	NOUN
:	:	PUNCTclause
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Pauvre	pauvre	NOUN
Esther	Esther	PROPN
!	!	PUNCTsent
ajouta	ajouter	VERB
il	il	PRON
,	,	PUNCTclause
es	être	AUX
tu	tu	PRON
donc	donc	ADV
condamnée	condamner	VERB
,	,	PUNCTclause
et	et	CCONJ
ne	ne	ADV
