# columns = TERM LEMMA POS
# identifier = dumas1865-102
# creator = Dumas, Alexandre
# created = 1865
# isPartOf = La San Felice
# title = CII. Où le roi recouvre enfin l’appétit.

↵↵↵	↵↵↵	PUNCTstruct
		TOKEN
.	.	PUNCTsent
Où	où	PRON
le	le	DET
roi	roi	NOUN
recouvre	recouvrir	VERB
enfin	enfin	ADV
l'	le	DET
appétit	appétit	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Les	le	DET
scènes	scène	NOUN
qui	qui	PRON
se	se	PRON
étaient	être	AUX
passées	passer	VERB
sur	sur	ADP
le	le	DET
pont	pont	NOUN
et	et	CCONJ
que	que	SCONJ
nous	nous	PRON
avons	avoir	AUX
essayé	essayer	VERB
de	de	ADP
décrire	décrire	VERB
,	,	PUNCTclause
avaient	avoir	AUX
eu	avoir	VERB
,	,	PUNCTclause
comme	comme	SCONJ
on	on	PRON
le	le:PRON	PRON
comprend	comprendre	VERB
bien	bien	ADV
,	,	PUNCTclause
leur	leur	DET
contrepartie	contrepartie	NOUN
dans	dans	ADP
la	le	DET
grande	grand	ADJ
salle	salle	NOUN
.	.	PUNCTsent
Le	le	DET
mouvement	mouvement	NOUN
extraordinaire	extraordinaire	ADJ
du	du	ADP_DET
vaisseau	vaisseau	NOUN
,	,	PUNCTclause
le	le	DET
sifflement	sifflement	NOUN
de	de	ADP
la	le	DET
tempête	tempête	NOUN
,	,	PUNCTclause
les	le	DET
éclats	éclat	NOUN
du	du	ADP_DET
tonnerre	tonnerre	NOUN
,	,	PUNCTclause
les	le	DET
manœuvres	manœuvre	NOUN
précipitées	précipiter	VERB
,	,	PUNCTclause
les	le	DET
demandes	demande	NOUN
de	de	ADP
Nelson	Nelson	PROPN
,	,	PUNCTclause
les	le	DET
réponses	réponse	NOUN
de	de	ADP
Henry	Henry	PROPN
,	,	PUNCTclause
rien	rien	PRON
ne	ne	ADV
avait	avoir	AUX
été	être	AUX
perdu	perdre	VERB
pour	pour	ADP
les	le	DET
illustres	illustre	ADJ
fugitifs	fugitif	NOUN
.	.	PUNCTsent
Mais	mais	CCONJ
ce	ce	PRON
était	être	AUX
surtout	surtout	ADV
au moment où	au moment où	ADP
,	,	PUNCTclause
sortant	sortir	VERB
des	un	DET
récifs	récif	NOUN
,	,	PUNCTclause
le	le	DET
vaisseau	vaisseau	NOUN
avait	avoir	AUX
reçu	recevoir	VERB
,	,	PUNCTclause
par	par	ADP
le	le	DET
travers	travers	NOUN
,	,	PUNCTclause
le	le	DET
terrible	terrible	ADJ
coups de vent	coups de vent	NOUN
qui	qui	PRON
l'	le:PRON	PRON
avait	avoir	AUX
courbé	courber	VERB
sous	sous	ADP
lui	lui	PRON
,	,	PUNCTclause
que	que	SCONJ
le	le	DET
roi	roi	NOUN
,	,	PUNCTclause
la	le	DET
reine	reine	NOUN
et	et	CCONJ
Emma	Emma	PROPN
Lyonna	Lyonna	PROPN
elle-même	elle-même	PRON
avaient	avoir	AUX
cru	croire	VERB
leur	leur	DET
dernière	dernier	ADJ
heure	heure	NOUN
arrivée	arriver	VERB
.	.	PUNCTsent
l'	le	DET
inclinaison	inclinaison	NOUN
du	du	ADP_DET
Van-Guard	Van-Guard	PROPN
avait	avoir	AUX
été	être	AUX
telle	tel	DET
,	,	PUNCTclause
en effet	en effet	ADV
,	,	PUNCTclause
que	que	SCONJ
les	le	DET
boulets	boulet	NOUN
se	se	PRON
étaient	être	AUX
échappés	échapper	VERB
de	de	ADP
leurs	leur	DET
cases	case	NOUN
,	,	PUNCTclause
installées	installer	VERB
dans	dans	ADP
les	le	DET
intervalles	intervalle	NOUN
des	un	ADP_DET
canons	canon	NOUN
,	,	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
roulant	rouler	VERB
sur	sur	ADP
la	le	DET
pente	pente	NOUN
du	du	ADP_DET
vaisseau	vaisseau	NOUN
avec	avec	ADP
un	un	DET
bruit	bruit	NOUN
terrible	terrible	ADJ
,	,	PUNCTclause
avaient	avoir	AUX
imprimé	imprimer	VERB
,	,	PUNCTclause
par	par	ADP
ce	ce	DET
tonnerre	tonnerre	NOUN
intérieur	intérieur	ADJ
dont	dont	PRON
on	on	PRON
ne	ne	ADV
pouvait	pouvoir	VERB
pas	pas	ADV
se	se	PRON
rendre compte	rendre compte	VERB
,	,	PUNCTclause
une	un	DET
suprême	suprême	ADJ
terreur	terreur	NOUN
aux	au	ADP_DET
passagers	passager	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
quant à	quant à	ADP
pauvre	pauvre	ADJ
petit	petit	ADJ
prince	prince	NOUN
,	,	PUNCTclause
nous	nous	PRON
avons	avoir	AUX
vu	voir	VERB
ce	ce	DET
que	que	SCONJ
il	il	PRON
avait	avoir	AUX
souffert	souffrir	VERB
pendant	pendant	ADP
la	le	DET
traversée	traversée	NOUN
.	.	PUNCTsent
Le	le	DET
mal	mal	NOUN
de	de	ADP
mer	mer	NOUN
était	être	AUX
arrivé	arriver	VERB
chez	chez	ADP
lui	lui	PRON
à	à	ADP
son	son	DET
paroxysme	paroxysme	NOUN
.	.	PUNCTsent
À	à	ADP
chaque	chaque	DET
mouvement	mouvement	NOUN
violent	violent	ADJ
du	du	ADP_DET
vaisseau	vaisseau	NOUN
,	,	PUNCTclause
il	il	PRON
était	être	AUX
saisi	saisir	VERB
de	de	ADP
effroyables	effroyable	ADJ
convulsions	convulsion	NOUN
,	,	PUNCTclause
d'autant	d'autant	ADV
plus	plus	ADV
douloureuses	douloureux	ADJ
,	,	PUNCTclause
que	que	PRON
,	,	PUNCTclause
depuis	depuis	ADP
le	le	DET
matin	matin	NOUN
,	,	PUNCTclause
il	il	PRON
refusait	refuser	VERB
de	de	ADP
rien	rien	PRON
prendre	prendre	VERB
,	,	PUNCTclause
même	même	ADV
de	de	ADP
la	le	DET
main	main	NOUN
de	de	ADP
Emma	Emma	PROPN
,	,	PUNCTclause
quoique	quoique	SCONJ
ce	ce	PRON
fût	être	AUX
sur	sur	ADP
ses	son	DET
genoux	genou	NOUN
que	que	SCONJ
il	il	PRON
se	se	PRON
tint	tenir	VERB
constamment	constamment	ADV
,	,	PUNCTclause
ne	ne	ADV
mangeant	manger	VERB
rien	rien	PRON
depuis	depuis	ADP
deux	deux	NUM
jours	jour	NOUN
,	,	PUNCTclause
passant	passer	VERB
successivement	successivement	ADV
des	un	ADP_DET
vomissements	vomissement	NOUN
aux	au	ADP_DET
convulsions	convulsion	NOUN
et	et	CCONJ
des	un	DET
convulsions	convulsion	NOUN
aux	au	ADP_DET
vomissements	vomissement	NOUN
.	.	PUNCTsent
Il	il	PRON
avait	avoir	AUX
,	,	PUNCTclause
lors de	lors de	ADP
l'	le	DET
inclinaison	inclinaison	NOUN
du	du	ADP_DET
Van-Guard	Van-Guard	PROPN
,	,	PUNCTclause
éprouvé	éprouver	VERB
une	un	DET
si	si	SCONJ
forte	fort	ADJ
secousse	secousse	NOUN
et	et	CCONJ
ressenti	ressentir	VERB
une	un	DET
si	si	SCONJ
grande	grand	ADJ
terreur	terreur	NOUN
,	,	PUNCTclause
que	que	SCONJ
un	un	DET
vaisseau	vaisseau	NOUN
se	se	PRON
était	être	AUX
brisé	briser	VERB
dans	dans	ADP
sa	son	DET
poitrine	poitrine	NOUN
,	,	PUNCTclause
que	que	SCONJ
le	le	DET
sang	sang	NOUN
se	se	PRON
était	être	AUX
échappé	échapper	VERB
de	de	ADP
sa	son	DET
bouche	bouche	NOUN
et	et	CCONJ
que	que	PRON
après	après	ADP
une	un	DET
courte	court	ADJ
agonie	agonie	NOUN
,	,	PUNCTclause
il	il	PRON
avait	avoir	AUX
rendu	rendre	VERB
le	le	DET
dernier soupir	dernier soupir	NOUN
sur	sur	ADP
le	le	DET
sein	sein	NOUN
de	de	ADP
Emma	Emma	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
l'	le	DET
enfant	enfant	NOUN
était	être	AUX
si	si	ADV
faible	faible	ADJ
,	,	PUNCTclause
et	et	CCONJ
le	le	DET
passage	passage	NOUN
de	de	ADP
la	le	DET
vie	vie	NOUN
à	à	ADP
la	le	DET
mort	mort	NOUN
avait	avoir	AUX
été	être	AUX
si	si	ADV
facile	facile	ADJ
chez	chez	ADP
lui	lui	PRON
,	,	PUNCTclause
que	que	SCONJ
Emma	Emma	PROPN
,	,	PUNCTclause
tout	tout	ADV
en	en	ADP
se	se	PRON
effrayant	effrayer	VERB
de	de	ADP
cette	ce	DET
émission	émission	NOUN
de	de	ADP
sang	sang	NOUN
et	et	CCONJ
des	un	DET
mouvements	mouvement	NOUN
convulsifs	convulsif	ADJ
qui	qui	PRON
l'	le:PRON	PRON
avaient	avoir	AUX
suivie	suivre	VERB
,	,	PUNCTclause
avait	avoir	AUX
pris	prendre	VERB
son	son	DET
immobilité	immobilité	NOUN
pour	pour	ADP
le	le	DET
repos	repos	NOUN
qui	qui	PRON
suit	suivre	VERB
une	un	DET
crise	crise	NOUN
et	et	CCONJ
que	que	SCONJ
ce	ce	DET
ne	ne	ADV
était	être	AUX
que	que	SCONJ
au bout de	au bout de	ADP
quelques	quelque	DET
instants	instant	NOUN
que	que	SCONJ
,	,	PUNCTclause
reconnaissant	reconnaître	VERB
la	le	DET
véritable	véritable	ADJ
cause	cause	NOUN
de	de	ADP
cette	ce	DET
immobilité	immobilité	NOUN
,	,	PUNCTclause
elle	elle	PRON
se	se	PRON
était	être	AUX
,	,	PUNCTclause
dans	dans	ADP
un	un	DET
mouvement	mouvement	NOUN
de	de	ADP
suprême	suprême	ADJ
effroi	effroi	NOUN
,	,	PUNCTclause
écriée	écrier	VERB
sans	sans	ADP
ménagement	ménagement	NOUN
aucun	aucun	DET
,	,	PUNCTclause
soit	soit	ADV
que	que	SCONJ
elle	elle	PRON
connût	connaître	VERB
la	le	DET
philosophie	philosophie	NOUN
de	de	ADP
la	le	DET
reine	reine	NOUN
,	,	PUNCTclause
soit	soit	CCONJ
que	que	SCONJ
sa	son	DET
terreur	terreur	NOUN
dédaignât	dédaigner	VERB
les	le	DET
ménagements	ménagement	NOUN
:	:	PUNCTclause
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
grands dieux	grands dieux	NOUN
,	,	PUNCTclause
madame	madame	NOUN
,	,	PUNCTclause
le	le	DET
