# columns = TERM LEMMA POS
# identifier = dumas1865-112
# creator = Dumas, Alexandre
# created = 1865
# isPartOf = La San Felice
# title = CXII. Michele le Sage.

↵↵↵	↵↵↵	PUNCTstruct
Cxii	Cxii	PROPN
.	.	PUNCTsent
Michele	Michele	PROPN
le	le	DET
Sage	Sage	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Qui	qui	PRON
donc	donc	ADV
a	avoir	AUX
dit	dire	VERB
—	—	PUNCTclause
auteur	auteur	NOUN
sacré	sacrer	VERB
ou	ou	CCONJ
profane	profane	ADJ
,	,	PUNCTclause
je	je	PRON
ne	ne	ADV
sais	savoir	VERB
plus	plus	ADV
qui	qui	PRON
et	et	CCONJ
ne	ne	ADV
ai	avoir	AUX
point	point	ADV
le	le	DET
temps	temps	NOUN
de	de	ADP
chercher	chercher	VERB
,	,	PUNCTclause
—	—	PUNCTclause
qui	qui	PRON
donc	donc	ADV
a	avoir	AUX
dit	dire	VERB
:	:	PUNCTclause
«	«	PUNCTsent
l'	le	DET
amour	amour	NOUN
est	être	AUX
puissant	puissant	ADJ
comme	comme	ADP
la	le	DET
mort	mort	NOUN
?	?	PUNCTsent
»	»	PUNCTclause
↵↵	↵↵	PUNCTstruct
Ceci	ceci	PRON
,	,	PUNCTclause
qui	qui	PRON
a	avoir	VERB
l'	le	DET
air	air	NOUN
de	de	ADP
une	un	DET
pensée	pensée	NOUN
,	,	PUNCTclause
ne	ne	ADV
est	être	AUX
que	que	ADV
un	un	DET
fait	fait	NOUN
,	,	PUNCTclause
et	et	CCONJ
un	un	DET
fait	fait	NOUN
inexact	inexact	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
César	César	PROPN
dit	dire	VERB
,	,	PUNCTclause
dans	dans	ADP
Shakspeare	Shakspeare	PROPN
,	,	PUNCTclause
ou	ou	CCONJ
plutôt	plutôt	ADV
Shakspeare	Shakspeare	PROPN
fait	faire	AUX
dire	dire	VERB
à	à	ADP
César	César	PROPN
:	:	PUNCTclause
«	«	PUNCTsent
Le	le	DET
danger	danger	NOUN
et	et	CCONJ
moi	moi	PRON
sommes	être	AUX
deux	deux	NUM
lions	lion	NOUN
nés	naître	VERB
le	le	DET
même	même	ADJ
jour	jour	NOUN
,	,	PUNCTclause
et	et	CCONJ
je	je	PRON
suis	être	AUX
l'	le	DET
aîné	aîné	NOUN
.	.	PUNCTsent
»	»	PUNCTclause
↵↵	↵↵	PUNCTstruct
l'	le	DET
amour	amour	NOUN
et	et	CCONJ
la	le	DET
mort	mort	NOUN
aussi	aussi	ADV
sont	être	AUX
nés	naître	VERB
le	le	DET
même	même	ADJ
jour	jour	NOUN
,	,	PUNCTclause
le	le	DET
jour	jour	NOUN
de	de	ADP
la	le	DET
création	création	NOUN
;	;	PUNCTclause
seulement	seulement	ADV
,	,	PUNCTclause
l'	le	DET
amour	amour	NOUN
est	être	AUX
l'	le	DET
aîné	aîné	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
On	on	PRON
a	avoir	AUX
aimé	aimer	VERB
