# columns = TERM LEMMA POS
# identifier = dumas1865-171
# creator = Dumas, Alexandre
# created = 1865
# isPartOf = La San Felice
# title = CLXX. La porte Sant’Agostino-Alla-Zecca

↵↵↵	↵↵↵	PUNCTstruct
Clxx	Clxx	PROPN
.	.	PUNCTsent
La	le	DET
porte	porte	NOUN
Sant'Agostino-Alla-Zecca	Sant'Agostino-Alla-Zecca	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Vers	vers	ADP
trois	trois	NUM
heures	heure	NOUN
et	et	CCONJ
demie	demi	NOUN
,	,	PUNCTclause
les	le	DET
condamnés	condamné	NOUN
entendirent	entendre	VERB
se	se	PRON
ouvrir	ouvrir	VERB
la	le	DET
porte	porte	NOUN
extérieure	extérieur	ADJ
du	du	ADP_DET
cabinet	cabinet	NOUN
des	un	ADP_DET
bianchi	bianchi	NOUN
,	,	PUNCTclause
dont	dont	PRON
ils	ils	PRON
étaient	être	AUX
séparés	séparer	VERB
par	par	ADP
une	un	DET
forte	fort	ADJ
cloison	cloison	NOUN
et	et	CCONJ
par	par	ADP
une	un	DET
porte	porte	NOUN
garnie	garni	ADJ
de	de	ADP
bandes	bande	NOUN
de	de	ADP
fer	fer	NOUN
,	,	PUNCTclause
de	de	ADP
cadenas	cadenas	NOUN
et	et	CCONJ
de	de	ADP
verrous	verrou	NOUN
;	;	PUNCTclause
puis	puis	CCONJ
,	,	PUNCTclause
un	un	DET
bruit	bruit	NOUN
de	de	ADP
pas	pas	NOUN
et	et	CCONJ
le	le	DET
chuchotement	chuchotement	NOUN
de	de	ADP
plusieurs	plusieurs	DET
voix	voix	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Cirillo	Cirillo	PROPN
tira	tirer	VERB
sa	son	DET
montre	montre	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Trois	Trois	NUM
heures	heure	NOUN
et	et	CCONJ
demie	demi	NOUN
,	,	PUNCTclause
dit	dire	VERB
il	il	PRON
:	:	PUNCTclause
mon	mon	DET
brave	brave	ADJ
homme	homme	NOUN
de	de	ADP
geôlier	geôlier	NOUN
ne	ne	ADV
se	se	PRON
est	être	AUX
pas	pas	ADV
trompé	tromper	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Michele	Michele	PROPN
!	!	PUNCTsent
dit	dire	VERB
Salvato	Salvato	PROPN
au	au	ADP_DET
lazzarone	lazzarone	NOUN
,	,	PUNCTclause
qui	qui	PRON
,	,	PUNCTclause
depuis	depuis	ADP
que	que	SCONJ
il	il	PRON
avait	avoir	AUX
communié	communier	VERB
,	,	PUNCTclause
se	se	PRON
tenait	tenir	VERB
absorbé	absorber	VERB
dans	dans	ADP
sa	son	DET
prière	prière	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Michele	Michele	PROPN
tressaillit	tressaillir	VERB
,	,	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
sur	sur	ADP
un	un	DET
signe	signe	NOUN
de	de	ADP
Salvato	Salvato	PROPN
,	,	PUNCTclause
se	se	PRON
approcha	approcher	VERB
de	de	ADP
lui	lui	PRON
autant	autant	ADV
que	que	SCONJ
le	le	DET
permettait	permettre	VERB
la	le	DET
longueur	longueur	NOUN
de	de	ADP
sa	son	DET
chaîne	chaîne	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Excellence	excellence	NOUN
?	?	PUNCTsent
