# columns = TERM LEMMA POS
# identifier = dumas1866-58
# creator = Dumas, Alexandre
# created = 1865
# isPartOf = Le Comte de Moret
# title = IX. Le journal de M. De Bassompierre.

↵↵↵	↵↵↵	PUNCTstruct
		TOKEN
.	.	PUNCTsent
Le	le	DET
journal	journal	NOUN
de	de	ADP
M.	M.	NOUN
De	de	ADP
Bassompierre	Bassompierre	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Comme	comme	ADP
l'	le	DET
avait	avoir	AUX
appris	apprendre	VERB
le	le	DET
duc	duc	NOUN
de	de	ADP
Mantoue	Mantoue	PROPN
par l'intermédiaire de	par l'intermédiaire de	ADP
l'	le	DET
ambassadeur	ambassadeur	NOUN
,	,	PUNCTclause
le	le	DET
cardinal	cardinal	NOUN
et	et	CCONJ
le	le	DET
roi	roi	NOUN
avaient	avoir	AUX
quitté	quitter	VERB
Paris	Paris	PROPN
le	le	DET
4	4	NUM
janvier	janvier	NOUN
,	,	PUNCTclause
et	et	CCONJ
le	le	DET
jeudi	jeudi	NOUN
15	15	NUM
ils	ils	PRON
avaient	avoir	AUX
dîné	dîner	VERB
à	à	ADP
Moulins	Moulins	PROPN
et	et	CCONJ
soupé	souper	VERB
à	à	ADP
Varenne	Varenne	PROPN
,	,	PUNCTclause
que	que	SCONJ
il	il	PRON
ne	ne	ADV
faut	falloir	VERB
pas	pas	ADV
confondre	confondre	VERB
avec	avec	ADP
cet	ce	DET
autre	autre	ADJ
Varennes	Varennes	PROPN
du	du	ADP_DET
département	département	NOUN
de	de	ADP
la	le	DET
Meuse	Meuse	PROPN
,	,	PUNCTclause
que	que	SCONJ
l'	le	DET
arrestation	arrestation	NOUN
du	du	ADP_DET
roi	roi	NOUN
a	avoir	AUX
rendu	rendre	VERB
célèbre	célèbre	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Pour	pour	ADP
toute	toute	DET
entrée	entrée	NOUN
en	en	ADP
campagne	campagne	NOUN
,	,	PUNCTclause
nous	nous	PRON
ne	ne	ADV
avons	avoir	VERB
de	de	ADP
guide	guide	NOUN
fidèle	fidèle	ADJ
que	que	SCONJ
le	le	DET
journal	journal	NOUN
de	de	ADP
M.	M.	NOUN
de	de	ADP
Bassompierre	Bassompierre	PROPN
;	;	PUNCTclause
aussi	aussi	ADV
est	être	AUX
ce	ce	DET
lui	lui	PRON
que	que	SCONJ
nous	nous	PRON
allons	aller	VERB
suivre	suivre	VERB
dans	dans	ADP
la	le	DET
partie	partie	NOUN
historique	historique	ADJ
de	de	ADP
notre	notre	DET
récit	récit	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Lorsque	lorsque	SCONJ
le	le	DET
roi	roi	NOUN
,	,	PUNCTclause
après	après	ADP
le	le	DET
pacte	pacte	NOUN
fait	faire	VERB
avec	avec	ADP
le	le	DET
cardinal	cardinal	NOUN
,	,	PUNCTclause
sortit	sortir	VERB
du	du	ADP_DET
cabinet	cabinet	NOUN
de	de	ADP
Son	son	DET
Éminence	Éminence	NOUN
,	,	PUNCTclause
il	il	PRON
rencontra	rencontrer	VERB
dans	dans	ADP
l'	le	DET
antichambre	antichambre	NOUN
M.	M.	PROPN
Bassompierre	Bassompierre	PROPN
,	,	PUNCTclause
qui	qui	PRON
était	être	AUX
allé	aller	VERB
pour	pour	ADP
faire	faire	VERB
sa	son	DET
cour	cour	NOUN
au	au	ADP_DET
cardinal	cardinal	NOUN
en	en	ADP
faveur	faveur	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
En	en	ADP
l'	le	DET
apercevant	apercevoir	VERB
,	,	PUNCTclause
le	le	DET
roi	roi	NOUN
se	se	PRON
arrêta	arrêter	VERB
et	et	CCONJ
se	se	PRON
retournant	retourner	VERB
vers	vers	ADP
Richelieu	Richelieu	PROPN
,	,	PUNCTclause
qui	qui	PRON
l'	le:PRON	PRON
accompagnait	accompagner	VERB
jusque	jusque	ADP
à	à	ADP
la	le	DET
porte	porte	NOUN
de	de	ADP
la	le	DET
rue	rue	NOUN
:	:	PUNCTclause
↵↵	↵↵	PUNCTstruct
«	«	PUNCTclause
hé	hé	INTJ
!	!	PUNCTsent
tenez	tenir	VERB
,	,	PUNCTclause
monsieur	monsieur	NOUN
le	le	DET
cardinal	cardinal	NOUN
,	,	PUNCTclause
en	en	ADP
voici	voici	ADP
un	un	DET
qui	qui	PRON
nous	nous	PRON
accompagnera	accompagner	VERB
à coup sûr	à coup sûr	ADV
et	et	CCONJ
qui	qui	PRON
me	me	PRON
servira	servir	VERB
bien	bien	ADV
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
cardinal	cardinal	NOUN
sortit	sortir	VERB
et	et	CCONJ
fit	faire	VERB
un	un	DET
geste	geste	NOUN
de	de	ADP
approbation	approbation	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ce	ce	PRON
est	être	AUX
l'	le	DET
habitude	habitude	NOUN
de	de	ADP
M.	M.	NOUN
le	le	DET
maréchal	maréchal	NOUN
,	,	PUNCTclause
dit	dire	VERB
il	il	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Que	que	SCONJ
Votre	votre	DET
Majesté	Majesté	PROPN
me	me	PRON
excuse	excuser	VERB
de	de	ADP
manquer	manquer	VERB
aux	au	ADP_DET
lois	loi	NOUN
de	de	ADP
l'	le	DET
étiquette	étiquette	NOUN
en	en	ADP
l'	le	DET
interrogeant	interroger	VERB
;	;	PUNCTclause
mais	mais	CCONJ
où	où	PRON
la	le	DET
suivrai	suivre	VERB
je	je	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
En	en	PRON
Italie	Italie	PROPN
,	,	PUNCTclause
dit	dire	VERB
le	le	DET
roi	roi	NOUN
,	,	PUNCTclause
où	où	PRON
je	je	PRON
vais	aller	VERB
en	en	ADP
personne	personne	NOUN
pour	pour	ADP
faire	faire	AUX
lever	lever	VERB
le	le	DET
siège	siège	NOUN
de	de	ADP
Cazal	Cazal	PROPN
.	.	PUNCTsent
Apprêtez	apprêter	VERB
vous	vous	PRON
donc	donc	ADV
à	à	ADP
partir	partir	VERB
,	,	PUNCTclause
monsieur	monsieur	NOUN
le	le	DET
maréchal	maréchal	NOUN
;	;	PUNCTclause
je	je	PRON
prendrai	prendre	VERB
avec	avec	ADP
vous	vous	PRON
Créqui	Créqui	PROPN
,	,	PUNCTclause
qui	qui	PRON
connaît	connaître	VERB
ces	ce	DET
pays	pays	NOUN
,	,	PUNCTclause
et	et	CCONJ
je	je	PRON
espère	espérer	VERB
que	que	SCONJ
nous	nous	PRON
ferons	faire	VERB
parler	parler	VERB
de	de	ADP
nous	nous	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Sire	sire	NOUN
,	,	PUNCTclause
répondit	répondre	VERB
Bassompierre	Bassompierre	PROPN
en	en	ADP
se	se	PRON
inclinant	incliner	VERB
,	,	PUNCTclause
je	je	PRON
suis	être	AUX
votre	votre	DET
serviteur	serviteur	NOUN
et	et	CCONJ
vous	vous	PRON
suivrai	suivre	VERB
au	au	ADP_DET
bout	bout	NOUN
du	du	ADP_DET
monde	monde	NOUN
,	,	PUNCTclause
et	et	CCONJ
même	même	ADV
dans	dans	ADP
la	le	DET
lune	lune	NOUN
,	,	PUNCTclause
si	si	SCONJ
il	il	PRON
vous	vous	PRON
plaît	plaire	VERB
de	de	ADP
y	y	PRON
monter	monter	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Nous	nous	PRON
ne	ne	ADV
irons	aller	VERB
ni	ni	CCONJ
si	si	SCONJ
loin	loin	ADV
,	,	PUNCTclause
ni	ni	CCONJ
si	si	SCONJ
haut	haut	ADJ
,	,	PUNCTclause
monsieur	monsieur	NOUN
le	le	DET
maréchal	maréchal	NOUN
.	.	PUNCTsent
En	en	ADP
tout	tout	PRON
cas	cas	NOUN
,	,	PUNCTclause
le	le	DET
rendez-vous	rendez-vous	NOUN
est	être	AUX
à	à	ADP
Grenoble	Grenoble	PROPN
;	;	PUNCTclause
si	si	SCONJ
quelque chose	quelque chose	PRON
vous	vous	PRON
fait	faire	VERB
faute	faute	NOUN
pour	pour	ADP
votre	votre	DET
entrée	entrée	NOUN
en	en	ADP
campagne	campagne	NOUN
,	,	PUNCTclause
adressez	adresser	VERB
vous	vous	PRON
à	à	ADP
M.	M.	NOUN
le	le	DET
cardinal	cardinal	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Sire	sire	NOUN
,	,	PUNCTclause
dit	dire	VERB
Bassompierre	Bassompierre	PROPN
,	,	PUNCTclause
avec	avec	ADP
l'	le	DET
aide	aide	NOUN
de	de	ADP
Dieu	Dieu	PROPN
,	,	PUNCTclause
rien	rien	PRON
ne	ne	ADV
me	me	PRON
manquera	manquer	VERB
,	,	PUNCTclause
surtout	surtout	ADV
si	si	SCONJ
Votre	votre	DET
Majesté	Majesté	NOUN
donne	donner	VERB
l'	le	DET
ordre	ordre	NOUN
à	à	ADP
ce	ce	DET
vieux	vieux	ADJ
coquin	coquin	NOUN
de	de	ADP
La	le	DET
Vieuville	Vieuville	PROPN
de	de	ADP
me	me	PRON
payer	payer	VERB
ce	ce	DET
qui	qui	PRON
me	me	PRON
est	être	AUX
dû	devoir	VERB
comme	comme	ADP
colonel	colonel	NOUN
général	général	ADJ
des	un	ADP_DET
Suisses	Suisses	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
roi	roi	NOUN
se	se	PRON
mit	mettre	VERB
à	à	ADP
rire	rire	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Si	si	SCONJ
La	le	DET
Vieuville	Vieuville	PROPN
ne	ne	ADV
vous	vous	PRON
paie	payer	VERB
pas	pas	ADV
,	,	PUNCTclause
dit	dire	VERB
il	il	PRON
,	,	PUNCTclause
voici	voici	ADP
M.	M.	NOUN
le	le	DET
cardinal	cardinal	NOUN
qui	qui	PRON
vous	vous	PRON
paiera	payer	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
