# columns = TERM LEMMA POS
# identifier = dumas1868-016
# creator = Dumas, Alexandre
# created = 1868
# isPartOf = Les Blancs et les Bleus
# title = XVI. Le bonnet de police

↵↵↵	↵↵↵	PUNCTstruct
XVI	XVI	NUM
.	.	PUNCTsent
Le	le	DET
bonnet	bonnet	NOUN
de	de	ADP
police	police	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Charles	Charles	PROPN
regarda	regarder	VERB
l'	le	DET
émigré	émigré	NOUN
avec	avec	ADP
un	un	DET
étonnement	étonnement	NOUN
qui	qui	PRON
allait	aller	VERB
jusque	jusque	ADP
à	à	ADP
la	le	DET
stupéfaction	stupéfaction	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Comment	comment	ADV
!	!	PUNCTsent
cet	ce	DET
officier	officier	NOUN
si	si	ADV
jeune	jeune	ADJ
,	,	PUNCTclause
si	si	SCONJ
beau	beau	ADJ
,	,	PUNCTclause
si	si	ADV
calme	calme	ADJ
,	,	PUNCTclause
allait	aller	VERB
mourir	mourir	VERB
!	!	PUNCTsent
↵↵	↵↵	PUNCTstruct
il y a	il y a	VERB
donc	donc	ADV
des	un	DET
hommes	homme	NOUN
qui	qui	PRON
allaient	aller	VERB
à	à	ADP
la	le	DET
mort	mort	NOUN
en	en	ADP
riant	rire	VERB
!	!	PUNCTsent
↵↵	↵↵	PUNCTstruct
Il	il	PRON
ne	ne	ADV
avait	avoir	AUX
jamais	jamais	ADV
vu	voir	VERB
que	que	SCONJ
un	un	DET
homme	homme	NOUN
se	se	PRON
croyant	croire	VERB
près de	près de	ADP
mourir	mourir	VERB
:	:	PUNCTclause
ce	ce	PRON
était	être	AUX
Schneider	Schneider	PROPN
,	,	PUNCTclause
lorsque	lorsque	SCONJ
Saint-Just	Saint-Just	PROPN
l'	le:PRON	PRON
avait	avoir	AUX
fait	faire	VERB
attacher	attacher	VERB
à	à	ADP
la	le	DET
guillotine	guillotine	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Il	il	PRON
était	être	AUX
hideux	hideux	ADJ
de	de	ADP
terreur	terreur	NOUN
;	;	PUNCTclause
ses	son	DET
jambes	jambe	NOUN
pliaient	plier	VERB
sous	sous	ADP
lui	lui	PRON
,	,	PUNCTclause
et	et	CCONJ
il	il	PRON
avait	avoir	AUX
fallu	falloir	VERB
le	le	DET
porter	porter	VERB
pour	pour	ADP
lui	lui	PRON
faire	faire	AUX
monter	monter	VERB
les	le	DET
marches	marche	NOUN
de	de	ADP
l'	le	DET
échafaud	échafaud	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
comte	comte	NOUN
de	de	ADP
Sainte-Hermine	Sainte-Hermine	PROPN
,	,	PUNCTclause
au contraire	au contraire	ADV
,	,	PUNCTclause
semblait	sembler	VERB
,	,	PUNCTclause
au moment de	au moment de	ADP
mourir	mourir	VERB
,	,	PUNCTclause
avoir	avoir	VERB
,	,	PUNCTclause
pour	pour	ADP
l'	le	DET
instant	instant	NOUN
suprême	suprême	ADJ
,	,	PUNCTclause
réuni	réunir	VERB
toutes	tout	ADJ
les	le	DET
puissances	puissance	NOUN
de	de	ADP
la	le	DET
vie	vie	NOUN
;	;	PUNCTclause
il	il	PRON
marchait	marcher	VERB
de	de	ADP
un	un	DET
pas	pas	NOUN
léger	léger	ADJ
,	,	PUNCTclause
le	le	DET
rire	rire	NOUN
aux	au	ADP_DET
lèvres	lèvre	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Charles	Charles	PROPN
se	se	PRON
rapprocha	rapprocher	VERB
de	de	ADP
lui	lui	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
