# columns = TERM LEMMA POS
# identifier = sand1834a-85
# creator = Sand, George
# created = 1834
# isPartOf = Jacques
# title = LXXXIV. De Jacques à Sylvia.

↵↵↵	↵↵↵	PUNCTstruct
Lxxxiv	Lxxxiv	PROPN
.	.	PUNCTsent
De	de	ADP
Jacques	Jacques	PROPN
à	à	ADP
Sylvia	Sylvia	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Que	que	SCONJ
veux	vouloir	VERB
tu	tu	PRON
que	que	PRON
je	je	PRON
te	te	PRON
dise	dire	VERB
?	?	PUNCTsent
ce	ce	PRON
Lorrain	Lorrain	PROPN
était	être	AUX
un	un	DET
méchant	méchant	ADJ
homme	homme	NOUN
,	,	PUNCTclause
et	et	CCONJ
je	je	PRON
l'	le:PRON	PRON
ai	avoir	AUX
tué	tuer	VERB
.	.	PUNCTsent
Il	il	PRON
a	avoir	AUX
tiré	tirer	VERB
sur	sur	ADP
moi	moi	PRON
le	le	DET
premier	premier	ADJ
,	,	PUNCTclause
je	je	PRON
l'	le:PRON	PRON
avais	avoir	AUX
provoqué	provoquer	VERB
;	;	PUNCTclause
il	il	PRON
me	me	PRON
a	avoir	AUX
manqué	manquer	VERB
;	;	PUNCTclause
je	je	PRON
savais	savoir	VERB
que	que	SCONJ
je	je	PRON
ne	ne	ADV
avais	avoir	VERB
que	que	ADV
à	à	ADP
vouloir	vouloir	VERB
pour	pour	ADP
l'	le	DET
abattre	abattre	VERB
,	,	PUNCTclause
et	et	CCONJ
je	je	PRON
ai	avoir	AUX
voulu	vouloir	VERB
.	.	PUNCTsent
Est	être	AUX
ce	ce	DET
un	un	PRON
crime	crime	NOUN
que	que	PRON
je	je	PRON
ai	avoir	AUX
commis	commettre	VERB
?	?	PUNCTsent
Certainement	certainement	ADV
;	;	PUNCTclause
mais	mais	CCONJ
que	que	SCONJ
me	me	PRON
importe	importer	VERB
?	?	PUNCTsent
je	je	PRON
ne	ne	ADV
suis	être	AUX
pas	pas	ADV
capable	capable	ADJ
de	de	ADP
savoir	savoir	VERB
ce	ce	PRON
que	que	SCONJ
ce	ce	PRON
est	être	AUX
que	que	SCONJ
le	le	DET
remords	remords	NOUN
dans	dans	ADP
ce	ce	DET
moment	moment	NOUN
.	.	PUNCTsent
il y a	il y a	VERB
tant	tant	ADV
d'autres	d'autre	PRON
choses	choser	VERB
qui	qui	PRON
bouillonnent	bouillonner	VERB
en	en	ADP
moi	moi	PRON
,	,	PUNCTclause
et	et	CCONJ
qui	qui	PRON
me	me	PRON
transportent	transporter	VERB
hors de	hors de	ADP
moi-même	moi-même	PRON
!	!	PUNCTsent
Dieu	Dieu	PROPN
me	me	PRON
le	le	DET
pardonnera	pardonner	VERB
.	.	PUNCTsent
Ce	ce	PRON
ne	ne	ADV
est	être	AUX
plus	plus	ADV
moi	moi	PRON
qui	qui	PRON
agis	agir	VERB
:	:	PUNCTclause
Jacques	Jacques	PROPN
est	être	AUX
mort	mourir	VERB
;	;	PUNCTclause
l'	le	DET
être	être	AUX
qui	qui	PRON
lui	lui	PRON
succède	succéder	VERB
est	être	AUX
un	un	DET
malheureux	malheureux	ADJ
que	que	SCONJ
Dieu	Dieu	PROPN
ne	ne	ADV
a	avoir	AUX
pas	pas	ADV
béni	bénir	VERB
,	,	PUNCTclause
et	et	CCONJ
dont	dont	PRON
il	il	PRON
ne	ne	ADV
se	se	PRON
occupe	occuper	VERB
pas	pas	ADV
.	.	PUNCTsent
je	je	PRON
aurais	avoir	AUX
pu	pouvoir	VERB
être	être	AUX
bon	bon	ADJ
,	,	PUNCTclause
si	si	SCONJ
mon	mon	DET
destin	destin	NOUN
se	se	PRON
était	être	AUX
prêté	prêter	VERB
à	à	ADP
mes	mon	DET
sentiments	sentiment	NOUN
;	;	PUNCTclause
