# columns = TERM LEMMA POS
# identifier = sand1843b-081
# creator = Sand, George
# created = 1843
# isPartOf = Consuelo
# title = LXXX

↵↵↵	↵↵↵	PUNCTstruct
Lxxx	Lxxx	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Cependant	cependant	ADV
Consuelo	Consuelo	PROPN
souhaita	souhaiter	VERB
le	le	DET
bonsoir	bonsoir	NOUN
à	à	ADP
Joseph	Joseph	PROPN
,	,	PUNCTclause
et	et	CCONJ
se	se	PRON
retira	retirer	VERB
dans	dans	ADP
sa	son	DET
chambre	chambre	NOUN
sans	sans	ADP
lui	lui	PRON
avoir	avoir	AUX
donné	donner	VERB
,	,	PUNCTclause
comme	comme	SCONJ
il	il	PRON
se	se	PRON
y	y	PRON
attendait	attendre	VERB
,	,	PUNCTclause
le	le	DET
signal	signal	NOUN
du	du	ADP_DET
départ	départ	NOUN
pour	pour	ADP
le	le	DET
retour	retour	NOUN
de	de	ADP
l'	le	DET
aube	aube	NOUN
.	.	PUNCTsent
Elle	elle	PRON
avait	avoir	VERB
ses	son	DET
raisons	raison	NOUN
pour	pour	ADP
ne	ne	ADV
pas	pas	ADV
se	se	PRON
hâter	hâter	VERB
,	,	PUNCTclause
et	et	CCONJ
Joseph	Joseph	PROPN
attendit	attendre	VERB
que	que	SCONJ
elle	elle	PRON
les	le:PRON	PRON
lui	lui	PRON
confiât	confier	VERB
,	,	PUNCTclause
enchanté	enchanter	VERB
de	de	ADP
passer	passer	VERB
quelques	quelque	DET
heures	heure	NOUN
de plus	de plus	ADV
avec	avec	ADP
elle	elle	PRON
dans	dans	ADP
cette	ce	DET
jolie	joli	ADJ
maison	maison	NOUN
,	,	PUNCTclause
tout	tout	PRON
en	en	ADP
menant	mener	VERB
cette	ce	DET
bonne	bon	ADJ
vie	vie	NOUN
de	de	ADP
chanoine	chanoine	NOUN
qui	qui	PRON
ne	ne	ADV
lui	lui	PRON
déplaisait	déplaire	VERB
pas	pas	ADV
.	.	PUNCTsent
Consuelo	Consuelo	PROPN
se	se	PRON
permit	permettre	VERB
de	de	ADP
dormir	dormir	VERB
la	le	DET
grasse	gras	ADJ
matinée	matinée	NOUN
,	,	PUNCTclause
et	et	CCONJ
de	de	ADP
ne	ne	ADV
paraître	paraître	VERB
que	que	ADV
au	au	ADP_DET
second	second	NOUN
déjeuner	déjeuner	VERB
du	du	ADP_DET
chanoine	chanoine	NOUN
.	.	PUNCTsent
Celui	celui	PRON
avait	avoir	VERB
l'	le	DET
habitude	habitude	NOUN
de	de	ADP
se	se	PRON
lever	lever	VERB
de bonne heure	de bonne heure	ADV
,	,	PUNCTclause
de	de	ADP
prendre	prendre	VERB
un	un	DET
repas	repas	NOUN
léger	léger	ADJ
et	et	CCONJ
friand	friand	ADJ
,	,	PUNCTclause
de	de	ADP
se	se	PRON
promener	promener	VERB
dans	dans	ADP
ses	son	DET
jardins	jardin	NOUN
et	et	CCONJ
dans	dans	ADP
ses	son	DET
serres	serre	NOUN
pour	pour	ADP
examiner	examiner	VERB
ses	son	DET
plantes	plante	NOUN
,	,	PUNCTclause
un	un	DET
bréviaire	bréviaire	NOUN
à	à	ADP
la	le	DET
main	main	NOUN
;	;	PUNCTclause
et	et	CCONJ
de	de	ADP
aller	aller	VERB
faire	faire	VERB
un	un	DET
second	second	ADJ
somme	somme	NOUN
en	en	ADP
attendant	attendre	VERB
le	le	DET
déjeuner	déjeuner	NOUN
à	à	ADP
la	le	DET
fourchette	fourchette	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
«	«	PUNCTclause
Notre	notre	DET
voisine	voisin	NOUN
la	le	DET
voyageuse	voyageur	NOUN
se	se	PRON
porte	porter	VERB
bien	bien	ADV
,	,	PUNCTclause
dit	dire	VERB
il	il	PRON
à	à	ADP
ses	son	DET
jeunes	jeune	ADJ
hôtes	hôte	NOUN
dès que	dès que	SCONJ
il	il	PRON
les	le:PRON	PRON
vit	vivre	VERB
paraître	paraître	VERB
.	.	PUNCTsent
je	je	PRON
ai	avoir	AUX
envoyé	envoyer	VERB
André	André	PROPN
lui	lui	PRON
faire	faire	VERB
son	son	DET
déjeuner	déjeuner	NOUN
.	.	PUNCTsent
Elle	elle	PRON
a	avoir	AUX
exprimé	exprimer	VERB
beaucoup de	beaucoup de	DET
reconnaissance	reconnaissance	NOUN
pour	pour	ADP
nos	nos	DET
attentions	attention	NOUN
,	,	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
comme	comme	SCONJ
elle	elle	PRON
se	se	PRON
dispose	disposer	VERB
à	à	ADP
partir	partir	VERB
aujourd'hui	aujourd'hui	ADV
pour	pour	ADP
Vienne	Vienne	PROPN
,	,	PUNCTclause
contre	contre	ADP
toute	toute	DET
prudence	prudence	NOUN
,	,	PUNCTclause
je	je	PRON
l'	le:PRON	PRON
avoue	avouer	VERB
,	,	PUNCTclause
elle	elle	PRON
vous	vous	PRON
fait	faire	VERB
prier	prier	VERB
de	de	ADP
aller	aller	VERB
la	le:PRON	PRON
voir	voir	VERB
,	,	PUNCTclause
afin de	afin de	ADP
vous	vous	PRON
récompenser	récompenser	VERB
du	du	ADP_DET
zèle	zèle	NOUN
charitable	charitable	ADJ
que	que	SCONJ
vous	vous	PRON
lui	lui	PRON
avez	avoir	AUX
montré	montrer	VERB
.	.	PUNCTsent
Ainsi	ainsi	ADV
,	,	PUNCTclause
mes	mon	DET
enfants	enfant	NOUN
,	,	PUNCTclause
déjeunez	déjeuner	VERB
vite	vite	ADV
;	;	PUNCTclause
et	et	CCONJ
rendez-vous	rendez-vous	NOUN
auprès de	auprès de	ADP
elle	elle	PRON
;	;	PUNCTclause
sans doute	sans doute	ADV
elle	elle	PRON
vous	vous	PRON
destine	destiner	VERB
quelque	quelque	DET
joli	joli	ADJ
présent	présent	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Nous	nous	PRON
déjeunerons	déjeuner	VERB
aussi	aussi	ADV
lentement	lentement	ADV
que	que	SCONJ
il	il	PRON
vous	vous	PRON
plaira	plaire	VERB
,	,	PUNCTclause
monsieur	monsieur	NOUN
le	le	DET
chanoine	chanoine	NOUN
,	,	PUNCTclause
répondit	répondre	VERB
Consuelo	Consuelo	PROPN
,	,	PUNCTclause
et	et	CCONJ
nous	nous	PRON
ne	ne	ADV
irons	aller	VERB
pas	pas	ADV
voir	voir	VERB
la	le	DET
malade	malade	NOUN
;	;	PUNCTclause
elle	elle	PRON
ne	ne	ADV
a	avoir	VERB
plus	plus	ADV
besoin	besoin	NOUN
de	de	ADP
nous	nous	PRON
,	,	PUNCTclause
et	et	CCONJ
nous	nous	PRON
ne	ne	ADV
aurons	avoir	VERB
jamais	jamais	ADV
besoin	besoin	NOUN
de	de	ADP
ses	son	DET
présents	présent	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Singulier	singulier	NOUN
enfant	enfant	NOUN
!	!	PUNCTsent
dit	dire	VERB
le	le	DET
chanoine	chanoine	NOUN
émerveillé	émerveiller	VERB
.	.	PUNCTsent
Ton	ton	DET
désintéressement	désintéressement	NOUN
romanesque	romanesque	ADJ
,	,	PUNCTclause
ta	ton	DET
générosité	générosité	NOUN
enthousiaste	enthousiaste	NOUN
,	,	PUNCTclause
me	me	PRON
gagnent	gagner	VERB
le	le	DET
cœur	cœur	NOUN
à	à	ADP
tel	tel	DET
point	point	NOUN
,	,	PUNCTclause
que	que	SCONJ
jamais	jamais	ADV
,	,	PUNCTclause
je	je	PRON
le	le	DET
sens	sens	NOUN
,	,	PUNCTclause
je	je	PRON
ne	ne	ADV
pourrai	pouvoir	VERB
consentir	consentir	VERB
à	à	ADP
me	me	PRON
séparer	séparer	VERB
de	de	ADP
toi	toi	PRON
...	...	PUNCTsent
»	»	PUNCTclause
↵↵	↵↵	PUNCTstruct
Consuelo	Consuelo	PROPN
sourit	sourire	VERB
,	,	PUNCTclause
et	et	CCONJ
l'on	on	PRON
se	se	PRON
mit	mettre	VERB
à	à	ADP
table	table	NOUN
.	.	PUNCTsent
Le	le	DET
repas	repas	NOUN
fut	être	AUX
exquis	exquis	ADJ
et	et	CCONJ
dura	durer	VERB
bien	bien	ADV
deux	deux	NUM
heures	heure	NOUN
;	;	PUNCTclause
mais	mais	CCONJ
le	le	DET
dessert	dessert	NOUN
fut	être	AUX
autre	autre	PRON
que	que	SCONJ
le	le	DET
chanoine	chanoine	NOUN
ne	ne	ADV
se	se	PRON
y	y	PRON
attendait	attendre	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
«	«	PUNCTclause
Monsieur	monsieur	NOUN
le	le	DET
révérend	révérend	NOUN
,	,	PUNCTclause
dit	dire	VERB
André	André	PROPN
en	en	ADP
paraissant	paraître	VERB
à	à	ADP
la	le	DET
porte	porte	NOUN
,	,	PUNCTclause
voici	voici	ADP
la	le	DET
mère	mère	NOUN
Berthe	Berthe	PROPN
,	,	PUNCTclause
la	le	DET
femme	femme	NOUN
du	du	ADP_DET
cabaret	cabaret	NOUN
voisin	voisin	ADJ
,	,	PUNCTclause
qui	qui	PRON
vous	vous	PRON
apporte	apporter	VERB
une	un	DET
grande	grand	ADJ
corbeille	corbeille	NOUN
de la part de	de la part de	ADP
l'	le	DET
accouchée	accouchée	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ce	ce	PRON
est	être	AUX
l'	le	DET
argenterie	argenterie	NOUN
que	que	PRON
je	je	PRON
lui	lui	PRON
ai	avoir	AUX
prêtée	prêté	ADJ
,	,	PUNCTclause
répondit	répondre	VERB
le	le	DET
chanoine	chanoine	NOUN
.	.	PUNCTsent
André	André	PROPN
,	,	PUNCTclause
recevez	recevoir	VERB
la	le	DET
,	,	PUNCTclause
ce	ce	PRON
est	être	AUX
votre	votre	DET
affaire	affaire	NOUN
.	.	PUNCTsent
Elle	elle	PRON
part	partir	VERB
donc	donc	ADV
décidément	décidément	ADV
cette	ce	DET
dame	dame	NOUN
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Monsieur	monsieur	NOUN
le	le	DET
révérend	révérend	NOUN
,	,	PUNCTclause
elle	elle	PRON
est	être	AUX
partie	partie	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Déjà	déjà	ADV
!	!	PUNCTsent
ce	ce	PRON
est	être	AUX
une	un	DET
folle	fou	ADJ
!	!	PUNCTsent
Elle	elle	PRON
veut	vouloir	VERB
se	se	PRON
tuer	tuer	VERB
cette	ce	DET
diablesse	diable	NOUN
!	!	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Non	non	ADV
,	,	PUNCTclause
monsieur	monsieur	NOUN
le	le	DET
chanoine	chanoine	NOUN
,	,	PUNCTclause
dit	dire	VERB
Consuelo	Consuelo	PROPN
,	,	PUNCTclause
elle	elle	PRON
ne	ne	ADV
veut	vouloir	VERB
pas	pas	ADV
se	se	PRON
tuer	tuer	VERB
,	,	PUNCTclause
et	et	CCONJ
elle	elle	PRON
ne	ne	ADV
se	se	PRON
tuera	tuer	VERB
pas	pas	ADV
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
hé	hé	INTJ
bien	bien	ADV
,	,	PUNCTclause
André	André	PROPN
,	,	PUNCTclause
que	que	SCONJ
faites	faire	VERB
vous	vous	PRON
là	là	ADV
de	de	ADP
un	un	DET
air	air	NOUN
cérémonieux	cérémonieux	ADJ
?	?	PUNCTsent
dit	dire	VERB
le	le	DET
chanoine	chanoine	NOUN
à	à	ADP
son	son	DET
valet	valet	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
