# columns = TERM LEMMA POS
# identifier = sand1845-12
# creator = Sand, George
# created = 1845
# isPartOf = Le meunier d’Angibault
# title = XII. Les châteaux en Espagne

↵↵↵	↵↵↵	PUNCTstruct
		TOKEN
.	.	PUNCTsent
Les	le	DET
châteaux	château	NOUN
en	en	ADP
Espagne	Espagne	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Sous	sous	ADP
le	le	DET
majestueux	majestueux	ADJ
berceau	berceau	NOUN
que	que	SCONJ
formaient	former	VERB
les	le	DET
grands	grand	ADJ
chênes	chêne	NOUN
le long de	le long de	ADP
l'	le	DET
avenue	avenue	NOUN
,	,	PUNCTclause
et	et	CCONJ
que	que	SCONJ
le	le	DET
soleil	soleil	NOUN
sur	sur	ADP
son	son	DET
déclin	déclin	NOUN
coupait	couper	VERB
de	de	ADP
fortes	fort	ADJ
ombres	ombre	NOUN
et	et	CCONJ
de	de	ADP
brillants	brillant	NOUN
reflets	reflet	NOUN
,	,	PUNCTclause
marchait	marcher	VERB
à	à	ADP
pas	pas	ADV
comptés	compter	VERB
une	un	DET
femme	femme	NOUN
ou	ou	CCONJ
plutôt	plutôt	ADV
un	un	PRON
être	être	AUX
sans	sans	ADP
nom	nom	NOUN
qui	qui	PRON
paraissait	paraître	VERB
plongé	plonger	VERB
dans	dans	ADP
une	un	DET
méditation	méditation	NOUN
farouche	farouche	ADJ
.	.	PUNCTsent
ce	ce	PRON
était	être	AUX
une	un	PRON
de	de	ADP
ces	ce	DET
figures	figure	NOUN
égarées	égaré	ADJ
et	et	CCONJ
abruties	abruti	ADJ
par	par	ADP
le	le	DET
malheur	malheur	NOUN
,	,	PUNCTclause
qui	qui	PRON
ne	ne	ADV
ont	avoir	VERB
pas	pas	ADV
plus	plus	ADV
de	de	ADP
âge	âge	NOUN
que	que	ADV
de	de	ADP
sexe	sexe	NOUN
.	.	PUNCTsent
Cependant	cependant	ADV
,	,	PUNCTclause
ses	son	DET
traits	trait	NOUN
réguliers	régulier	ADJ
avaient	avoir	AUX
eu	avoir	VERB
une	un	DET
certaine	certain	ADJ
noblesse	noblesse	NOUN
qui	qui	PRON
ne	ne	ADV
était	être	AUX
pas	pas	ADV
complètement	complètement	ADV
effacée	effacer	VERB
,	,	PUNCTclause
malgré	malgré	ADP
les	le	DET
affreux	affreux	NOUN
ravages	ravager	VERB
du	du	ADP_DET
chagrin	chagrin	NOUN
et	et	CCONJ
de	de	ADP
la	le	DET
maladie	maladie	NOUN
,	,	PUNCTclause
et	et	CCONJ
ses	son	DET
longs	long	ADJ
cheveux	cheveu	NOUN
noirs	noir	ADJ
en	en	ADP
désordre	désordre	NOUN
se	se	PRON
échappant	échapper	VERB
de	de	ADP
dessous	dessous	ADV
son	son	DET
bonnet	bonnet	NOUN
blanc	blanc	ADJ
surmonté	surmonter	VERB
de	de	ADP
un	un	DET
chapeau	chapeau	NOUN
de	de	ADP
homme	homme	NOUN
de	de	ADP
un	un	DET
tissu	tissu	NOUN
de	de	ADP
paille	paille	NOUN
brisé	briser	VERB
et	et	CCONJ
déchiré	déchirer	VERB
eu	avoir	VERB
mille	mille	NUM
endroits	endroit	NOUN
,	,	PUNCTclause
donnaient	donner	VERB
quelque chose	quelque chose	PRON
de	de	ADP
sinistre	sinistre	NOUN
à	à	ADP
la	le	DET
physionomie	physionomie	NOUN
étroite	étroit	ADJ
et	et	CCONJ
basanée	basané	ADJ
que	que	SCONJ
ils	ils	PRON
ombrageaient	ombrager	VERB
en grande partie	en grande partie	ADV
.	.	PUNCTsent
On	on	PRON
ne	ne	ADV
voyait	voir	VERB
,	,	PUNCTclause
de	de	ADP
cette	ce	DET
face	face	NOUN
jaune	jaune	ADJ
comme	comme	SCONJ
du	du	ADP_DET
safran	safran	NOUN
et	et	CCONJ
dévastée	dévaster	VERB
par	par	ADP
la	le	DET
fièvre	fièvre	NOUN
,	,	PUNCTclause
que	que	SCONJ
deux	deux	NUM
grands	grand	ADJ
yeux	œil	NOUN
noirs	noir	ADJ
de	de	ADP
une	un	DET
fixité	fixité	NOUN
effrayante	effrayant	ADJ
,	,	PUNCTclause
dont	dont	PRON
on	on	PRON
rencontrait	rencontrer	VERB
rarement	rarement	ADV
le	le	DET
regard	regard	NOUN
préoccupé	préoccuper	VERB
,	,	PUNCTclause
un	un	DET
nez	nez	NOUN
très	très	ADV
droit	droit	ADJ
et	et	CCONJ
de	de	ADP
une	un	DET
forme	forme	NOUN
assez	assez	ADV
belle	beau	ADJ
quoique	quoique	SCONJ
très	très	ADV
prononcée	prononcer	VERB
,	,	PUNCTclause
et	et	CCONJ
une	un	DET
bouche	bouche	NOUN
livide	livide	ADJ
à	à	ADP
demi	demi	ADJ
entrouverte	entrouvrir	VERB
.	.	PUNCTsent
Son	son	DET
habillement	habillement	NOUN
,	,	PUNCTclause
de	de	ADP
une	un	DET
malpropreté	malpropreté	NOUN
repoussante	repoussant	ADJ
,	,	PUNCTclause
appartenait	appartenir	VERB
à	à	ADP
la	le	DET
classe	classe	NOUN
bourgeoise	bourgeois	ADJ
;	;	PUNCTclause
une	un	DET
mauvaise	mauvais	ADJ
robe	robe	NOUN
de	de	ADP
étoffe	étoffe	NOUN
jaune	jaune	ADJ
dessinait	dessiner	VERB
un	un	DET
corps	corps	NOUN
informe	informe	ADJ
où	où	PRON
les	le	DET
épaules	épaule	NOUN
hautes	haut	ADJ
et	et	CCONJ
constamment	constamment	ADV
voûtées	voûter	VERB
avaient	avoir	AUX
acquis	acquérir	VERB
en	en	ADP
largeur	largeur	NOUN
un	un	DET
développement	développement	NOUN
disproportionné	disproportionné	ADJ
avec	avec	ADP
le	le	DET
reste	reste	NOUN
du	du	ADP_DET
corps	corps	NOUN
qui	qui	PRON
semblait	sembler	VERB
étrique	étriquer	ADJ
,	,	PUNCTclause
et	et	CCONJ
sur	sur	ADP
lequel	lequel	PRON
flottait	flotter	VERB
la	le	DET
robe	robe	NOUN
détachée	détacher	VERB
et	et	CCONJ
traînante	traînant	ADJ
de	de	ADP
un	un	DET
côté	côté	NOUN
.	.	PUNCTsent
Ses	son	DET
jambes	jambe	NOUN
maigres	maigre	ADJ
et	et	CCONJ
noires	noir	ADJ
étaient	être	AUX
nues	nu	ADJ
,	,	PUNCTclause
et	et	CCONJ
des	un	DET
savates	savate	NOUN
immondes	immonde	ADJ
défendaient	défendre	VERB
mal	mal	ADV
ses	son	DET
pieds	pied	NOUN
contre	contre	ADP
les	le	DET
cailloux	caillou	NOUN
et	et	CCONJ
les	le	DET
épines	épine	NOUN
auxquels	auxquels	ADP_PRON
du reste	du reste	ADV
ils	ils	PRON
semblaient	sembler	VERB
insensibles	insensible	ADJ
.	.	PUNCTsent
Elle	elle	PRON
marchait	marcher	VERB
gravement	gravement	ADV
,	,	PUNCTclause
la	le	DET
tête	tête	NOUN
penchée	pencher	VERB
en	en	ADP
avant	avant	NOUN
,	,	PUNCTclause
le	le	DET
regard	regard	NOUN
attaché	attacher	VERB
sur	sur	ADP
la	le	DET
terre	terre	NOUN
et	et	CCONJ
les	le	DET
mains	main	NOUN
occupées	occuper	VERB
à	à	ADP
rouler	rouler	VERB
et	et	CCONJ
à	à	ADP
presser	presser	VERB
un	un	DET
mouchoir	mouchoir	NOUN
taché	tacher	VERB
de	de	ADP
sang	sang	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Elle	elle	PRON
venait	venir	VERB
droit	droit	NOUN
sur	sur	ADP
madame	madame	NOUN
de	de	ADP
Blanchemont	Blanchemont	PROPN
,	,	PUNCTclause
qui	qui	PRON
,	,	PUNCTclause
dissimulant	dissimuler	VERB
son	son	DET
effroi	effroi	NOUN
pour	pour	ADP
ne	ne	ADV
pas	pas	ADV
le	le	DET
communiquer	communiquer	VERB
à	à	ADP
Édouard	Édouard	PROPN
,	,	PUNCTclause
attendait	attendre	VERB
avec	avec	ADP
angoisse	angoisse	NOUN
que	que	SCONJ
elle	elle	PRON
prît	prendre	VERB
à	à	ADP
gauche	gauche	NOUN
ou	ou	CCONJ
à	à	ADP
droite	droite	NOUN
,	,	PUNCTclause
pour	pour	ADP
passer	passer	VERB
auprès de	auprès de	ADP
elle	elle	PRON
.	.	PUNCTsent
Mais	mais	CCONJ
le	le	DET
spectre	spectre	NOUN
,	,	PUNCTclause
car	car	CCONJ
cette	ce	DET
créature	créature	NOUN
ressemblait	ressembler	VERB
à	à	ADP
une	un	DET
apparition	apparition	NOUN
sinistre	sinistre	ADJ
,	,	PUNCTclause
marchait	marcher	VERB
toujours	toujours	ADV
,	,	PUNCTclause
sans	sans	ADP
paraître	paraître	VERB
prendre garde	prendre garde	VERB
à	à	ADP
personne	personne	NOUN
,	,	PUNCTclause
et	et	CCONJ
sa	son	DET
physionomie	physionomie	NOUN
,	,	PUNCTclause
qui	qui	PRON
ne	ne	ADV
exprimait	exprimer	VERB
pas	pas	ADV
l'	le	DET
idiotisme	idiotisme	NOUN
,	,	PUNCTclause
mais	mais	CCONJ
un	un	DET
désespoir	désespoir	NOUN
sombre	sombre	ADJ
passé	passer	VERB
à	à	ADP
l'	le	DET
état	état	NOUN
de	de	ADP
contemplation	contemplation	NOUN
abstraite	abstrait	ADJ
,	,	PUNCTclause
ne	ne	ADV
semblait	sembler	VERB
recevoir	recevoir	VERB
aucune	aucun	DET
impression	impression	NOUN
des	un	ADP_DET
objets	objet	NOUN
extérieurs	extérieur	ADJ
.	.	PUNCTsent
Cependant	cependant	ADV
