# columns = TERM LEMMA POS
# identifier = sand1847c-15
# creator = Sand, George
# created = 1847
# isPartOf = Le Piccinino
# title = XIV. Barbagallo.

↵↵↵	↵↵↵	PUNCTstruct
XIV	XIV	NOUN
.	.	PUNCTsent
Barbagallo	Barbagallo	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Si	si	SCONJ
Michel	Michel	PROPN
eût	avoir	AUX
pu	pouvoir	VERB
détourner	détourner	VERB
les	le	DET
yeux	œil	NOUN
de	de	ADP
l'	le	DET
objet	objet	NOUN
de	de	ADP
sa	son	DET
contemplation	contemplation	NOUN
,	,	PUNCTclause
il	il	PRON
eût	avoir	AUX
vu	voir	VERB
,	,	PUNCTclause
à	à	ADP
quelques	quelque	DET
pas	pas	NOUN
de	de	ADP
lui	lui	PRON
,	,	PUNCTclause
son	son	DET
père	père	NOUN
faisant	faire	VERB
une	un	DET
partie	partie	NOUN
de	de	ADP
flageolet	flageolet	NOUN
à	à	ADP
l'	le	DET
orchestre	orchestre	NOUN
.	.	PUNCTsent
Pier-Angelo	Pier-Angelo	PROPN
avait	avoir	AUX
la	le	DET
passion	passion	NOUN
de	de	ADP
l'	le	DET
art	art	NOUN
,	,	PUNCTclause
sous	sous	ADP
quelque	quelque	DET
forme	forme	NOUN
que	que	PRON
il	il	PRON
put	pouvoir	VERB
se	se	PRON
l'	le	DET
assimiler	assimiler	VERB
.	.	PUNCTsent
Il	il	PRON
aimait	aimer	VERB
et	et	CCONJ
devinait	deviner	VERB
la	le	DET
musique	musique	NOUN
,	,	PUNCTclause
et	et	CCONJ
jouait	jouer	VERB
de	de	ADP
instinct	instinct	NOUN
de	de	ADP
plusieurs	plusieurs	DET
instruments	instrument	NOUN
,	,	PUNCTclause
à	à	ADP
peu de chose	peu de chose	NOUN
près	près	ADV
dans	dans	ADP
le	le	DET
ton	ton	NOUN
et	et	CCONJ
dans	dans	ADP
la	le	DET
mesure	mesure	NOUN
.	.	PUNCTsent
Après	après	ADP
avoir	avoir	AUX
surveillé	surveiller	VERB
plusieurs	plusieurs	DET
détails	détail	NOUN
de	de	ADP
la	le	DET
fête	fête	NOUN
qui	qui	PRON
lui	lui	PRON
avaient	avoir	AUX
été	être	AUX
confiés	confier	VERB
,	,	PUNCTclause
ne	ne	ADV
ayant	avoir	VERB
plus	plus	ADV
rien	rien	PRON
à	à	ADP
faire	faire	VERB
,	,	PUNCTclause
il	il	PRON
ne	ne	ADV
avait	avoir	AUX
pu	pouvoir	VERB
résister	résister	VERB
au	au	ADP_DET
désir	désir	NOUN
de	de	ADP
se	se	PRON
mêler	mêler	VERB
aux	au	ADP_DET
musiciens	musicien	NOUN
,	,	PUNCTclause
qui	qui	PRON
le	le:PRON	PRON
connaissaient	connaître	VERB
et	et	CCONJ
qui	qui	PRON
se	se	PRON
amusaient	amuser	VERB
de	de	ADP
sa	son	DET
gaieté	gaieté	NOUN
,	,	PUNCTclause
de	de	ADP
sa	son	DET
belle	beau	ADJ
et	et	CCONJ
bonne	bon	ADJ
figure	figurer	VERB
et	et	CCONJ
de	de	ADP
l'	le	DET
air	air	NOUN
enthousiaste	enthousiaste	ADJ
avec	avec	ADP
lequel	lequel	PRON
il	il	PRON
faisait	faire	AUX
entendre	entendre	VERB
,	,	PUNCTclause
de temps en temps	de temps en temps	ADV
,	,	PUNCTclause
une	un	DET
ritournelle	ritournelle	NOUN
criarde	criard	ADJ
sur	sur	ADP
son	son	DET
instrument	instrument	NOUN
.	.	PUNCTsent
Quand	quand	SCONJ
le	le	DET
ménétrier	ménétrier	NOUN
dont	dont	PRON
il	il	PRON
avait	avoir	AUX
pris	prendre	VERB
la	le	DET
place	place	NOUN
revint	revenir	VERB
de	de	ADP
la	le	DET
buvette	buvette	NOUN
,	,	PUNCTclause
Pier-Angelo	Pier-Angelo	PROPN
se	se	PRON
empara	emparer	VERB
des	un	ADP_DET
cymbales	cymbale	NOUN
vacantes	vacant	ADJ
,	,	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
à	à	ADP
la	le	DET
fin	fin	NOUN
du	du	ADP_DET
quadrille	quadrille	NOUN
,	,	PUNCTclause
il	il	PRON
raclait	racler	VERB
avec	avec	ADP
délices	délice	NOUN
les	le	DET
grosses	gros	ADJ
cordes	corde	NOUN
de	de	ADP
une	un	DET
contre-basse	contre-basse	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Il	il	PRON
était	être	AUX
surtout	surtout	ADV
ravi	ravir	VERB
de	de	ADP
faire	faire	VERB
danser	danser	VERB
la	le	DET
princesse	prince	NOUN
,	,	PUNCTclause
qui	qui	PRON
,	,	PUNCTclause
ayant	avoir	AUX
aperçu	apercevoir	VERB
sa	son	DET
tête	tête	NOUN
chauve	chauve	ADJ
sur	sur	ADP
l'	le	DET
estrade	estrade	NOUN
de	de	ADP
l'	le	DET
orchestre	orchestre	NOUN
,	,	PUNCTclause
lui	lui	PRON
avait	avoir	AUX
envoyé	envoyer	VERB
de	de	ADP
loin	loin	ADV
un	un	DET
sourire	sourire	NOUN
et	et	CCONJ
un	un	DET
imperceptible	imperceptible	ADJ
signe	signe	NOUN
de	de	ADP
amitié	amitié	NOUN
,	,	PUNCTclause
que	que	SCONJ
le	le	DET
bonhomme	bonhomme	NOUN
avait	avoir	AUX
recueilli	recueillir	VERB
dans	dans	ADP
son	son	DET
cœur	cœur	NOUN
.	.	PUNCTsent
Michel-Ange	Michel-Ange	PROPN
eût	avoir	AUX
trouvé	trouver	VERB
peut-être	peut-être	ADV
que	que	SCONJ
son	son	DET
père	père	NOUN
se	se	PRON
prodiguait	prodiguer	VERB
trop	trop	ADV
au	au	ADP_DET
service	service	NOUN
de	de	ADP
cette	ce	DET
patronne	patron	NOUN
chérie	chéri	NOUN
,	,	PUNCTclause
et	et	CCONJ
ne	ne	ADV
portait	porter	VERB
pas	pas	ADV
avec	avec	ADP
assez	assez	ADV
de	de	ADP
sévérité	sévérité	NOUN
sa	son	DET
dignité	dignité	NOUN
de	de	ADP
artisan	artisan	NOUN
.	.	PUNCTsent
Mais	mais	CCONJ
,	,	PUNCTclause
en	en	ADP
ce	ce	DET
moment	moment	NOUN
,	,	PUNCTclause
Michel	Michel	PROPN
,	,	PUNCTclause
qui	qui	PRON
se	se	PRON
était	être	AUX
cru	croire	VERB
distrait	distraire	VERB
ou	ou	CCONJ
guéri	guérir	VERB
du	du	ADP_DET
regard	regard	NOUN
de	de	ADP
la	le	DET
princesse	prince	NOUN
Agathe	Agathe	PROPN
,	,	PUNCTclause
était	être	AUX
si	si	ADV
bien	bien	ADV
retombé	retomber	VERB
sous	sous	ADP
le	le	DET
prestige	prestige	NOUN
,	,	PUNCTclause
que	que	SCONJ
il	il	PRON
ne	ne	ADV
songeait	songer	VERB
plus	plus	ADV
que	que	SCONJ
à	à	ADP
en	en	PRON
rencontrer	rencontrer	VERB
un	un	DET
second	second	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
l'	le	DET
unique	unique	ADJ
toilette	toilette	NOUN
que	que	PRON
,	,	PUNCTclause
par	par	ADP
un	un	DET
reste	reste	NOUN
de	de	ADP
aristocratie	aristocratie	NOUN
incurable	incurable	ADJ
,	,	PUNCTclause
il	il	PRON
avait	avoir	AUX
courageusement	courageusement	ADV
apportée	apporter	VERB
sur	sur	ADP
ses	son	DET
épaules	épaule	NOUN
dans	dans	ADP
un	un	DET
sac	sac	NOUN
de	de	ADP
voyage	voyage	NOUN
,	,	PUNCTclause
à travers	à travers	ADP
les	le	DET
défilés	défilé	NOUN
de	de	ADP
l'	le	DET
Etna	Etna	PROPN
,	,	PUNCTclause
était	être	AUX
à	à	ADP
la	le	DET
mode	mode	NOUN
et	et	CCONJ
de	de	ADP
bon goût	bon goût	NOUN
.	.	PUNCTsent
Sa	son	DET
figure	figure	NOUN
était	être	AUX
si	si	ADV
noble	noble	ADJ
et	et	CCONJ
si	si	SCONJ
belle	beau	ADJ
,	,	PUNCTclause
que	que	SCONJ
il	il	PRON
ne	ne	ADV
y	y	PRON
avait	avoir	AUX
certes	certes	ADV
rien	rien	PRON
à	à	ADP
reprendre	reprendre	VERB
dans	dans	ADP
sa	son	DET
personne	personne	NOUN
et	et	CCONJ
dans	dans	ADP
sa	son	DET
tenue	tenue	NOUN
.	.	PUNCTsent
Pourtant	pourtant	ADV
,	,	PUNCTclause
depuis	depuis	ADP
quelques	quelque	DET
minutes	minute	NOUN
,	,	PUNCTclause
sa	son	DET
présence	présence	NOUN
,	,	PUNCTclause
dans	dans	ADP
le	le	DET
cercle	cercle	NOUN
qui	qui	PRON
entourait	entourer	VERB
immédiatement	immédiatement	ADV
la	le	DET
princesse	prince	NOUN
,	,	PUNCTclause
importunait	importuner	VERB
les	le	DET
yeux	œil	NOUN
de	de	ADP
maître	maître	NOUN
Barbagallo	Barbagallo	PROPN
,	,	PUNCTclause
le	le	DET
majordome	majordome	NOUN
du	du	ADP_DET
palais	palais	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Ce	ce	DET
