# columns = TERM LEMMA POS
# identifier = sand1853b-10
# creator = Sand, George
# created = 1853
# isPartOf = Les maîtres sonneurs
# title = Neuvième veillée

↵↵↵	↵↵↵	PUNCTstruct
9e	9e	ADJ
veillée	veiller	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Brulette	Brulette	PROPN
était	être	AUX
toute	tout	ADJ
tremblante	tremblant	ADJ
,	,	PUNCTclause
et	et	CCONJ
quand	quand	SCONJ
je	je	PRON
lui	lui	PRON
demandai	demander	VERB
ce	ce	DET
que	que	SCONJ
elle	elle	PRON
avait	avoir	VERB
et	et	CCONJ
ce	ce	PRON
que	que	PRON
elle	elle	PRON
pensait	penser	VERB
,	,	PUNCTclause
elle	elle	PRON
me	me	PRON
répondit	répondre	VERB
en	en	ADP
portant	porter	VERB
à	à	ADP
sa	son	DET
joue	joue	NOUN
le	le	DET
revers	revers	NOUN
de	de	ADP
sa	son	DET
main	main	NOUN
:	:	PUNCTclause
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Cet	ce	DET
homme	homme	NOUN
est	être	AUX
aimable	aimable	ADJ
,	,	PUNCTclause
Tiennet	Tiennet	PROPN
;	;	PUNCTclause
mais	mais	CCONJ
il	il	PRON
est	être	AUX
bien	bien	ADV
hardi	hardi	ADJ
.	.	PUNCTsent
Comme	comme	SCONJ
je	je	PRON
étais	être	AUX
allumé	allumer	VERB
un	un	DET
peu	peu	ADV
plus	plus	ADV
que	que	ADV
de	de	ADP
coutume	coutume	NOUN
,	,	PUNCTclause
je	je	PRON
me	me	PRON
trouvai	trouver	VERB
assez	assez	ADV
courageux	courageux	ADJ
pour	pour	ADP
lui	lui	PRON
dire	dire	VERB
:	:	PUNCTclause
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Si	si	SCONJ
la	le	DET
bouche	bouche	NOUN
de	de	ADP
un	un	DET
étranger	étranger	NOUN
vous	vous	PRON
a	avoir	AUX
offensé	offenser	VERB
la	le	DET
peau	peau	NOUN
,	,	PUNCTclause
celle	celle	PRON
de	de	ADP
un	un	DET
ami	ami	NOUN
peut	pouvoir	VERB
enlever	enlever	VERB
la	le	DET
tache	tache	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Mais	mais	CCONJ
elle	elle	PRON
me	me	PRON
repoussa	repousser	VERB
en	en	ADP
répondant	répondant	NOUN
:	:	PUNCTclause
↵↵	↵↵	PUNCTstruct
