# columns = TERM LEMMA POS
# identifier = verne1865c-53
# creator = Verne, Jules
# created = 1865
# isPartOf = Les Enfants du capitaine Grant
# title = V. Les matelots improvisés

↵↵↵	↵↵↵	PUNCTstruct
V.	V.	PROPN
Les	le	DET
matelots	matelot	NOUN
improvisés	improviser	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Will	Will	PROPN
Halley	Halley	PROPN
et	et	CCONJ
son	son	DET
équipage	équipage	NOUN
,	,	PUNCTclause
profitant	profiter	VERB
de	de	ADP
la	le	DET
nuit	nuit	NOUN
et	et	CCONJ
du	du	ADP_DET
sommeil	sommeil	NOUN
des	un	ADP_DET
passagers	passager	NOUN
,	,	PUNCTclause
se	se	PRON
étaient	être	AUX
enfuis	enfuir	VERB
sur	sur	ADP
l'	le	DET
unique	unique	ADJ
canot	canot	NOUN
du	du	ADP_DET
brick	brick	NOUN
.	.	PUNCTsent
On	on	PRON
ne	ne	ADV
pouvait	pouvoir	VERB
en	en	ADP
douter	douter	VERB
.	.	PUNCTsent
Ce	ce	DET
capitaine	capitaine	NOUN
,	,	PUNCTclause
que	que	SCONJ
son	son	DET
devoir	devoir	NOUN
obligeait	obliger	VERB
à	à	ADP
rester	rester	VERB
le	le	DET
dernier	dernier	ADJ
à bord	à bord	ADV
,	,	PUNCTclause
l'	le	DET
avait	avoir	AUX
quitté	quitter	VERB
le	le	DET
premier	premier	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
«	«	PUNCTclause
Ces	ce	DET
coquins	coquin	NOUN
ont	avoir	AUX
fui	fuir	VERB
,	,	PUNCTclause
dit	dire	VERB
John	John	PROPN
Mangles	Mangles	PROPN
.	.	PUNCTsent
hé	hé	INTJ
bien	bien	ADV
!	!	PUNCTsent
tant	tant	ADV
mieux	mieux	ADV
,	,	PUNCTclause
milord	milord	NOUN
.	.	PUNCTsent
ce	ce	PRON
est	être	AUX
autant	autant	ADV
de	de	ADP
fâcheuses	fâcheux	ADJ
scènes	scène	NOUN
que	que	SCONJ
ils	ils	PRON
nous	nous	PRON
épargnent	épargner	VERB
!	!	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Je	je	PRON
le	le:PRON	PRON
pense	penser	VERB
,	,	PUNCTclause
répondit	répondre	VERB
Glenarvan	Glenarvan	PROPN
;	;	PUNCTclause
d'ailleurs	d'ailleurs	ADV
,	,	PUNCTclause
il y a	il y a	VERB
toujours	toujours	ADV
un	un	DET
capitaine	capitaine	NOUN
à bord	à bord	ADV
,	,	PUNCTclause
John	John	PROPN
,	,	PUNCTclause
et	et	CCONJ
des	un	DET
matelots	matelot	NOUN
courageux	courageux	ADJ
,	,	PUNCTclause
sinon	sinon	CCONJ
habiles	habile	ADJ
,	,	PUNCTclause
tes	ton	DET
compagnons	compagnon	NOUN
.	.	PUNCTsent
Commande	commander	VERB
,	,	PUNCTclause
et	et	CCONJ
nous	nous	PRON
sommes	être	AUX
prêts	prêt	ADJ
à	à	ADP
te	te	PRON
obéir	obéir	VERB
.	.	PUNCTsent
»	»	PUNCTclause
↵↵	↵↵	PUNCTstruct
Le	le	DET
major	major	NOUN
,	,	PUNCTclause
Paganel	Paganel	PROPN
,	,	PUNCTclause
Robert	Robert	PROPN
,	,	PUNCTclause
Wilson	Wilson	PROPN
,	,	PUNCTclause
Mulrady	Mulrady	PROPN
,	,	PUNCTclause
Olbinett	Olbinett	PROPN
lui-même	lui-même	PRON
,	,	PUNCTclause
applaudirent	applaudir	VERB
aux	au	ADP_DET
paroles	parole	NOUN
de	de	ADP
Glenarvan	Glenarvan	PROPN
,	,	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
rangés	ranger	VERB
sur	sur	ADP
le	le	DET
pont	pont	NOUN
,	,	PUNCTclause
ils	ils	PRON
se	se	PRON
tinrent	tenir	VERB
à	à	ADP
la	le	DET
disposition	disposition	NOUN
de	de	ADP
John	John	PROPN
Mangles	Mangles	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
«	«	PUNCTclause
Que	que	PRON
faut	falloir	VERB
il	il	PRON
faire	faire	VERB
?	?	PUNCTsent
»	»	PUNCTclause
demanda	demander	VERB
Glenarvan	Glenarvan	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
jeune	jeune	ADJ
capitaine	capitaine	NOUN
promena	promener	VERB
son	son	DET
regard	regard	NOUN
sur	sur	ADP
la	le	DET
mer	mer	NOUN
,	,	PUNCTclause
observa	observer	VERB
la	le	DET
mâture	mâture	NOUN
incomplète	incomplet	ADJ
du	du	ADP_DET
brick	brick	NOUN
,	,	PUNCTclause
et	et	CCONJ
dit	dire	VERB
,	,	PUNCTclause
après	après	ADP
quelques	quelque	DET
instants	instant	NOUN
de	de	ADP
réflexion	réflexion	NOUN
:	:	PUNCTclause
↵↵	↵↵	PUNCTstruct
«	«	PUNCTclause
Nous	nous	PRON
avons	avoir	VERB
deux	deux	NUM
moyens	moyen	NOUN
,	,	PUNCTclause
milord	milord	NOUN
,	,	PUNCTclause
de	de	ADP
nous	nous	PRON
tirer	tirer	VERB
de	de	ADP
cette	ce	DET
