# columns = TERM LEMMA POS
# identifier = verne1874-48
# creator = Verne, Jules
# created = 1874
# isPartOf = Le Chancellor
# title = XLVIII

↵↵↵	↵↵↵	PUNCTstruct
Xlviii	Xlviii	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
19	19	NUM
janvier	janvier	NOUN
.	.	PUNCTsent
—	—	PUNCTclause
Pendant	pendant	ADP
la	le	DET
journée	journée	NOUN
du	du	ADP_DET
19	19	NUM
janvier	janvier	NOUN
,	,	PUNCTclause
même	même	ADV
ciel	ciel	NOUN
,	,	PUNCTclause
même	même	ADV
température	température	NOUN
.	.	PUNCTsent
La	le	DET
nuit	nuit	NOUN
arrive	arriver	VERB
sans	sans	ADP
apporter	apporter	VERB
aucune	aucun	DET
modification	modification	NOUN
dans	dans	ADP
l'	le	DET
état	état	NOUN
de	de	ADP
l'	le	DET
atmosphère	atmosphère	NOUN
.	.	PUNCTsent
Je	je	PRON
ne	ne	ADV
ai	avoir	AUX
pu	pouvoir	VERB
dormir	dormir	VERB
même	même	ADV
pendant	pendant	ADP
quelques	quelque	DET
heures	heure	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Vers	vers	ADP
le	le	DET
matin	matin	NOUN
,	,	PUNCTclause
je	je	PRON
entends	entendre	VERB
des	un	DET
cris	cri	NOUN
de	de	ADP
colère	colère	NOUN
qui	qui	PRON
éclatent	éclater	VERB
à bord	à bord	ADV
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
		TOKEN
.	.	PUNCTsent
Letourneur	Letourneur	PROPN
,	,	PUNCTclause
miss	miss	NOUN
Herbey	Herbey	PROPN
,	,	PUNCTclause
qui	qui	PRON
sont	être	VERB
avec	avec	ADP
moi	moi	PRON
sous	sous	ADP
la	le	DET
tente	tente	NOUN
,	,	PUNCTclause
se	se	PRON
relèvent	relever	VERB
.	.	PUNCTsent
je	je	PRON
écarte	écarter	VERB
la	le	DET
toile	toile	NOUN
,	,	PUNCTclause
et	et	CCONJ
je	je	PRON
regarde	regarder	VERB
ce	ce	PRON
qui	qui	PRON
se	se	PRON
passe	passer	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
bosseman	bosseman	NOUN
,	,	PUNCTclause
Daoulas	Daoulas	PROPN
,	,	PUNCTclause
les	le	DET
autres	autre	PRON
matelots	matelot	NOUN
sont	être	AUX
dans	dans	ADP
une	un	DET
exaspération	exaspération	NOUN
terrible	terrible	ADJ
.	.	PUNCTsent
Robert	robert	NOUN
Kurtis	Kurtis	PROPN
,	,	PUNCTclause
assis	asseoir	VERB
à	à	ADP
l'	le	DET
arrière	arrière	NOUN
,	,	PUNCTclause
se	se	PRON
lève	lever	VERB
,	,	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
se	se	PRON
informant	informer	VERB
de	de	ADP
ce	ce	PRON
qui	qui	PRON
excite	exciter	VERB
leur	leur	DET
fureur	fureur	NOUN
,	,	PUNCTclause
il	il	PRON
essaie	essayer	VERB
de	de	ADP
les	le	DET
calmer	calmer	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Non	non	ADV
!	!	PUNCTsent
non	non	ADV
!	!	PUNCTsent
nous	nous	PRON
saurons	savoir	VERB
qui	qui	PRON
a	avoir	AUX
fait	faire	VERB
cela	cela	PRON
!	!	PUNCTsent
dit	dire	VERB
Daoulas	Daoulas	PROPN
,	,	PUNCTclause
en	en	ADP
jetant	jeter	VERB
un	un	DET
regard	regard	NOUN
farouche	farouche	ADJ
autour de	autour de	ADP
lui	lui	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Oui	oui	INTJ
!	!	PUNCTsent
reprend	reprendre	VERB
le	le	DET
bosseman	bosseman	NOUN
,	,	PUNCTclause
il y a	il y a	VERB
un	un	DET
voleur	voleur	NOUN
ici	ici	ADV
,	,	PUNCTclause
puisque	puisque	SCONJ
ce	ce	PRON
qui	qui	PRON
nous	nous	PRON
restait	rester	VERB
a	avoir	AUX
disparu	disparaître	VERB
!	!	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Ce	ce	PRON
ne	ne	ADV
est	être	AUX
pas	pas	ADV
moi	moi	PRON
!	!	PUNCTsent
—	—	PUNCTclause
Ni	ni	CCONJ
moi	moi	PRON
!	!	PUNCTsent
répondent	répondre	VERB
tour à tour	tour à tour	ADV
les	le	DET
matelots	matelot	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Et	et	CCONJ
je	je	PRON
vois	voir	VERB
ces	ce	DET
malheureux	malheureux	ADJ
furetant	fureter	VERB
dans	dans	ADP
tous	tout	ADJ
les	le	DET
coins	coin	NOUN
