# columns = TERM LEMMA POS
# identifier = verne1875-52
# creator = Verne, Jules
# created = 1875
# isPartOf = L'Île mystérieuse
# title = X.

↵↵↵	↵↵↵	PUNCTstruct
X.	X.	PROPN
↵↵↵	↵↵↵	PUNCTstruct
Harbert	Harbert	PROPN
transporté	transporter	VERB
à	à	ADP
Granite-house	Granite-house	PROPN
.	.	PUNCTsent
—	—	PUNCTclause
Nab	Nab	PROPN
raconte	raconter	VERB
ce	ce	DET
qui	qui	PRON
se	se	PRON
est	être	AUX
passé	passer	VERB
.	.	PUNCTsent
—	—	PUNCTclause
Visite	visite	NOUN
de	de	ADP
Cyrus	Cyrus	PROPN
Smith	Smith	PROPN
au	au	ADP_DET
plateau	plateau	NOUN
.	.	PUNCTsent
—	—	PUNCTclause
Ruine	ruine	NOUN
et	et	CCONJ
dévastation	dévastation	NOUN
.	.	PUNCTsent
—	—	PUNCTclause
Les	le:PRON	PRON
colons	colon	NOUN
désarmés	désarmer	VERB
devant	devant	ADP
la	le	DET
maladie	maladie	NOUN
.	.	PUNCTsent
—	—	PUNCTclause
l'	le:PRON	PRON
écorce	écorcer	VERB
de	de	ADP
saule	saule	NOUN
.	.	PUNCTsent
—	—	PUNCTclause
Une	un	DET
fièvre	fièvre	NOUN
mortelle	mortel	ADJ
.	.	PUNCTsent
—	—	PUNCTclause
Top	top	NOUN
aboie	aboyer	VERB
encore	encore	ADV
!	!	PUNCTsent
↵↵↵	↵↵↵	PUNCTstruct
Des	un	ADP_DET
convicts	convicts	NOUN
,	,	PUNCTclause
des	un	DET
dangers	danger	NOUN
qui	qui	PRON
menaçaient	menacer	VERB
Granite-house	Granite-house	PROPN
,	,	PUNCTclause
des	un	DET
ruines	ruine	NOUN
dont	dont	PRON
le	le	DET
plateau	plateau	NOUN
était	être	AUX
couvert	couvrir	VERB
,	,	PUNCTclause
il	il	PRON
ne	ne	ADV
fut	être	AUX
plus	plus	ADV
question	question	NOUN
.	.	PUNCTsent
l'	le	DET
état	état	NOUN
de	de	ADP
Harbert	Harbert	PROPN
dominait	dominer	VERB
tout	tout	ADV
.	.	PUNCTsent
Le	le	DET
transport	transport	NOUN
lui	lui	PRON
avait	avoir	AUX
il	il	PRON
été	être	AUX
funeste	funeste	ADJ
,	,	PUNCTclause
en	en	ADP
provoquant	provoquer	VERB
quelque	quelque	DET
lésion	lésion	NOUN
intérieure	intérieur	ADJ
?	?	PUNCTsent
Le	le	DET
reporter	reporter	NOUN
ne	ne	ADV
pouvait	pouvoir	VERB
le	le	DET
dire	dire	NOUN
,	,	PUNCTclause
mais	mais	CCONJ
ses	son	DET
compagnons	compagnon	NOUN
et	et	CCONJ
lui	lui	PRON
étaient	être	AUX
désespérés	désespérer	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
chariot	chariot	NOUN
fut	être	AUX
amené	amener	VERB
au	au	ADP_DET
coude	coude	NOUN
de	de	ADP
la	le	DET
rivière	rivière	NOUN
.	.	PUNCTsent
Là	là	ADV
,	,	PUNCTclause
quelques	quelque	DET
branches	branche	NOUN
,	,	PUNCTclause
disposées	disposer	VERB
en forme de	en forme de	ADP
civière	civière	NOUN
,	,	PUNCTclause
reçurent	recevoir	VERB
les	le	DET
matelas	matelas	NOUN
sur	sur	ADP
lesquels	lesquels	PRON
reposait	reposer	VERB
Harbert	Harbert	PROPN
évanoui	évanouir	VERB
.	.	PUNCTsent
Dix	Dix	NUM
minutes	minute	NOUN
après	après	ADV
,	,	PUNCTclause
Cyrus	Cyrus	PROPN
Smith	Smith	PROPN
,	,	PUNCTclause
Gédéon	Gédéon	PROPN
Spilett	Spilett	PROPN
et	et	CCONJ
Pencroff	Pencroff	PROPN
étaient	être	AUX
au	au	ADP_DET
pied	pied	NOUN
de	de	ADP
la	le	DET
muraille	muraille	NOUN
,	,	PUNCTclause
laissant	laisser	VERB
à	à	ADP
Nab	Nab	PROPN
le	le	DET
soin	soin	NOUN
de	de	ADP
reconduire	reconduire	VERB
le	le	DET
chariot	chariot	NOUN
sur	sur	ADP
le	le	DET
plateau	plateau	NOUN
de	de	ADP
Grande-Vue	Grande-Vue	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
l'	le	DET
ascenseur	ascenseur	NOUN
fut	être	AUX
mis	mettre	VERB
en	en	ADP
mouvement	mouvement	NOUN
,	,	PUNCTclause
et	et	CCONJ
bientôt	bientôt	ADV
Harbert	Harbert	PROPN
était	être	AUX
étendu	étendre	VERB
sur	sur	ADP
sa	son	DET
couchette	couchette	NOUN
de	de	ADP
Granite-house	Granite-house	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Les	le	DET
soins	soin	NOUN
qui	qui	PRON
lui	lui	PRON
furent	être	AUX
prodigués	prodiguer	VERB
le	le	DET
ramenèrent	ramener	VERB
à	à	ADP
la	le	DET
vie	vie	NOUN
.	.	PUNCTsent
Il	il	PRON
sourit	sourire	VERB
un	un	DET
instant	instant	NOUN
en	en	ADP
se	se	PRON
retrouvant	retrouver	VERB
dans	dans	ADP
sa	son	DET
chambre	chambre	NOUN
,	,	PUNCTclause
mais	mais	CCONJ
il	il	PRON
put	pouvoir	VERB
à peine	à peine	ADV
murmurer	murmurer	VERB
quelques	quelque	DET
paroles	parole	NOUN
,	,	PUNCTclause
tant	tant	ADV
sa	son	DET
faiblesse	faiblesse	NOUN
était	être	AUX
grande	grand	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Gédéon	Gédéon	PROPN
Spilett	Spilett	PROPN
visita	visiter	VERB
ses	son	DET
plaies	plaie	NOUN
.	.	PUNCTsent
Il	il	PRON
craignait	craindre	VERB
que	que	SCONJ
elles	elles	PRON
ne	ne	ADV
se	se	PRON
fussent	être	VERB
rouvertes	rouvert	ADJ
,	,	PUNCTclause
étant	être	AUX
imparfaitement	imparfaitement	ADV
cicatrisées	cicatriser	VERB
…	…	PUNCTsent
il	il	PRON
ne	ne	ADV
en	en	PRON
était	être	AUX
rien	rien	PRON
.	.	PUNCTsent
de	de	ADP
où	où	PRON
venait	venir	VERB
donc	donc	ADV
cette	ce	DET
prostration	prostration	NOUN
?	?	PUNCTsent
Pourquoi	pourquoi	ADV
l'	le	DET
état	état	NOUN
de	de	ADP
Harbert	Harbert	PROPN
avait	avoir	VERB
il	il	PRON
empiré	empirer	VERB
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
jeune	jeune	ADJ
garçon	garçon	NOUN
fut	être	AUX
pris	prendre	VERB
alors	alors	ADV
de	de	ADP
une	un	DET
sorte	sorte	NOUN
de	de	ADP
sommeil	sommeil	NOUN
fiévreux	fiévreux	ADJ
,	,	PUNCTclause
et	et	CCONJ
le	le	DET
reporter	reporter	NOUN
et	et	CCONJ
Pencroff	Pencroff	PROPN
demeurèrent	demeurer	VERB
près de	près de	ADP
son	son	DET
lit	lit	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Pendant	pendant	ADP
ce	ce	DET
temps	temps	NOUN
,	,	PUNCTclause
Cyrus	Cyrus	PROPN
Smith	Smith	PROPN
mettait	mettre	VERB
Nab	Nab	PROPN
au	au	ADP_DET
courant	courant	NOUN
de	de	ADP
ce	ce	PRON
qui	qui	PRON
se	se	PRON
était	être	AUX
passé	passer	VERB
au	au	ADP_DET
corral	corral	NOUN
,	,	PUNCTclause
et	et	CCONJ
Nab	Nab	PROPN
racontait	raconter	VERB
à	à	ADP
son	son	DET
maître	maître	NOUN
les	le	DET
événements	événement	NOUN
dont	dont	PRON
le	le	DET
plateau	plateau	NOUN
venait	venir	VERB
de	de	ADP
être	être	AUX
le	le	DET
théâtre	théâtre	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
ce	ce	PRON
était	être	AUX
seulement	seulement	ADV
pendant	pendant	ADP
la	le	DET
nuit	nuit	NOUN
précédente	précédent	ADJ
que	que	SCONJ
les	le	DET
convicts	convicts	NOUN
se	se	PRON
étaient	être	AUX
montrés	montrer	VERB
sur	sur	ADP
la	le	DET
lisière	lisière	NOUN
de	de	ADP
la	le	DET
forêt	forêt	NOUN
,	,	PUNCTclause
aux	au	ADP_DET
approches	approche	NOUN
du	du	ADP_DET
creek	creek	NOUN
Glycérine	Glycérine	PROPN
.	.	PUNCTsent
Nab	Nab	PROPN
,	,	PUNCTclause
qui	qui	PRON
veillait	veiller	VERB
près de	près de	ADP
la	le	DET
basse-cour	basse-cour	NOUN
,	,	PUNCTclause
ne	ne	ADV
avait	avoir	AUX
pas	pas	ADV
hésité	hésiter	VERB
à	à	ADP
faire	faire	VERB
feu	feu	NOUN
sur	sur	ADP
l'un	l'un	PRON
de	de	ADP
ces	ce	DET
pirates	pirate	NOUN
,	,	PUNCTclause
qui	qui	PRON
se	se	PRON
disposait	disposer	VERB
à	à	ADP
traverser	traverser	VERB
le	le	DET
cours	cours	NOUN
de	de	ADP
eau	eau	NOUN
;	;	PUNCTclause
mais	mais	CCONJ
,	,	PUNCTclause
dans	dans	ADP
cette	ce	DET
nuit	nuit	NOUN
assez	assez	ADV
obscure	obscur	ADJ
,	,	PUNCTclause
il	il	PRON
ne	ne	ADV
avait	avoir	AUX
pu	pouvoir	VERB
savoir	savoir	VERB
si	si	SCONJ
ce	ce	DET
misérable	misérable	NOUN
avait	avoir	AUX
été	être	AUX
atteint	atteindre	VERB
.	.	PUNCTsent
En	en	ADP
tout	tout	PRON
cas	cas	NOUN
,	,	PUNCTclause
cela	cela	PRON
ne	ne	ADV
avait	avoir	VERB
pas	pas	ADV
suffi	suffire	VERB
pour	pour	ADP
écarter	écarter	VERB
la	le	DET
bande	bande	NOUN
,	,	PUNCTclause
et	et	CCONJ
Nab	Nab	PROPN
ne	ne	ADV
eut	avoir	VERB
que	que	SCONJ
le	le	DET
temps	temps	NOUN
de	de	ADP
remonter	remonter	VERB
à	à	ADP
Granite-house	Granite-house	PROPN
,	,	PUNCTclause
où	où	PRON
il	il	PRON
se	se	PRON
trouva	trouver	VERB
,	,	PUNCTclause
du	du	ADP_DET
moins	moins	ADV
,	,	PUNCTclause
en	en	ADP
sûreté	sûreté	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Mais	mais	CCONJ
que	que	PRON
faire	faire	AUX
alors	alors	ADV
?	?	PUNCTsent
Comment	comment	ADV
empêcher	empêcher	VERB
les	le	DET
dévastations	dévastation	NOUN
dont	dont	PRON
les	le	DET
convicts	convicts	NOUN
menaçaient	menacer	VERB
le	le	DET
plateau	plateau	NOUN
?	?	PUNCTsent
Nab	Nab	PROPN
avait	avoir	VERB
il	il	PRON
un	un	DET
moyen	moyen	NOUN
de	de	ADP
prévenir	prévenir	VERB
son	son	DET
maître	maître	NOUN
?	?	PUNCTsent
Et	et	CCONJ
d'ailleurs	d'ailleurs	ADV
,	,	PUNCTclause
dans	dans	ADP
quelle	quel	DET
situation	situation	NOUN
se	se	PRON
trouvaient	trouver	VERB
eux-mêmes	eux-mêmes	PRON
les	le	DET
hôtes	hôte	NOUN
du	du	ADP_DET
corral	corral	NOUN
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
Cyrus	Cyrus	PROPN
Smith	Smith	PROPN
et	et	CCONJ
ses	son	DET
compagnons	compagnon	NOUN
étaient	être	AUX
partis	partir	VERB
depuis	depuis	ADP
le	le	DET
11	11	NUM
novembre	novembre	NOUN
,	,	PUNCTclause
et	et	CCONJ
l'on	on	PRON
était	être	AUX
au	au	ADP_DET
29	29	NUM
.	.	PUNCTsent
il y a	il y a	VERB
donc	donc	ADV
dix-neuf	dix-neuf	NUM
jours	jour	NOUN
que	que	SCONJ
Nab	Nab	PROPN
ne	ne	ADV
avait	avoir	AUX
eu	avoir	VERB
d'autres	d'autre	PRON
nouvelles	nouveau	ADJ
que	que	SCONJ
celles	celle	PRON
que	que	PRON
Top	Top	PROPN
lui	lui	PRON
avait	avoir	AUX
apportées	apporter	VERB
,	,	PUNCTclause
nouvelles	nouveau	ADJ
désastreuses	désastreux	ADJ
