# columns = TERM LEMMA POS
# identifier = verne1882a-09
# creator = Verne, Jules
# created = 1882
# isPartOf = L'École des Robinsons
# title = IX. Où il est démontré que tout n’est pas rose dans le métier de Robinson

↵↵↵	↵↵↵	PUNCTstruct
		TOKEN
.	.	PUNCTsent
Où	où	PRON
il	il	PRON
est	être	AUX
démontré	démontrer	VERB
que	que	SCONJ
tout	tout	PRON
ne	ne	ADV
est	être	AUX
pas	pas	ADV
rose	rose	ADJ
dans	dans	ADP
le	le	DET
métier	métier	NOUN
de	de	ADP
Robinson	Robinson	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Cela	cela	PRON
fait	faire	VERB
,	,	PUNCTclause
le	le	DET
professeur	professeur	NOUN
et	et	CCONJ
l'	le	DET
élève	élève	NOUN
se	se	PRON
jetèrent	jeter	VERB
dans	dans	ADP
les	le	DET
bras	bras	NOUN
l'un	l'un	PRON
de	de	ADP
l'autre	l'autre	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Mon	mon	DET
cher	cher	ADJ
Godfrey	Godfrey	PROPN
!	!	PUNCTsent
se	se	PRON
écria	écrier	VERB
Tartelett	Tartelett	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Mon	mon	DET
bon	bon	ADJ
Tartelett	Tartelett	PROPN
!	!	PUNCTsent
répondit	répondre	VERB
Godfrey	Godfrey	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Enfin	enfin	ADV
,	,	PUNCTclause
nous	nous	PRON
sommes	être	AUX
donc	donc	ADV
arrivés	arriver	VERB
au	au	ADP_DET
port	port	NOUN
!	!	PUNCTsent
se	se	PRON
écria	écrier	VERB
le	le	DET
professeur	professeur	NOUN
du	du	ADP_DET
ton	ton	NOUN
de	de	ADP
un	un	DET
homme	homme	NOUN
qui	qui	PRON
en	en	PRON
a	avoir	VERB
assez	assez	ADV
de	de	ADP
la	le	DET
navigation	navigation	NOUN
et	et	CCONJ
de	de	ADP
ses	son	DET
accidents	accident	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Il	il	PRON
appelait	appeler	VERB
cela	cela	PRON
:	:	PUNCTclause
être	être	AUX
arrivé	arriver	VERB
au	au	ADP_DET
port	port	NOUN
!	!	PUNCTsent
Godfrey	Godfrey	PROPN
ne	ne	ADV
voulut	vouloir	VERB
pas	pas	ADV
discuter	discuter	VERB
à	à	ADP
ce	ce	DET
sujet	sujet	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Enlevez	enlever	VERB
votre	votre	DET
ceinture	ceinture	NOUN
de	de	ADP
sauvetage	sauvetage	NOUN
,	,	PUNCTclause
dit	dire	VERB
il	il	PRON
.	.	PUNCTsent
Cette	ce	DET
machine	machine	NOUN
vous	vous	PRON
étouffe	étouffer	VERB
et	et	CCONJ
gêne	gêner	VERB
vos	vos	DET
mouvements	mouvement	NOUN
!	!	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Pensez	penser	VERB
vous	vous	PRON
donc	donc	ADV
que	que	PRON
je	je	PRON
puisse	pouvoir	VERB
le	le:PRON	PRON
faire	faire	AUX
sans	sans	ADP
inconvénients	inconvénient	NOUN
?	?	PUNCTsent
demanda	demander	VERB
Tartelett	Tartelett	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Sans	sans	ADP
inconvénient	inconvénient	NOUN
,	,	PUNCTclause
répondit	répondre	VERB
Godfrey	Godfrey	PROPN
.	.	PUNCTsent
Maintenant	maintenant	ADV
,	,	PUNCTclause
serrez	serrer	VERB
votre	votre	DET
pochette	pochette	NOUN
et	et	CCONJ
allons	aller	VERB
à	à	ADP
la	le	DET
découverte	découverte	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Allons	aller	VERB
,	,	PUNCTclause
répliqua	répliquer	VERB
le	le	DET
professeur	professeur	NOUN
;	;	PUNCTclause
mais	mais	CCONJ
,	,	PUNCTclause
si	si	SCONJ
il	il	PRON
vous	vous	PRON
plaît	plaire	VERB
,	,	PUNCTclause
Godfrey	Godfrey	PROPN
,	,	PUNCTclause
nous	nous	PRON
nous	nous	PRON
arrêterons	arrêter	VERB
au	au	ADP_DET
premier	premier	ADJ
bar	bar	NOUN
.	.	PUNCTsent
Je	je	PRON
meurs	mourir	VERB
de	de	ADP
faim	faim	NOUN
,	,	PUNCTclause
et	et	CCONJ
une	un	DET
douzaine	douzaine	NOUN
de	de	ADP
sandwiches	sandwich	NOUN
,	,	PUNCTclause
arrosée	arroser	VERB
de	de	ADP
quelques	quelque	DET
verres	verre	NOUN
de	de	ADP
porto	porto	NOUN
,	,	PUNCTclause
me	me	PRON
remettraient	remettre	VERB
tout	tout	ADV
à	à	ADP
fait	fait	NOUN
sur	sur	ADP
mes	mon	DET
jambes	jambe	NOUN
!	!	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Oui	oui	INTJ
!	!	PUNCTsent
au	au	ADP_DET
premier	premier	ADJ
bar	bar	NOUN
!…	!…	PUNCTsent
répondit	répondre	VERB
Godfrey	Godfrey	PROPN
en	en	ADP
hochant	hocher	VERB
la	le	DET
tête	tête	NOUN
,	,	PUNCTclause
et	et	CCONJ
même	même	ADV
au	au	ADP_DET
dernier	dernier	ADJ
…	…	PUNCTsent
si	si	SCONJ
le	le	DET
premier	premier	ADJ
ne	ne	ADV
nous	nous	PRON
convient	convenir	VERB
pas	pas	ADV
!	!	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Puis	puis	CCONJ
,	,	PUNCTclause
reprit	reprendre	VERB
Tartelett	Tartelett	PROPN
,	,	PUNCTclause
nous	nous	PRON
demanderons	demander	VERB
à	à	ADP
quelque	quelque	DET
passant	passant	NOUN
où	où	PRON
se	se	PRON
trouve	trouver	VERB
le	le	DET
bureau	bureau	NOUN
télégraphique	télégraphique	ADJ
,	,	PUNCTclause
afin de	afin de	ADP
lancer	lancer	VERB
immédiatement	immédiatement	ADV
une	un	DET
dépêche	dépêche	NOUN
à	à	ADP
votre	votre	DET
oncle	oncle	NOUN
Kolderup	Kolderup	PROPN
.	.	PUNCTsent
je	je	PRON
imagine	imaginer	VERB
que	que	SCONJ
cet	ce	DET
excellent	excellent	ADJ
homme	homme	NOUN
ne	ne	ADV
refusera	refuser	VERB
pas	pas	ADV
de	de	ADP
nous	nous	PRON
envoyer	envoyer	VERB
l'	le	DET
argent	argent	NOUN
nécessaire	nécessaire	ADJ
pour	pour	ADP
regagner	regagner	VERB
l'	le	DET
hôtel	hôtel	NOUN
de	de	ADP
Montgomery-Street	Montgomery-Street	PROPN
,	,	PUNCTclause
car	car	CCONJ
je	je	PRON
ne	ne	ADV
ai	avoir	AUX
pas	pas	ADV
un	un	DET
cent	cent	NOUN
sur	sur	ADP
moi	moi	PRON
!	!	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ce	ce	PRON
est	être	AUX
convenu	convenir	VERB
,	,	PUNCTclause
au	au	ADP_DET
premier	premier	ADJ
bureau	bureau	NOUN
télégraphique	télégraphique	ADJ
,	,	PUNCTclause
répondit	répondre	VERB
Godfrey	Godfrey	PROPN
,	,	PUNCTclause
ou	ou	CCONJ
,	,	PUNCTclause
si	si	SCONJ
il	il	PRON
ne	ne	ADV
y	y	PRON
en	en	PRON
a	avoir	AUX
pas	pas	ADV
dans	dans	ADP
ce	ce	DET
pays	pays	NOUN
,	,	PUNCTclause
au	au	ADP_DET
premier	premier	ADJ
bureau	bureau	NOUN
du	du	ADP_DET
Post-Office	Post-Office	NOUN
.	.	PUNCTsent
En	en	ADP
route	route	NOUN
,	,	PUNCTclause
Tartelett	Tartelett	PROPN
!	!	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
professeur	professeur	NOUN
,	,	PUNCTclause
se	se	PRON
débarrassant	débarrasser	VERB
de	de	ADP
son	son	DET
appareil	appareil	NOUN
natatoire	natatoire	ADJ
,	,	PUNCTclause
le	le	DET
passa	passer	VERB
autour de	autour de	ADP
lui	lui	PRON
comme	comme	ADP
un	un	DET
cor	cor	NOUN
de	de	ADP
chasse	chasse	NOUN
,	,	PUNCTclause
et	et	CCONJ
les	le	DET
voilà	voilà	ADP
se	se	PRON
dirigeant	diriger	VERB
tous les deux	tous les deux	PRON
vers	vers	ADP
la	le	DET
lisière	lisière	NOUN
de	de	ADP
dunes	dune	NOUN
qui	qui	PRON
bordaient	border	VERB
le	le	DET
littoral	littoral	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Ce	ce	PRON
qui	qui	PRON
intéressait	intéresser	VERB
plus	plus	ADV
particulièrement	particulièrement	ADV
Godfrey	Godfrey	PROPN
,	,	PUNCTclause
à	à	ADP
qui	qui	PRON
la	le	DET
rencontre	rencontre	NOUN
de	de	ADP
Tartelett	Tartelett	PROPN
avait	avoir	AUX
rendu	rendre	VERB
quelque	quelque	DET
espoir	espoir	NOUN
,	,	PUNCTclause
ce	ce	PRON
était	être	AUX
de	de	ADP
reconnaître	reconnaître	VERB
si	si	SCONJ
ils	ils	PRON
avaient	avoir	VERB
seuls	seul	ADJ
survécu	survivre	VERB
au	au	ADP_DET
naufrage	naufrage	NOUN
du	du	ADP_DET
Dream	Dream	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Un	un	DET
quart d'heure	quart d'heure	NOUN
après	après	ADP
avoir	avoir	AUX
quitté	quitter	VERB
le	le	DET
seuil	seuil	NOUN
du	du	ADP_DET
récif	récif	NOUN
,	,	PUNCTclause
nos	nos	DET
deux	deux	NUM
explorateurs	explorateur	NOUN
gravissaient	gravir	VERB
une	un	DET
dune	dune	NOUN
haute	haut	ADJ
de	de	ADP
soixante	soixante	NUM
à	à	ADP
quatre-vingts	quatre-vingts	NUM
pieds	pied	NOUN
et	et	CCONJ
arrivaient	arriver	VERB
à	à	ADP
sa	son	DET
crête	crête	NOUN
.	.	PUNCTsent
De	de	ADP
là	là	ADV
,	,	PUNCTclause
ils	ils	PRON
dominaient	dominer	VERB
le	le	DET
littoral	littoral	NOUN
