# columns = TERM LEMMA POS
# identifier = zola1878-04
# creator = Zola, Émile
# created = 1878
# isPartOf = Une page d’amour
# title = IV

↵↵↵	↵↵↵	PUNCTstruct
		TOKEN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
La	le	DET
semaine	semaine	NOUN
suivante	suivant	ADJ
,	,	PUNCTclause
lorsque	lorsque	SCONJ
madame	madame	NOUN
Deberle	Deberle	PROPN
rendit	rendre	VERB
à	à	ADP
madame	madame	NOUN
Grandjean	Grandjean	PROPN
sa	son	DET
visite	visite	NOUN
,	,	PUNCTclause
elle	elle	PRON
se	se	PRON
montra	montrer	VERB
de	de	ADP
une	un	DET
amabilité	amabilité	NOUN
pleine	plein	ADJ
de	de	ADP
caresses	caresse	NOUN
.	.	PUNCTsent
Et	et	CCONJ
,	,	PUNCTclause
sur	sur	ADP
le	le	DET
seuil	seuil	NOUN
,	,	PUNCTclause
comme	comme	SCONJ
elle	elle	PRON
se	se	PRON
retirait	retirer	VERB
:	:	PUNCTclause
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Vous	vous	PRON
savez	savoir	VERB
ce	ce	PRON
que	que	SCONJ
vous	vous	PRON
me	me	PRON
avez	avoir	AUX
promis	promettre	VERB
…	…	PUNCTsent
Le	le	DET
premier	premier	ADJ
jour	jour	NOUN
de	de	ADP
beau temps	beau temps	NOUN
,	,	PUNCTclause
vous	vous	PRON
descendez	descendre	VERB
au	au	ADP_DET
jardin	jardin	NOUN
et	et	CCONJ
vous	vous	PRON
amenez	amener	VERB
Jeanne	Jeanne	PROPN
.	.	PUNCTsent
ce	ce	PRON
est	être	AUX
une	un	DET
ordonnance	ordonnance	NOUN
du	du	ADP_DET
docteur	docteur	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Hélène	Hélène	PROPN
souriait	sourire	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Oui	oui	INTJ
,	,	PUNCTclause
oui	oui	INTJ
,	,	PUNCTclause
la	le	DET
chose	chose	NOUN
est	être	AUX
entendue	entendre	VERB
.	.	PUNCTsent
Comptez	compter	VERB
sur	sur	ADP
nous	nous	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Trois	Trois	NUM
jours	jour	NOUN
plus tard	plus tard	ADV
,	,	PUNCTclause
par	par	ADP
une	un	DET
claire	clair	NOUN
après-midi	après-midi	NOUN
de	de	ADP
février	février	NOUN
,	,	PUNCTclause
elle	elle	PRON
descendit	descendre	VERB
en effet	en effet	ADV
avec	avec	ADP
sa	son	DET
fille	fille	NOUN
.	.	PUNCTsent
La	le	DET
concierge	concierge	NOUN
leur	leur	PRON
ouvrit	ouvrir	VERB
la	le	DET
porte	porte	NOUN
de	de	ADP
communication	communication	NOUN
.	.	PUNCTsent
Au	au	ADP_DET
fond	fond	NOUN
du	du	ADP_DET
jardin	jardin	NOUN
,	,	PUNCTclause
dans	dans	ADP
une	un	DET
sorte	sorte	NOUN
de	de	ADP
serre	serre	NOUN
transformée	transformer	VERB
en	en	ADP
pavillon	pavillon	NOUN
japonais	japonais	ADJ
,	,	PUNCTclause
elles	elles	PRON
trouvèrent	trouver	VERB
madame	madame	NOUN
Deberle	Deberle	PROPN
,	,	PUNCTclause
ayant	avoir	AUX
auprès de	auprès de	ADP
elle	elle	PRON
sa	son	DET
sœur	sœur	NOUN
Pauline	Pauline	PROPN
,	,	PUNCTclause
toutes	tout	ADJ
deux	deux	NUM
les	le	DET
mains	main	NOUN
abandonnées	abandonner	VERB
,	,	PUNCTclause
avec	avec	ADP
des	un	DET
ouvrages	ouvrage	NOUN
de	de	ADP
broderie	broderie	NOUN
sur	sur	ADP
une	un	DET
petite	petit	ADJ
table	table	NOUN
,	,	PUNCTclause
que	que	SCONJ
elles	elles	PRON
avaient	avoir	VERB
posés	poser	VERB
là	là	ADV
et	et	CCONJ
oubliés	oublier	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ha	ha	INTJ
!	!	PUNCTsent
que	que	SCONJ
ce	ce	PRON
est	être	AUX
donc	donc	ADV
aimable	aimable	ADJ
à	à	ADP
vous	vous	PRON
!	!	PUNCTsent
dit	dire	VERB
Juliette	Juliette	PROPN
.	.	PUNCTsent
Tenez	tenir	VERB
,	,	PUNCTclause
mettez	mettre	VERB
vous	vous	PRON
ici	ici	ADV
…	…	PUNCTsent
Pauline	Pauline	PROPN
,	,	PUNCTclause
pousse	pousser	VERB
cette	ce	DET
table	table	NOUN
…	…	PUNCTsent
Vous	vous	PRON
voyez	voir	VERB
,	,	PUNCTclause
il	il	PRON
fait	faire	VERB
encore	encore	ADV
un	un	DET
peu	peu	ADV
frais	frais	ADJ
,	,	PUNCTclause
lorsque	lorsque	SCONJ
on	on	PRON
reste	rester	VERB
assis	assis	ADJ
,	,	PUNCTclause
et	et	CCONJ
de	de	ADP
ce	ce	PRON
pavillon	pavillon	NOUN
nous	nous	PRON
surveillerons	surveiller	VERB
très	très	ADV
bien	bien	ADV
les	le	DET
enfants	enfant	NOUN
…	…	PUNCTsent
Allons	aller	VERB
,	,	PUNCTclause
jouez	jouer	VERB
,	,	PUNCTclause
mes	mon	DET
enfants	enfant	NOUN
.	.	PUNCTsent
Surtout	surtout	ADV
,	,	PUNCTclause
prenez	prendre	VERB
garde	garde	NOUN
de	de	ADP
tomber	tomber	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
La	le	DET
large	large	ADJ
baie	bai	NOUN
du	du	ADP_DET
pavillon	pavillon	NOUN
était	être	AUX
ouverte	ouvrir	VERB
,	,	PUNCTclause
et	et	CCONJ
de	de	ADP
chaque	chaque	DET
côté	côté	NOUN
on	on	PRON
avait	avoir	AUX
tiré	tirer	VERB
dans	dans	ADP
leur	leur	DET
châssis	châssis	NOUN
des	un	ADP_DET
glaces	glace	NOUN
mobiles	mobile	ADJ
;	;	PUNCTclause
de sorte que	de sorte que	SCONJ
le	le	DET
jardin	jardin	NOUN
se	se	PRON
développait	développer	VERB
de	de	ADP
plain-pied	plain-pied	NOUN
,	,	PUNCTclause
comme	comme	ADP
au	au	ADP_DET
seuil	seuil	NOUN
de	de	ADP
une	un	DET
tente	tente	NOUN
.	.	PUNCTsent
ce	ce	PRON
était	être	AUX
un	un	DET
jardin	jardin	NOUN
bourgeois	bourgeois	ADJ
,	,	PUNCTclause
avec	avec	ADP
une	un	DET
pelouse	pelouse	NOUN
centrale	central	ADJ
,	,	PUNCTclause
flanquée	flanquer	VERB
de	de	ADP
deux	deux	NUM
corbeilles	corbeille	NOUN
.	.	PUNCTsent
Une	un	DET
simple	simple	ADJ
grille	grille	NOUN
le	le	DET
fermait	fermer	VERB
sur	sur	ADP
la	le	DET
rue	rue	NOUN
Vineuse	Vineuse	PROPN
;	;	PUNCTclause
seulement	seulement	ADV
,	,	PUNCTclause
un	un	DET
tel	tel	PRON
rideau	rideau	NOUN
de	de	ADP
verdure	verdure	NOUN
avait	avoir	VERB
grandi	grandir	VERB
là	là	ADV
,	,	PUNCTclause
que	que	SCONJ
de	de	ADP
la	le	DET
rue	rue	NOUN
aucun	aucun	DET
regard	regard	NOUN
ne	ne	ADV
pouvait	pouvoir	VERB
pénétrer	pénétrer	VERB
;	;	PUNCTclause
des	un	DET
lierres	lierre	NOUN
,	,	PUNCTclause
des	un	DET
clématites	clématite	NOUN
,	,	PUNCTclause
des	un	DET
chèvrefeuilles	chèvrefeuille	NOUN
se	se	PRON
collaient	coller	VERB
et	et	CCONJ
se	se	PRON
enroulaient	enrouler	VERB
à	à	ADP
la	le	DET
grille	grille	NOUN
,	,	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
derrière	derrière	ADP
ce	ce	DET
premier	premier	ADJ
mur	mur	NOUN
de	de	ADP
feuillage	feuillage	NOUN
,	,	PUNCTclause
se	se	PRON
en	en	ADP
haussait	hausser	VERB
un	un	DET
second	second	ADJ
,	,	PUNCTclause
fait	faire	VERB
de	de	ADP
lilas	lilas	NOUN
et	et	CCONJ
de	de	ADP
faux	faux	NOUN
ébéniers	ébénier	ADJ
.	.	PUNCTsent
Même	même	ADV
l'	le	DET
hiver	hiver	NOUN
,	,	PUNCTclause
les	le	DET
feuilles	feuille	NOUN
persistantes	persistant	ADJ
des	un	ADP_DET
lierres	lierre	NOUN
et	et	CCONJ
l'	le	DET
entrelacement	entrelacement	NOUN
des	un	ADP_DET
branches	branche	NOUN
suffisaient	suffire	VERB
à	à	ADP
barrer	barrer	VERB
la	le	DET
vue	vue	NOUN
.	.	PUNCTsent
Mais	mais	CCONJ
le	le	DET
grand	grand	ADJ
charme	charme	NOUN
était	être	AUX
,	,	PUNCTclause
au	au	ADP_DET
fond	fond	NOUN
,	,	PUNCTclause
quelques	quelque	DET
arbres	arbre	NOUN
de	de	ADP
haute	haut	ADJ
futaie	futaie	NOUN
,	,	PUNCTclause
des	un	DET
ormes	orme	NOUN
superbes	superbe	ADJ
qui	qui	PRON
masquaient	masquer	VERB
la	le	DET
muraille	muraille	NOUN
noire	noir	ADJ
de	de	ADP
une	un	DET
maison	maison	NOUN
à	à	ADP
cinq	cinq	NUM
étages	étage	NOUN
.	.	PUNCTsent
Ils	ils	PRON
mettaient	mettre	VERB
,	,	PUNCTclause
dans	dans	ADP
cet	ce	DET
étranglement	étranglement	NOUN
des	un	ADP_DET
constructions	construction	NOUN
voisines	voisin	ADJ
,	,	PUNCTclause
