# columns = TERM LEMMA POS PROB
# identifier = balzac1844FC47
# creator = Balzac, Honoré de
# created = 1844
# modified = 1846
# title = Un homme d’affaires. Études de mœurs. Scènes de la vie parisienne

↵↵	↵↵	PUNCTstruct
Lorette	Lorette	PROPN
est	être	AUX
un	un	DET
mot	mot	NOUN
décent	décent	ADJ
inventé	inventer	VERB
pour	pour	ADP
exprimer	exprimer	VERB
l'	le	DET
état	état	NOUN
de	de	ADP
une	un	DET
fille	fille	NOUN
ou	ou	CCONJ
la	le	DET
fille	fille	NOUN
de	de	ADP
un	un	DET
état	état	NOUN
difficile	difficile	ADJ
à	à	ADP
nommer	nommer	VERB
,	,	PUNCTclause
et	et	CCONJ
que	que	SCONJ
,	,	PUNCTclause
dans	dans	ADP
sa	son	DET
pudeur	pudeur	NOUN
,	,	PUNCTclause
l'	le	DET
Académie	académie	NOUN
Française	français	ADJ
a	avoir	AUX
négligé	négliger	VERB
de	de	ADP
définir	définir	VERB
,	,	PUNCTclause
vu	vu	ADP
l'	le	DET
âge	âge	NOUN
de	de	ADP
ses	son	DET
quarante	quarante	NUM
membres	membre	NOUN
.	.	PUNCTsent
Quand	quand	SCONJ
un	un	DET
nom	nom	NOUN
nouveau	nouveau	ADJ
répond	répondre	VERB
à	à	ADP
un	un	DET
cas	cas	NOUN
social	social	ADJ
que	que	SCONJ
on	on	PRON
ne	ne	ADV
pouvait	pouvoir	VERB
pas	pas	ADV
dire	dire	VERB
sans	sans	ADP
périphrases	périphrase	NOUN
,	,	PUNCTclause
la	le	DET
fortune	fortune	NOUN
de	de	ADP
ce	ce	DET
mot	mot	NOUN
est	être	AUX
faite	faire	VERB
.	.	PUNCTsent
Aussi	aussi	ADV
la	le	DET
Lorette	Lorette	PROPN
passa	passer	VERB
elle	elle	PRON
dans	dans	ADP
toutes	tout	ADJ
les	le	DET
classes	classe	NOUN
de	de	ADP
la	le	DET
société	société	NOUN
,	,	PUNCTclause
même	même	ADV
dans	dans	ADP
celles	celle	PRON
où	où	PRON
ne	ne	ADV
passera	passer	VERB
jamais	jamais	ADV
une	un	DET
Lorette	Lorette	PROPN
.	.	PUNCTsent
Le	le	DET
mot	mot	NOUN
ne	ne	ADV
fut	être	AUX
fait	faire	VERB
que	que	SCONJ
en	en	ADP
1840	1840	NUM
,	,	PUNCTclause
sans doute	sans doute	ADV
à cause de	à cause de	ADP
l'	le	DET
agglomération	agglomération	NOUN
de	de	ADP
ces	ce	DET
nids	nid	NOUN
de	de	ADP
hirondelles	hirondelle	NOUN
autour de	autour de	ADP
l'	le	DET
église	église	NOUN
dédiée	dédier	VERB
à	à	ADP
Notre-Dame-de-Lorette	Notre-Dame-de-Lorette	PROPN
.	.	PUNCTsent
Ceci	ceci	PRON
ne	ne	ADV
est	être	AUX
écrit	écrire	VERB
que	que	SCONJ
pour	pour	ADP
les	le	DET
étymologistes	étymologiste	NOUN
.	.	PUNCTsent
Ces	ce	DET
messieurs	messieurs	NOUN
ne	ne	ADV
seraient	être	AUX
pas	pas	ADV
tant	tant	ADV
embarrassés	embarrasser	VERB
si	si	SCONJ
les	le	DET
écrivains	écrivain	NOUN
du	du	ADP_DET
Moyen-Âge	Moyen-Âge	NOUN
avaient	avoir	AUX
pris	prendre	VERB
le	le	DET
soin	soin	NOUN
de	de	ADP
détailler	détailler	VERB
les	le	DET
mœurs	mœurs	NOUN
,	,	PUNCTclause
comme	comme	ADP
nous	nous	PRON
le	le:PRON	PRON
faisons	faire	VERB
dans	dans	ADP
ce	ce	DET
temps	temps	NOUN
de	de	ADP
analyse	analyse	NOUN
et	et	CCONJ
de	de	ADP
description	description	NOUN
.	.	PUNCTsent
Mademoiselle	mademoiselle	NOUN
Turquet	Turquet	PROPN
,	,	PUNCTclause
ou	ou	CCONJ
Malaga	Malaga	PROPN
,	,	PUNCTclause
car	car	CCONJ
elle	elle	PRON
est	être	AUX
beaucoup	beaucoup	ADV
plus	plus	ADV
connue	connaître	VERB
sous	sous	ADP
son	son	DET
nom	nom	NOUN
de	de	ADP
guerre	guerre	NOUN
(	(	PUNCTclause
Voir	voir	VERB
la	le	DET
Fausse	Fausse	PROPN
Maîtresse	Maîtresse	PROPN
)	)	PUNCTclause
,	,	PUNCTclause
est	être	AUX
l'une	l'une	PRON
des	un	ADP_DET
premières	premier	ADJ
paroissiennes	paroissien	NOUN
de	de	ADP
cette	ce	DET
charmante	charmant	ADJ
église	église	NOUN
.	.	PUNCTsent
Cette	ce	DET
joyeuse	joyeux	ADJ
et	et	CCONJ
spirituelle	spirituel	ADJ
fille	fille	NOUN
,	,	PUNCTclause
ne	ne	ADV
possédant	posséder	VERB
que	que	SCONJ
sa	son	DET
beauté	beauté	NOUN
pour	pour	ADP
fortune	fortune	NOUN
,	,	PUNCTclause
faisait	faire	VERB
,	,	PUNCTclause
au moment où	au moment où	ADP
cette	ce	DET
histoire	histoire	NOUN
se	se	PRON
conta	conter	VERB
,	,	PUNCTclause
le	le	DET
bonheur	bonheur	NOUN
de	de	ADP
un	un	DET
notaire	notaire	NOUN
qui	qui	PRON
trouvait	trouver	VERB
dans	dans	ADP
sa	son	DET
notaresse	notaresse	NOUN
une	un	DET
femme	femme	NOUN
un	un	DET
peu	peu	ADV
trop	trop	ADV
dévote	dévot	ADJ
,	,	PUNCTclause
un	un	DET
peu	peu	ADV
trop	trop	ADV
raide	raide	ADJ
,	,	PUNCTclause
un	un	DET
peu	peu	ADV
trop	trop	ADV
sèche	sec	ADJ
pour	pour	ADP
trouver	trouver	VERB
le	le	DET
bonheur	bonheur	NOUN
au	au	ADP_DET
logis	logis	NOUN
.	.	PUNCTsent
Or	or	NOUN
,	,	PUNCTclause
par	par	ADP
une	un	DET
soirée	soirée	NOUN
de	de	ADP
carnaval	carnaval	NOUN
,	,	PUNCTclause
maître	maître	NOUN
Cardot	Cardot	PROPN
avait	avoir	AUX
régalé	régaler	VERB
,	,	PUNCTclause
chez	chez	ADP
mademoiselle	mademoiselle	NOUN
Turquet	Turquet	PROPN
,	,	PUNCTclause
Desroches	Desroches	PROPN
l'	le:PRON	PRON
avoué	avouer	VERB
,	,	PUNCTclause
Bixiou	Bixiou	PROPN
le	le:PRON	PRON
caricaturiste	caricaturiste	NOUN
,	,	PUNCTclause
Lousteau	Lousteau	PROPN
le	le:PRON	PRON
feuilletoniste	feuilletoniste	NOUN
,	,	PUNCTclause
Nathan	Nathan	PROPN
dont	dont	PRON
les	le	DET
noms	nom	NOUN
illustres	illustre	ADJ
dans	dans	ADP
la	le	DET
Comédie	comédie	NOUN
humaine	humain	ADJ
rendent	rendre	VERB
superflue	superflu	ADJ
toute	toute	DET
espèce	espèce	NOUN
de	de	ADP
portrait	portrait	NOUN
.	.	PUNCTsent
Le	le	DET
jeune	jeune	ADJ
la	le	DET
Palférine	Palférine	PROPN
,	,	PUNCTclause
dont	dont	PRON
le	le	DET
titre	titre	NOUN
de	de	ADP
comte	comte	NOUN
de	de	ADP
vieille	vieux	ADJ
roche	roche	NOUN
,	,	PUNCTclause
roche	roche	NOUN
sans	sans	ADP
aucun	aucun	DET
filon	filon	NOUN
de	de	ADP
métal	métal	NOUN
hélas	hélas	INTJ
!	!	PUNCTsent
avait	avoir	AUX
honoré	honorer	VERB
de	de	ADP
sa	son	DET
présence	présence	NOUN
le	le	DET
domicile	domicile	NOUN
illégal	illégal	ADJ
du	du	ADP_DET
notaire	notaire	NOUN
.	.	PUNCTsent
Si	si	SCONJ
l'on	on	PRON
ne	ne	ADV
dîne	dîner	VERB
pas	pas	ADV
chez	chez	ADP
une	un	DET
Lorette	Lorette	PROPN
pour	pour	ADP
y	y	PRON
manger	manger	VERB
le	le	DET
bœuf	bœuf	NOUN
patriarcal	patriarcal	ADJ
,	,	PUNCTclause
le	le	DET
maigre	maigre	NOUN
poulet	poulet	NOUN
de	de	ADP
la	le	DET
table	table	NOUN
conjugale	conjugal	ADJ
et	et	CCONJ
la	le	DET
salade	salade	NOUN
de	de	ADP
famille	famille	NOUN
,	,	PUNCTclause
l'on	on	PRON
ne	ne	ADV
y	y	PRON
tient	tenir	VERB
pas	pas	ADV
non	non	ADV
plus	plus	ADV
les	le	DET
discours	discours	NOUN
hypocrites	hypocrite	ADJ
qui	qui	PRON
ont	avoir	AUX
cours	cours	NOUN
dans	dans	ADP
un	un	DET
salon	salon	NOUN
meublé	meubler	VERB
de	de	ADP
vertueuses	vertueux	ADJ
bourgeoises	bourgeois	NOUN
.	.	PUNCTsent
ha	ha	INTJ
!	!	PUNCTsent
quand	quand	SCONJ
les	le	DET
bonnes	bon	ADJ
mœurs	mœurs	NOUN
seront	être	AUX
elles	elles	PRON
attrayantes	attrayant	ADJ
?	?	PUNCTsent
Quand	quand	SCONJ
les	le	DET
femmes	femme	NOUN
du	du	ADP_DET
grand	grand	ADJ
monde	monde	NOUN
montreront	montrer	VERB
elles	elles	PRON
un	un	DET
peu	peu	ADV
moins	moins	ADV
leurs	leur	DET
épaules	épaule	NOUN
et	et	CCONJ
un	un	DET
peu	peu	ADV
plus	plus	ADV
de	de	ADP
bonhomie	bonhomie	NOUN
ou	ou	CCONJ
de	de	ADP
esprit	esprit	NOUN
?	?	PUNCTsent
Marguerite	Marguerite	PROPN
Turquet	Turquet	PROPN
,	,	PUNCTclause
l'	le	DET
Aspasie	Aspasie	PROPN
du	du	ADP_DET
Cirque-Olympique	Cirque-Olympique	PROPN
,	,	PUNCTclause
est	être	AUX
une	un	PRON
de	de	ADP
ces	ce	DET
natures	nature	NOUN
franches	franche	ADJ
