# columns = TERM LEMMA POS PROB
# identifier = dumas1844e-08
# creator = Dumas, Alexandre
# created = 1845
# isPartOf = Les frères Corses
# title = VIII

↵↵↵	↵↵↵	PUNCTstruct
VIII	VIII	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Vous	vous	PRON
ne	ne	ADV
êtes	être	AUX
pas	pas	ADV
seul	seul	ADJ
,	,	PUNCTclause
monsieur	monsieur	NOUN
Lucien	Lucien	PROPN
?	?	PUNCTsent
dit	dire	VERB
le	le	DET
bandit	bandit	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Ne	ne	ADV
vous	vous	PRON
inquiétez	inquiéter	VERB
pas	pas	ADV
de	de	ADP
cela	cela	PRON
,	,	PUNCTclause
Orlandi	Orlandi	PROPN
;	;	PUNCTclause
monsieur	monsieur	NOUN
est	être	AUX
un	un	DET
ami	ami	NOUN
à	à	ADP
moi	moi	PRON
qui	qui	PRON
a	avoir	AUX
entendu	entendre	VERB
parler	parler	VERB
de	de	ADP
vous	vous	PRON
et	et	CCONJ
qui	qui	PRON
désirait	désirer	VERB
vous	vous	PRON
faire	faire	VERB
visite	visite	NOUN
.	.	PUNCTsent
Je	je	PRON
ne	ne	ADV
ai	avoir	AUX
pas	pas	ADV
cru	croire	VERB
devoir	devoir	VERB
lui	lui	PRON
refuser	refuser	VERB
ce	ce	DET
plaisir	plaisir	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Monsieur	monsieur	NOUN
est	être	AUX
le	le	DET
bienvenu	bienvenu	NOUN
à	à	ADP
la	le	DET
campagne	campagne	NOUN
,	,	PUNCTclause
dit	dire	VERB
le	le	DET
bandit	bandit	NOUN
en	en	ADP
se	se	PRON
inclinant	incliner	VERB
et	et	CCONJ
en	en	PRON
faisant	faire	VERB
ensuite	ensuite	ADV
quelques	quelque	DET
pas	pas	ADV
vers	vers	ADP
nous	nous	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Je	je	PRON
lui	lui	PRON
rendis	rendre	VERB
son	son	DET
salut	salut	NOUN
avec	avec	ADP
la	le	DET
plus	plus	ADV
ponctuelle	ponctuel	ADJ
politesse	politesse	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Vous	vous	PRON
devez	devoir	VERB
déjà	déjà	ADV
être	être	AUX
arrivés	arriver	VERB
depuis	depuis	ADP
quelque	quelque	DET
temps	temps	NOUN
?	?	PUNCTsent
continua	continuer	VERB
Orlandi	Orlandi	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Oui	oui	INTJ
,	,	PUNCTclause
depuis	depuis	ADP
vingt	vingt	NUM
minutes	minute	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ce	ce	PRON
est	être	AUX
cela	cela	PRON
:	:	PUNCTclause
je	je	PRON
ai	avoir	AUX
entendu	entendre	VERB
la	le	DET
voix	voix	NOUN
de	de	ADP
Diamante	Diamante	PROPN
qui	qui	PRON
hurlait	hurler	VERB
au	au	ADP_DET
Mucchio	Mucchio	PROPN
,	,	PUNCTclause
et	et	CCONJ
déjà	déjà	ADV
,	,	PUNCTclause
depuis	depuis	ADP
un	un	DET
quart d'heure	quart d'heure	NOUN
,	,	PUNCTclause
il	il	PRON
est	être	AUX
venu	venir	VERB
me	me	PRON
rejoindre	rejoindre	VERB
.	.	PUNCTsent
ce	ce	PRON
est	être	AUX
une	un	DET
bonne	bon	ADJ
et	et	CCONJ
fidèle	fidèle	ADJ
bête	bête	ADJ
,	,	PUNCTclause
n'est-ce pas	n'est-ce pas	ADV
,	,	PUNCTclause
monsieur	monsieur	NOUN
Lucien	Lucien	PROPN
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Oui	oui	INTJ
,	,	PUNCTclause
ce	ce	PRON
est	être	AUX
le	le	DET
mot	mot	NOUN
,	,	PUNCTclause
Orlandi	Orlandi	PROPN
,	,	PUNCTclause
bonne	bon	ADJ
et	et	CCONJ
fidèle	fidèle	ADJ
,	,	PUNCTclause
reprit	reprendre	VERB
Lucien	Lucien	PROPN
en	en	ADP
caressant	caresser	VERB
Diamante	Diamante	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Mais	mais	CCONJ
,	,	PUNCTclause
puisque	puisque	SCONJ
vous	vous	PRON
saviez	savoir	VERB
que	que	SCONJ
M.	M.	PROPN
Lucien	Lucien	PROPN
était	être	AUX
là	là	ADV
,	,	PUNCTclause
demandai	demander	VERB
je	je	PRON
,	,	PUNCTclause
pourquoi	pourquoi	ADV
ne	ne	ADV
êtes	être	AUX
vous	vous	PRON
pas	pas	ADV
venu	venir	VERB
plus	plus	ADV
tôt	tôt	ADV
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
parce que	parce que	SCONJ
nous	nous	PRON
ne	ne	ADV
avions	avoir	AUX
rendez-vous	rendez-vous	NOUN
que	que	SCONJ
à	à	ADP
neuf	neuf	NUM
heures	heure	NOUN
,	,	PUNCTclause
répondit	répondre	VERB
le	le	DET
bandit	bandit	NOUN
,	,	PUNCTclause
et	et	CCONJ
que	que	SCONJ
ce	ce	PRON
est	être	AUX
être	être	AUX
aussi	aussi	ADV
inexact	inexact	ADJ
de	de	ADP
