# columns = TERM LEMMA POS
# identifier = dumas1844h-14
# creator = Dumas, Alexandre
# created = 1844
# isPartOf = Sylvandire
# title = XIV. Comment l’homme mystérieux revint une seconde fois, et comment, dans cette seconde entrevue, les choses s’éclaircirent quelque peu.

↵↵↵	↵↵↵	PUNCTstruct
XIV	XIV	NOUN
.	.	PUNCTsent
Comment	comment	ADV
l'	le	DET
homme	homme	NOUN
mystérieux	mystérieux	ADJ
revint	revenir	VERB
une	un	DET
seconde	second	ADJ
fois	fois	NOUN
,	,	PUNCTclause
et	et	CCONJ
comment	comment	ADV
,	,	PUNCTclause
dans	dans	ADP
cette	ce	DET
seconde	second	ADJ
entrevue	entrevue	NOUN
,	,	PUNCTclause
les	le	DET
choses	chose	NOUN
se	se	PRON
éclaircirent	éclaircir	VERB
quelque	quelque	DET
peu	peu	ADV
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Roger	Roger	PROPN
resta	rester	VERB
quelque	quelque	DET
temps	temps	NOUN
sous	sous	ADP
le	le	DET
poids	poids	NOUN
du	du	ADP_DET
coup	coup	NOUN
qui	qui	PRON
venait	venir	VERB
de	de	ADP
le	le	DET
frapper	frapper	VERB
.	.	PUNCTsent
Puis	puis	CCONJ
enfin	enfin	ADV
,	,	PUNCTclause
rassemblant	rassembler	VERB
toutes	toutes	DET
ses	son	DET
forces	force	NOUN
,	,	PUNCTclause
il	il	PRON
se	se	PRON
leva	lever	VERB
,	,	PUNCTclause
prit	prendre	VERB
à	à	ADP
son	son	DET
tour	tour	NOUN
son	son	DET
chapeau	chapeau	NOUN
et	et	CCONJ
courut	courir	VERB
chez	chez	ADP
le	le	DET
marquis	marquis	NOUN
de	de	ADP
Cretté	Cretté	PROPN
,	,	PUNCTclause
son	son	DET
suprême	suprême	ADJ
appui	appui	NOUN
,	,	PUNCTclause
son	son	DET
éternelle	éternel	ADJ
ressource	ressource	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Heureusement	heureusement	ADV
,	,	PUNCTclause
le	le	DET
marquis	marquis	NOUN
était	être	AUX
chez	chez	ADP
lui	lui	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
que	que	SCONJ
avez	avoir	VERB
vous	vous	PRON
?	?	PUNCTsent
se	se	PRON
écria	écrier	VERB
il	il	PRON
en	en	PRON
apercevant	apercevoir	VERB
le	le	DET
chevalier	chevalier	NOUN
;	;	PUNCTclause
est-ce que	est-ce que	ADV
votre	votre	DET
procès	procès	NOUN
est	être	AUX
perdu	perdu	ADJ
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
marquis	marquis	NOUN
faisait	faire	VERB
cette	ce	DET
question	question	NOUN
au	au	ADP_DET
chevalier	chevalier	NOUN
,	,	PUNCTclause
tant	tant	ADV
la	le	DET
figure	figure	NOUN
du	du	ADP_DET
chevalier	chevalier	NOUN
était	être	AUX
bouleversée	bouleversé	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Non	non	ADV
,	,	PUNCTclause
Dieu	Dieu	PROPN
merci	merci	INTJ
,	,	PUNCTclause
pas	pas	ADV
encore	encore	ADV
,	,	PUNCTclause
dit	dire	VERB
Roger	Roger	PROPN
;	;	PUNCTclause
on	on	PRON
ne	ne	ADV
le	le:PRON	PRON
juge	juger	VERB
,	,	PUNCTclause
vous	vous	PRON
le	le:PRON	PRON
savez	savoir	VERB
,	,	PUNCTclause
que	que	SCONJ
dans	dans	ADP
trois	trois	NUM
jours	jour	NOUN
;	;	PUNCTclause
et	et	CCONJ
même	même	ADV
…	…	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Et	et	CCONJ
même	même	ADV
?…	?…	PUNCTsent
répéta	répéter	VERB
le	le	DET
marquis	marquis	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Et	et	CCONJ
même	même	ADV
je	je	PRON
ai	avoir	AUX
quelque	quelque	DET
espoir	espoir	NOUN
de	de	ADP
le	le	DET
gagner	gagner	VERB
,	,	PUNCTclause
reprit	reprendre	VERB
en	en	ADP
soupirant	soupirer	VERB
le	le	DET
chevalier	chevalier	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Il	il	PRON
me	me	PRON
semble	sembler	VERB
que	que	SCONJ
il	il	PRON
ne	ne	ADV
y	y	PRON
a	avoir	VERB
pas	pas	ADV
là	là	ADV
dedans	dedans	ADV
de	de	ADP
quoi	quoi	PRON
soupirer	soupirer	VERB
aussi	aussi	ADV
profondément	profondément	ADV
que	que	SCONJ
vous	vous	PRON
le	le:PRON	PRON
faites	faire	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
sans doute	sans doute	ADV
,	,	PUNCTclause
il	il	PRON
vous	vous	PRON
semble	sembler	VERB
cela	cela	PRON
,	,	PUNCTclause
à	à	ADP
vous	vous	PRON
qui	qui	PRON
ne	ne	ADV
savez	savoir	VERB
pas	pas	ADV
à	à	ADP
quelles	quel	DET
conditions	condition	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ha	ha	INTJ
!	!	PUNCTsent
il y a	il y a	VERB
des	un	DET
conditions	condition	NOUN
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Hélas	hélas	INTJ
!	!	PUNCTsent
dit	dire	VERB
Roger	Roger	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Et	et	CCONJ
il	il	PRON
se	se	PRON
précipita	précipiter	VERB
dans	dans	ADP
les	le	DET
bras	bras	NOUN
de	de	ADP
son	son	DET
ami	ami	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Voyons	voir	VERB
,	,	PUNCTclause
parlez	parler	VERB
,	,	PUNCTclause
se	se	PRON
écria	écrier	VERB
le	le	DET
marquis	marquis	NOUN
;	;	PUNCTclause
vous	vous	PRON
me	me	PRON
inquiétez	inquiéter	VERB
vraiment	vraiment	ADV
,	,	PUNCTclause
chevalier	chevalier	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
chevalier	chevalier	NOUN
raconta	raconter	VERB
alors	alors	ADV
au	au	ADP_DET
marquis	marquis	NOUN
son	son	DET
entrevue	entrevue	NOUN
avec	avec	ADP
l'	le	DET
homme	homme	NOUN
aux yeux de	aux yeux de	ADP
opale	opale	NOUN
.	.	PUNCTsent
Cretté	Cretté	PROPN
écouta	écouter	VERB
le	le	DET
récit	récit	NOUN
avec	avec	ADP
la	le	DET
plus	plus	ADV
grande	grand	ADJ
attention	attention	NOUN
;	;	PUNCTclause
puis	puis	CCONJ
,	,	PUNCTclause
lorsque	lorsque	SCONJ
le	le	DET
chevalier	chevalier	NOUN
eut	avoir	AUX
fini	finir	VERB
:	:	PUNCTclause
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Voilà	voilà	ADP
qui	qui	PRON
est	être	AUX
bizarre	bizarre	ADJ
,	,	PUNCTclause
dit	dire	VERB
il	il	PRON
.	.	PUNCTsent
est-ce que	est-ce que	ADV
il	il	PRON
y	y	PRON
aurait	avoir	VERB
quelque	quelque	DET
bâtarde	bâtard	NOUN
de	de	ADP
Bouzenois	Bouzenois	PROPN
que	que	PRON
l'on	on	PRON
voudrait	vouloir	VERB
placer	placer	VERB
,	,	PUNCTclause
ou bien	ou bien	CCONJ
,	,	PUNCTclause
grands dieux	grands dieux	NOUN
!	!	PUNCTsent
mon	mon	DET
pauvre	pauvre	NOUN
ami	ami	ADJ
…	…	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ou bien	ou bien	CCONJ
quoi	quoi	PRON
?…	?…	PUNCTsent
se	se	PRON
écria	écrier	VERB
le	le	DET
chevalier	chevalier	NOUN
,	,	PUNCTclause
pâlissant	pâlir	VERB
aux	au	ADP_DET
pressentiments	pressentiment	NOUN
du	du	ADP_DET
marquis	marquis	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ou bien	ou bien	CCONJ
serait	être	AUX
ce	ce	PRON
la	le	DET
vieille	vieux	ADJ
Indienne	Indienne	PROPN
elle-même	elle-même	PRON
qui	qui	PRON
songerait	songer	VERB
à	à	ADP
convoler	convoler	VERB
en	en	ADP
secondes	second	NOUN
noces	noce	NOUN
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
Roger	Roger	PROPN
frissonna	frissonner	VERB
jusque	jusque	ADP
dans	dans	ADP
la	le	DET
moelle	moelle	NOUN
des	un	ADP_DET
os	os	NOUN
;	;	PUNCTclause
mais	mais	CCONJ
une	un	DET
réflexion	réflexion	NOUN
le	le	DET
rassura	rassurer	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Impossible	impossible	ADJ
,	,	PUNCTclause
dit	dire	VERB
il	il	PRON
