# columns = TERM LEMMA POS PROB
# identifier = dumas1845a-34
# creator = Dumas, Alexandre
# created = 1845
# isPartOf = Vingt ans après
# title = XXXIV. Le moine

↵↵↵	↵↵↵	PUNCTstruct
XXXIV	XXXIV	NOUN
.	.	PUNCTsent
Le	le	DET
moine	moine	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Deux	Deux	NUM
hommes	homme	NOUN
étaient	être	AUX
étendus	étendre	VERB
:	:	PUNCTclause
l'un	l'un	PRON
immobile	immobile	ADJ
;	;	PUNCTclause
la	le	DET
face	face	NOUN
contre	contre	ADP
terre	terre	NOUN
,	,	PUNCTclause
percé	percer	VERB
de	de	DET
trois	trois	NUM
balles	balle	NOUN
et	et	CCONJ
nageant	nager	VERB
dans	dans	ADP
son	son	DET
sang	sang	NOUN
…	…	PUNCTsent
celui	celui	PRON
était	être	AUX
mort	mourir	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
l'autre	l'autre	PRON
,	,	PUNCTclause
adossé	adosser	VERB
à	à	ADP
un	un	DET
arbre	arbre	NOUN
par	par	ADP
les	le	DET
deux	deux	NUM
laquais	laquais	NOUN
,	,	PUNCTclause
les	le	DET
yeux	œil	NOUN
au	au	ADP_DET
ciel	ciel	NOUN
et	et	CCONJ
les	le	DET
mains	main	NOUN
jointes	joint	ADJ
,	,	PUNCTclause
faisait	faire	AUX
une	un	DET
ardente	ardent	ADJ
prière	prière	NOUN
…	…	PUNCTsent
il	il	PRON
avait	avoir	AUX
reçu	recevoir	VERB
une	un	DET
balle	balle	NOUN
qui	qui	PRON
lui	lui	PRON
avait	avoir	AUX
brisé	briser	VERB
le	le	DET
haut	haut	NOUN
de	de	DET
la	la	NUM
cuisse	cuisse	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Les	le	DET
jeunes	jeune	ADJ
gens	gens	NOUN
allèrent	aller	ADJ
d'abord	d'abord	ADV
au	au	ADP_DET
mort	mort	NOUN
et	et	CCONJ
se	se	PRON
regardèrent	regarder	VERB
avec	avec	ADP
étonnement	étonnement	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ce	ce	PRON
est	être	AUX
un	un	DET
prêtre	prêtre	NOUN
,	,	PUNCTclause
dit	dire	VERB
Bragelonne	Bragelonne	PROPN
,	,	PUNCTclause
il	il	PRON
est	être	AUX
tonsuré	tonsurer	VERB
.	.	PUNCTsent
ho	ho	NOUN
!	!	PUNCTsent
les	le	DET
maudits	maudit	NOUN
!	!	PUNCTsent
qui	qui	PRON
portent	porter	VERB
la	le	DET
main	main	NOUN
sur	sur	ADP
les	le	DET
ministres	ministre	NOUN
de	de	DET
Dieu	Dieu	PROPN
!	!	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Venez	venir	NOUN
ici	ici	ADV
,	,	PUNCTclause
monsieur	monsieur	NOUN
,	,	PUNCTclause
dit	dire	VERB
Urbain	Urbain	PROPN
,	,	PUNCTclause
vieux	vieux	ADJ
soldat	soldat	NOUN
qui	qui	PRON
avait	avoir	AUX
fait	faire	AUX
