# columns = TERM LEMMA POS PROB
# identifier = dumas1845a-62
# creator = Dumas, Alexandre
# created = 1845
# isPartOf = Vingt ans après
# title = LXII. Jésus Seigneur

↵↵↵	↵↵↵	PUNCTstruct
Lxii	Lxii	PROPN
.	.	PUNCTsent
Jésus-Christ	Jésus-Christ	PROPN
Dieu	Dieu	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Lorsque	lorsque	SCONJ
Mordaunt	Mordaunt	PROPN
arriva	arriver	VERB
en face de	en face de	ADP
la	le	DET
maison	maison	NOUN
,	,	PUNCTclause
il	il	PRON
vit	vivre	VERB
de	de	DET
Artagnan	Artagnan	PROPN
sur	sur	ADP
le	le	DET
seuil	seuil	NOUN
et	et	CCONJ
les	le	DET
soldats	soldat	NOUN
couchés	couché	ADJ
çà	çà	ADJ
et	et	CCONJ
là	là	ADV
avec	avec	ADP
leurs	leur	DET
armes	arme	NOUN
,	,	PUNCTclause
sur	sur	ADP
le	le	DET
gazon	gazon	NOUN
du	du	ADP_DET
jardin	jardin	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Holà	holà	ADJ
!	!	PUNCTsent
cria	crier	VERB
il	il	PRON
de	de	DET
une	un	PRON
voix	voix	NOUN
étranglée	étrangler	VERB
par	par	ADP
la	le	DET
précipitation	précipitation	NOUN
de	de	DET
sa	son	AUX
course	course	NOUN
,	,	PUNCTclause
les	le	DET
prisonniers	prisonnier	NOUN
sont	être	AUX
ils	ils	PRON
toujours	toujours	ADV
là	là	ADV
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Oui	oui	INTJ
,	,	PUNCTclause
monsieur	monsieur	NOUN
,	,	PUNCTclause
dit	dire	VERB
le	le	DET
sergent	sergent	NOUN
en	en	ADP
se	se	PRON
levant	lever	VERB
vivement	vivement	ADV
ainsi	ainsi	ADV
que	que	SCONJ
ses	son	DET
hommes	homme	NOUN
,	,	PUNCTclause
qui	qui	PRON
portèrent	porter	VERB
vivement	vivement	ADV
comme	comme	ADP
lui	lui	PRON
la	le	DET
main	main	NOUN
à	à	ADP
leur	leur	DET
chapeau	chapeau	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Bien	bien	ADV
.	.	PUNCTsent
Quatre	Quatre	NUM
hommes	homme	NOUN
pour	pour	ADP
les	le	DET
prendre	prendre	NOUN
et	et	CCONJ
les	le	DET
mener	mener	VERB
à l'instant même	à l'instant même	ADV
à	à	ADP
mon	mon	DET
logement	logement	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Quatre	Quatre	NUM
hommes	homme	NOUN
se	se	PRON
apprêtèrent	apprêter	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Plaît	plaire	VERB
il	il	PRON
?	?	PUNCTsent
dit	dire	VERB
de	de	DET
Artagnan	Artagnan	PROPN
avec	avec	ADP
cet	ce	DET
air	air	NOUN
goguenard	goguenard	ADJ
que	que	SCONJ
nos	nos	DET
lecteurs	lecteur	NOUN
ont	avoir	AUX
dû	devoir	VERB
lui	lui	PRON
voir	voir	AUX
bien	bien	ADV
des	un	ADP_DET
fois	fois	NOUN
depuis	depuis	ADP
que	que	SCONJ
ils	ils	PRON
le	le:PRON	PRON
connaissent	connaître	VERB
.	.	PUNCTsent
que	que	SCONJ
y	y	PRON
a	avoir	VERB
il	il	PRON
,	,	PUNCTclause
si	si	SCONJ
il	il	PRON
vous	vous	PRON
plaît	plaire	VERB
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
il y a	il y a	VERB
,	,	PUNCTclause
monsieur	monsieur	NOUN
,	,	PUNCTclause
dit	dire	VERB
Mordaunt	Mordaunt	PROPN
,	,	PUNCTclause
que	que	SCONJ
je	je	PRON
ordonnais	ordonner	VERB
à	à	ADP
quatre	quatre	NUM
hommes	homme	NOUN
de	de	DET
prendre	prendre	NOUN
les	le	DET
prisonniers	prisonnier	NOUN
que	que	SCONJ
nous	nous	PRON
avons	avoir	AUX
faits	faire	VERB
ce	ce	DET
matin	matin	NOUN
et	et	CCONJ
de	de	DET
les	le:PRON	PRON
conduire	conduire	VERB
à	à	ADP
mon	mon	DET
logement	logement	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Et	et	CCONJ
pourquoi	pourquoi	ADV
cela	cela	PRON
?	?	PUNCTsent
demanda	demander	VERB
de	de	DET
Artagnan	Artagnan	PROPN
.	.	PUNCTsent
Pardon	pardon	NOUN
de	de	DET
la	le:PRON	PRON
curiosité	curiosité	VERB
;	;	PUNCTclause
mais	mais	CCONJ
vous	vous	PRON
comprenez	comprendre	VERB
que	que	SCONJ
je	je	PRON
désire	désirer	VERB
être	être	AUX
édifié	édifier	VERB
à	à	ADP
ce	ce	DET
sujet	sujet	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
parce que	parce que	SCONJ
les	le	DET
prisonniers	prisonnier	NOUN
sont	être	AUX
à	à	ADP
moi	moi	PRON
maintenant	maintenant	ADV
,	,	PUNCTclause
répondit	répondre	VERB
Mordaunt	Mordaunt	PROPN
avec	avec	ADP
hauteur	hauteur	NOUN
,	,	PUNCTclause
et	et	CCONJ
que	que	SCONJ
je	je	PRON
en	en	PRON
dispose	disposer	VERB
à	à	ADP
ma	mon	DET
fantaisie	fantaisie	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Permettez	permettre	NOUN
,	,	PUNCTclause
permettez	permettre	VERB
,	,	PUNCTclause
mon	mon	DET
jeune	jeune	ADJ
monsieur	monsieur	NOUN
,	,	PUNCTclause
dit	dire	VERB
de	de	DET
Artagnan	Artagnan	PROPN
,	,	PUNCTclause
vous	vous	PRON
faites	faire	AUX
erreur	erreur	NOUN
,	,	PUNCTclause
ce	ce	DET
me	me	PRON
semble	sembler	VERB
;	;	PUNCTclause
les	le	DET
prisonniers	prisonnier	NOUN
sont	être	AUX
de	de	DET
habitude	habitude	NOUN
à	à	ADP
ceux	ceux	PRON
qui	qui	PRON
les	le:PRON	PRON
ont	avoir	AUX
pris	prendre	VERB
et	et	CCONJ
non	non	INTJ
à	à	ADP
ceux	ceux	PRON
qui	qui	PRON
les	le:PRON	PRON
ont	avoir	AUX
regardé	regarder	VERB
prendre	prendre	VERB
.	.	PUNCTsent
Vous	vous	PRON
pouviez	pouvoir	VERB
prendre	prendre	VERB
milord	milord	NOUN
de	de	DET
Winter	Winter	PROPN
,	,	PUNCTclause
qui	qui	PRON
était	être	AUX
votre	votre	DET
oncle	oncle	NOUN
,	,	PUNCTclause
à	à	ADP
ce	ce	PRON
que	que	SCONJ
l'on	on	PRON
dit	dire	VERB
;	;	PUNCTclause
vous	vous	PRON
avez	avoir	AUX
préféré	préférer	VERB
le	le:PRON	PRON
tuer	tuer	VERB
,	,	PUNCTclause
ce	ce	PRON
est	être	AUX
bien	bien	ADV
;	;	PUNCTclause
nous	nous	PRON
pouvions	pouvoir	VERB
,	,	PUNCTclause
M.	M.	PROPN
du	du	ADP_DET
Vallon	Vallon	PROPN
et	et	CCONJ
moi	moi	PRON
,	,	PUNCTclause
tuer	tuer	VERB
ces	ce	DET
