# columns = TERM LEMMA POS PROB
# identifier = dumas1845a-66
# creator = Dumas, Alexandre
# created = 1845
# isPartOf = Vingt ans après
# title = LXVI. La partie de lansquenet

↵↵↵	↵↵↵	PUNCTstruct
Lxvi	Lxvi	PROPN
.	.	PUNCTsent
La	le	DET
partie	partie	NOUN
de	de	ADP
lansquenet	lansquenet	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
en effet	en effet	ADV
,	,	PUNCTclause
il	il	PRON
était	être	AUX
neuf	neuf	ADJ
heures	heure	NOUN
du	du	ADP_DET
soir	soir	NOUN
;	;	PUNCTclause
les	le	DET
postes	poste	NOUN
avaient	avoir	AUX
été	être	AUX
relevés	relever	VERB
à	à	ADP
huit	huit	NUM
,	,	PUNCTclause
et	et	CCONJ
depuis	depuis	ADP
une	un	DET
heure	heure	NOUN
la	le	DET
garde	garde	NOUN
du	du	ADP_DET
capitaine	capitaine	NOUN
Groslow	Groslow	PROPN
avait	avoir	AUX
commencé	commencer	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
de	de	ADP
Artagnan	Artagnan	PROPN
et	et	CCONJ
Porthos	Porthos	PROPN
armés	armer	VERB
de	de	ADP
leurs	leur	DET
épées	épée	NOUN
,	,	PUNCTclause
et	et	CCONJ
Athos	Athos	PROPN
et	et	CCONJ
Aramis	Aramis	PROPN
ayant	avoir	AUX
chacun	chacun	PRON
un	un	DET
poignard	poignard	NOUN
caché	cacher	VERB
dans	dans	ADP
la	le	DET
poitrine	poitrine	NOUN
,	,	PUNCTclause
se	se	PRON
avancèrent	avancer	VERB
vers	vers	ADP
la	le	DET
maison	maison	NOUN
qui	qui	PRON
ce	ce	PRON
soir	soir	NOUN
servait	servir	VERB
de	de	ADP
prison	prison	NOUN
à	à	ADP
Charles	Charles	PROPN
Stuart	Stuart	PROPN
.	.	PUNCTsent
Ces	ce	DET
deux	deux	NUM
derniers	dernier	ADJ
suivaient	suivre	VERB
leurs	leur	DET
vainqueurs	vainqueur	NOUN
,	,	PUNCTclause
humbles	humble	ADJ
et	et	CCONJ
désarmés	désarmé	ADJ
en apparence	en apparence	ADV
,	,	PUNCTclause
comme	comme	ADP
des	un	DET
captifs	captif	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Ma	mon	DET
foi	foi	NOUN
,	,	PUNCTclause
dit	dire	VERB
Groslow	Groslow	PROPN
en	en	ADP
les	le	DET
apercevant	apercevoir	VERB
,	,	PUNCTclause
je	je	PRON
ne	ne	ADV
comptais	compter	VERB
presque	presque	ADV
plus	plus	ADV
sur	sur	ADP
vous	vous	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
de	de	ADP
Artagnan	Artagnan	PROPN
se	se	PRON
approcha	approcher	VERB
de	de	ADP
celui	celui	PRON
et	et	CCONJ
lui	lui	PRON
dit	dire	VERB
tout	tout	ADV
bas	bas	ADJ
:	:	PUNCTclause
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
en effet	en effet	ADV
,	,	PUNCTclause
nous	nous	PRON
avons	avoir	AUX
hésité	hésiter	VERB
un	un	DET
instant	instant	NOUN
,	,	PUNCTclause
M.	M.	PROPN
du	du	ADP_DET
Vallon	Vallon	PROPN
et	et	CCONJ
moi	moi	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Et	et	CCONJ
pourquoi	pourquoi	ADV
?	?	PUNCTsent
demanda	demander	VERB
Groslow	Groslow	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
de	de	ADP
Artagnan	Artagnan	PROPN
lui	lui	PRON
montra	montrer	VERB
de	de	ADP
l'	le	DET
œil	œil	NOUN
Athos	Athos	PROPN
et	et	CCONJ
Aramis	Aramis	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ha	ha	INTJ
!	!	PUNCTsent
ha	ha	INTJ
!	!	PUNCTsent
dit	dire	VERB
Groslow	Groslow	PROPN
,	,	PUNCTclause
à	à	ADP
cause	cause	NOUN
des	un	ADP_DET
opinions	opinion	NOUN
?	?	PUNCTsent
peu	peu	ADV
importe	importer	VERB
.	.	PUNCTsent
au contraire	au contraire	ADV
,	,	PUNCTclause
ajouta	ajouter	VERB
il	il	PRON
en	en	PRON
riant	rire	VERB
