# columns = TERM LEMMA POS PROB
# identifier = dumas1845a-96
# creator = Dumas, Alexandre
# created = 1845
# isPartOf = Vingt ans après
# title = XCVI. Comme quoi avec une plume et une menace on fait plus vite et mieux qu’avec l’épée et du dévouement (Suite)

↵↵↵	↵↵↵	PUNCTstruct
Xcvi	Xcvi	PROPN
.	.	PUNCTsent
Comme	comme	ADP
quoi	quoi	PRON
avec	avec	ADP
une	un	DET
plume	plume	NOUN
et	et	CCONJ
une	un	DET
menace	menace	NOUN
on	on	PRON
fait	faire	AUX
plus	plus	ADV
vite	vite	ADJ
et	et	CCONJ
mieux	mieux	ADV
que	que	SCONJ
avec	avec	ADP
l'	le	DET
épée	épée	NOUN
et	et	CCONJ
du	du	ADP_DET
dévouement	dévouement	NOUN
(	(	PUNCTclause
Suite	suite	NOUN
)	)	PUNCTclause
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Anne	Anne	PROPN
de	de	DET
Autriche	Autriche	PROPN
jeta	jeter	VERB
les	le	DET
yeux	œil	NOUN
,	,	PUNCTclause
sur	sur	ADP
le	le	DET
traité	traité	NOUN
que	que	ADV
lui	lui	PRON
présentait	présenter	VERB
de	de	DET
Artagnan	Artagnan	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Je	je	PRON
ne	ne	ADV
y	y	PRON
vois	voir	VERB
,	,	PUNCTclause
dit	dire	VERB
elle	elle	PRON
,	,	PUNCTclause
que	que	SCONJ
des	un	DET
conditions	condition	NOUN
générales	général	ADJ
.	.	PUNCTsent
Les	le	DET
intérêts	intérêt	NOUN
de	de	DET
M.	M.	PROPN
de	de	DET
Conti	Conti	PROPN
,	,	PUNCTclause
de	de	DET
M.	M.	PROPN
de	de	DET
Beaufort	Beaufort	PROPN
,	,	PUNCTclause
de	de	DET
M.	M.	PROPN
de	de	DET
Bouillon	Bouillon	PROPN
,	,	PUNCTclause
de	de	DET
M.	M.	PROPN
de	de	DET
Elbeuf	Elbeuf	PROPN
et	et	CCONJ
de	de	DET
M.	M.	PROPN
le	le	DET
coadjuteur	coadjuteur	NOUN
y	y	PRON
sont	être	AUX
établis	établir	VERB
.	.	PUNCTsent
Mais	mais	CCONJ
les vôtres	les vôtres	PRON
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Nous	nous	PRON
nous	nous	PRON
rendons	rendre	VERB
justice	justice	NOUN
,	,	PUNCTclause
Madame	madame	NOUN
,	,	PUNCTclause
tout	tout	ADJ
en	en	ADP
nous	nous	PRON
plaçant	placer	VERB
à	à	ADP
notre	notre	DET
hauteur	hauteur	NOUN
.	.	PUNCTsent
Nous	nous	PRON
avons	avoir	AUX
pensé	penser	VERB
que	que	SCONJ
nos	nos	DET
noms	nom	NOUN
ne	ne	ADV
étaient	être	AUX
pas	pas	ADV
dignes	digne	ADJ
de	de	DET
figurer	figurer	NOUN
près de	près de	ADP
ces	ce	DET
grands	grand	ADJ
noms	nom	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Mais	mais	CCONJ
vous	vous	PRON
,	,	PUNCTclause
vous	vous	PRON
ne	ne	ADV
avez	avoir	VERB
pas	pas	ADV
renoncé	renoncer	VERB
,	,	PUNCTclause
je	je	PRON
présume	présumer	VERB
,	,	PUNCTclause
à	à	ADP
me	me	PRON
exposer	exposer	VERB
vos	vos	DET
prétentions	prétention	NOUN
de	de	DET
vive	vif	ADJ
voix	voix	NOUN
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Je	je	PRON
crois	croire	VERB
que	que	SCONJ
vous	vous	PRON
êtes	être	VERB
une	un	DET
grande	grand	ADJ
et	et	CCONJ
puissante	puissant	ADJ
reine	reine	NOUN
,	,	PUNCTclause
Madame	madame	NOUN
,	,	PUNCTclause
et	et	CCONJ
que	que	SCONJ
il	il	PRON
serait	être	AUX
indigne	indigner	VERB
de	de	DET
votre	votre	NOUN
grandeur	grandeur	ADJ
et	et	CCONJ
de	de	DET
votre	votre	NOUN
puissance	puissance	NOUN
de	de	DET
ne	ne	ADV
pas	pas	ADV
récompenser	récompenser	VERB
dignement	dignement	ADV
les	le	DET
bras	bras	NOUN
qui	qui	PRON
ramèneront	ramener	VERB
Son	son	DET
Éminence	éminence	NOUN
à	à	ADP
Saint-Germain	Saint-Germain	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ce	ce	PRON
est	être	AUX
mon	mon	DET
intention	intention	NOUN
,	,	PUNCTclause
dit	dire	VERB
la	le	DET
reine	reine	NOUN
;	;	PUNCTclause
voyons	voir	NOUN
,	,	PUNCTclause
parlez	parler	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Celui	celui	PRON
qui	qui	PRON
a	avoir	AUX
traité	traiter	VERB
l'	le	DET
affaire	affaire	NOUN
(	(	PUNCTclause
pardon	pardon	NOUN
si	si	ADV
je	je	PRON
commence	commencer	VERB
par	par	ADP
moi	moi	PRON
,	,	PUNCTclause
mais	mais	CCONJ
il	il	PRON
faut	falloir	VERB
bien	bien	ADV
que	que	SCONJ
je	je	PRON
me	me	PRON
accorde	accorder	VERB
l'	le	DET
importance	importance	NOUN
,	,	PUNCTclause
non	non	INTJ
pas	pas	ADV
que	que	SCONJ
je	je	PRON
ai	avoir	AUX
prise	prendre	VERB
,	,	PUNCTclause
mais	mais	CCONJ
que	que	SCONJ
on	on	PRON
me	me	PRON
a	avoir	AUX
donnée	donner	VERB
)	)	PUNCTclause
,	,	PUNCTclause
celui	celui	PRON
qui	qui	PRON
a	avoir	AUX
traité	traiter	VERB
l'	le	DET
affaire	affaire	NOUN
du	du	ADP_DET
rachat	rachat	NOUN
de	de	DET
M.	M.	PROPN
le	le	DET
cardinal	cardinal	NOUN
doit	devoir	VERB
être	être	AUX
,	,	PUNCTclause
ce	ce	DET
me	me	PRON
semble	sembler	VERB
,	,	PUNCTclause
pour que	pour que	SCONJ
la	le	DET
récompense	récompense	NOUN
ne	ne	ADV
soit	soit	CCONJ
pas	pas	ADV
au-dessous de	au-dessous de	ADP
Votre	votre	DET
Majesté	majesté	NOUN
,	,	PUNCTclause
celui	celui	PRON
doit	devoir	VERB
être	être	AUX
fait	faire	AUX
chef	chef	NOUN
des	un	ADP_DET
gardes	garde	NOUN
,	,	PUNCTclause
quelque chose	quelque chose	PRON
comme	comme	ADP
capitaine	capitaine	NOUN
des	un	ADP_DET
mousquetaires	mousquetaire	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ce	ce	PRON
est	être	AUX
la	le	DET
place	place	NOUN
de	de	DET
M.	M.	PROPN
de	de	DET
Tréville	Tréville	PROPN
que	que	SCONJ
vous	vous	PRON
me	me	PRON
demandez	demander	VERB
là	là	ADV
!	!	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
La	le	DET
place	place	NOUN
est	être	AUX
vacante	vacant	ADJ
,	,	PUNCTclause
Madame	madame	NOUN
,	,	PUNCTclause
et	et	CCONJ
depuis	depuis	ADP
un	un	DET
an	an	NOUN
que	que	ADV
M.	M.	PROPN
de	de	DET
Tréville	Tréville	PROPN
l'	le:PRON	PRON
