# columns = TERM LEMMA POS PROB
# identifier = dumas1845c-33
# creator = Dumas, Alexandre
# created = 1845
# isPartOf = La Reine Margot
# title = II. La reconnaissance du roi Charles IX

↵↵↵	↵↵↵	PUNCTstruct
II	II	PRON
.	.	PUNCTsent
La	le	DET
reconnaissance	reconnaissance	NOUN
du	du	ADP_DET
roi	roi	NOUN
Charles	Charles	PROPN
IX	IX	NUM
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Maurevel	Maurevel	PROPN
était	être	AUX
resté	rester	VERB
une	un	DET
partie	partie	NOUN
de	de	ADP
la	le	DET
journée	journée	NOUN
dans	dans	ADP
le	le	DET
cabinet	cabinet	NOUN
des	un	ADP_DET
Armes	arme	NOUN
du	du	ADP_DET
roi	roi	NOUN
;	;	PUNCTclause
mais	mais	CCONJ
,	,	PUNCTclause
quand	quand	SCONJ
Catherine	Catherine	PROPN
avait	avoir	AUX
vu	voir	VERB
approcher	approcher	VERB
le	le	DET
moment	moment	NOUN
du	du	ADP_DET
retour	retour	NOUN
de	de	ADP
la	le	DET
chasse	chasse	NOUN
,	,	PUNCTclause
elle	elle	PRON
l'	le:PRON	PRON
avait	avoir	AUX
fait	faire	AUX
passer	passer	VERB
dans	dans	ADP
son	son	DET
oratoire	oratoire	NOUN
avec	avec	ADP
les	le	DET
sbires	sbire	NOUN
qui	qui	PRON
l'	le:PRON	PRON
étaient	être	AUX
venus	venir	VERB
rejoindre	rejoindre	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Charles	Charles	PROPN
IX	IX	NUM
,	,	PUNCTclause
averti	avertir	VERB
à	à	ADP
son	son	DET
arrivée	arrivée	NOUN
par	par	ADP
sa	son	DET
nourrice	nourrice	NOUN
que	que	SCONJ
un	un	DET
homme	homme	NOUN
avait	avoir	AUX
passé	passer	VERB
une	un	DET
partie	partie	NOUN
de	de	ADP
la	le	DET
journée	journée	NOUN
dans	dans	ADP
son	son	DET
cabinet	cabinet	NOUN
,	,	PUNCTclause
se	se	PRON
était	être	AUX
d'abord	d'abord	ADV
mis	mettre	VERB
dans	dans	ADP
une	un	DET
grande	grand	ADJ
colère	colère	NOUN
que	que	SCONJ
on	on	PRON
se	se	PRON
fût	être	AUX
permis	permettre	VERB
de	de	ADP
introduire	introduire	VERB
un	un	DET
étranger	étranger	NOUN
chez	chez	ADP
lui	lui	PRON
.	.	PUNCTsent
Mais	mais	CCONJ
se	se	PRON
l'	le:PRON	PRON
étant	être	AUX
fait	faire	AUX
dépeindre	dépeindre	VERB
,	,	PUNCTclause
et	et	CCONJ
sa	son	DET
nourrice	nourrice	NOUN
lui	lui	PRON
ayant	avoir	AUX
dit	dire	VERB
que	que	SCONJ
ce	ce	PRON
était	être	AUX
le	le	DET
même	même	ADJ
homme	homme	NOUN
que	que	SCONJ
elle	elle	PRON
avait	avoir	AUX
été	être	AUX
elle-même	elle-même	PRON
chargée	charger	VERB
de	de	ADP
lui	lui	PRON
amener	amener	VERB
un	un	DET
soir	soir	NOUN
,	,	PUNCTclause
le	le	DET
roi	roi	NOUN
avait	avoir	AUX
reconnu	reconnaître	VERB
Maurevel	Maurevel	PROPN
;	;	PUNCTclause
et	et	CCONJ
se	se	PRON
rappelant	rappeler	VERB
l'	le	DET
ordre	ordre	NOUN
arraché	arracher	VERB
le	le	DET
matin	matin	NOUN
par	par	ADP
sa	son	DET
mère	mère	NOUN
,	,	PUNCTclause
il	il	PRON
avait	avoir	AUX
tout	tout	ADV
compris	comprendre	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ho	ho	INTJ
!	!	PUNCTsent
ho	ho	INTJ
!	!	PUNCTsent
murmura	murmurer	VERB
Charles	Charles	PROPN
,	,	PUNCTclause
dans	dans	ADP
la	le	DET
même	même	ADJ
journée	journée	NOUN
où	où	PRON
il	il	PRON
me	me	PRON
a	avoir	AUX
sauvé	sauver	VERB
la	le	DET
vie	vie	NOUN
;	;	PUNCTclause
le	le	DET
moment	moment	NOUN
est	être	AUX
mal	mal	ADV
choisi	choisir	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
En	en	ADP
conséquence	conséquence	NOUN
il	il	PRON
fit	faire	VERB
quelques	quelque	DET
pas	pas	NOUN
pour	pour	ADP
descendre	descendre	VERB
chez	chez	ADP
sa	son	DET
mère	mère	NOUN
;	;	PUNCTclause
mais	mais	CCONJ
une	un	DET
pensée	pensée	NOUN
le	le	DET
retint	retenir	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Mordieu	Mordieu	PROPN
!	!	PUNCTsent
dit	dire	VERB
il	il	PRON
,	,	PUNCTclause
si	si	SCONJ
je	je	PRON
lui	lui	PRON
parle	parler	VERB
de	de	ADP
cela	cela	PRON
,	,	PUNCTclause
ce	ce	PRON
sera	être	AUX
une	un	DET
discussion	discussion	NOUN
à	à	ADP
ne	ne	ADV
en	en	PRON
pas	pas	ADV
finir	finir	VERB
;	;	PUNCTclause
mieux	mieux	ADV
vaut	valoir	VERB
que	que	SCONJ
nous	nous	PRON
agissions	agir	VERB
chacun	chacun	PRON
de	de	ADP
notre	notre	DET
côté	côté	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Nourrice	nourrice	NOUN
,	,	PUNCTclause
dit	dire	VERB
il	il	PRON
,	,	PUNCTclause
ferme	fermer	VERB
bien	bien	ADV
toutes	tout	ADJ
les	le	DET
portes	porte	NOUN
,	,	PUNCTclause
et	et	CCONJ
préviens	prévenir	VERB
la	le	DET
reine	reine	NOUN
Élisabeth	Élisabeth	PROPN
,	,	PUNCTclause
que	que	ADV
un	un	DET
peu	peu	ADV
souffrant	souffrir	VERB
de	de	ADP
la	le	DET
chute	chute	NOUN
que	que	PRON
je	je	PRON
ai	avoir	AUX
faite	faire	VERB
,	,	PUNCTclause
je	je	PRON
dormirai	dormir	VERB
seul	seul	ADJ
cette	ce	DET
nuit	nuit	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
La	le	DET
nourrice	nourrice	NOUN
obéit	obéir	VERB
,	,	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
comme	comme	ADP
l'	le	DET
heure	heure	NOUN
