# columns = TERM LEMMA POS
# identifier = dumas1846a-27
# creator = Dumas, Alexandre
# created = 1845
# isPartOf = Le Chevalier de Maison-Rouge
# title = XXVII. Le muscadin

↵↵↵	↵↵↵	PUNCTstruct
XXVII	XXVII	X
.	.	PUNCTsent
Le	le	DET
muscadin	muscadin	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
il y a	il y a	VERB
deux	deux	NUM
heures	heure	NOUN
,	,	PUNCTclause
à peu près	à peu près	ADV
,	,	PUNCTclause
que	que	SCONJ
les	le	DET
événements	événement	NOUN
que	que	PRON
nous	nous	PRON
venons	venir	VERB
de	de	ADP
raconter	raconter	VERB
étaient	être	AUX
accomplis	accomplir	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Lorin	Lorin	PROPN
se	se	PRON
promenait	promener	VERB
dans	dans	ADP
la	le	DET
chambre	chambre	NOUN
de	de	ADP
Maurice	Maurice	PROPN
,	,	PUNCTclause
tandis que	tandis que	SCONJ
Agésilas	Agésilas	PROPN
cirait	cirer	VERB
les	le	DET
bottes	botte	NOUN
de	de	ADP
son	son	DET
maître	maître	NOUN
dans	dans	ADP
l'	le	DET
antichambre	antichambre	NOUN
;	;	PUNCTclause
seulement	seulement	ADV
,	,	PUNCTclause
pour	pour	ADP
la	le	DET
plus	plus	ADV
grande	grand	ADJ
commodité	commodité	NOUN
de	de	ADP
la	le	DET
conversation	conversation	NOUN
,	,	PUNCTclause
la	le	DET
porte	porte	NOUN
était	être	AUX
demeurée	demeuré	ADJ
ouverte	ouvrir	VERB
,	,	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
dans	dans	ADP
le	le	DET
parcours	parcours	NOUN
que	que	SCONJ
il	il	PRON
accomplissait	accomplir	VERB
,	,	PUNCTclause
Lorin	Lorin	PROPN
se	se	PRON
arrêtait	arrêter	VERB
devant	devant	ADP
cette	ce	DET
porte	porte	NOUN
et	et	CCONJ
adressait	adresser	VERB
des	un	DET
questions	question	NOUN
à	à	ADP
l'	le	DET
officieux	officieux	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Et	et	CCONJ
tu	tu	PRON
dis	dire	VERB
,	,	PUNCTclause
citoyen	citoyen	NOUN
Agésilas	Agésilas	PROPN
,	,	PUNCTclause
que	que	SCONJ
ton	ton	DET
maître	maître	NOUN
est	être	AUX
parti	partir	VERB
ce	ce	DET
matin	matin	NOUN
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ho	ho	INTJ
!	!	PUNCTsent
mon Dieu	mon Dieu	NOUN
,	,	PUNCTclause
oui	oui	INTJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
À	à	ADP
son	son	DET
heure	heure	NOUN
ordinaire	ordinaire	ADJ
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Dix	Dix	NUM
minutes	minute	NOUN
plus	plus	ADV
tôt	tôt	ADV
,	,	PUNCTclause
dix	dix	NUM
minutes	minute	NOUN
plus tard	plus tard	ADV
,	,	PUNCTclause
je	je	PRON
ne	ne	ADV
saurais	savoir	VERB
trop	trop	ADV
dire	dire	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Et	et	CCONJ
tu	tu	PRON
ne	ne	ADV
l'	le:PRON	PRON
as	avoir	VERB
pas	pas	ADV
revu	revoir	VERB
depuis	depuis	ADV
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Non	non	ADV
,	,	PUNCTclause
citoyen	citoyen	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Lorin	Lorin	PROPN
reprit	reprendre	VERB
sa	son	DET
promenade	promenade	NOUN
et	et	CCONJ
fit	faire	VERB
en	en	ADP
silence	silence	NOUN
trois	trois	NUM
à	à	ADP
quatre	quatre	NUM
tours	tour	NOUN
,	,	PUNCTclause
