# columns = TERM LEMMA POS PROB
# identifier = dumas1846b-061
# creator = Dumas, Alexandre
# created = 1846
# isPartOf = Joseph Balsamo. Mémoires d’un médecin
# title = LVIII. La visite

↵↵↵	↵↵↵	PUNCTstruct
Lviii	Lviii	PROPN
.	.	PUNCTsent
La	le	DET
visite	visite	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Lorenza	Lorenza	PROPN
ne	ne	ADV
se	se	PRON
était	être	AUX
pas	pas	ADV
trompée	tromper	VERB
:	:	PUNCTclause
une	un	DET
voiture	voiture	NOUN
,	,	PUNCTclause
après	après	ADP
être	être	AUX
entrée	entrer	VERB
par	par	ADP
la	le	DET
barrière	barrière	NOUN
Saint-Denis	Saint-Denis	PROPN
,	,	PUNCTclause
après	après	ADP
avoir	avoir	AUX
suivi	suivre	VERB
dans	dans	ADP
toute	toute	DET
sa	son	DET
longueur	longueur	NOUN
le	le	DET
faubourg	faubourg	NOUN
du	du	ADP_DET
même	même	ADJ
nom	nom	NOUN
,	,	PUNCTclause
avait	avoir	AUX
tourné	tourner	VERB
entre	entre	ADP
la	le	DET
porte	porte	NOUN
et	et	CCONJ
l'	le	DET
angle	angle	NOUN
formé	former	VERB
par	par	ADP
la	le	DET
dernière	dernier	ADJ
maison	maison	NOUN
,	,	PUNCTclause
et	et	CCONJ
longeait	longer	VERB
le	le	DET
boulevard	boulevard	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Cette	ce	DET
voiture	voiture	NOUN
renfermait	renfermer	VERB
,	,	PUNCTclause
comme	comme	ADP
l'	le	DET
avait	avoir	AUX
dit	dire	VERB
la	le	DET
voyante	voyant	NOUN
,	,	PUNCTclause
monseigneur	monseigneur	NOUN
Louis	Louis	PROPN
de	de	ADP
Rohan	Rohan	PROPN
,	,	PUNCTclause
évêque	évêque	NOUN
de	de	ADP
Strasbourg	Strasbourg	PROPN
,	,	PUNCTclause
que	que	SCONJ
son	son	DET
impatience	impatience	NOUN
portait	porter	VERB
à	à	ADP
venir	venir	VERB
trouver	trouver	VERB
,	,	PUNCTclause
avant	avant	ADP
le	le	DET
