# columns = TERM LEMMA POS PROB
# identifier = dumas1846b-065
# creator = Dumas, Alexandre
# created = 1846
# isPartOf = Joseph Balsamo. Mémoires d’un médecin
# title = LXII. L’appartement de la rue Plâtrière

↵↵↵	↵↵↵	PUNCTstruct
Lxii	Lxii	PROPN
.	.	PUNCTsent
l'	le	DET
appartement	appartement	NOUN
de	de	ADP
la	le	DET
rue	rue	NOUN
Plâtrière	Plâtrière	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Chon	Chon	PROPN
examinait	examiner	VERB
la	le	DET
jeune	jeune	ADJ
fille	fille	NOUN
depuis	depuis	ADP
quelques	quelque	DET
instants	instant	NOUN
à peine	à peine	ADV
,	,	PUNCTclause
quand	quand	SCONJ
le	le	DET
vicomte	vicomte	NOUN
Jean	Jean	PROPN
,	,	PUNCTclause
montant	monter	VERB
les	le	DET
escaliers	escalier	NOUN
quatre	quatre	NUM
à	à	ADP
quatre	quatre	NUM
comme	comme	ADP
un	un	DET
clerc	clerc	NOUN
de	de	ADP
procureur	procureur	NOUN
,	,	PUNCTclause
apparut	apparaître	VERB
sur	sur	ADP
le	le	DET
seuil	seuil	NOUN
de	de	ADP
l'	le	DET
appartement	appartement	NOUN
de	de	ADP
la	le	DET
prétendue	prétendu	ADJ
veuve	veuf	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
hé	hé	INTJ
bien	bien	ADV
?	?	PUNCTsent
demanda	demander	VERB
il	il	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ce	ce	PRON
est	être	AUX
toi	toi	PRON
,	,	PUNCTclause
Jean	Jean	PROPN
?	?	PUNCTsent
en vérité	en vérité	ADV
,	,	PUNCTclause
tu	tu	PRON
me	me	PRON
as	avoir	AUX
fait	faire	VERB
peur	peur	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
que	que	PRON
en	en	PRON
dis	dire	VERB
tu	tu	PRON
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Je	je	PRON
dis	dire	VERB
que	que	SCONJ
je	je	PRON
serai	être	AUX
admirablement	admirablement	ADV
ici	ici	ADV
pour tout	pour tout	ADP
voir	voir	VERB
;	;	PUNCTclause
malheureusement	malheureusement	ADV
,	,	PUNCTclause
je	je	PRON
ne	ne	ADV
pourrai	pouvoir	VERB
pas	pas	ADV
tout	tout	PRON
entendre	entendre	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ha	ha	INTJ
!	!	PUNCTsent
ma	mon	DET
foi	foi	NOUN
,	,	PUNCTclause
tu	tu	PRON
demandes	demander	VERB
trop	trop	ADV
.	.	PUNCTsent
À	à	ADP
propos	propos	NOUN
,	,	PUNCTclause
une	un	DET
autre	autre	PRON
nouvelle	nouveau	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Laquelle	laquelle	PRON
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Merveilleuse	merveilleux	ADJ
!	!	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Bah	bah	INTJ
!	!	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Incomparable	incomparable	ADJ
!	!	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Que	que	SCONJ
cet	ce	DET
homme	homme	NOUN
est	être	AUX
assassinant	assassiner	VERB
avec	avec	ADP
ses	son	DET
exclamations	exclamation	NOUN
!	!	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Le	le:PRON	PRON
philosophe	philosophe	ADJ
…	…	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
hé	hé	INTJ
bien	bien	ADV
,	,	PUNCTclause
quoi	quoi	PRON
!	!	PUNCTsent
le	le	DET
philosophe	philosophe	NOUN
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
On	on	PRON
a	avoir	VERB
beau	beau	ADJ
dire	dire	VERB
:	:	PUNCTclause
↵↵	↵↵	PUNCTstruct
À	à	ADP
tout	tout	PRON
événement	événement	NOUN
le	le	DET
sage	sage	NOUN
est	être	AUX
préparé	préparer	VERB
↵↵	↵↵	PUNCTstruct
Je	je	PRON
suis	être	AUX
un	un	DET
sage	sage	NOUN
,	,	PUNCTclause
hé	hé	INTJ
bien	bien	ADV
,	,	PUNCTclause
je	je	PRON
ne	ne	ADV
étais	être	AUX
pas	pas	ADV
préparé	préparer	VERB
à	à	ADP
celui	celui	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Je	je	PRON
vous	vous	PRON
demande	demander	VERB
un	un	DET
peu	peu	ADV
si	si	SCONJ
il	il	PRON
achèvera	achever	VERB
.	.	PUNCTsent
Est	être	AUX
ce	ce	DET
cette	ce	DET
fille	fille	NOUN
qui	qui	PRON
vous	vous	PRON
gêne	gêner	VERB
?	?	PUNCTsent
Passez	passer	VERB
dans	dans	ADP
la	le	DET
chambre	chambre	NOUN
voisine	voisin	ADJ
,	,	PUNCTclause
en	en	ADP
ce	ce	DET
cas	cas	NOUN
,	,	PUNCTclause
mademoiselle	mademoiselle	NOUN
Sylvie	Sylvie	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ho	ho	INTJ
!	!	PUNCTsent
ce	ce	PRON
ne	ne	ADV
est	être	AUX
pas	pas	ADV
la	le	DET
peine	peine	NOUN
,	,	PUNCTclause
et	et	CCONJ
cette	ce	DET
belle	beau	ADJ
enfant	enfant	NOUN
ne	ne	ADV
est	être	AUX
pas	pas	ADV
de	de	ADP
trop	trop	ADV
,	,	PUNCTclause
au contraire	au contraire	ADV
.	.	PUNCTsent
Reste	rester	VERB
,	,	PUNCTclause
Sylvie	Sylvie	PROPN
,	,	PUNCTclause
reste	rester	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Et	et	CCONJ
le	le	DET
vicomte	vicomte	NOUN
caressa	caresser	VERB
du	du	ADP_DET
doigt	doigt	NOUN
le	le	DET
menton	menton	NOUN
de	de	ADP
la	le	DET
belle-fille	belle-fille	NOUN
,	,	PUNCTclause
dont	dont	PRON
le	le	DET
sourcil	sourcil	NOUN
se	se	PRON
fronçait	froncer	VERB
déjà	déjà	ADV
à	à	ADP
l'	le	DET
idée	idée	NOUN
que	que	SCONJ
on	on	PRON
allait	aller	VERB
dire	dire	VERB
une	un	DET
chose	chose	NOUN
que	que	SCONJ
elle	elle	PRON
ne	ne	ADV
entendrait	entendre	VERB
pas	pas	ADV
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
que	que	SCONJ
elle	elle	PRON
reste	rester	VERB
donc	donc	ADV
;	;	PUNCTclause
mais	mais	CCONJ
parlez	parler	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
hé	hé	INTJ
!	!	PUNCTsent
je	je	PRON
ne	ne	ADV
fais	faire	VERB
pas	pas	ADV
autre chose	autre chose	NOUN
depuis	depuis	ADP
que	que	SCONJ
je	je	PRON
suis	suivre	VERB
ici	ici	ADV
