# columns = TERM LEMMA POS PROB
# identifier = dumas1846c-045
# creator = Dumas, Alexandre
# created = 1846
# isPartOf = Le Comte de Monte-Cristo
# title = XLV. La pluie de sang.

↵↵↵	↵↵↵	PUNCTstruct
XLV	XLV	X
.	.	PUNCTsent
La	le	DET
pluie	pluie	NOUN
de	de	ADP
sang	sang	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
«	«	PUNCTclause
En	en	ADP
entrant	entrer	VERB
,	,	PUNCTclause
le	le	DET
bijoutier	bijoutier	NOUN
jeta	jeter	VERB
un	un	DET
regard	regard	NOUN
interrogateur	interrogateur	ADJ
autour de	autour de	ADP
lui	lui	PRON
;	;	PUNCTclause
mais	mais	CCONJ
rien	rien	PRON
ne	ne	ADV
semblait	sembler	VERB
faire	faire	AUX
naître	naître	VERB
les	le	DET
soupçons	soupçon	NOUN
si	si	SCONJ
il	il	PRON
ne	ne	ADV
en	en	PRON
avait	avoir	AUX
pas	pas	ADV
,	,	PUNCTclause
rien	rien	PRON
ne	ne	ADV
semblait	sembler	VERB
les	le	DET
confirmer	confirmer	VERB
si	si	SCONJ
il	il	PRON
en	en	PRON
avait	avoir	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
«	«	PUNCTclause
Caderousse	Caderousse	PROPN
tenait	tenir	VERB
toujours	toujours	ADV
des	un	DET
deux	deux	NUM
mains	main	NOUN
ses	son	DET
billets	billet	NOUN
et	et	CCONJ
son	son	DET
or	or	NOUN
.	.	PUNCTsent
La	le	DET
Carconte	Carconte	PROPN
souriait	sourire	VERB
à	à	ADP
son	son	DET
hôte	hôte	NOUN
le	le	DET
plus	plus	ADV
agréablement	agréablement	ADV
que	que	SCONJ
elle	elle	PRON
pouvait	pouvoir	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
«	«	PUNCTclause
—	—	PUNCTclause
ha	ha	INTJ
!	!	PUNCTsent
ha	ha	INTJ
!	!	PUNCTsent
dit	dire	VERB
le	le	DET
bijoutier	bijoutier	NOUN
,	,	PUNCTclause
il	il	PRON
paraît	paraître	VERB
que	que	SCONJ
vous	vous	PRON
aviez	avoir	VERB
peur	peur	NOUN
de	de	ADP
ne	ne	ADV
pas	pas	ADV
avoir	avoir	AUX
votre	votre	DET
compte	compte	NOUN
,	,	PUNCTclause
que	que	PRON
vous	vous	PRON
repassiez	repasser	VERB
votre	votre	DET
trésor	trésor	NOUN
après	après	ADP
mon	mon	DET
départ	départ	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
«	«	PUNCTclause
—	—	PUNCTclause
Non	non	ADV
pas	pas	ADV
,	,	PUNCTclause
dit	dire	VERB
Caderousse	Caderousse	PROPN
;	;	PUNCTclause
mais	mais	CCONJ
l'	le	DET
événement	événement	NOUN
qui	qui	PRON
nous	nous	PRON
en	en	PRON
fait	faire	VERB
possesseur	possesseur	NOUN
est	être	AUX
si	si	ADV
inattendu	inattendu	ADJ
que	que	SCONJ
nous	nous	PRON
ne	ne	ADV
y	y	PRON
pouvons	pouvoir	VERB
croire	croire	VERB
,	,	PUNCTclause
et	et	CCONJ
que	que	SCONJ
