# columns = TERM LEMMA POS PROB
# identifier = dumas1846c-046
# creator = Dumas, Alexandre
# created = 1846
# isPartOf = Le Comte de Monte-Cristo
# title = XLVI. Le crédit illimité.

↵↵↵	↵↵↵	PUNCTstruct
XLVI	XLVI	VERB
.	.	PUNCTsent
Le	le	DET
crédit	crédit	NOUN
illimité	illimité	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
lendemain	lendemain	NOUN
,	,	PUNCTclause
vers	vers	ADP
deux	deux	NUM
heures	heure	NOUN
de	de	ADP
l'	le	DET
après-midi	après-midi	NOUN
une	un	DET
calèche	calèche	NOUN
attelée	atteler	VERB
de	de	ADP
deux	deux	NUM
magnifiques	magnifique	ADJ
chevaux	cheval	NOUN
anglais	anglais	ADJ
se	se	PRON
arrêta	arrêter	VERB
devant	devant	ADP
la	le	DET
porte	porte	NOUN
de	de	ADP
Monte-Cristo	Monte-Cristo	PROPN
;	;	PUNCTclause
un	un	DET
homme	homme	NOUN
vêtu	vêtir	VERB
de	de	ADP
un	un	DET
habit	habit	NOUN
bleu	bleu	ADJ
,	,	PUNCTclause
à	à	ADP
boutons	bouton	NOUN
de	de	ADP
soie	soie	NOUN
de même	de même	ADV
couleur	couleur	NOUN
,	,	PUNCTclause
de	de	ADP
un	un	DET
gilet	gilet	NOUN
blanc	blanc	ADJ
sillonné	sillonner	VERB
par	par	ADP
une	un	DET
énorme	énorme	ADJ
chaîne	chaîne	NOUN
de	de	ADP
or	or	NOUN
et	et	CCONJ
de	de	ADP
un	un	DET
pantalon	pantalon	NOUN
couleur	couleur	NOUN
noisette	noisette	ADJ
,	,	PUNCTclause
coiffé	coiffer	VERB
de	de	ADP
cheveux	cheveu	NOUN
si	si	ADV
noirs	noir	ADJ
et	et	CCONJ
descendant	descendre	VERB
si	si	ADV
bas	bas	ADJ
sur	sur	ADP
les	le	DET
sourcils	sourcil	NOUN
,	,	PUNCTclause
que	que	SCONJ
on	on	PRON
eût	avoir	AUX
pu	pouvoir	VERB
hésiter	hésiter	VERB
à	à	ADP
les	le	DET
croire	croire	VERB
naturels	naturel	ADJ
tant	tant	ADV
ils	ils	PRON
semblaient	sembler	VERB
peu	peu	ADV
en	en	ADP
harmonie	harmonie	NOUN
avec	avec	ADP
celles	celle	PRON
des	un	ADP_DET
rides	ride	NOUN
inférieures	inférieur	ADJ
que	que	SCONJ
ils	ils	PRON
ne	ne	ADV
parvenaient	parvenir	VERB
point	point	ADV
à	à	ADP
cacher	cacher	VERB
;	;	PUNCTclause
un	un	DET
homme	homme	NOUN
enfin	enfin	ADV
de	de	ADP
cinquante	cinquante	NUM
à	à	ADP
cinquante-cinq	cinquante-cinq	NUM
ans	an	NOUN
,	,	PUNCTclause
et	et	CCONJ
qui	qui	PRON
cherchait	chercher	VERB
à	à	ADP
en	en	PRON
paraître	paraître	VERB
quarante	quarante	NUM
,	,	PUNCTclause
passa	passer	VERB
sa	son	DET
tête	tête	NOUN
par	par	ADP
la	le	DET
portière	portier	NOUN
de	de	ADP
un	un	DET
coupé	coupé	NOUN
sur	sur	ADP
le	le	DET
panneau	panneau	NOUN
duquel	duquel	ADP_PRON
était	être	AUX
peinte	peindre	VERB
une	un	DET
couronne	couronne	NOUN
de	de	ADP
baron	baron	NOUN
,	,	PUNCTclause
et	et	CCONJ
envoya	envoyer	VERB
son	son	DET
groom	groom	NOUN
demander	demander	VERB
au	au	ADP_DET
concierge	concierge	NOUN
si	si	SCONJ
le	le	DET
comte	comte	NOUN
de	de	ADP
Monte-Cristo	Monte-Cristo	PROPN
était	être	AUX
chez	chez	ADP
lui	lui	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
En	en	ADP
attendant	attendre	VERB
,	,	PUNCTclause
cet	ce	DET
homme	homme	NOUN
considérait	considérer	VERB
,	,	PUNCTclause
avec	avec	ADP
une	un	DET
attention	attention	NOUN
si	si	ADV
minutieuse	minutieux	ADJ
que	que	SCONJ
elle	elle	PRON
devenait	devenir	VERB
presque	presque	ADV
impertinente	impertinent	ADJ
,	,	PUNCTclause
l'	le	DET
extérieur	extérieur	NOUN
de	de	ADP
la	le	DET
maison	maison	NOUN
,	,	PUNCTclause
ce	ce	PRON
que	que	PRON
l'on	on	PRON
pouvait	pouvoir	VERB
distinguer	distinguer	VERB
du	du	ADP_DET
jardin	jardin	NOUN
,	,	PUNCTclause
et	et	CCONJ
la	le	DET
livrée	livrée	NOUN
de	de	ADP
quelques	quelque	DET
domestiques	domestique	NOUN
que	que	SCONJ
l'on	on	PRON
pouvait	pouvoir	VERB
apercevoir	apercevoir	VERB
allant	aller	VERB
et	et	CCONJ
venant	venir	VERB
.	.	PUNCTsent
l'	le	DET
œil	œil	NOUN
de	de	ADP
cet	ce	DET
homme	homme	NOUN
était	être	AUX
