# columns = TERM LEMMA POS PROB
# identifier = dumas1846c-085
# creator = Dumas, Alexandre
# created = 1846
# isPartOf = Le Comte de Monte-Cristo
# title = LXXXV. Le voyage.

↵↵↵	↵↵↵	PUNCTstruct
Lxxxv	Lxxxv	PROPN
.	.	PUNCTsent
Le	le	DET
voyage	voyage	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Monte-Cristo	Monte-Cristo	PROPN
poussa	pousser	VERB
un	un	DET
cri de joie	cri de joie	NOUN
en	en	ADP
voyant	voir	VERB
les	le	DET
deux	deux	NUM
jeunes	jeune	ADJ
gens	gens	NOUN
ensemble	ensemble	ADV
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
«	«	PUNCTclause
ha	ha	INTJ
!	!	PUNCTsent
ha	ha	INTJ
!	!	PUNCTsent
dit	dire	VERB
il	il	PRON
.	.	PUNCTsent
hé	hé	INTJ
bien	bien	ADV
,	,	PUNCTclause
je	je	PRON
espère	espérer	VERB
que	que	SCONJ
tout	tout	PRON
est	être	AUX
fini	finir	VERB
,	,	PUNCTclause
éclairci	éclaircir	VERB
,	,	PUNCTclause
arrangé	arranger	VERB
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Oui	oui	INTJ
,	,	PUNCTclause
dit	dire	VERB
Beauchamp	Beauchamp	PROPN
,	,	PUNCTclause
des	un	DET
bruits	bruit	NOUN
absurdes	absurde	ADJ
qui	qui	PRON
sont	être	AUX
tombés	tomber	VERB
de	de	ADP
eux-mêmes	eux-mêmes	PRON
,	,	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
qui	qui	PRON
maintenant	maintenant	ADV
,	,	PUNCTclause
si	si	SCONJ
ils	ils	PRON
se	se	PRON
renouvelaient	renouveler	VERB
,	,	PUNCTclause
me	me	PRON
auraient	avoir	VERB
pour	pour	ADP
premier	premier	ADJ
antagoniste	antagoniste	NOUN
.	.	PUNCTsent
Ainsi	ainsi	ADV
donc	donc	ADV
,	,	PUNCTclause
ne	ne	ADV
parlons	parler	VERB
plus	plus	ADV
de	de	ADP
cela	cela	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Albert	Albert	PROPN
vous	vous	PRON
dira	dire	VERB
,	,	PUNCTclause
reprit	reprendre	VERB
le	le	DET
comte	comte	NOUN
,	,	PUNCTclause
que	que	SCONJ
ce	ce	PRON
est	être	AUX
le	le	DET
conseil	conseil	NOUN
que	que	PRON
je	je	PRON
lui	lui	PRON
avais	avoir	AUX
donné	donner	VERB
.	.	PUNCTsent
Tenez	tenir	VERB
,	,	PUNCTclause
ajouta	ajouter	VERB
il	il	PRON
,	,	PUNCTclause
vous	vous	PRON
me	me	PRON
voyez	voir	VERB
au	au	ADP_DET
