# columns = TERM LEMMA POS PROB
# identifier = dumas1846d-81
# creator = Dumas, Alexandre
# created = 1846
# isPartOf = La Dame de Monsoreau
# title = XXII. Comment M. le duc d’Anjou signa, et comment, après avoir signé, il parla.

↵↵↵	↵↵↵	PUNCTstruct
XXII	XXII	X
.	.	PUNCTsent
Comment	comment	ADV
M.	M.	PROPN
le	le	DET
duc	duc	NOUN
de	de	ADP
Anjou	Anjou	PROPN
signa	signer	VERB
,	,	PUNCTclause
et	et	CCONJ
comment	comment	ADV
,	,	PUNCTclause
après	après	ADP
avoir	avoir	AUX
signé	signer	VERB
,	,	PUNCTclause
il	il	PRON
parla	parler	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Il	il	PRON
se	se	PRON
fit	faire	VERB
un	un	DET
instant	instant	NOUN
de	de	ADP
silence	silence	NOUN
entre	entre	ADP
le	le	DET
duc	duc	NOUN
de	de	ADP
Anjou	Anjou	PROPN
et	et	CCONJ
Monsoreau	Monsoreau	PROPN
.	.	PUNCTsent
Puis	puis	CCONJ
,	,	PUNCTclause
rompant	rompre	VERB
le	le	DET
premier	premier	ADJ
ce	ce	PRON
silence	silence	NOUN
:	:	PUNCTclause
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
hé	hé	INTJ
bien	bien	ADV
,	,	PUNCTclause
monsieur	monsieur	NOUN
le	le	DET
comte	comte	NOUN
,	,	PUNCTclause
demanda	demander	VERB
le	le	DET
duc	duc	NOUN
,	,	PUNCTclause
que	que	PRON
avez	avoir	AUX
vous	vous	PRON
à	à	ADP
me	me	PRON
dire	dire	VERB
de la part de	de la part de	ADP
messieurs	messieurs	NOUN
de	de	ADP
Guise	Guise	PROPN
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
beaucoup de	beaucoup de	DET
choses	chose	NOUN
,	,	PUNCTclause
monseigneur	monseigneur	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Ils	ils	PRON
vous	vous	PRON
ont	avoir	AUX
donc	donc	ADV
écrit	écrire	VERB
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ho	ho	INTJ
!	!	PUNCTsent
non	non	ADV
pas	pas	ADV
;	;	PUNCTclause
messieurs	messieurs	NOUN
de	de	ADP
Guise	Guise	PROPN
ne	ne	ADV
écrivent	écrire	VERB
plus	plus	ADV
depuis	depuis	ADP
l'	le	DET
étrange	étrange	NOUN
disparition	disparition	NOUN
de	de	ADP
maître	maître	NOUN
Nicolas	Nicolas	PROPN
David	David	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Alors	alors	ADV
,	,	PUNCTclause
vous	vous	PRON
avez	avoir	AUX
donc	donc	ADV
été	être	AUX
à	à	ADP
l'	le	DET
armée	armée	NOUN
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Non	non	ADV
,	,	PUNCTclause
monseigneur	monseigneur	NOUN
;	;	PUNCTclause
ce	ce	PRON
sont	être	AUX
eux	eux	PRON
qui	qui	PRON
sont	être	AUX
venus	venir	VERB
à	à	ADP
Paris	Paris	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
messieurs	messieurs	NOUN
de	de	ADP
Guise	Guise	PROPN
sont	être	AUX
à	à	ADP
Paris	Paris	PROPN
!	!	PUNCTsent
se	se	PRON
écria	écrier	VERB
le	le	DET
duc	duc	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Oui	oui	INTJ
,	,	PUNCTclause
monseigneur	monseigneur	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Et	et	CCONJ
je	je	PRON
ne	ne	ADV
les	le:PRON	PRON
ai	avoir	AUX
pas	pas	ADV
vus	vu	VERB
!	!	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Ils	ils	PRON
sont	être	AUX
trop	trop	ADV
prudents	prudent	ADJ
pour	pour	ADP
se	se	PRON
exposer	exposer	VERB
,	,	PUNCTclause
et	et	CCONJ
pour	pour	ADP
exposer	exposer	VERB
en même temps	en même temps	ADV
Votre	votre	DET
Altesse	altesse	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Et	et	CCONJ
je	je	PRON
ne	ne	ADV
suis	être	AUX
pas	pas	ADV
prévenu	prévenir	VERB
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Si	si	SCONJ
fait	fait	NOUN
,	,	PUNCTclause
monseigneur	monseigneur	NOUN
,	,	PUNCTclause
puisque	puisque	SCONJ
je	je	PRON
vous	vous	PRON
préviens	prévenir	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Mais	mais	CCONJ
que	que	SCONJ
viennent	venir	VERB
ils	ils	PRON
faire	faire	VERB
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Mais	mais	CCONJ
ils	ils	PRON
viennent	venir	VERB
,	,	PUNCTclause
monseigneur	monseigneur	NOUN
,	,	PUNCTclause
au	au	ADP_DET
rendez-vous	rendez-vous	NOUN
que	que	SCONJ
vous	vous	PRON
leur	leur	PRON
avez	avoir	AUX
donné	donner	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Moi	moi	PRON
!	!	PUNCTsent
je	je	PRON
leur	leur	PRON
ai	avoir	AUX
donné	donner	VERB
rendez-vous	rendez-vous	NOUN
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
sans doute	sans doute	ADV
,	,	PUNCTclause
le	le	DET
même	même	ADJ
jour	jour	NOUN
où	où	PRON
Votre	votre	DET
Altesse	altesse	NOUN
a	avoir	AUX
été	être	AUX
arrêtée	arrêter	VERB
,	,	PUNCTclause
elle	elle	PRON
avait	avoir	AUX
reçu	recevoir	VERB
une	un	DET
lettre	lettre	NOUN
de	de	ADP
messieurs	messieurs	NOUN
de	de	ADP
Guise	Guise	PROPN
,	,	PUNCTclause
et	et	CCONJ
elle	elle	PRON
leur	leur	PRON
avait	avoir	AUX
fait	faire	VERB
répondre	répondre	VERB
verbalement	verbalement	ADV
par	par	ADP
moi-même	moi-même	PRON
,	,	PUNCTclause
que	que	SCONJ
ils	ils	PRON
ne	ne	ADV
avaient	avoir	VERB
que	que	ADV
à	à	ADP
se trouver	se trouver	VERB
à	à	ADP
Paris	Paris	PROPN
du	du	ADP_DET
31	31	NUM
mai	mai	NOUN
au	au	ADP_DET
2	2	NUM
juin	juin	NOUN
.	.	PUNCTsent
Nous	nous	PRON
sommes	être	AUX
au	au	ADP_DET
31	31	NUM
mai	mai	NOUN
;	;	PUNCTclause
si	si	SCONJ
vous	vous	PRON
avez	avoir	VERB
oublié	oublier	VERB
messieurs	messieurs	NOUN
de	de	ADP
Guise	Guise	PROPN
,	,	PUNCTclause
messieurs	messieurs	NOUN
de	de	ADP
Guise	Guise	PROPN
,	,	PUNCTclause
comme	comme	ADP
vous	vous	PRON
voyez	voir	VERB
,	,	PUNCTclause
ne	ne	ADV
vous	vous	PRON
ont	avoir	AUX
pas	pas	ADV
oublié	oublier	VERB
,	,	PUNCTclause
monseigneur	monseigneur	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
français	français	ADJ
pâlit	pâlir	VERB
,	,	PUNCTclause
Il	il	PRON
se	se	PRON
était	être	AUX
passé	passer	VERB
tant de	tant de	DET
événements	événement	NOUN
depuis	depuis	ADP
ce	ce	DET
jour	jour	NOUN
,	,	PUNCTclause
que	que	SCONJ
il	il	PRON
avait	avoir	AUX
oublié	oublier	VERB
ce	ce	DET
rendez-vous	rendez-vous	NOUN
,	,	PUNCTclause
si	si	ADV
important	important	ADJ
que	que	SCONJ
il	il	PRON
fût	être	AUX
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ce	ce	PRON
est	être	AUX
vrai	vrai	ADJ
,	,	PUNCTclause
dit	dire	VERB
il	il	PRON
;	;	PUNCTclause
mais	mais	CCONJ
les	le	DET
relations	relation	NOUN
qui	qui	PRON
existaient	exister	VERB
à	à	ADP
cette	ce	DET
époque	époque	NOUN
entre	entre	ADP
messieurs	messieurs	NOUN
de	de	ADP
Guise	Guise	PROPN
et	et	CCONJ
moi	moi	PRON
ne	ne	ADV
existent	exister	VERB
plus	plus	ADV
