# columns = TERM LEMMA POS PROB
# identifier = dumas1846d-97
# creator = Dumas, Alexandre
# created = 1846
# isPartOf = La Dame de Monsoreau
# title = XXXVIII. Conclusion.

↵↵↵	↵↵↵	PUNCTstruct
XXXVIII	XXXVIII	X
.	.	PUNCTsent
Conclusion	conclusion	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
roi	roi	NOUN
,	,	PUNCTclause
pâle	pâle	ADJ
de	de	ADP
inquiétude	inquiétude	NOUN
et	et	CCONJ
frémissant	frémir	VERB
au	au	ADP_DET
moindre	moindre	ADJ
bruit	bruit	NOUN
,	,	PUNCTclause
arpentait	arpenter	VERB
la	le	DET
salle	salle	NOUN
de	de	ADP
armes	arme	NOUN
,	,	PUNCTclause
conjecturant	conjecturer	VERB
,	,	PUNCTclause
avec	avec	ADP
l'	le	DET
expérience	expérience	NOUN
de	de	ADP
un	un	DET
homme	homme	NOUN
exercé	exercer	VERB
,	,	PUNCTclause
tout	tout	ADV
le	le	DET
temps	temps	NOUN
que	que	ADV
ses	son	DET
amis	ami	NOUN
avaient	avoir	AUX
dû	devoir	VERB
employer	employer	VERB
à	à	ADP
joindre	joindre	VERB
et	et	CCONJ
à	à	ADP
combattre	combattre	VERB
leurs	leur	DET
adversaires	adversaire	NOUN
,	,	PUNCTclause
ainsi	ainsi	ADV
que	que	SCONJ
toutes	tout	ADJ
les	le	DET
chances	chance	NOUN
bonnes	bon	ADJ
ou	ou	CCONJ
mauvaises	mauvais	ADJ
que	que	PRON
leur	leur	PRON
donnaient	donner	VERB
leur	leur	DET
caractère	caractère	NOUN
,	,	PUNCTclause
leur	leur	DET
force	force	NOUN
et	et	CCONJ
leur	leur	DET
adresse	adresse	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
À	à	ADP
cette	ce	DET
heure	heure	NOUN
,	,	PUNCTclause
avait	avoir	AUX
il	il	PRON
dit	dire	VERB
d'abord	d'abord	ADV
,	,	PUNCTclause
ils	ils	PRON
traversent	traverser	VERB
la	le	DET
rue	rue	NOUN
Saint-Antoine	Saint-Antoine	PROPN
.	.	PUNCTsent
Ils	ils	PRON
entrent	entrer	VERB
dans	dans	ADP
le	le	DET
champ	champ	NOUN
clos	clos	ADJ
,	,	PUNCTclause
