# columns = TERM LEMMA POS PROB
# identifier = dumas1848a-60
# creator = Dumas, Alexandre
# created = 1847
# isPartOf = Les Quarante-cinq
# title = LX. Comment Sainte-Maline entra dans la tourelle et de ce qui s’ensuivit

↵↵↵	↵↵↵	PUNCTstruct
		TOKEN
.	.	PUNCTsent
Comment	comment	ADV
Sainte-Maline	Sainte-Maline	PROPN
entra	entrer	VERB
dans	dans	ADP
la	le	DET
tourelle	tourelle	NOUN
et	et	CCONJ
de	de	ADP
ce	ce	PRON
qui	qui	PRON
se	se	PRON
ensuivit	ensuivre	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
premier	premier	ADJ
soin	soin	NOUN
de	de	ADP
Ernauton	Ernauton	PROPN
,	,	PUNCTclause
lorsque	lorsque	SCONJ
il	il	PRON
vit	vivre	VERB
la	le	DET
porte	porte	NOUN
de	de	ADP
l'	le	DET
antichambre	antichambre	NOUN
se	se	PRON
fendre	fendre	VERB
sous	sous	ADP
les	le	DET
coups	coup	NOUN
de	de	ADP
Sainte-Maline	Sainte-Maline	PROPN
,	,	PUNCTclause
fut	être	AUX
de	de	ADP
souffler	souffler	VERB
la	le	DET
bougie	bougie	NOUN
qui	qui	PRON
éclairait	éclairer	VERB
la	le	DET
tourelle	tourelle	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Cette	ce	DET
précaution	précaution	NOUN
,	,	PUNCTclause
qui	qui	PRON
pouvait	pouvoir	VERB
être	être	AUX
bonne	bon	ADJ
,	,	PUNCTclause
mais	mais	CCONJ
qui	qui	PRON
ne	ne	ADV
était	être	AUX
que	que	ADV
momentanée	momentané	ADJ
,	,	PUNCTclause
ne	ne	ADV
rassurait	rassurer	VERB
cependant	cependant	ADV
pas	pas	ADV
la	le	DET
duchesse	duchesse	NOUN
,	,	PUNCTclause
lorsque	lorsque	SCONJ
tout	tout	PRON
à	à	ADP
coup	coup	NOUN
dame	dame	NOUN
Fournichon	Fournichon	PROPN
,	,	PUNCTclause
qui	qui	PRON
avait	avoir	AUX
épuisé	épuiser	VERB
toutes	tout	ADJ
ses	son	DET
ressources	ressource	NOUN
,	,	PUNCTclause
eut	avoir	VERB
recours	recours	NOUN
à	à	ADP
un	un	DET
dernier	dernier	ADJ
moyen	moyen	NOUN
et	et	CCONJ
se	se	PRON
mit	mettre	VERB
à	à	ADP
crier	crier	VERB
:	:	PUNCTclause
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Monsieur	monsieur	NOUN
de	de	ADP
Sainte-Maline	Sainte-Maline	PROPN
,	,	PUNCTclause
je	je	PRON
vous	vous	PRON
préviens	prévenir	VERB
que	que	SCONJ
les	le	DET
personnes	personne	NOUN
que	que	PRON
vous	vous	PRON
troublez	troubler	VERB
sont	être	AUX
de	de	ADP
vos	vos	DET
amis	ami	NOUN
:	:	PUNCTclause
la	le	DET
nécessité	nécessité	NOUN
me	me	PRON
force	forcer	VERB
à	à	ADP
vous	vous	PRON
l'	le	DET
avouer	avouer	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
hé	hé	INTJ
bien	bien	ADV
!	!	PUNCTsent
raison	raison	NOUN
de plus	de plus	ADV
pour que	pour que	SCONJ
nous	nous	PRON
leur	leur	PRON
présentions	présenter	VERB
nos	nos	DET
compliments	compliment	NOUN
,	,	PUNCTclause
dit	dire	VERB
Perducas	Perducas	PROPN
de	de	ADP
Pincorney	Pincorney	PROPN
de	de	ADP
une	un	DET
voix	voix	NOUN
avinée	aviné	ADJ
,	,	PUNCTclause
et	et	CCONJ
trébuchant	trébucher	VERB
derrière	derrière	ADP
Sainte-Maline	Sainte-Maline	PROPN
sur	sur	ADP
la	le	DET
dernière	dernier	ADJ
marche	marche	NOUN
de	de	ADP
l'	le	DET
escalier	escalier	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Et	et	CCONJ
quels	quel	DET
sont	être	AUX
ces	ce	DET
amis	ami	NOUN
,	,	PUNCTclause
voyons	voir	VERB
?	?	PUNCTsent
dit	dire	VERB
Sainte-Maline	Sainte-Maline	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Oui	oui	INTJ
,	,	PUNCTclause
voyons	voir	VERB
les	le	DET
,	,	PUNCTclause
voyons	voir	VERB
les	le	DET
,	,	PUNCTclause
cria	crier	VERB
Eustache	Eustache	PROPN
de	de	ADP
Miradoux	Miradoux	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
La	le	DET
bonne	bon	ADJ
hôtesse	hôtesse	NOUN
,	,	PUNCTclause
espérant	espérer	VERB
toujours	toujours	ADV
prévenir	prévenir	VERB
une	un	DET
collision	collision	NOUN
qui	qui	PRON
pouvait	pouvoir	VERB
,	,	PUNCTclause
tout	tout	ADV
en	en	ADP
honorant	honorer	VERB
le	le	DET
Fier-Chevalier	Fier-Chevalier	PROPN
,	,	PUNCTclause
faire	faire	VERB
le	le	DET
plus	plus	ADV
grand	grand	ADJ
tort	tort	NOUN
au	au	ADP_DET
Rosier-d'Amour	Rosier-d'Amour	PROPN
,	,	PUNCTclause
monta	monter	VERB
au	au	ADP_DET
milieu	milieu	NOUN
des	un	ADP_DET
rangs	rang	NOUN
pressés	pressé	ADJ
des	un	ADP_DET
gentilshommes	gentilhomme	NOUN
,	,	PUNCTclause
et	et	CCONJ
glissa	glisser	VERB
tout	tout	ADV
bas	bas	ADJ
le	le	DET
nom	nom	NOUN
de	de	ADP
Ernauton	Ernauton	PROPN
à	à	ADP
l'	le	DET
oreille	oreille	NOUN
de	de	ADP
son	son	DET
agresseur	agresseur	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Ernauton	Ernauton	PROPN
!	!	PUNCTsent
répéta	répéter	VERB
tout	tout	ADV
haut	haut	ADJ
Sainte-Maline	Sainte-Maline	PROPN
,	,	PUNCTclause
pour	pour	ADP
qui	qui	PRON
cette	ce	DET
révélation	révélation	NOUN
était	être	AUX
de	de	ADP
l'	le	DET
huile	huile	NOUN
au lieu de	au lieu de	ADP
eau	eau	NOUN
jetée	jeter	VERB
sur	sur	ADP
le	le	DET
feu	feu	NOUN
,	,	PUNCTclause
Ernauton	Ernauton	PROPN
!	!	PUNCTsent
ce	ce	PRON
ne	ne	ADV
est	être	AUX
pas	pas	ADV
possible	possible	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Et	et	CCONJ
pourquoi	pourquoi	ADV
,	,	PUNCTclause
cela	cela	PRON
?	?	PUNCTsent
demanda	demander	VERB
madame	madame	NOUN
Fournichon	Fournichon	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Et	et	CCONJ
pourquoi	pourquoi	ADV
cela	cela	PRON
?	?	PUNCTsent
répétèrent	répéter	VERB
plusieurs	plusieurs	DET
voix	voix	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
hé	hé	INTJ
!	!	PUNCTsent
parbleu	parbleu	INTJ
!	!	PUNCTsent
dit	dire	VERB
Sainte-Maline	Sainte-Maline	PROPN
,	,	PUNCTclause
parce que	parce que	SCONJ
Ernauton	Ernauton	PROPN
est	être	AUX
un	un	DET
modèle	modèle	NOUN
de	de	ADP
chasteté	chasteté	NOUN
,	,	PUNCTclause
un	un	DET
exemple	exemple	NOUN
de	de	ADP
continence	continence	NOUN
,	,	PUNCTclause
un	un	DET
composé	composé	NOUN
de	de	ADP
toutes	tout	ADJ
les	le	DET
vertus	vertu	NOUN
.	.	PUNCTsent
Non	non	ADV
,	,	PUNCTclause
non	non	ADV
,	,	PUNCTclause
vous	vous	PRON
vous	vous	PRON
trompez	tromper	VERB
,	,	PUNCTclause
dame	dame	NOUN
Fournichon	Fournichon	PROPN
,	,	PUNCTclause
ce	ce	PRON
ne	ne	ADV
est	être	AUX
point	point	ADV
M.	M.	PROPN
de	de	ADP
Carmainges	Carmainges	PROPN
qui	qui	PRON
est	être	AUX
enfermé	enfermer	VERB
là-dedans	là-dedans	ADV
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Et	et	CCONJ
il	il	PRON
se	se	PRON
approcha	approcher	VERB
vers	vers	ADP
la	le	DET
seconde	second	ADJ
porte	porte	NOUN
pour	pour	ADP
en	en	PRON
faire	faire	VERB
autant	autant	ADV
que	que	SCONJ
il	il	PRON
avait	avoir	AUX
fait	faire	VERB
de	de	ADP
la	le	DET
première	premier	ADJ
,	,	PUNCTclause
quand	quand	ADV
tout	tout	ADV
à	à	ADP
coup	coup	NOUN
cette	ce	DET
porte	porte	NOUN
se	se	PRON
ouvrit	ouvrir	VERB
,	,	PUNCTclause
et	et	CCONJ
Ernauton	Ernauton	PROPN
parut	paraître	VERB
debout	debout	ADV
sur	sur	ADP
le	le	DET
seuil	seuil	NOUN
,	,	PUNCTclause
avec	avec	ADP
un	un	DET
visage	visage	NOUN
qui	qui	PRON
ne	ne	ADV
annonçait	annoncer	VERB
point	point	ADV
que	que	SCONJ
la	le	DET
patience	patience	NOUN
fût	être	AUX
une	un	PRON
de	de	ADP
ces	ce	DET
vertus	vertu	NOUN
que	que	SCONJ
il	il	PRON
pratiquait	pratiquer	VERB
si	si	SCONJ
religieusement	religieusement	ADV
,	,	PUNCTclause
au	au	ADP_DET
dire	dire	NOUN
de	de	ADP
Sainte-Maline	Sainte-Maline	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
De	de	ADP
quel	quel	DET
droit	droit	NOUN
M.	M.	PROPN
de	de	ADP
Sainte-Maline	Sainte-Maline	PROPN
a	avoir	AUX
il	il	PRON
brisé	briser	VERB
cette	ce	DET
première	premier	ADJ
porte	porte	NOUN
?	?	PUNCTsent
demanda	demander	VERB
il	il	PRON
;	;	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
ayant	avoir	AUX
déjà	déjà	ADV
brisé	briser	VERB
celle	celle	PRON
,	,	PUNCTclause
veut	vouloir	VERB
il	il	PRON
encore	encore	ADV
briser	briser	VERB
celle	celle	PRON
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
