# columns = TERM LEMMA POS PROB
# identifier = dumas1850a-117
# creator = Dumas, Alexandre
# created = 1850
# isPartOf = Le Vicomte de Bragelonne
# title = CXVII. Le secret du roi

↵↵↵	↵↵↵	PUNCTstruct
Cxvii	Cxvii	PROPN
.	.	PUNCTsent
Le	le	DET
secret	secret	NOUN
du	du	ADP_DET
roi	roi	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
En	en	ADP
chemin	chemin	NOUN
,	,	PUNCTclause
Louis	Louis	PROPN
rencontra	rencontrer	VERB
le	le	DET
comte	comte	NOUN
de	de	ADP
Saint-Aignan	Saint-Aignan	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
hé	hé	INTJ
bien	bien	ADV
!	!	PUNCTsent
Saint-Aignan	Saint-Aignan	PROPN
,	,	PUNCTclause
demanda	demander	VERB
il	il	PRON
avec	avec	ADP
affectation	affectation	NOUN
,	,	PUNCTclause
comment	comment	ADV
se	se	PRON
trouve	trouver	VERB
la	le	DET
malade	malade	ADJ
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Mais	mais	CCONJ
,	,	PUNCTclause
Sire	Sire	PROPN
,	,	PUNCTclause
balbutia	balbutier	VERB
Saint-Aignan	Saint-Aignan	PROPN
,	,	PUNCTclause
je	je	PRON
avoue	avouer	VERB
à	à	ADP
ma	mon	DET
honte	honte	NOUN
que	que	PRON
je	je	PRON
l'	le:PRON	PRON
ignore	ignorer	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Comment	comment	ADV
,	,	PUNCTclause
vous	vous	PRON
l'	le:PRON	PRON
ignorez	ignorer	VERB
?	?	PUNCTsent
fit	faire	VERB
le	le	DET
roi	roi	NOUN
feignant	feindre	VERB
de	de	ADP
prendre au sérieux	prendre au sérieux	VERB
ce	ce	DET
manque de	manque de	ADP
égards	égard	NOUN
pour	pour	ADP
l'	le	DET
objet	objet	NOUN
de	de	ADP
sa	son	DET
prédilection	prédilection	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Sire	sire	NOUN
,	,	PUNCTclause
pardonnez	pardonner	VERB
moi	moi	PRON
;	;	PUNCTclause
mais	mais	CCONJ
je	je	PRON
venais	venir	VERB
de	de	ADP
rencontrer	rencontrer	VERB
une	un	DET
de	de	ADP
nos	nos	DET
trois	trois	NUM
causeuses	causeur	NOUN
,	,	PUNCTclause
et	et	CCONJ
je	je	PRON
avoue	avouer	VERB
que	que	SCONJ
cela	cela	PRON
me	me	PRON
a	avoir	AUX
distrait	distraire	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ha	ha	INTJ
!	!	PUNCTsent
vous	vous	PRON
avez	avoir	AUX
trouvé	trouver	VERB
?	?	PUNCTsent
dit	dire	VERB
vivement	vivement	ADV
le	le	DET
roi	roi	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Celle	celle	PRON
qui	qui	PRON
daignait	daigner	VERB
parler	parler	VERB
si	si	ADV
avantageusement	avantageusement	ADV
de	de	ADP
moi	moi	PRON
,	,	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
ayant	avoir	AUX
trouvé	trouver	VERB
la mienne	la mienne	PRON
,	,	PUNCTclause
je	je	PRON
cherchais	chercher	VERB
la	le	DET
vôtre	vôtre	PRON
,	,	PUNCTclause
Sire	Sire	PROPN
,	,	PUNCTclause
lorsque	lorsque	SCONJ
je	je	PRON
ai	avoir	AUX
eu	avoir	VERB
le	le	DET
bonheur	bonheur	NOUN
de	de	ADP
rencontrer	rencontrer	VERB
Votre	Votre	PROPN
Majesté	Majesté	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ce	ce	PRON
est	être	AUX
bien	bien	ADV
;	;	PUNCTclause
mais	mais	CCONJ
,	,	PUNCTclause
avant	avant	ADP
tout	tout	PRON
,	,	PUNCTclause
mademoiselle	mademoiselle	NOUN
de	de	ADP
La	le	DET
Vallière	Vallière	PROPN
,	,	PUNCTclause
dit	dire	VERB
le	le	DET
roi	roi	NOUN
,	,	PUNCTclause
fidèle	fidèle	ADJ
à	à	ADP
son	son	DET
rôle	rôle	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ho	ho	INTJ
!	!	PUNCTsent
que	que	PRON
voilà	voilà	ADP
une	un	DET
belle	beau	ADJ
intéressante	intéressant	ADJ
,	,	PUNCTclause
dit	dire	VERB
Saint-Aignan	Saint-Aignan	PROPN
,	,	PUNCTclause
et	et	CCONJ
comme	comme	ADP
son	son	DET
évanouissement	évanouissement	NOUN
était	être	AUX
de	de	ADP
luxe	luxe	NOUN
,	,	PUNCTclause
puisque	puisque	SCONJ
Votre	Votre	PROPN
Majesté	Majesté	PROPN
se	se	PRON
occupait	occuper	VERB
de	de	ADP
elle	elle	PRON
avant	avant	ADP
cela	cela	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Et	et	CCONJ
le	le	DET
nom	nom	NOUN
de	de	ADP
votre	votre	DET
belle	beau	ADJ
,	,	PUNCTclause
à	à	ADP
vous	vous	PRON
,	,	PUNCTclause
Saint-Aignan	Saint-Aignan	PROPN
,	,	PUNCTclause
est	être	AUX
ce	ce	DET
un	un	PRON
secret	secret	ADJ
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Sire	sire	NOUN
,	,	PUNCTclause
ce	ce	PRON
devrait	devoir	VERB
être	être	AUX
un	un	DET
secret	secret	NOUN
,	,	PUNCTclause
et	et	CCONJ
un	un	DET
très	très	ADV
grand	grand	ADJ
même	même	ADV
;	;	PUNCTclause
mais	mais	CCONJ
pour	pour	ADP
vous	vous	PRON
,	,	PUNCTclause
Votre	votre	DET
Majesté	Majesté	PROPN
sait	savoir	VERB
bien	bien	ADV
que	que	SCONJ
il	il	PRON
ne	ne	ADV
existe	exister	VERB
pas	pas	ADV
de	de	DET
secrets	secret	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Son	son	DET
nom	nom	NOUN
alors	alors	ADV
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ce	ce	PRON
est	être	AUX
mademoiselle	mademoiselle	NOUN
de	de	ADP
Tonnay-Charente	Tonnay-Charente	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Elle	elle	PRON
est	être	AUX
belle	beau	ADJ
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Par-dessus	par-dessus	ADP
tout	tout	PRON
,	,	PUNCTclause
oui	oui	INTJ
,	,	PUNCTclause
Sire	Sire	PROPN
,	,	PUNCTclause
et	et	CCONJ
je	je	PRON
ai	avoir	AUX
reconnu	reconnaître	VERB
la	le	DET
voix	voix	NOUN
qui	qui	PRON
disait	dire	VERB
si	si	SCONJ
tendrement	tendrement	ADV
mon	mon	DET
nom	nom	NOUN
.	.	PUNCTsent
Alors	alors	ADV
je	je	PRON
l'	le:PRON	PRON
ai	avoir	AUX
abordée	aborder	VERB
,	,	PUNCTclause
questionnée	questionner	VERB
autant	autant	ADV
que	que	SCONJ
je	je	PRON
ai	avoir	AUX
pu	pouvoir	VERB
le	le	DET
faire	faire	AUX
au milieu de	au milieu de	ADP
la	le	DET
foule	foule	NOUN
,	,	PUNCTclause
et	et	CCONJ
