# columns = TERM LEMMA POS PROB
# identifier = dumas1850a-192
# creator = Dumas, Alexandre
# created = 1850
# isPartOf = Le Vicomte de Bragelonne
# title = CXCII. Visite domiciliaire

↵↵↵	↵↵↵	PUNCTstruct
Cxcii	Cxcii	PROPN
.	.	PUNCTsent
Visite	visite	NOUN
domiciliaire	domiciliaire	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
La	le	DET
princesse	prince	NOUN
,	,	PUNCTclause
précédant	précéder	VERB
Raoul	Raoul	PROPN
,	,	PUNCTclause
le	le	DET
conduisit	conduire	NOUN
à travers	à travers	ADP
la	le	DET
cour	cour	NOUN
vers	vers	ADP
le	le	DET
corps	corps	NOUN
de	de	DET
bâtiment	bâtiment	NOUN
que	que	ADV
habitait	habiter	VERB
La	le	DET
Vallière	Vallière	PROPN
,	,	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
montant	monter	VERB
l'	le	DET
escalier	escalier	NOUN
que	que	SCONJ
avait	avoir	AUX
monté	monter	VERB
Raoul	Raoul	PROPN
le	le	ADP
matin	matin	NOUN
même	même	ADJ
,	,	PUNCTclause
elle	elle	PRON
se	se	PRON
arrêta	arrêter	VERB
à	à	ADP
la	le	DET
porte	porte	NOUN
de	de	DET
la	le	AUX
chambre	chambre	NOUN
où	où	ADV
le	le	DET
jeune	jeune	ADJ
homme	homme	NOUN
,	,	PUNCTclause
à	à	ADP
son	son	DET
tour	tour	NOUN
,	,	PUNCTclause
avait	avoir	AUX
été	être	AUX
si	si	SCONJ
étrangement	étrangement	ADV
reçu	recevoir	VERB
par	par	ADP
Montalais	Montalais	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
moment	moment	NOUN
était	être	AUX
bien	bien	ADV
choisi	choisir	VERB
pour	pour	ADP
accomplir	accomplir	VERB
le	le	DET
projet	projet	NOUN
conçu	concevoir	VERB
par	par	ADP
Madame	madame	NOUN
Henriette	Henriette	PROPN
:	:	PUNCTclause
le	le	DET
château	château	NOUN
était	être	AUX
vide	vide	ADJ
