# columns = TERM LEMMA POS PROB
# identifier = dumas1850d-06
# creator = Dumas, Alexandre
# created = 1850
# isPartOf = La Tulipe noire
# title = VI. La haine d’un tulipier

↵↵↵	↵↵↵	PUNCTstruct
VI	VI	ADJ
.	.	PUNCTsent
La	le	DET
haine	haine	NOUN
de	de	DET
un	un	NUM
tulipier	tulipier	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
à partir de	à partir de	ADP
ce	ce	DET
moment	moment	NOUN
,	,	PUNCTclause
au lieu de	au lieu de	ADP
une	un	DET
préoccupation	préoccupation	NOUN
,	,	PUNCTclause
Boxtel	Boxtel	PROPN
eut	avoir	VERB
une	un	DET
crainte	crainte	NOUN
.	.	PUNCTsent
Ce	ce	PRON
qui	qui	PRON
donne	donner	VERB
de	de	DET
la	le	AUX
vigueur	vigueur	NOUN
et	et	CCONJ
de	de	DET
la	le:PRON	PRON
noblesse	noblesse	VERB
aux	au	ADP_DET
efforts	effort	NOUN
du	du	ADP_DET
corps	corps	NOUN
et	et	CCONJ
de	de	DET
l'	le:PRON	PRON
esprit	esprit	VERB
,	,	PUNCTclause
la	le	DET
culture	culture	NOUN
de	de	DET
une	un	PRON
idée	idée	ADJ
favorite	favori	ADJ
,	,	PUNCTclause
Boxtel	Boxtel	PROPN
le	le:PRON	PRON
perdit	perdre	VERB
en	en	ADP
ruminant	ruminer	VERB
tout	tout	ADJ
le	le	DET
dommage	dommage	NOUN
que	que	SCONJ
allait	aller	VERB
lui	lui	PRON
causer	causer	VERB
l'	le	DET
idée	idée	NOUN
du	du	ADP_DET
voisin	voisin	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Van	van	X
Baerle	Baerle	PROPN
,	,	PUNCTclause
comme	comme	ADP
on	on	PRON
peut	pouvoir	VERB
le	le:PRON	PRON
penser	penser	VERB
,	,	PUNCTclause
du	du	ADP_DET
moment	moment	NOUN
où	où	ADV
il	il	PRON
eut	avoir	VERB
appliqué	appliquer	VERB
à	à	ADP
ce	ce	PRON
point	point	ADV
la	le	DET
parfaite	parfait	ADJ
intelligence	intelligence	NOUN
dont	dont	PRON
la	le	DET
nature	nature	NOUN
l'	le:PRON	PRON
avait	avoir	AUX
doué	doué	ADJ
,	,	PUNCTclause
Van	Van	PROPN
Baerle	Baerle	PROPN
réussit	réussir	VERB
à	à	ADP
élever	élever	VERB
les	le	DET
plus	plus	ADV
belles	beau	ADJ
tulipes	tulipe	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Mieux	mieux	ADV
que	que	SCONJ
qui que	qui que	SCONJ
ce	ce	PRON
soit	soit	CCONJ
à	à	ADP
Harlem	Harlem	PROPN
et	et	CCONJ
à	à	ADP
Leyde	Leyde	PROPN
,	,	PUNCTclause
villes	ville	NOUN
qui	qui	PRON
offrent	offrir	VERB
les	le	DET
meilleurs	meilleur	ADJ
territoires	territoire	NOUN
et	et	CCONJ
les	le	DET
plus	plus	ADV
sains	sain	ADJ
climats	climat	NOUN
,	,	PUNCTclause
Cornélius	Cornélius	PROPN
réussit	réussir	VERB
à	à	ADP
varier	varier	VERB
les	le	DET
couleurs	couleur	NOUN
,	,	PUNCTclause
à	à	ADP
modeler	modeler	VERB
les	le	DET
formes	forme	NOUN
,	,	PUNCTclause
à	à	ADP
multiplier	multiplier	VERB
les	le	DET
espèces	espèce	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Il	il	PRON
était	être	AUX
de	de	DET
cette	ce	NOUN
école	école	ADJ
ingénieuse	ingénieux	ADJ
et	et	CCONJ
naïve	naïf	ADJ
qui	qui	PRON
prit	prendre	VERB
pour	pour	ADP
devise	devise	NOUN
,	,	PUNCTclause
dès	dès	ADP
le	le	DET
7e	7e	ADJ
siècle	siècle	NOUN
,	,	PUNCTclause
cet	ce	DET
aphorisme	aphorisme	NOUN
développé	développer	VERB
en	en	ADP
1653	1653	NUM
par	par	ADP
un	un	DET
de	de	DET
ses	son	NOUN
adeptes	adepte	ADJ
:	:	PUNCTclause
«	«	PUNCTsent
ce	ce	PRON
est	être	AUX
offenser	offenser	VERB
Dieu	Dieu	PROPN
que	que	SCONJ
mépriser	mépriser	VERB
les	le	DET
fleurs	fleur	NOUN
.	.	PUNCTsent
»	»	PUNCTclause
↵↵	↵↵	PUNCTstruct
Prémisse	prémisse	NOUN
dont	dont	PRON
l'	le	DET
école	école	NOUN
tulipière	tulipière	ADJ
,	,	PUNCTclause
la	le	DET
plus	plus	ADV
exclusive	exclusif	ADJ
des	un	ADP_DET
écoles	école	NOUN
,	,	PUNCTclause
fit	faire	AUX
en	en	ADP
1653	1653	NUM
le	le	DET
syllogisme	syllogisme	NOUN
suivant	suivant	ADJ
:	:	PUNCTclause
↵↵	↵↵	PUNCTstruct
«	«	PUNCTclause
ce	ce	PRON
est	être	AUX
offenser	offenser	VERB
Dieu	Dieu	PROPN
que	que	SCONJ
mépriser	mépriser	VERB
les	le	DET
fleurs	fleur	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
«	«	PUNCTclause
Plus	plus	ADV
la	le	DET
fleur	fleur	NOUN
est	être	AUX
belle	beau	ADJ
,	,	PUNCTclause
plus	plus	ADV
en	en	ADP
la	la	NUM
méprisant	méprisant	CCONJ
on	on	PRON
offense	offenser	VERB
Dieu	Dieu	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
«	«	PUNCTclause
La	le	DET
tulipe	tulipe	NOUN
est	être	AUX
la	le	DET
plus	plus	ADV
belle	beau	ADJ
de	de	DET
toutes	tout	ADJ
les	le	DET
fleurs	fleur	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
«	«	PUNCTclause
Donc	donc	ADV
qui	qui	PRON
méprise	mépriser	VERB
la	le	DET
tulipe	tulipe	NOUN
offense	offenser	VERB
démesurément	démesurément	ADV
Dieu	Dieu	PROPN
.	.	PUNCTsent
»	»	PUNCTclause
↵↵	↵↵	PUNCTstruct
Raisonnement	raisonnement	NOUN
à	à	ADP
l'	le	DET
aide	aide	NOUN
duquel	duquel	ADJ
,	,	PUNCTclause
on	on	PRON
le	le:PRON	PRON
voit	voir	AUX
,	,	PUNCTclause
avec	avec	ADP
de	de	DET
la	le:PRON	PRON
mauvaise	mauvais	ADJ
volonté	volonté	NOUN
,	,	PUNCTclause
les	le	DET
quatre	quatre	NUM
ou	ou	CCONJ
cinq	cinq	NUM
mille	mille	NUM
tulipiers	tulipier	NOUN
de	de	DET
Hollande	Hollande	PROPN
,	,	PUNCTclause
de	de	DET
France	France	PROPN
et	et	CCONJ
du	du	ADP_DET
Portugal	Portugal	PROPN
,	,	PUNCTclause
nous	nous	PRON
ne	ne	ADV
parlons	parler	VERB
pas	pas	ADV
de	de	DET
ceux	ceux	PRON
de	de	DET
Ceylan	Ceylan	PROPN
,	,	PUNCTclause
de	de	DET
l'	le	NOUN
Inde	Inde	PROPN
et	et	CCONJ
de	de	DET
la	le:PRON	PRON
Chine	Chine	PROPN
,	,	PUNCTclause
eussent	avoir	VERB
mis	mettre	VERB
l'	le	DET
univers	univers	NOUN
hors	hors	ADV
la	le	DET
loi	loi	NOUN
,	,	PUNCTclause
et	et	CCONJ
déclaré	déclarer	VERB
schismatiques	schismatique	NOUN
,	,	PUNCTclause
hérétiques	hérétique	ADJ
et	et	CCONJ
dignes	digne	ADJ
de	de	DET
mort	mort	NOUN
plusieurs	plusieurs	DET
centaines	centaine	NOUN
de	de	DET
millions	million	NOUN
de	de	DET
hommes	homme	NOUN
froids	froid	ADJ
pour	pour	ADP
la	le	DET
tulipe	tulipe	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Il	il	PRON
ne	ne	ADV
faut	falloir	VERB
point	point	ADV
douter	douter	VERB
que	que	ADV
pour	pour	ADP
une	un	DET
pareille	pareil	NOUN
cause	cause	ADJ
Boxtel	Boxtel	PROPN
,	,	PUNCTclause
quoique	quoique	PRON
ennemi	ennemi	PRON
mortel	mortel	PRON
de	de	DET
Van	Van	PROPN
Baerle	Baerle	PROPN
,	,	PUNCTclause
ne	ne	ADV
eût	avoir	ADV
marché	marcher	VERB
sous	sous	ADP
le	le	DET
même	même	ADJ
drapeau	drapeau	NOUN
que	que	SCONJ
lui	lui	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Donc	donc	ADV
Van	Van	PROPN
Baerle	Baerle	PROPN
obtint	obtenir	VERB
des	un	DET
succès	succès	NOUN
nombreux	nombreux	ADJ
et	et	CCONJ
fit	faire	AUX
parler	parler	VERB
de	de	DET
lui	lui	PRON
,	,	PUNCTclause
si bien que	si bien que	SCONJ
Boxtel	Boxtel	PROPN
disparut	disparaître	VERB
à	à	ADP
tout	tout	ADJ
jamais	jamais	ADV
de	de	DET
la	le	AUX
liste	liste	NOUN
des	un	ADP_DET
notables	notable	NOUN
tulipiers	tulipier	ADJ
de	de	DET
la	le	AUX
Hollande	Hollande	PROPN
,	,	PUNCTclause
et	et	CCONJ
que	que	SCONJ
la	le	DET
tuliperie	tuliperie	NOUN
de	de	DET
Dordrecht	Dordrecht	PROPN
fut	être	AUX
représentée	représenter	VERB
par	par	ADP
Cornélius	Cornélius	PROPN
Van	Van	PROPN
Baerle	Baerle	PROPN
,	,	PUNCTclause
le	le	DET
modeste	modeste	NOUN
et	et	CCONJ
inoffensif	inoffensif	ADJ
savant	savant	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Ainsi	ainsi	ADV
du	du	ADP_DET
plus	plus	ADV
humble	humble	ADJ
rameau	rameau	VERB
la	le	DET
greffe	greffe	NOUN
fait	faire	AUX
jaillir	jaillir	VERB
les	le	DET
rejetons	rejeton	NOUN
les	le	DET
plus	plus	ADV
fiers	fier	ADJ
,	,	PUNCTclause
et	et	CCONJ
l'	le	DET
églantier	églantier	NOUN
aux	au	ADP_DET
quatre	quatre	NUM
pétales	pétale	NOUN
incolores	incolore	ADJ
commence	commencer	VERB
la	le	DET
rose	rose	NOUN
gigantesque	gigantesque	ADJ
et	et	CCONJ
parfumée	parfumer	VERB
.	.	PUNCTsent
Ainsi	ainsi	ADV
les	le	DET
maisons	maison	NOUN
royales	royal	ADJ
ont	avoir	AUX
pris	prendre	VERB
parfois	parfois	ADV
naissance	naissance	NOUN
dans	dans	ADP
la	le	DET
chaumière	chaumière	NOUN
de	de	DET
un	un	PRON
bûcheron	bûcheron	ADP_DET
ou	ou	CCONJ
dans	dans	ADP
la	le	DET
cabane	cabane	NOUN
de	de	DET
un	un	NUM
pêcheur	pêcheur	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Van	van	X
Baerle	Baerle	PROPN
,	,	PUNCTclause
adonné	adonner	VERB
tout	tout	ADJ
entier	entier	ADJ
à	à	ADP
ses	son	DET
travaux	travail	NOUN
de	de	DET
semis	semis	NOUN
,	,	PUNCTclause
de	de	DET
plantation	plantation	NOUN
,	,	PUNCTclause
de	de	DET
récolte	récolte	NOUN
,	,	PUNCTclause
Van	Van	PROPN
Baerle	Baerle	PROPN
,	,	PUNCTclause
caressé	caresser	VERB
par	par	ADP
toute	tout	ADJ
la	le	DET
tuliperie	tuliperie	NOUN
de	de	DET
Europe	Europe	PROPN
,	,	PUNCTclause
ne	ne	ADV
soupçonna	soupçonner	VERB
pas	pas	ADV
même	même	ADV
que	que	SCONJ
à	à	ADP
ses	son	DET
côtés	côté	NOUN
il y a	il y a	VERB
un	un	DET
malheureux	malheureux	ADJ
détrôné	détrôner	NOUN
dont	dont	PRON
il	il	PRON
était	être	AUX
l'	le	DET
usurpateur	usurpateur	NOUN
.	.	PUNCTsent
Il	il	PRON
continua	continuer	VERB
ses	son	DET
expériences	expérience	NOUN
,	,	PUNCTclause
et	et	CCONJ
par conséquent	par conséquent	CCONJ
ses	son	DET
victoires	victoire	NOUN
,	,	PUNCTclause
et	et	CCONJ
en	en	ADP
deux	deux	NUM
années	année	NOUN
couvrit	couvrir	VERB
ses	son	DET
plates-bandes	plate-bande	NOUN
de	de	DET
sujets	sujet	NOUN
tellement	tellement	ADV
merveilleux	merveilleux	ADJ
que	que	SCONJ
jamais	jamais	ADV
personne	personne:PRON	PRON
,	,	PUNCTclause
excepté	excepté	ADP
peut-être	peut-être	ADV
Shakespeare	Shakespeare	PROPN
et	et	CCONJ
Rubens	Rubens	PROPN
,	,	PUNCTclause
ne	ne	ADV
avait	avoir	AUX
