# columns = TERM LEMMA POS PROB
# identifier = dumas1850d-19
# creator = Dumas, Alexandre
# created = 1850
# isPartOf = La Tulipe noire
# title = XIX. Femme et fleur

↵↵↵	↵↵↵	PUNCTstruct
XIX	XIX	NUM
.	.	PUNCTsent
Femme	femme	NOUN
et	et	CCONJ
fleur	fleur	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Mais	mais	CCONJ
la	le	DET
pauvre	pauvre	NOUN
Rosa	Rosa	PROPN
,	,	PUNCTclause
enfermée	enfermer	VERB
dans	dans	ADP
sa	son	DET
chambre	chambre	NOUN
,	,	PUNCTclause
ne	ne	ADV
pouvait	pouvoir	VERB
savoir	savoir	VERB
à	à	ADP
qui	qui	PRON
ou	ou	CCONJ
à	à	ADP
quoi	quoi	PRON
rêvait	rêver	VERB
Cornélius	Cornélius	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Il	il	PRON
en	en	PRON
résultait	résulter	VERB
que	que	SCONJ
,	,	PUNCTclause
d'après	d'après	ADP
ce	ce	PRON
que	que	SCONJ
il	il	PRON
lui	lui	PRON
avait	avoir	AUX
dit	dire	VERB
,	,	PUNCTclause
Rosa	Rosa	PROPN
était	être	AUX
bien	bien	ADV
encline	enclin	ADJ
à	à	ADP
croire	croire	VERB
que	que	SCONJ
il	il	PRON
rêvait	rêver	VERB
plus	plus	ADV
à	à	ADP
sa	son	DET
tulipe	tulipe	NOUN
que	que	SCONJ
à	à	ADP
elle	elle	PRON
,	,	PUNCTclause
et	et	CCONJ
cependant	cependant	ADV
Rosa	Rosa	PROPN
se	se	PRON
trompait	tromper	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Mais	mais	CCONJ
comme	comme	SCONJ
personne	personne:PRON	PRON
ne	ne	ADV
était	être	VERB
là	là	ADV
pour	pour	ADP
dire	dire	VERB
à	à	ADP
Rosa	Rosa	PROPN
que	que	SCONJ
elle	elle	PRON
se	se	PRON
trompait	tromper	VERB
,	,	PUNCTclause
comme	comme	ADP
les	le	DET
paroles	parole	NOUN
imprudentes	imprudent	ADJ
de	de	ADP
Cornélius	Cornélius	PROPN
étaient	être	AUX
tombées	tomber	VERB
sur	sur	ADP
son	son	DET
âme	âme	NOUN
comme	comme	ADP
des	un	DET
gouttes	goutte	NOUN
de	de	ADP
poison	poison	NOUN
,	,	PUNCTclause
Rosa	Rosa	PROPN
ne	ne	ADV
rêvait	rêver	VERB
pas	pas	ADV
,	,	PUNCTclause
elle	elle	PRON
pleurait	pleurer	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
en effet	en effet	ADV
,	,	PUNCTclause
comme	comme	SCONJ
Rosa	Rosa	PROPN
était	être	AUX
une	un	DET
créature	créature	NOUN
de	de	ADP
esprit	esprit	NOUN
élevé	élevé	ADJ
,	,	PUNCTclause
de	de	ADP
un	un	DET
sens	sens	NOUN
droit	droit	ADJ
et	et	CCONJ
profond	profond	ADJ
,	,	PUNCTclause
Rosa	Rosa	PROPN
se	se	PRON
rendait	rendre	VERB
justice	justice	NOUN
,	,	PUNCTclause
non	non	ADV
point	point	ADV
quant à	quant à	ADP
ses	son	DET
qualités	qualité	NOUN
morales	morale	ADJ
et	et	CCONJ
physiques	physique	ADJ
,	,	PUNCTclause
mais	mais	CCONJ
quant à	quant à	ADP
sa	son	DET
position	position	NOUN
sociale	social	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Cornélius	Cornélius	PROPN
était	être	AUX
savant	savant	ADJ
,	,	PUNCTclause
Cornélius	Cornélius	PROPN
était	être	AUX
riche	riche	ADJ
,	,	PUNCTclause
ou	ou	CCONJ
du	du	ADP_DET
moins	moins	ADV
l'	le	DET
avait	avoir	AUX
été	être	AUX
avant	avant	ADP
la	le	DET
confiscation	confiscation	NOUN
de	de	ADP
ses	son	DET
biens	bien	NOUN
;	;	PUNCTclause
Cornélius	Cornélius	PROPN
était	être	AUX
de	de	ADP
cette	ce	DET
bourgeoisie	bourgeoisie	NOUN
de	de	ADP
commerce	commerce	NOUN
,	,	PUNCTclause
plus	plus	ADV
fière	fier	ADJ
de	de	ADP
ses	son	DET
enseignes	enseigne	NOUN
de	de	ADP
boutiques	boutique	NOUN
tracées	tracer	VERB
,	,	PUNCTclause
formées	former	VERB
en	en	ADP
blason	blason	NOUN
,	,	PUNCTclause
que	que	SCONJ
l'	le:PRON	PRON
a	avoir	AUX
jamais	jamais	ADV
été	être	AUX
la	le	DET
noblesse	noblesse	NOUN
de	de	ADP
race	race	NOUN
de	de	ADP
ses	son	DET
armoiries	armoirie	NOUN
héréditaires	héréditaire	ADJ
.	.	PUNCTsent
