# columns = TERM LEMMA POS PROB
# identifier = dumas1850e-23
# creator = Dumas, Alexandre
# created = 1850
# isPartOf = La colombe
# title = Vingt-troisième lettre

↵↵↵	↵↵↵	PUNCTstruct
Vingt-troisième	vingt-troisième	ADJ
lettre	lettre	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
4	4	NUM
heures	heure	NOUN
et	et	CCONJ
1	1	NUM
2	2	NUM
de	de	ADP
l'	le	DET
après-midi	après-midi	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Allez	aller	VERB
,	,	PUNCTclause
et	et	CCONJ
que	que	SCONJ
Dieu	Dieu	PROPN
soit	soit	CCONJ
avec	avec	ADP
vous	vous	PRON
.	.	PUNCTsent
