# columns = TERM LEMMA POS PROB
# identifier = dumas1851a-53
# creator = Dumas, Alexandre
# created = 1851
# isPartOf = Ange Pitou
# title = LIII. La soirée du 5 au 6 octobre

↵↵↵	↵↵↵	PUNCTstruct
Liii	Liii	PROPN
.	.	PUNCTsent
La	le	DET
soirée	soirée	NOUN
du	du	ADP_DET
5	5	NUM
au	au	ADP_DET
6	6	NUM
octobre	octobre	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Charny	Charny	PROPN
et	et	CCONJ
Gilbert	Gilbert	PROPN
se	se	PRON
précipitent	précipiter	VERB
par	par	ADP
les	le	DET
degrés	degré	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Au	au	ADP_DET
nom	nom	NOUN
du	du	ADP_DET
roi	roi	NOUN
!	!	PUNCTsent
crie	crier	VERB
l'un	l'un	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
au nom de	au nom de	ADP
la	le	DET
reine	reine	NOUN
!	!	PUNCTsent
crie	crier	VERB
l'autre	l'autre	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Et	et	CCONJ
tous deux	tous deux	PRON
ajoutent	ajouter	VERB
:	:	PUNCTclause
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Ouvrez	ouvrir	VERB
les	le	DET
portes	porte	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Mais	mais	CCONJ
cet	ce	DET
ordre	ordre	NOUN
ne	ne	ADV
est	être	AUX
pas	pas	ADV
si	si	ADV
vite	vite	ADV
exécuté	exécuter	VERB
que	que	SCONJ
le	le	DET
président	président	NOUN
de	de	ADP
l'	le	DET
Assemblée	Assemblée	PROPN
nationale	national	ADJ
ne	ne	ADV
ait	avoir	AUX
été	être	AUX
renversé	renverser	VERB
dans	dans	ADP
la	le	DET
cour	cour	NOUN
et	et	CCONJ
foulé	fouler	VERB
aux	au	ADP_DET
pieds	pied	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
à côté de	à côté de	ADP
lui	lui	PRON
deux	deux	NUM
des	un	DET
femmes	femme	NOUN
de	de	ADP
la	le	DET
députation	députation	NOUN
ont	avoir	AUX
été	être	AUX
blessées	blesser	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Gilbert	Gilbert	PROPN
et	et	CCONJ
Charny	Charny	PROPN
se	se	PRON
précipitent	précipiter	VERB
;	;	PUNCTclause
ces	ce	DET
deux	deux	NUM
hommes	homme	NOUN
,	,	PUNCTclause
partis	partir	VERB
l'un	l'un	PRON
du	du	ADP_DET
haut	haut	NOUN
de	de	ADP
la	le	DET
société	société	NOUN
,	,	PUNCTclause
l'autre	l'autre	PRON
de	de	ADP
en bas	en bas	ADV
,	,	PUNCTclause
se	se	PRON
sont	être	AUX
rencontrés	rencontrer	VERB
dans	dans	ADP
le	le	DET
même	même	ADJ
milieu	milieu	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
