# columns = TERM LEMMA POS PROB
# identifier = dumas1851a-55
# creator = Dumas, Alexandre
# created = 1851
# isPartOf = Ange Pitou
# title = LV. Le matin

↵↵↵	↵↵↵	PUNCTstruct
		TOKEN
.	.	PUNCTsent
Le	le	DET
matin	matin	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Un	un	DET
homme	homme	NOUN
attendait	attendre	VERB
la	le	DET
reine	reine	NOUN
sur	sur	ADP
la	le	DET
limite	limite	NOUN
des	un	ADP_DET
deux	deux	NUM
appartements	appartement	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Cet	ce	DET
homme	homme	NOUN
,	,	PUNCTclause
ce	ce	PRON
était	être	AUX
Charny	Charny	PROPN
tout	tout	ADV
sanglant	sanglant	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Le	le:PRON	PRON
roi	roi	NOUN
!	!	PUNCTsent
se	se	PRON
écria	écrier	VERB
Marie-Antoinette	Marie-Antoinette	PROPN
,	,	PUNCTclause
en	en	ADP
voyant	voir	VERB
les	le	DET
vêtements	vêtement	NOUN
rougis	rougir	VERB
du	du	ADP_DET
jeune	jeune	ADJ
homme	homme	NOUN
.	.	PUNCTsent
Le	le	DET
roi	roi	NOUN
!	!	PUNCTsent
monsieur	monsieur	NOUN
,	,	PUNCTclause
vous	vous	PRON
avez	avoir	AUX
promis	promettre	VERB
de	de	ADP
sauver	sauver	VERB
le	le	DET
roi	roi	NOUN
!	!	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Le	le:PRON	PRON
roi	roi	NOUN
est	être	AUX
sauvé	sauver	VERB
,	,	PUNCTclause
madame	madame	NOUN
,	,	PUNCTclause
répondit	répondre	VERB
Charny	Charny	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Et	et	CCONJ
,	,	PUNCTclause
plongeant	plonger	VERB
son	son	DET
regard	regard	NOUN
à travers	à travers	ADP
les	le	DET
portes	porte	NOUN
que	que	ADV
la	le	DET
reine	reine	NOUN
avait	avoir	AUX
laissées	laisser	VERB
ouvertes	ouvrir	VERB
pour	pour	ADP
arriver	arriver	VERB
de	de	ADP
chez	chez	ADP
elle	elle	PRON
à	à	ADP
l'	le	DET
Œil-de-Bœuf	œil-de-bœuf	NOUN
,	,	PUNCTclause
où	où	PRON
se	se	PRON
trouvaient	trouver	VERB
réunis	réunir	VERB
en	en	ADP
ce	ce	PRON
moment	moment	NOUN
la	le	DET
reine	reine	NOUN
,	,	PUNCTclause
Madame	madame	NOUN
Royale	Royale	PROPN
,	,	PUNCTclause
le	le	DET
dauphin	dauphin	NOUN
et	et	CCONJ
quelques	quelque	DET
gardes	garde	NOUN
,	,	PUNCTclause
il	il	PRON
se	se	PRON
apprêtait	apprêter	VERB
à	à	ADP
demander	demander	VERB
où	où	PRON
était	être	AUX
Andrée	Andrée	PROPN
,	,	PUNCTclause
quand	quand	SCONJ
il	il	PRON
rencontra	rencontrer	VERB
le	le	DET
regard	regard	NOUN
de	de	ADP
la	le	DET
reine	reine	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Ce	ce	DET
regard	regard	NOUN
arrêta	arrêter	VERB
la	le	DET
parole	parole	NOUN
sur	sur	ADP
ses	son	DET
lèvres	lèvre	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Mais	mais	CCONJ
le	le	DET
regard	regard	NOUN
de	de	ADP
la	le	DET
reine	reine	NOUN
plongeait	plonger	VERB
avant	avant	ADV
dans	dans	ADP
le	le	DET
cœur	cœur	NOUN
de	de	ADP
Charny	Charny	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Il	il	PRON
ne	ne	ADV
eut	avoir	VERB
pas	pas	ADV
besoin	besoin	NOUN
de	de	ADP
parler	parler	VERB
,	,	PUNCTclause
Marie-Antoinette	Marie-Antoinette	PROPN
devina	deviner	VERB
sa	son	DET
pensée	pensée	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Elle	elle	PRON
vient	venir	VERB
,	,	PUNCTclause
dit	dire	VERB
elle	elle	PRON
;	;	PUNCTclause
soyez	être	AUX
tranquille	tranquille	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Et	et	CCONJ
elle	elle	PRON
courut	courir	VERB
au	au	ADP_DET
dauphin	dauphin	NOUN
,	,	PUNCTclause
que	que	SCONJ
elle	elle	PRON
prit	prendre	VERB
dans	dans	ADP
ses	son	DET
bras	bras	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
en effet	en effet	ADV
,	,	PUNCTclause
Andrée	Andrée	PROPN
fermait	fermer	VERB
la	le	DET
dernière	dernier	ADJ
porte	porte	NOUN
,	,	PUNCTclause
et	et	CCONJ
entrait	entrer	VERB
à	à	ADP
son	son	DET
tour	tour	NOUN
dans	dans	ADP
la	le	DET
salle	salle	NOUN
de	de	ADP
l'	le	DET
Œil-de-Bœuf	œil-de-bœuf	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Andrée	Andrée	PROPN
et	et	CCONJ
Charny	Charny	PROPN
ne	ne	ADV
échangèrent	échanger	VERB
pas	pas	ADV
un	un	DET
mot	mot	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
sourire	sourire	NOUN
de	de	ADP
l'un	l'un	PRON
répondit	répondre	VERB
au	au	ADP_DET
sourire	sourire	NOUN
de	de	ADP
l'autre	l'autre	PRON
,	,	PUNCTclause
voilà	voilà	ADP
tout	tout	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Chose	chose	NOUN
étrange	étrange	ADJ
!	!	PUNCTsent
ces	ce	DET
deux	deux	NUM
cœurs	cœur	NOUN
si	si	SCONJ
longtemps	longtemps	ADV
séparés	séparer	VERB
commençaient	commencer	VERB
à	à	ADP
avoir	avoir	VERB
des	un	DET
battements	battement	NOUN
qui	qui	PRON
répondaient	répondre	VERB
l'un	l'un	PRON
à	à	ADP
l'autre	l'autre	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Pendant	pendant	ADP
ce	ce	DET
temps	temps	NOUN
,	,	PUNCTclause
la	le	DET
reine	reine	NOUN
regardait	regarder	VERB
autour de	autour de	ADP
elle	elle	PRON
;	;	PUNCTclause
et	et	CCONJ
comme	comme	SCONJ
si	si	SCONJ
elle	elle	PRON
eût	avoir	VERB
été	être	AUX
heureuse	heureux	ADJ
de	de	ADP
prendre	prendre	VERB
Charny	Charny	PROPN
en	en	ADP
faute	faute	NOUN
:	:	PUNCTclause
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Le	le:PRON	PRON
roi	roi	NOUN
?	?	PUNCTsent
demanda	demander	VERB
elle	elle	PRON
;	;	PUNCTclause
le	le	DET
roi	roi	NOUN
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Le	le:PRON	PRON
roi	roi	NOUN
vous	vous	PRON
cherche	chercher	VERB
,	,	PUNCTclause
madame	madame	NOUN
,	,	PUNCTclause
répondit	répondre	VERB
tranquillement	tranquillement	ADV
Charny	Charny	PROPN
;	;	PUNCTclause
il	il	PRON
est	être	AUX
allé	aller	VERB
chez	chez	ADP
vous	vous	PRON
par	par	ADP
un	un	DET
corridor	corridor	NOUN
,	,	PUNCTclause
tandis que	tandis que	SCONJ
vous	vous	PRON
êtes	être	AUX
venue	venir	VERB
par	par	ADP
un	un	DET
autre	autre	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Au	au	ADP_DET
même	même	ADJ
moment	moment	NOUN
,	,	PUNCTclause
on	on	PRON
entendit	entendre	VERB
de	de	ADP
grands	grand	ADJ
cris	cri	NOUN
dans	dans	ADP
la	le	DET
salle	salle	NOUN
voisine	voisin	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
ce	ce	PRON
étaient	être	AUX
les	le	DET
assassins	assassin	NOUN
qui	qui	PRON
criaient	crier	VERB
:	:	PUNCTclause
«	«	PUNCTsent
À	à	ADP
bas	bas	ADJ
l'	le	DET
Autrichienne	Autrichienne	PROPN
!	!	PUNCTsent
À	à	ADP
bas	bas	NOUN
la	le	DET
Messaline	Messaline	PROPN
!	!	PUNCTsent
À	à	ADP
bas	bas	NOUN
la	le	DET
Veto	Veto	PROPN
!	!	PUNCTsent
Il	il	PRON
faut	falloir	VERB
l'	le	DET
étrangler	étrangler	VERB
,	,	PUNCTclause
il	il	PRON
faut	falloir	VERB
la	le	DET
pendre	pendre	VERB
!	!	PUNCTsent
»	»	PUNCTclause
↵↵	↵↵	PUNCTstruct
en même temps	en même temps	ADV
deux	deux	NUM
coups	coup	NOUN
de	de	ADP
pistolets	pistolet	NOUN
se	se	PRON
font	faire	AUX
entendre	entendre	VERB
,	,	PUNCTclause
et	et	CCONJ
deux	deux	NUM
balles	balle	NOUN
trouent	trouer	VERB
la	le	DET
porte	porte	NOUN
à	à	ADP
différentes	différent	ADJ
hauteurs	hauteur	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Une	un	PRON
de	de	ADP
ces	ce	DET
deux	deux	NUM
balles	balle	NOUN
passa	passer	VERB
à	à	ADP
quelques	quelque	DET
lignes	ligne	NOUN
de	de	ADP
la	le	DET
tête	tête	NOUN
du	du	ADP_DET
dauphin	dauphin	NOUN
et	et	CCONJ
alla	aller	VERB
se	se	PRON
enfoncer	enfoncer	VERB
dans	dans	ADP
le	le	DET
lambris	lambris	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ho	ho	INTJ
!	!	PUNCTsent
mon Dieu	mon Dieu	NOUN
!	!	PUNCTsent
mon Dieu	mon Dieu	NOUN
!	!	PUNCTsent
se	se	PRON
écria	écrier	VERB
la	le	DET
reine	reine	NOUN
,	,	PUNCTclause
tombant	tomber	VERB
à	à	ADP
genoux	genou	NOUN
,	,	PUNCTclause
nous	nous	PRON
mourrons	mourir	VERB
tous	tout	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Les	le	DET
cinq	cinq	NUM
ou	ou	CCONJ
six	six	NUM
gardes	garde	NOUN
,	,	PUNCTclause
