# columns = TERM LEMMA POS PROB
# identifier = dumas1851b-35
# creator = Dumas, Alexandre
# created = 1851
# isPartOf = Dieu dispose
# title = III. Première explosion

↵↵↵	↵↵↵	PUNCTstruct
III	III	PRON
.	.	PUNCTsent
Première	premier	ADJ
explosion	explosion	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
l'	le	DET
air	air	NOUN
préoccupé	préoccuper	VERB
du	du	ADP_DET
comte	comte	NOUN
de	de	DET
Eberbach	Eberbach	PROPN
ne	ne	ADV
avait	avoir	AUX
pas	pas	ADV
échappé	échapper	VERB
à	à	ADP
Frédérique	Frédérique	PROPN
;	;	PUNCTclause
mais	mais	CCONJ
,	,	PUNCTclause
dans	dans	ADP
sa	son	DET
candeur	candeur	NOUN
de	de	DET
ange	ange	NOUN
,	,	PUNCTclause
il	il	PRON
ne	ne	ADV
lui	lui	PRON
vint	venir	VERB
pas	pas	ADV
même	même	ADV
à	à	ADP
l'	le	DET
idée	idée	NOUN
que	que	SCONJ
elle	elle	PRON
pût	pouvoir	VERB
être	être	AUX
pour	pour	ADP
quelque chose	quelque chose	PRON
dans	dans	ADP
le	le	DET
souci	souci	NOUN
de	de	DET
Julius	Julius	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Qu'est-ce	qu'est-ce	PRON
donc	donc	ADV
que	que	SCONJ
vous	vous	PRON
avez	avoir	VERB
,	,	PUNCTclause
monsieur	monsieur	NOUN
?	?	PUNCTsent
lui	lui	PRON
demanda	demander	VERB
elle	elle	PRON
,	,	PUNCTclause
vous	vous	PRON
avez	avoir	VERB
l'	le	DET
air	air	NOUN
tout	tout	ADJ
sombre	sombre	ADJ
.	.	PUNCTsent
Voilà	voilà	VERB
ce	ce	PRON
que	que	SCONJ
ce	ce	PRON
est	être	AUX
que	que	ADV
de	de	DET
me	me	NOUN
avoir	avoir	AUX
exilée	exiler	VERB
de	de	DET
auprès de	auprès de	ADP
vous	vous	PRON
.	.	PUNCTsent
Je	je	PRON
vous	vous	PRON
le	le:PRON	PRON
disais	dire	VERB
bien	bien	ADV
.	.	PUNCTsent
Mais	mais	CCONJ
,	,	PUNCTclause
parce que	parce que	SCONJ
vous	vous	PRON
êtes	être	AUX
un	un	DET
homme d'État	homme d'État	NOUN
habitué	habituer	VERB
à	à	ADP
conseiller	conseiller	NOUN
les	le	DET
gouvernements	gouvernement	NOUN
,	,	PUNCTclause
vous	vous	PRON
ne	ne	ADV
voulez	vouloir	VERB
pas	pas	ADV
écouter	écouter	VERB
les	le	DET
idées	idée	NOUN
de	de	DET
une	un	SCONJ
petite	petit	ADJ
fille	fille	NOUN
comme	comme	ADP
moi	moi	PRON
.	.	PUNCTsent
hé	hé	VERB
bien	bien	ADV
!	!	PUNCTsent
vous	vous	PRON
voyez	voir	VERB
maintenant	maintenant	ADV
que	que	SCONJ
vous	vous	PRON
avez	avoir	VERB
tort	tort	NOUN
.	.	PUNCTsent
On	on	PRON
ne	ne	ADV
se	se	PRON
passe	passer	VERB
pas	pas	ADV
si	si	ADV
aisément	aisément	ADV
que	que	SCONJ
cela	cela	PRON
de	de	DET
moi	moi	PRON
,	,	PUNCTclause
savez	savoir	VERB
vous	vous	PRON
?	?	PUNCTsent
Vous	vous	PRON
vous	vous	PRON
repentez	repentir	VERB
à présent	à présent	ADV
.	.	PUNCTsent
Je	je	PRON
devrais	devoir	VERB
vous	vous	PRON
punir	punir	VERB
en	en	ADP
vous	vous	PRON
tenant	tenir	VERB
rancune	rancune	DET
et	et	CCONJ
en	en	ADP
ne	ne	ADV
vous	vous	PRON
allant	aller	VERB
plus	plus	ADV
voir	voir	AUX
du	du	ADP_DET
tout	tout	ADJ
.	.	PUNCTsent
Mais	mais	CCONJ
je	je	PRON
suis	être	AUX
clémente	clément	ADJ
,	,	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
tout	tout	ADJ
au contraire	au contraire	ADV
,	,	PUNCTclause
je	je	PRON
me	me	PRON
arrangerai	arranger	VERB
pour	pour	ADP
vous	vous	PRON
voir	voir	AUX
tous	tout	ADJ
les	le	DET
jours	jour	NOUN
.	.	PUNCTsent
je	je	PRON
en	en	PRON
parlais	parler	VERB
tout	tout	ADJ
à	à	ADP
l'	le	DET
heure	heure	NOUN
avec	avec	ADP
Lothario	Lothario	PROPN
.	.	PUNCTsent
hé	hé	VERB
bien	bien	ADV
,	,	PUNCTclause
voilà	voilà	VERB
que	que	SCONJ
vous	vous	PRON
vous	vous	PRON
rembrunissez	rembrunir	VERB
encore	encore	ADV
!	!	PUNCTsent
Est	être	AUX
ce	ce	PRON
ce	ce	PRON
que	que	SCONJ
je	je	PRON
vous	vous	PRON
dis	dire	VERB
qui	qui	PRON
vous	vous	PRON
blesse	blesser	VERB
et	et	CCONJ
vous	vous	PRON
afflige	affliger	VERB
?	?	PUNCTsent
Décidément	décidément	ADV
,	,	PUNCTclause
vous	vous	PRON
avez	avoir	AUX
quelque chose	quelque chose	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Oui	oui	INTJ
,	,	PUNCTclause
repartit	repartir	VERB
brusquement	brusquement	ADV
Julius	Julius	PROPN
,	,	PUNCTclause
je	je	PRON
ai	avoir	AUX
quelque chose	quelque chose	PRON
,	,	PUNCTclause
en effet	en effet	ADV
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Qu'est-ce	qu'est-ce	PRON
donc	donc	ADV
?	?	PUNCTsent
demanda	demander	VERB
la	le	DET
pauvre	pauvre	NOUN
fille	fille	VERB
un	un	DET
peu	peu	NOUN
émue	ému	ADJ
du	du	ADP_DET
ton	ton	NOUN
sec	sec	ADJ
dont	dont	PRON
Julius	Julius	PROPN
venait	venir	VERB
de	de	DET
lui	lui	PRON
répondre	répondre	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
je	je	PRON
ai	avoir	AUX
,	,	PUNCTclause
dit	dire	VERB
il	il	PRON
en	en	PRON
montrant	montrer	VERB
Lothario	Lothario	PROPN
,	,	PUNCTclause
que	que	SCONJ
vous	vous	PRON
me	me	PRON
appelez	appeler	VERB
encore	encore	ADV
monsieur	monsieur	NOUN
,	,	PUNCTclause
et	et	CCONJ
que	que	SCONJ
vous	vous	PRON
appelez	appeler	VERB
déjà	déjà	ADV
monsieur	monsieur	NOUN
que	que	SCONJ
