# columns = TERM LEMMA POS PROB
# identifier = dumas1851b-37
# creator = Dumas, Alexandre
# created = 1851
# isPartOf = Dieu dispose
# title = V. Coup de foudre

↵↵↵	↵↵↵	PUNCTstruct
V.	V.	PROPN
coup de foudre	coup de foudre	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Julius	Julius	PROPN
sentait	sentir	VERB
bien	bien	ADV
,	,	PUNCTclause
au	au	ADP_DET
fond	fond	NOUN
,	,	PUNCTclause
que	que	SCONJ
Samuel	Samuel	PROPN
avait	avoir	VERB
raison	raison	NOUN
,	,	PUNCTclause
et	et	CCONJ
que	que	SCONJ
la	le	DET
meilleure	meilleur	ADJ
manière	manière	NOUN
de	de	ADP
lier	lier	VERB
Frédérique	Frédérique	PROPN
et	et	CCONJ
Lothario	Lothario	PROPN
,	,	PUNCTclause
ce	ce	PRON
eût	avoir	AUX
été	être	AUX
de	de	ADP
les	le	DET
laisser	laisser	VERB
libres	libre	ADJ
.	.	PUNCTsent
Dans	dans	ADP
les	le	DET
moments	moment	NOUN
où	où	PRON
il	il	PRON
retrouvait	retrouver	VERB
un	un	DET
peu de	peu de	DET
sang-froid	sang-froid	NOUN
,	,	PUNCTclause
il	il	PRON
se	se	PRON
faisait	faire	VERB
des	un	ADP_DET
reproches	reproche	NOUN
.	.	PUNCTsent
Sa	son	DET
bonté	bonté	NOUN
et	et	CCONJ
sa	son	DET
noblesse	noblesse	NOUN
naturelles	naturel	ADJ
avaient	avoir	AUX
honte	honte	NOUN
des	un	ADP_DET
entraves	entrave	NOUN
que	que	SCONJ
il	il	PRON
mettait	mettre	VERB
à	à	ADP
l'	le	DET
amour	amour	NOUN
de	de	ADP
ces	ce	DET
deux	deux	NUM
enfants	enfant	NOUN
.	.	PUNCTsent
Il	il	PRON
se	se	PRON
indignait	indigner	VERB
contre	contre	ADP
lui-même	lui-même	PRON
,	,	PUNCTclause
il	il	PRON
se	se	PRON
promettait	promettre	VERB
de	de	ADP
être	être	AUX
différent	différent	ADJ
à	à	ADP
l'	le	DET
avenir	avenir	NOUN
,	,	PUNCTclause
de	de	ADP
prendre	prendre	VERB
sur	sur	ADP
lui	lui	PRON
de	de	ADP
ne	ne	ADV
pas	pas	ADV
gâter	gâter	VERB
ce	ce	PRON
que	que	PRON
il	il	PRON
avait	avoir	AUX
si	si	ADV
bien	bien	ADV
commencé	commencer	VERB
,	,	PUNCTclause
de	de	ADP
ne	ne	ADV
pas	pas	ADV
être	être	AUX
comme	comme	ADP
ces	ce	DET
donneurs	donneur	NOUN
avares	avare	ADJ
qui	qui	PRON
regrettent	regretter	VERB
et	et	CCONJ
redemandent	redemander	VERB
ce	ce	PRON
que	que	PRON
ils	ils	PRON
ont	avoir	AUX
donné	donner	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Mais	mais	CCONJ
sa	son	DET
flottante	flottant	ADJ
nature	nature	NOUN
tenait	tenir	VERB
mal	mal	ADV
toutes	tout	ADJ
ces	ce	DET
belles	beau	ADJ
résolutions	résolution	NOUN
.	.	PUNCTsent
Le	le	DET
vent	vent	NOUN
tournait	tourner	VERB
,	,	PUNCTclause
et	et	CCONJ
Julius	Julius	PROPN
se	se	PRON
remettait	remettre	VERB
à	à	ADP
la	le	DET
souffrance	souffrance	NOUN
,	,	PUNCTclause
à	à	ADP
l'	le	DET
inquiétude	inquiétude	NOUN
,	,	PUNCTclause
à	à	ADP
la	le	DET
mauvaise humeur	mauvaise humeur	NOUN
,	,	PUNCTclause
à	à	ADP
la	le	DET
colère	colère	NOUN
.	.	PUNCTsent
Il	il	PRON
avait	avoir	VERB
beau	beau	ADJ
se	se	PRON
faire	faire	VERB
les	le	DET
meilleurs	meilleur	NOUN
raisonnements	raisonnement	NOUN
du	du	ADP_DET
monde	monde	NOUN
,	,	PUNCTclause
et	et	CCONJ
se	se	PRON
démontrer	démontrer	VERB
que	que	SCONJ
la	le	DET
rigueur	rigueur	NOUN
ne	ne	ADV
était	être	AUX
pas	pas	ADV
plus	plus	ADV
dans	dans	ADP
son	son	DET
intérêt	intérêt	NOUN
que	que	SCONJ
dans	dans	ADP
son	son	DET
droit	droit	NOUN
,	,	PUNCTclause
sa	son	DET
jalousie	jalousie	NOUN
était	être	AUX
plus	plus	ADV
forte	fort	ADJ
que	que	SCONJ
sa	son	DET
conscience	conscience	NOUN
et	et	CCONJ
que	que	PRON
sa	son	DET
raison	raison	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Samuel	Samuel	PROPN
avait	avoir	AUX
changé	changer	VERB
de	de	ADP
tactique	tactique	NOUN
depuis	depuis	ADP
le	le	DET
jour	jour	NOUN
où	où	PRON
Julius	Julius	PROPN
lui	lui	PRON
avait	avoir	AUX
reproché	reprocher	VERB
de	de	ADP
lui	lui	PRON
avoir	avoir	AUX
rapporté	rapporter	VERB
la	le	DET
rencontre	rencontre	NOUN
de	de	ADP
Lothario	Lothario	PROPN
avec	avec	ADP
Frédérique	Frédérique	PROPN
.	.	PUNCTsent
Maintenant	maintenant	ADV
,	,	PUNCTclause
il	il	PRON
ne	ne	ADV
prononçait	prononcer	VERB
plus	plus	ADV
les	le	DET
noms	nom	NOUN
des	un	ADP_DET
deux	deux	NUM
jeunes	jeune	ADJ
gens	gens	NOUN
.	.	PUNCTsent
Quand	quand	SCONJ
le	le	DET
comte	comte	NOUN
de	de	ADP
Eberbach	Eberbach	PROPN
lui	lui	PRON
en	en	ADP
parlait	parler	VERB
,	,	PUNCTclause
il	il	PRON
affectait	affecter	VERB
de	de	ADP
détourner	détourner	VERB
la	le	DET
conversation	conversation	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Julius	Julius	PROPN
,	,	PUNCTclause
qui	qui	PRON
se	se	PRON
inquiétait	inquiéter	VERB
de	de	ADP
tout	tout	ADV
,	,	PUNCTclause
se	se	PRON
inquiétait	inquiéter	VERB
de	de	ADP
ce	ce	DET
silence	silence	NOUN
.	.	PUNCTsent
En	en	ADP
voyant	voir	VERB
Samuel	Samuel	PROPN
faire	faire	VERB
le	le	DET
mystérieux	mystérieux	ADJ
,	,	PUNCTclause
il	il	PRON
en	en	PRON
concluait	conclure	VERB
que	que	SCONJ
il y a	il y a	VERB
donc	donc	ADV
un	un	DET
mystère	mystère	NOUN
.	.	PUNCTsent
Son	son	DET
imagination	imagination	NOUN
travaillait	travailler	VERB
là-dessus	là-dessus	ADV
,	,	PUNCTclause
et	et	CCONJ
lui	lui	PRON
faisait	faire	VERB
des	un	DET
visions	vision	NOUN
de	de	ADP
rendez-vous	rendez-vous	NOUN
sur	sur	ADP
les	le	DET
routes	route	NOUN
,	,	PUNCTclause
de	de	ADP
rencontres	rencontre	NOUN
fortuites	fortuit	ADJ
ou	ou	CCONJ
cherchées	chercher	VERB
,	,	PUNCTclause
de	de	ADP
complots	complot	NOUN
et	et	CCONJ
de	de	ADP
trahisons	trahison	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
ce	ce	PRON
était	être	AUX
Julius	Julius	PROPN
à présent	à présent	ADV
qui	qui	PRON
interrogeait	interroger	VERB
Samuel	Samuel	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Si	si	SCONJ
Samuel	Samuel	PROPN
savait	savoir	VERB
quelque chose	quelque chose	PRON
,	,	PUNCTclause
pourquoi	pourquoi	ADV
ne	ne	ADV
parlait	parler	VERB
il	il	PRON
pas	pas	ADV
?	?	PUNCTsent
si	si	SCONJ
il	il	PRON
ne	ne	ADV
savait	savoir	VERB
rien	rien	PRON
,	,	PUNCTclause
pourquoi	pourquoi	ADV
ne	ne	ADV
disait	dire	VERB
il	il	PRON
pas	pas	ADV
que	que	SCONJ
il	il	PRON
ne	ne	ADV
savait	savoir	VERB
rien	rien	PRON
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
Samuel	Samuel	PROPN
répondait	répondre	VERB
imperturbablement	imperturbablement	ADV
que	que	SCONJ
