# columns = TERM LEMMA POS PROB
# identifier = dumas1851b-52
# creator = Dumas, Alexandre
# created = 1851
# isPartOf = Dieu dispose
# title = XX. Le récit de Gamba

↵↵↵	↵↵↵	PUNCTstruct
XX	XX	NUM
.	.	PUNCTsent
Le	le	DET
récit	récit	NOUN
de	de	ADP
Gamba	Gamba	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Ô	ô	INTJ
,	,	PUNCTclause
ma	mon	DET
chère	chère	NOUN
Gretchen	Gretchen	PROPN
!	!	PUNCTsent
je	je	PRON
vous	vous	PRON
ai	avoir	AUX
raconté	raconter	VERB
une	un	DET
partie	partie	NOUN
de	de	ADP
mon	mon	DET
histoire	histoire	NOUN
.	.	PUNCTsent
Je	je	PRON
suis	être	AUX
votre	votre	DET
cousin	cousin	NOUN
,	,	PUNCTclause
ce	ce	PRON
qui	qui	PRON
est	être	AUX
mon	mon	DET
bonheur	bonheur	NOUN
;	;	PUNCTclause
je	je	PRON
suis	être	AUX
bohémien	bohémien	ADJ
,	,	PUNCTclause
ce	ce	PRON
qui	qui	PRON
est	être	AUX
ma	mon	DET
gloire	gloire	NOUN
.	.	PUNCTsent
Mais	mais	CCONJ
si	si	SCONJ
vous	vous	PRON
croyez	croire	VERB
que	que	SCONJ
il	il	PRON
ne	ne	ADV
y	y	PRON
a	avoir	VERB
que	que	SCONJ
cela	cela	PRON
dans	dans	ADP
mon	mon	DET
existence	existence	NOUN
qui	qui	PRON
vous	vous	PRON
intéresse	intéresser	VERB
,	,	PUNCTclause
vous	vous	PRON
vous	vous	PRON
trompez	tromper	VERB
magnifiquement	magnifiquement	ADV
.	.	PUNCTsent
je	je	PRON
ai	avoir	AUX
dans	dans	ADP
mon	mon	DET
passé	passé	NOUN
un	un	DET
tas	tas	NOUN
de	de	ADP
choses	chose	NOUN
qui	qui	PRON
vous	vous	PRON
touchent	toucher	VERB
beaucoup	beaucoup	ADV
,	,	PUNCTclause
voyez	voir	VERB
vous	vous	PRON
.	.	PUNCTsent
Vous	vous	PRON
allez	aller	VERB
voir	voir	VERB
que	que	SCONJ
nous	nous	PRON
étions	être	AUX
prédestinés	prédestiner	VERB
l'un	l'un	PRON
à	à	ADP
l'autre	l'autre	PRON
,	,	PUNCTclause
et	et	CCONJ
que	que	SCONJ
vous	vous	PRON
me	me	PRON
devez	devoir	VERB
bien	bien	ADV
plus	plus	ADV
de	de	ADP
affection	affection	NOUN
que	que	PRON
à	à	ADP
un	un	DET
cousin	cousin	NOUN
.	.	PUNCTsent
Grand-chose	grand-chose	PRON
que	que	SCONJ
un	un	DET
cousin	cousin	NOUN
!	!	PUNCTsent
Je	je	PRON
me	me	PRON
moque	moquer	VERB
bien	bien	ADV
de	de	ADP
être	être	AUX
votre	votre	DET
cousin	cousin	NOUN
!	!	PUNCTsent
je	je	PRON
en	en	PRON
suis	être	AUX
content	conter	VERB
,	,	PUNCTclause
mais	mais	CCONJ
je	je	PRON
pourrais	pouvoir	VERB
me	me	PRON
en passant	en passant	ADV
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
»	»	PUNCTclause
je	je	PRON
ai	avoir	AUX
autre chose	autre chose	NOUN
qui	qui	PRON
remplacerait	remplacer	VERB
avantageusement	avantageusement	ADV
cette	ce	DET
qualité	qualité	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
»	»	PUNCTclause
Écoutez	écouter	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
»	»	PUNCTclause
Il	il	PRON
faut	falloir	VERB
que	que	SCONJ
vous	vous	PRON
sachiez	savoir	VERB
que	que	SCONJ
je	je	PRON
ai	avoir	AUX
toujours	toujours	ADV
eu	avoir	VERB
deux	deux	NUM
manies	manie	NOUN
principales	principal	ADJ
:	:	PUNCTclause
celle	celle	PRON
de	de	ADP
faire	faire	VERB
des	un	DET
bonds	bond	NOUN
impossibles	impossible	ADJ
,	,	PUNCTclause
et	et	CCONJ
celle	celle	PRON
de	de	ADP
chanter	chanter	VERB
des	un	ADP_DET
chansons	chanson	NOUN
défendues	défendre	VERB
;	;	PUNCTclause
ce	ce	PRON
qui	qui	PRON
revient	revenir	VERB
à peu près	à peu près	ADV
au	au	ADP_DET
même	même	ADJ
,	,	PUNCTclause
car	car	CCONJ
les	le	DET
bonds	bond	NOUN
mènent	mener	VERB
à	à	ADP
se	se	PRON
rompre	rompre	VERB
le	le	DET
cou	cou	NOUN
,	,	PUNCTclause
et	et	CCONJ
les	le	DET
chansons	chanson	NOUN
à	à	ADP
se	se	PRON
faire	faire	AUX
pendre	pendre	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
»	»	PUNCTclause
Or	or	NOUN
,	,	PUNCTclause
en	en	ADP
1813	1813	NUM
,	,	PUNCTclause
il y a	il y a	VERB
dix-sept	dix-sept	NUM
ans	an	NOUN
,	,	PUNCTclause
je	je	PRON
me	me	PRON
trouvais	trouver	VERB
à	à	ADP
Mayence	Mayence	PROPN
.	.	PUNCTsent
Pourquoi	pourquoi	ADV
la	le	DET
rage	rage	NOUN
de	de	ADP
courir	courir	VERB
le	le	DET
monde	monde	NOUN
me	me	PRON
avait	avoir	AUX
elle	elle	PRON
fait	faire	VERB
quitter	quitter	VERB
ma	mon	DET
chère	chère	NOUN
Italie	Italie	PROPN
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
»	»	PUNCTclause
Mais	mais	CCONJ
si	si	SCONJ
je	je	PRON
ne	ne	ADV
l'	le:PRON	PRON
avais	avoir	AUX
pas	pas	ADV
quittée	quitter	VERB
,	,	PUNCTclause
ce	ce	PRON
qui	qui	PRON
me	me	PRON
est	être	AUX
arrivé	arriver	VERB
ne	ne	ADV
me	me	PRON
serait	être	AUX
pas	pas	ADV
arrivé	arriver	VERB
,	,	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
comme	comme	ADP
ce	ce	PRON
est	être	AUX
ce	ce	PRON
qui	qui	PRON
me	me	PRON
est	être	AUX
arrivé	arriver	VERB
qui	qui	PRON
fait	faire	VERB
que	que	SCONJ
je	je	PRON
vous	vous	PRON
ai	avoir	AUX
connue	connaître	VERB
,	,	PUNCTclause
je	je	PRON
ne	ne	ADV
vous	vous	PRON
connaîtrais	connaître	VERB
pas	pas	ADV
.	.	PUNCTsent
par conséquent	par conséquent	CCONJ
,	,	PUNCTclause
je	je	PRON
ai	avoir	AUX
eu	avoir	VERB
raison	raison	NOUN
de	de	ADP
quitter	quitter	VERB
l'	le	DET
Italie	Italie	PROPN
,	,	PUNCTclause
de	de	ADP
chanter	chanter	VERB
une	un	DET
chanson	chanson	NOUN
contre	contre	ADP
Napoléon	Napoléon	PROPN
,	,	PUNCTclause
et	et	CCONJ
de	de	ADP
me	me	PRON
faire	faire	AUX
fourrer	fourrer	VERB
dans	dans	ADP
la	le	DET
citadelle	citadelle	NOUN
.	.	PUNCTsent
Je	je	PRON
me	me	PRON
pardonne	pardonner	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
»	»	PUNCTclause
Je	je	PRON
me	me	PRON
avise	aviser	VERB
donc	donc	ADV
de	de	ADP
chanter	chanter	VERB
un	un	DET
couplet	couplet	NOUN
contre	contre	ADP
l'	le	DET
empereur	empereur	NOUN
de	de	ADP
France	France	PROPN
.	.	PUNCTsent
Je	je	PRON
dis	dire	VERB
un	un	DET
couplet	couplet	NOUN
;	;	PUNCTclause
la	le	DET
chanson	chanson	NOUN
en	en	ADP
avait	avoir	AUX
vingt-cinq	vingt-cinq	NUM
,	,	PUNCTclause
mais	mais	CCONJ
je	je	PRON
commençais	commencer	VERB
le	le	DET
refrain	refrain	NOUN
du	du	ADP_DET
premier	premier	ADJ
,	,	PUNCTclause
quand	quand	SCONJ
je	je	PRON
sens	sentir	VERB
deux	deux	NUM
mains	main	NOUN
robustes	robuste	ADJ
se	se	PRON
poser	poser	VERB
sur	sur	ADP
le	le	DET
collet	collet	NOUN
de	de	ADP
ma	mon	DET
casaque	casaque	NOUN
,	,	PUNCTclause
et	et	CCONJ
me	me	PRON
entraîner	entraîner	VERB
rapidement	rapidement	ADV
vers	vers	ADP
la	le	DET
citadelle	citadelle	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
»	»	PUNCTclause
La	le	DET
petite	petit	ADJ
citadelle	citadelle	NOUN
ouvrit	ouvrir	VERB
sa	son	DET
gueule	gueule	NOUN
et	et	CCONJ
la	le	DET
referma	refermer	VERB
.	.	PUNCTsent
je	je	PRON
étais	être	AUX
avalé	avaler	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
»	»	PUNCTclause
Une	un	DET
petite	petit	ADJ
citadelle	citadelle	NOUN
,	,	PUNCTclause
au	au	ADP_DET
reste	reste	NOUN
.	.	PUNCTsent
je	je	PRON
aime	aimer	VERB
les	le	DET
choses	chose	NOUN
qui	qui	PRON
sont	être	AUX
ce	ce	PRON
que	que	PRON
elles	elles	PRON
veulent	vouloir	VERB
être	être	AUX
.	.	PUNCTsent
Celle	celle	PRON
voulait	vouloir	VERB
être	être	AUX
une	un	DET
citadelle	citadelle	NOUN
,	,	PUNCTclause
et	et	CCONJ
elle	elle	PRON
y	y	PRON
réussissait	réussir	VERB
énergiquement	énergiquement	ADV
.	.	PUNCTsent
Grilles	grille	NOUN
aux	au	ADP_DET
fenêtres	fenêtre	NOUN
,	,	PUNCTclause
cela	cela	PRON
va	aller	VERB
sans	sans	ADP
dire	dire	VERB
,	,	PUNCTclause
et	et	CCONJ
sous	sous	ADP
les	le	DET
fenêtres	fenêtre	NOUN
un	un	DET
fossé	fossé	NOUN
de	de	ADP
douze	douze	NUM
pieds	pied	NOUN
;	;	PUNCTclause
mais	mais	CCONJ
ce	ce	PRON
ne	ne	ADV
était	être	VERB
là	là	ADV
que	que	SCONJ
un	un	DET
doux	doux	ADJ
détail	détail	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
»	»	PUNCTclause
De	de	ADP
l'autre	l'autre	PRON
côté	côté	NOUN
du	du	ADP_DET
fossé	fossé	NOUN
,	,	PUNCTclause
commençaient	commencer	VERB
les	le	DET
fortifications	fortification	NOUN
.	.	PUNCTsent
Trois	Trois	NUM
rangs	rang	NOUN
de	de	ADP
énormes	énorme	ADJ
tertres	tertre	NOUN
gazonnés	gazonné	ADJ
,	,	PUNCTclause
à	à	ADP
chaque	chaque	DET
étage	étage	NOUN
une	un	DET
sentinelle	sentinelle	NOUN
,	,	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
après	après	ADP
le	le	DET
dernier	dernier	ADJ
tertre	tertre	NOUN
,	,	PUNCTclause
un	un	DET
autre	autre	ADJ
fossé	fossé	NOUN
,	,	PUNCTclause
de	de	ADP
vingt-cinq	vingt-cinq	NUM
pieds	pied	NOUN
,	,	PUNCTclause
celui	celui	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
»	»	PUNCTclause
Au	au	ADP_DET
total	total	NOUN
,	,	PUNCTclause
deux	deux	NUM
fossés	fossé	NOUN
et	et	CCONJ
trois	trois	NUM
étages	étage	NOUN
.	.	PUNCTsent
C'est-à-dire	c'est-à-dire	CCONJ
que	que	SCONJ
,	,	PUNCTclause
pour	pour	ADP
se	se	PRON
évader	évader	VERB
,	,	PUNCTclause
il	il	PRON
fallait	falloir	VERB
cinq	cinq	NUM
évasions	évasion	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
»	»	PUNCTclause
Le	le	DET
nombre	nombre	NOUN
ni	ni	CCONJ
