# columns = TERM LEMMA POS PROB
# identifier = dumas1851b-62
# creator = Dumas, Alexandre
# created = 1851
# isPartOf = Dieu dispose
# title = XXX. Abel et Caïn

↵↵↵	↵↵↵	PUNCTstruct
XXX	XXX	NUM
.	.	PUNCTsent
Abel	Abel	PROPN
et	et	CCONJ
Caïn	Caïn	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Samuel	Samuel	PROPN
resta	rester	VERB
immobile	immobile	ADJ
sous	sous	ADP
ce	ce	DET
nouvel	nouveau	ADJ
écroulement	écroulement	NOUN
de	de	DET
sa	son	AUX
destinée	destiner	VERB
.	.	PUNCTsent
Il	il	PRON
périssait	périr	VERB
par	par	ADP
ce	ce	PRON
que	que	SCONJ
il	il	PRON
avait	avoir	AUX
fait	faire	AUX
pour	pour	ADP
se	se	PRON
élever	élever	VERB
.	.	PUNCTsent
Il	il	PRON
se	se	PRON
était	être	AUX
perdu	perdu	NOUN
lui-même	lui-même	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Où	où	ADV
il	il	PRON
avait	avoir	AUX
préparé	préparer	VERB
sa	son	DET
grandeur	grandeur	NOUN
,	,	PUNCTclause
il	il	PRON
trouvait	trouver	VERB
sa	son	DET
ruine	ruine	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Et	et	CCONJ
ce	ce	PRON
Julius	Julius	PROPN
que	que	SCONJ
il	il	PRON
avait	avoir	VERB
tant	tant	ADV
méprisé	mépriser	VERB
,	,	PUNCTclause
dans	dans	ADP
lequel	lequel	PRON
il	il	PRON
ne	ne	ADV
avait	avoir	AUX
vu	voir	AUX
que	que	SCONJ
un	un	DET
instrument	instrument	NOUN
passif	passif	ADJ
et	et	CCONJ
inerte	inerte	ADJ
;	;	PUNCTclause
cette	ce	DET
apparence	apparence	NOUN
humaine	humain	ADJ
,	,	PUNCTclause
cette	ce	DET
végétation	végétation	NOUN
sans	sans	ADP
âme	âme	NOUN
,	,	PUNCTclause
ce	ce	PRON
Julius	Julius	PROPN
se	se	PRON
redressait	redresser	VERB
au	au	ADP_DET
dernier	dernier	ADJ
moment	moment	NOUN
,	,	PUNCTclause
et	et	CCONJ
occupait	occuper	VERB
la	le	DET
place	place	NOUN
que	que	ADV
lui	lui	PRON
,	,	PUNCTclause
Samuel	Samuel	PROPN
,	,	PUNCTclause
avait	avoir	AUX
