# columns = TERM LEMMA POS
# identifier = dumas1853-37
# creator = Dumas, Alexandre
# created = 1853
# isPartOf = Ingénue
# title = XXXVII. Comment la comtesse comprenait l’amour

↵↵↵	↵↵↵	PUNCTstruct
XXXVII	XXXVII	X
.	.	PUNCTsent
Comment	comment	ADV
la	le	DET
comtesse	comte	NOUN
comprenait	comprendre	VERB
l'	le	DET
amour	amour	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
La	le	DET
comtesse	comte	NOUN
et	et	CCONJ
son	son	DET
fils	fils	NOUN
restèrent	rester	VERB
un	un	DET
instant	instant	NOUN
étonnés	étonné	ADJ
et	et	CCONJ
comme	comme	ADP
étourdis	étourdi	NOUN
de	de	ADP
cette	ce	DET
brusque	brusque	ADJ
sortie	sortie	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
«	«	PUNCTclause
Voilà	voilà	ADP
un	un	DET
singulier	singulier	NOUN
homme	homme	NOUN
!	!	PUNCTsent
dit	dire	VERB
la	le	DET
comtesse	comte	NOUN
à	à	ADP
Christian	Christian	PROPN
quand	quand	SCONJ
Marat	Marat	PROPN
fut	être	AUX
sorti	sortir	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Je	je	PRON
le	le:PRON	PRON
crois	croire	VERB
bon	bon	ADJ
,	,	PUNCTclause
dit	dire	VERB
Christian	Christian	PROPN
de	de	ADP
une	un	DET
voix	voix	NOUN
faible	faible	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Bon	bon	ADJ
?	?	PUNCTsent
répéta	répéter	VERB
la	le	DET
comtesse	comte	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Oui	oui	INTJ
,	,	PUNCTclause
l'on	on	PRON
ne	ne	ADV
peut	pouvoir	VERB
juger	juger	VERB
les	le	DET
hommes	homme	NOUN
que	que	PRON
relativement	relativement	ADV
,	,	PUNCTclause
et	et	CCONJ
sa	son	DET
conduite	conduite	NOUN
vis-à-vis de	vis-à-vis de	ADP
nous	nous	PRON
,	,	PUNCTclause
ou	ou	CCONJ
plutôt	plutôt	ADV
vis-à-vis de	vis-à-vis de	ADP
moi	moi	PRON
,	,	PUNCTclause
est	être	AUX
celle	celle	PRON
de	de	ADP
un	un	DET
bon	bon	ADJ
et	et	CCONJ
excellent	excellent	ADJ
homme	homme	NOUN
;	;	PUNCTclause
cependant	cependant	ADV
…	…	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Cependant	cependant	ADV
?	?	PUNCTsent
répéta	répéter	VERB
encore	encore	ADV
la	le	DET
comtesse	comte	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Cependant	cependant	ADV
,	,	PUNCTclause
je	je	PRON
aimerais	aimer	VERB
beaucoup	beaucoup	ADV
à	à	ADP
ne	ne	ADV
être	être	AUX
plus	plus	ADV
ici	ici	ADV
,	,	PUNCTclause
dit	dire	VERB
Christian	Christian	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Je	je	PRON
le	le:PRON	PRON
voudrais	vouloir	VERB
aussi	aussi	ADV
;	;	PUNCTclause
mais	mais	CCONJ
est	être	AUX
ce	ce	DET
cela	cela	PRON
qui	qui	PRON
te	te	PRON
attriste	attrister	VERB
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Je	je	PRON
ne	ne	ADV
suis	être	AUX
pas	pas	ADV
triste	triste	ADJ
,	,	PUNCTclause
ma	mon	DET
mère	mère	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Tu	tu	PRON
as	avoir	AUX
peut-être	peut-être	ADV
quelque	quelque	DET
chagrin	chagrin	NOUN
caché	cacher	VERB
…	…	PUNCTsent
Voyons	voir	VERB
,	,	PUNCTclause
si	si	SCONJ
cela	cela	PRON
est	être	AUX
,	,	PUNCTclause
le	le	DET
moment	moment	NOUN
est	être	AUX
venu	venir	VERB
de	de	ADP
me	me	PRON
le	le	DET
dire	dire	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Je	je	PRON
ne	ne	ADV
ai	avoir	AUX
aucun	aucun	PRON
chagrin	chagrin	NOUN
,	,	PUNCTclause
ma	mon	DET
mère	mère	NOUN
.	.	PUNCTsent
»	»	PUNCTclause
↵↵	↵↵	PUNCTstruct
La	le	DET
comtesse	comte	NOUN
regarda	regarder	VERB
son	son	DET
fils	fils	NOUN
;	;	PUNCTclause
mais	mais	CCONJ
Christian	Christian	PROPN
,	,	PUNCTclause
comme	comme	SCONJ
si	si	SCONJ
il	il	PRON
ne	ne	ADV
eût	avoir	AUX
pas	pas	ADV
eu	avoir	VERB
la	le	DET
force	force	NOUN
de	de	ADP
fixer	fixer	VERB
longtemps	longtemps	ADV
la	le	DET
vue	vue	NOUN
sur	sur	ADP
sa	son	DET
mère	mère	NOUN
,	,	PUNCTclause
détourna	détourner	VERB
les	le	DET
yeux	œil	NOUN
en	en	ADP
soupirant	soupirant	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Sa	son	DET
mère	mère	NOUN
l'	le	DET
observa	observer	VERB
plus	plus	ADV
attentivement	attentivement	ADV
que	que	SCONJ
jamais	jamais	ADV
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
«	«	PUNCTclause
Tu	tu	PRON
ne	ne	ADV
es	être	AUX
pas	pas	ADV
amoureux	amoureux	ADJ
?	?	PUNCTsent
demanda	demander	VERB
elle	elle	PRON
après	après	ADP
un	un	DET
silence	silence	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Moi	moi	PRON
?	?	PUNCTsent
fit	faire	VERB
le	le	DET
jeune	jeune	ADJ
homme	homme	NOUN
.	.	PUNCTsent
Non	non	ADV
,	,	PUNCTclause
ma	mon	DET
mère	mère	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
