# columns = TERM LEMMA POS PROB
# identifier = dumas1854a-07
# creator = Dumas, Alexandre
# created = 1854
# isPartOf = Catherine Blum
# title = VII. Jalousie

↵↵↵	↵↵↵	PUNCTstruct
VII	VII	NOUN
.	.	PUNCTsent
Jalousie	jalousie	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Mais	mais	CCONJ
l'	le	DET
œil	œil	NOUN
de	de	DET
Bernard	Bernard	PROPN
,	,	PUNCTclause
au lieu de	au lieu de	ADP
suivre	suivre	VERB
Mathieu	Mathieu	PROPN
dans	dans	ADP
sa	son	DET
fuite	fuite	NOUN
et	et	CCONJ
dans	dans	ADP
sa	son	DET
menace	menace	NOUN
,	,	PUNCTclause
était	être	AUX
déjà	déjà	ADV
retombé	retomber	VERB
sur	sur	ADP
la	le	DET
lettre	lettre	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Oui	oui	INTJ
,	,	PUNCTclause
murmurait	murmurer	VERB
il	il	PRON
,	,	PUNCTclause
que	que	SCONJ
il	il	PRON
lui	lui	PRON
ait	avoir	AUX
écrit	écrire	VERB
cette	ce	DET
lettre	lettre	NOUN
en	en	ADP
sa	son	DET
qualité	qualité	NOUN
de	de	DET
Parisien	Parisien	PROPN
,	,	PUNCTclause
je	je	PRON
le	le:PRON	PRON
comprends	comprendre	VERB
parfaitement	parfaitement	ADV
:	:	PUNCTclause
il	il	PRON
ne	ne	ADV
doute	doute	NOUN
de	de	DET
rien	rien	PRON
!	!	PUNCTsent
mais	mais	CCONJ
que	que	SCONJ
elle	elle	PRON
revienne	revenir	VERB
justement	justement	ADV
par	par	ADP
la	le	DET
route	route	NOUN
que	que	SCONJ
il	il	PRON
lui	lui	PRON
indique	indiquer	VERB
,	,	PUNCTclause
ou	ou	CCONJ
que	que	SCONJ
elle	elle	PRON
accepte	accepter	VERB
une	un	DET
place	place	NOUN
dans	dans	ADP
son	son	DET
tilbury	tilbury	NOUN
,	,	PUNCTclause
ce	ce	DET
est-ce que	est-ce que	ADV
je	je	PRON
ne	ne	ADV
puis	puis	CCONJ
croire	croire	VERB
!…	!…	PUNCTsent
ha	ha	NOUN
!	!	PUNCTsent
pardieu	pardieu	NOUN
!	!	PUNCTsent
ce	ce	PRON
est	être	AUX
toi	toi	PRON
,	,	PUNCTclause
français	français	ADJ
!	!	PUNCTsent
soit	soit	CCONJ
le	le	DET
bien	bien	NOUN
venu	venir	VERB
!	!	PUNCTsent
↵↵	↵↵	PUNCTstruct
Ces	ce	DET
mots	mot	NOUN
se	se	PRON
adressaient	adresser	VERB
au	au	ADP_DET
jeune	jeune	ADJ
garde	garde	NOUN
à	à	ADP
qui	qui	PRON
nous	nous	PRON
avons	avoir	AUX
fait	faire	AUX
tout	tout	ADJ
ensemble	ensemble	ADV
ouvrir	ouvrir	VERB
et	et	CCONJ
la	le	DET
porte	porte	NOUN
du	du	ADP_DET
père	père	NOUN
Guillaume	Guillaume	PROPN
et	et	CCONJ
le	le	DET
premier	premier	ADJ
chapitre	chapitre	NOUN
de	de	DET
ce	ce	NOUN
roman	roman	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Oui	oui	INTJ
,	,	PUNCTclause
ce	ce	PRON
est	être	AUX
moi	moi	PRON
,	,	PUNCTclause
dit	dire	VERB
il	il	PRON
;	;	PUNCTclause
par	par	ADP
ma	mon	DET
foi	foi	NOUN
!	!	PUNCTsent
je	je	PRON
venais	venir	VERB
voir	voir	AUX
un	un	DET
peu	peu	ADV
si	si	SCONJ
tu	tu	ADJ
ne	ne	ADV
étais	être	AUX
pas	pas	ADV
mort	mourir	VERB
de	de	DET
apoplexie	apoplexie	NOUN
foudroyante	foudroyant	ADJ
!	!	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Non	non	INTJ
,	,	PUNCTclause
pas	pas	ADV
encore	encore	ADV
,	,	PUNCTclause
dit	dire	VERB
Bernard	Bernard	PROPN
avec	avec	ADP
un	un	DET
sourire	sourire	NOUN
qui	qui	PRON
crispa	crisper	VERB
le	le	DET
coin	coin	NOUN
de	de	DET
sa	son	AUX
lèvre	lèvre	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Alors	alors	ADV
,	,	PUNCTclause
en	en	ADP
route	route	NOUN
!	!	PUNCTsent
continua	continuer	VERB
français	français	ADJ
;	;	PUNCTclause
Bobineau	Bobineau	PROPN
,	,	PUNCTclause
La	le	DET
Feuille	Feuille	PROPN
,	,	PUNCTclause
Lajeunesse	Lajeunesse	PROPN
et	et	CCONJ
Berthelin	Berthelin	PROPN
sont	être	AUX
déjà	déjà	ADV
au	au	ADP_DET
Saut	Saut	PROPN
du	du	ADP_DET
Cerf	Cerf	PROPN
,	,	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
si	si	SCONJ
papa	papa	VERB
bougon	bougon	NOUN
nous	nous	PRON
retrouve	retrouver	VERB
ici	ici	ADV
en	en	ADP
rentrant	rentrer	VERB
,	,	PUNCTclause
ce	ce	PRON
est	être	AUX
nous	nous	PRON
qui	qui	PRON
aurons	avoir	VERB
la	le	DET
chasse	chasse	NOUN
,	,	PUNCTclause
et	et	CCONJ
pas	pas	ADV
le	le	DET
sanglier	sanglier	NOUN
!	!	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
En	en	NOUN
attendant	attendre	VERB
,	,	PUNCTclause
viens	venir	NOUN
ici	ici	ADV
!	!	PUNCTsent
dit	dire	VERB
Bernard	Bernard	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Ces	ce	DET
paroles	parole	NOUN
furent	être	AUX
prononcées	prononcer	VERB
de	de	DET
une	une	NUM
voix	voix	NOUN
rude	rude	ADJ
et	et	CCONJ
impérative	impératif	ADJ
,	,	PUNCTclause
qui	qui	PRON
était	être	AUX
si	si	ADV
peu	peu	ADV
dans	dans	ADP
les	le	DET
habitudes	habitude	NOUN
de	de	DET
Bernard	Bernard	PROPN
,	,	PUNCTclause
que	que	SCONJ
français	français	ADJ
le	le	DET
regarda	regarder	NOUN
avec	avec	ADP
étonnement	étonnement	NOUN
;	;	PUNCTclause
mais	mais	CCONJ
,	,	PUNCTclause
voyant	voir	VERB
à la fois	à la fois	ADV
la	le	DET
pâleur	pâleur	NOUN
de	de	DET
son	son	NOUN
visage	visage	NOUN
,	,	PUNCTclause
l'	le	DET
altération	altération	NOUN
de	de	DET
ses	son	NOUN
traits	trait	NOUN
,	,	PUNCTclause
et	et	CCONJ
cette	ce	DET
lettre	lettre	NOUN
que	que	SCONJ
il	il	PRON
tenait	tenir	VERB
à	à	ADP
la	le	DET
main	main	NOUN
et	et	CCONJ
qui	qui	PRON
semblait	sembler	VERB
être	être	AUX
la	le	DET
cause	cause	NOUN
de	de	DET
ce	ce	PRON
changement	changement	VERB
survenu	survenir	VERB
dans	dans	ADP
la	le	DET
physionomie	physionomie	NOUN
et	et	CCONJ
dans	dans	ADP
les	le	DET
manières	manière	NOUN
du	du	ADP_DET
jeune	jeune	ADJ
homme	homme	NOUN
,	,	PUNCTclause
il	il	PRON
se	se	PRON
avança	avancer	VERB
,	,	PUNCTclause
moitié	moitié	NOUN
souriant	souriant	ADJ
,	,	PUNCTclause
moitié	moitié	NOUN
inquiet	inquiet	ADJ
,	,	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
portant	porter	VERB
la	le	DET
main	main	NOUN
à	à	ADP
sa	son	DET
casquette	casquette	NOUN
,	,	PUNCTclause
à	à	ADP
la	le	DET
manière	manière	NOUN
des	un	ADP_DET
militaires	militaire	NOUN
qui	qui	PRON
saluent	saluer	VERB
un	un	DET
chef	chef	NOUN
:	:	PUNCTclause
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Me	me	PRON
voilà	voilà	VERB
,	,	PUNCTclause
mon	mon	DET
supérieur	supérieur	NOUN
!	!	PUNCTsent
dit	dire	VERB
il	il	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Bernard	Bernard	PROPN
,	,	PUNCTclause
qui	qui	PRON
voyait	voir	VERB
l'	le	DET
œil	œil	NOUN
de	de	DET
français	français	NOUN
fixé	fixer	VERB
sur	sur	ADP
la	le	DET
lettre	lettre	NOUN
,	,	PUNCTclause
rejeta	rejeter	VERB
derrière	derrière	ADP
son	son	DET
dos	dos	NOUN
la	le	DET
main	main	NOUN
qui	qui	PRON
tenait	tenir	VERB
le	le	DET
papier	papier	NOUN
,	,	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
posant	poser	VERB
l'autre	l'autre	PRON
sur	sur	ADP
l'	le	DET
épaule	épaule	NOUN
de	de	DET
français	français	NOUN
:	:	PUNCTclause
