# columns = TERM LEMMA POS PROB
# identifier = dumas1855a-037
# creator = Dumas, Alexandre
# created = 1855
# isPartOf = La comtesse de Charny
# title = XXXVII. Où l’on parle de tout autre chose que de serrurerie

↵↵↵	↵↵↵	PUNCTstruct
XXXVII	XXXVII	X
.	.	PUNCTsent
Où	où	PRON
l'on	on	PRON
parle	parler	VERB
de	de	ADP
tout	tout	PRON
autre chose	autre chose	NOUN
que	que	PRON
de	de	ADP
serrurerie	serrurerie	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
cette fois ci	cette fois ci	PRON
,	,	PUNCTclause
seulement	seulement	ADV
,	,	PUNCTclause
Louis	Louis	PROPN
XVI	XVI	NUM
ne	ne	ADV
sortit	sortir	VERB
point	point	ADV
de	de	ADP
la	le	DET
forge	forge	NOUN
par	par	ADP
l'	le	DET
escalier	escalier	NOUN
extérieur	extérieur	ADJ
et	et	CCONJ
commun	commun	ADJ
à	à	ADP
tout	tout	DET
le	le:PRON	PRON
service	service	NOUN
:	:	PUNCTclause
il	il	PRON
descendit	descendre	VERB
par	par	ADP
l'	le	DET
escalier	escalier	NOUN
secret	secret	ADJ
réservé	réserver	VERB
à	à	ADP
lui	lui	PRON
seul	seul	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Cet	ce	DET
escalier	escalier	NOUN
conduisait	conduire	VERB
à	à	ADP
son	son	DET
cabinet	cabinet	NOUN
de	de	ADP
travail	travail	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Une	un	DET
table	table	NOUN
de	de	ADP
ce	ce	DET
cabinet	cabinet	NOUN
de	de	ADP
travail	travail	NOUN
était	être	AUX
couverte	couvrir	VERB
par	par	ADP
une	un	DET
immense	immense	ADJ
carte	carte	NOUN
de	de	ADP
France	France	PROPN
,	,	PUNCTclause
laquelle	laquelle	PRON
prouvait	prouver	VERB
que	que	SCONJ
le	le	DET
roi	roi	NOUN
avait	avoir	AUX
souvent	souvent	ADV
déjà	déjà	ADV
étudié	étudier	VERB
la	le	DET
route	route	NOUN
la	le	DET
plus	plus	ADV
courte	court	ADJ
ou	ou	CCONJ
la	le	DET
plus	plus	ADV
facile	facile	ADJ
pour	pour	ADP
sortir	sortir	VERB
de	de	ADP
son	son	DET
royaume	royaume	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Mais	mais	CCONJ
ce	ce	PRON
ne	ne	ADV
fut	être	AUX
que	que	ADV
au bas de	au bas de	ADP
l'	le	DET
escalier	escalier	NOUN
,	,	PUNCTclause
et	et	CCONJ
la	le	DET
porte	porte	NOUN
refermée	refermer	VERB
derrière	derrière	ADP
lui	lui	PRON
et	et	CCONJ
le	le	DET
compagnon	compagnon	NOUN
serrurier	serrurier	NOUN
,	,	PUNCTclause
que	que	SCONJ
Louis	Louis	PROPN
XVI	XVI	NUM
,	,	PUNCTclause
après	après	ADP
avoir	avoir	AUX
jeté	jeter	VERB
un	un	DET
regard	regard	NOUN
investigateur	investigateur	ADJ
dans	dans	ADP
le	le	DET
cabinet	cabinet	NOUN
,	,	PUNCTclause
parut	paraître	VERB
reconnaître	reconnaître	VERB
celui	celui	PRON
qui	qui	PRON
le	le:PRON	PRON
suivait	suivre	VERB
,	,	PUNCTclause
la	le	DET
veste	veste	NOUN
sur	sur	ADP
l'	le	DET
épaule	épaule	NOUN
et	et	CCONJ
la	le	DET
casquette	casquette	NOUN
à	à	ADP
la	le	DET
main	main	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Enfin	enfin	ADV
,	,	PUNCTclause
dit	dire	VERB
il	il	PRON
,	,	PUNCTclause
nous	nous	PRON
voilà	voilà	ADP
seuls	seul	ADJ
,	,	PUNCTclause
mon	mon	DET
cher	cher	ADJ
comte	comte	NOUN
;	;	PUNCTclause
laissez	laisser	VERB
moi	moi	PRON
,	,	PUNCTclause
d'abord	d'abord	ADV
,	,	PUNCTclause
vous	vous	PRON
féliciter	féliciter	VERB
de	de	ADP
votre	votre	DET
adresse	adresse	NOUN
,	,	PUNCTclause
et	et	CCONJ
vous	vous	PRON
remercier	remercier	VERB
de	de	ADP
votre	votre	DET
dévouement	dévouement	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Et	et	CCONJ
moi	moi	PRON
,	,	PUNCTclause
sire	sire	NOUN
,	,	PUNCTclause
répondit	répondre	VERB
le	le	DET
jeune homme	jeune homme	NOUN
,	,	PUNCTclause
permettez	permettre	VERB
que	que	SCONJ
je	je	PRON
fasse	faire	VERB
toutes	toutes	PRON
mes	mon	DET
excuses	excuse	NOUN
à	à	ADP
Votre	votre	DET
Majesté	majesté	NOUN
de	de	ADP
avoir	avoir	VERB
,	,	PUNCTclause
même	même	ADV
pour	pour	ADP
son	son	DET
service	service	NOUN
,	,	PUNCTclause
osé	oser	VERB
me	me	PRON
présenter	présenter	VERB
devant	devant	ADP
elle	elle	PRON
vêtu	vêtir	VERB
comme	comme	ADP
je	je	PRON
le	le:PRON	PRON
suis	être	AUX
,	,	PUNCTclause
et	et	CCONJ
de	de	ADP
me	me	PRON
être	être	AUX
permis	permettre	VERB
de	de	ADP
lui	lui	PRON
parler	parler	VERB
comme	comme	SCONJ
je	je	PRON
l'	le:PRON	PRON
ai	avoir	AUX
fait	faire	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Vous	vous	PRON
avez	avoir	AUX
parlé	parler	VERB
comme	comme	ADP
un	un	DET
brave	brave	ADJ
gentilhomme	gentilhomme	NOUN
,	,	PUNCTclause
mon	mon	DET
cher	cher	ADJ
Louis	Louis	PROPN
,	,	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
de	de	ADP
quelque	quelque	DET
façon	façon	NOUN
que	que	PRON
vous	vous	PRON
soyez	être	AUX
vêtu	vêtir	VERB
,	,	PUNCTclause
ce	ce	PRON
est	être	AUX
un	un	DET
cœur	cœur	NOUN
loyal	loyal	ADJ
qui	qui	PRON
bat	battre	VERB
sous	sous	ADP
votre	votre	DET
