# columns = TERM LEMMA POS
# identifier = dumas1855a-087
# creator = Dumas, Alexandre
# created = 1855
# isPartOf = La comtesse de Charny
# title = LXXXVII. Fatalité

↵↵↵	↵↵↵	PUNCTstruct
Lxxxvii	Lxxxvii	PROPN
.	.	PUNCTsent
Fatalité	fatalité	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Dix	Dix	NUM
minutes	minute	NOUN
après	après	ADP
le	le	DET
départ	départ	NOUN
de	de	ADP
Isidor	Isidor	PROPN
de	de	ADP
Charny	Charny	PROPN
arriva	arriver	VERB
la	le	DET
voiture	voiture	NOUN
du	du	ADP_DET
roi	roi	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Comme	comme	ADP
l'	le	DET
avait	avoir	AUX
prévu	prévoir	VERB
M.	M.	PROPN
de	de	ADP
Choiseul	Choiseul	PROPN
,	,	PUNCTclause
le	le	DET
rassemblement	rassemblement	NOUN
était	être	AUX
tout	tout	ADV
à	à	ADP
fait	fait	NOUN
dissipé	dissiper	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
comte	comte	NOUN
de	de	ADP
Charny	Charny	PROPN
,	,	PUNCTclause
sachant	savoir	VERB
que	que	SCONJ
il	il	PRON
devait	devoir	VERB
y	y	PRON
avoir	avoir	VERB
un	un	DET
premier	premier	ADJ
détachement	détachement	NOUN
de	de	ADP
troupes	troupe	NOUN
à	à	ADP
Pont-de-Sommevelle	Pont-de-Sommevelle	PROPN
,	,	PUNCTclause
ne	ne	ADV
avait	avoir	AUX
point	point	ADV
pensé	penser	VERB
que	que	SCONJ
il	il	PRON
fût	être	AUX
urgent	urgent	ADJ
pour	pour	ADP
lui	lui	PRON
de	de	ADP
rester	rester	VERB
en arrière	en arrière	ADV
;	;	PUNCTclause
il	il	PRON
galopait	galoper	VERB
à	à	ADP
la	le	DET
portière	portier	NOUN
de	de	ADP
la	le	DET
voiture	voiture	NOUN
,	,	PUNCTclause
pressant	presser	VERB
les	le	DET
postillons	postillon	NOUN
,	,	PUNCTclause
qui	qui	PRON
semblaient	sembler	VERB
avoir	avoir	AUX
reçu	recevoir	VERB
un	un	DET
mot d'ordre	mot d'ordre	NOUN
,	,	PUNCTclause
et	et	CCONJ
faire	faire	VERB
exprès	exprès	ADV
de	de	ADP
marcher	marcher	VERB
au	au	ADP_DET
petit	petit	ADJ
trot	trot	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
En	en	ADP
arrivant	arriver	VERB
à	à	ADP
Pont-de-Sommevelle	Pont-de-Sommevelle	PROPN
,	,	PUNCTclause
et	et	CCONJ
en	en	ADP
ne	ne	ADV
voyant	voir	VERB
ni	ni	CCONJ
les	le	DET
hussards	hussard	NOUN
