# columns = TERM LEMMA POS PROB
# identifier = dumas1855a-104
# creator = Dumas, Alexandre
# created = 1855
# isPartOf = La comtesse de Charny
# title = CIV. Le calvaire

↵↵↵	↵↵↵	PUNCTstruct
		TOKEN
.	.	PUNCTsent
Le	le	DET
calvaire	calvaire	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Après	après	ADP
le	le	DET
souper	souper	NOUN
,	,	PUNCTclause
les	le	DET
trois	trois	NUM
officiers	officier	NOUN
,	,	PUNCTclause
comme	comme	ADP
ils	ils	PRON
en	en	PRON
avaient	avoir	AUX
reçu	recevoir	VERB
l'	le	DET
ordre	ordre	NOUN
,	,	PUNCTclause
montèrent	monter	VERB
dans	dans	ADP
la	le	DET
chambre	chambre	NOUN
du	du	ADP_DET
roi	roi	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Madame	madame	NOUN
Royale	Royale	PROPN
,	,	PUNCTclause
M.	M.	PROPN
le	le	DET
dauphin	dauphin	NOUN
et	et	CCONJ
madame	madame	NOUN
de	de	ADP
Tourzel	Tourzel	PROPN
étaient	être	AUX
dans	dans	ADP
leur	leur	DET
chambre	chambre	NOUN
;	;	PUNCTclause
le	le	DET
roi	roi	NOUN
,	,	PUNCTclause
la	le	DET
reine	reine	NOUN
et	et	CCONJ
Madame	madame	NOUN
Élisabeth	Élisabeth	PROPN
attendaient	attendre	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Lorsque	lorsque	SCONJ
les	le	DET
jeunes	jeune	ADJ
gens	gens	NOUN
furent	être	AUX
entrés	entrer	VERB
:	:	PUNCTclause
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Monsieur	monsieur	NOUN
de	de	ADP
Charny	Charny	PROPN
,	,	PUNCTclause
dit	dire	VERB
le	le	DET
roi	roi	NOUN
,	,	PUNCTclause
faites	faire	VERB
moi	moi	PRON
le	le	DET
plaisir	plaisir	NOUN
de	de	ADP
fermer	fermer	VERB
la	le	DET
porte	porte	NOUN
,	,	PUNCTclause
que	que	SCONJ
personne	personne:PRON	PRON
ne	ne	ADV
vienne	venir	VERB
nous	nous	PRON
déranger	déranger	VERB
;	;	PUNCTclause
je	je	PRON
ai	avoir	AUX
quelque chose	quelque chose	PRON
de	de	ADP
la	le	DET
plus	plus	ADV
haute	haut	ADJ
importance	importance	NOUN
à	à	ADP
vous	vous	PRON
communiquer	communiquer	VERB
.	.	PUNCTsent
Hier	hier	ADV
,	,	PUNCTclause
messieurs	messieurs	NOUN
,	,	PUNCTclause
à	à	ADP
Dormans	Dormans	PROPN
,	,	PUNCTclause
M.	M.	PROPN
Pétion	Pétion	PROPN
me	me	PRON
a	avoir	AUX
proposé	proposer	VERB
de	de	ADP
vous	vous	PRON
faire	faire	AUX
évader	évader	VERB
sous	sous	ADP
un	un	DET
déguisement	déguisement	NOUN
;	;	PUNCTclause
mais	mais	CCONJ
la	le	DET
reine	reine	NOUN
et	et	CCONJ
moi	moi	PRON
nous	nous	PRON
y	y	PRON
sommes	être	AUX
opposés	opposé	ADJ
,	,	PUNCTclause
de	de	ADP
peur	peur	NOUN
que	que	SCONJ
cette	ce	DET
proposition	proposition	NOUN
ne	ne	ADV
fût	être	AUX
un	un	DET
piège	piège	NOUN
,	,	PUNCTclause
et	et	CCONJ
que	que	SCONJ
l'on	on	PRON
ne	ne	ADV
tentât	tenter	VERB
de	de	ADP
vous	vous	PRON
éloigner	éloigner	VERB
de	de	ADP
nous	nous	PRON
que	que	PRON
pour	pour	ADP
vous	vous	PRON
assassiner	assassiner	VERB
,	,	PUNCTclause
ou	ou	CCONJ
vous	vous	PRON
livrer	livrer	VERB
,	,	PUNCTclause
au	au	ADP_DET
fond	fond	NOUN
de	de	ADP
quelque	quelque	DET
province	province	NOUN
,	,	PUNCTclause
à	à	ADP
une	un	DET
commission	commission	NOUN
militaire	militaire	ADJ
qui	qui	PRON
vous	vous	PRON
condamnerait	condamner	VERB
à	à	ADP
être	être	AUX
fusillés	fusiller	VERB
sans	sans	ADP
vous	vous	PRON
laisser	laisser	VERB
aucun	aucun	DET
recours	recours	NOUN
.	.	PUNCTsent
Nous	nous	PRON
avons	avoir	AUX
donc	donc	ADV
;	;	PUNCTclause
la	le	DET
reine	reine	NOUN
et	et	CCONJ
moi	moi	PRON
,	,	PUNCTclause
pris	prendre	VERB
sur	sur	ADP
nous	nous	PRON
de	de	ADP
repousser	repousser	VERB
cette	ce	DET
proposition	proposition	NOUN
,	,	PUNCTclause
mais	mais	CCONJ
,	,	PUNCTclause
aujourd'hui	aujourd'hui	ADV
,	,	PUNCTclause
M.	M.	PROPN
Pétion	Pétion	PROPN
est	être	AUX
revenu	revenir	VERB
à	à	ADP
la	le	DET
charge	charge	NOUN
,	,	PUNCTclause
engageant	engager	VERB
son	son	DET
honneur	honneur	NOUN
de	de	ADP
député	député	NOUN
,	,	PUNCTclause
et	et	CCONJ
je	je	PRON
crois	croire	VERB
devoir	devoir	VERB
vous	vous	PRON
faire	faire	VERB
part	part	NOUN
de	de	ADP
ce	ce	PRON
que	que	PRON
il	il	PRON
craint	craindre	VERB
et	et	CCONJ
de	de	ADP
ce	ce	PRON
que	que	PRON
il	il	PRON
propose	proposer	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Sire	sire	NOUN
,	,	PUNCTclause
interrompit	interrompre	VERB
Charny	Charny	PROPN
,	,	PUNCTclause
avant que	avant que	SCONJ
Votre	Votre	PROPN
Majesté	Majesté	PROPN
aille	aller	VERB
plus	plus	ADV
loin	loin	ADV
—	—	PUNCTclause
et	et	CCONJ
ici	ici	ADV
non seulement	non seulement	ADV
je	je	PRON
parle	parler	VERB
en	en	ADP
mon	mon	DET
nom	nom	NOUN
,	,	PUNCTclause
mais	mais	CCONJ
encore	encore	ADV
je	je	PRON
crois	croire	VERB
être	être	AUX
l'	le	DET
interprète	interprète	NOUN
des	un	ADP_DET
sentiments	sentiment	NOUN
de	de	ADP
ces	ce	DET
messieurs	messieurs	NOUN
—	—	PUNCTclause
,	,	PUNCTclause
avant de	avant de	ADP
aller	aller	VERB
plus	plus	ADV
loin	loin	ADV
,	,	PUNCTclause
le	le	DET
roi	roi	NOUN
veut	vouloir	VERB
il	il	PRON
nous	nous	PRON
promettre	promettre	VERB
une	un	DET
grâce	grâce	NOUN
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Messieurs	messieurs	NOUN
,	,	PUNCTclause
dit	dire	VERB
Louis	Louis	PROPN
XVI	XVI	NUM
,	,	PUNCTclause
votre	votre	DET
dévouement	dévouement	NOUN
pour	pour	ADP
la	le	DET
reine	reine	NOUN
et	et	CCONJ
pour	pour	ADP
moi	moi	PRON
a	avoir	AUX
exposé	exposer	VERB
votre	votre	DET
vie	vie	NOUN
depuis	depuis	ADP
trois	trois	NUM
jours	jour	NOUN
;	;	PUNCTclause
depuis	depuis	ADP
trois	trois	NUM
jours	jour	NOUN
,	,	PUNCTclause
à	à	ADP
chaque	chaque	DET
instant	instant	NOUN
,	,	PUNCTclause
vous	vous	PRON
êtes	être	AUX
menacés	menacer	VERB
de	de	ADP
la	le	DET
mort	mort	NOUN
la	le	DET
plus	plus	ADV
cruelle	cruel	ADJ
;	;	PUNCTclause
à	à	ADP
chaque	chaque	DET
instant	instant	NOUN
,	,	PUNCTclause
vous	vous	PRON
partagez	partager	VERB
les	le	DET
hontes	honte	NOUN
dont	dont	PRON
on	on	PRON
nous	nous	PRON
abreuve	abreuver	VERB
,	,	PUNCTclause
les	le	DET
insultes	insulte	NOUN
dont	dont	PRON
on	on	PRON
nous	nous	PRON
couvre	couvrir	VERB
.	.	PUNCTsent
Messieurs	messieurs	NOUN
,	,	PUNCTclause
vous	vous	PRON
avez	avoir	VERB
droit	droit	NOUN
,	,	PUNCTclause
non	non	ADV
pas	pas	ADV
de	de	ADP
solliciter	solliciter	VERB
une	un	DET
grâce	grâce	NOUN
,	,	PUNCTclause
mais	mais	CCONJ
de	de	ADP
exposer	exposer	VERB
votre	votre	DET
désir	désir	NOUN
,	,	PUNCTclause
et	et	CCONJ
ce	ce	DET
désir	désir	NOUN
,	,	PUNCTclause
pour que	pour que	SCONJ
il	il	PRON
ne	ne	ADV
soit	être	AUX
pas	pas	ADV
immédiatement	immédiatement	ADV
accompli	accomplir	VERB
,	,	PUNCTclause
il	il	PRON
faudrait	falloir	VERB
que	que	SCONJ
il	il	PRON
fût	être	AUX
hors	hors	ADV
du	du	ADP_DET
pouvoir	pouvoir	NOUN
de	de	ADP
la	le	DET
reine	reine	NOUN
et	et	CCONJ
du	du	ADP_DET
mien	mien	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
hé	hé	INTJ
bien	bien	ADV
,	,	PUNCTclause
sire	sire	NOUN
,	,	PUNCTclause
dit	dire	VERB
Charny	Charny	PROPN
,	,	PUNCTclause
nous	nous	PRON
demandons	demander	VERB
humblement	humblement	ADV
,	,	PUNCTclause
mais	mais	CCONJ
instamment	instamment	ADV
à	à	ADP
Votre	Votre	PROPN
Majesté	Majesté	PROPN
,	,	PUNCTclause
quelles	quel	DET
que	que	SCONJ
soient	être	AUX
les	le	DET
propositions	proposition	NOUN
faites	faire	VERB
par	par	ADP
messieurs	messieurs	NOUN
les	le	DET
députés	député	NOUN
à	à	ADP
notre	notre	DET
endroit	endroit	NOUN
,	,	PUNCTclause
de	de	ADP
nous	nous	PRON
laisser	laisser	VERB
la	le	DET
faculté	faculté	NOUN
de	de	ADP
accepter	accepter	VERB
ces	ce	DET
propositions	proposition	NOUN
ou	ou	CCONJ
de	de	ADP
les	le	DET
refuser	refuser	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Messieurs	messieurs	NOUN
,	,	PUNCTclause
dit	dire	VERB
le	le	DET
roi	roi	NOUN
,	,	PUNCTclause
je	je	PRON
vous	vous	PRON
engage	engager	VERB
ma	mon	DET
parole	parole	NOUN
de	de	ADP
ne	ne	ADV
exercer	exercer	VERB
aucune	aucun	DET
pression	pression	NOUN
sur	sur	ADP
votre	votre	DET
volonté	volonté	NOUN
;	;	PUNCTclause
ce	ce	PRON
que	que	PRON
vous	vous	PRON
