# columns = TERM LEMMA POS PROB
# identifier = dumas1855a-185
# creator = Dumas, Alexandre
# created = 1855
# isPartOf = La comtesse de Charny
# title = Épilogue (IV). Ce que Pitou fait des louis trouvés dans le fauteuil de tante Angélique

↵↵↵	↵↵↵	PUNCTstruct
Épilogue	épilogue	NOUN
(	(	PUNCTclause
IV	IV	NUM
)	)	PUNCTclause
.	.	PUNCTsent
Ce	ce	PRON
que	que	SCONJ
Pitou	Pitou	PROPN
fait	faire	AUX
des	un	DET
louis	louis	NOUN
trouvés	trouver	VERB
dans	dans	ADP
le	le	DET
fauteuil	fauteuil	NOUN
de	de	DET
tante	tante	ADJ
Angélique	Angélique	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
On	on	PRON
ne	ne	ADV
a	avoir	AUX
pas	pas	ADV
oublié	oublier	VERB
que	que	SCONJ
ce	ce	PRON
était	être	AUX
le	le	DET
lendemain	lendemain	NOUN
que	que	SCONJ
avait	avoir	VERB
lieu	lieu	NOUN
à	à	ADP
la	le	DET
criée	criée	NOUN
la	le	DET
vente	vente	NOUN
de	de	DET
la	la	NUM
ferme	ferme	ADV
de	de	DET
Billot	Billot	PROPN
et	et	CCONJ
du	du	ADP_DET
château	château	NOUN
du	du	ADP_DET
comte	comte	NOUN
de	de	DET
Charny	Charny	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
On	on	PRON
se	se	PRON
souvient	souvenir	VERB
encore	encore	ADV
que	que	SCONJ
la	le	DET
ferme	ferme	ADV
était	être	AUX
mise	mettre	VERB
à	à	ADP
prix	prix	NOUN
à	à	ADP
la	le	DET
somme	somme	NOUN
de	de	DET
quatre	quatre	NUM
cent	cent	NUM
mille	mille	NUM
francs	franc	NOUN
,	,	PUNCTclause
et	et	CCONJ
le	le	DET
château	château	NOUN
à	à	ADP
celle	celle	PRON
de	de	DET
six	six	NUM
cent	cent	NUM
mille	mille	NUM
francs	franc	NOUN
,	,	PUNCTclause
en	en	ADP
assignats	assignat	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
lendemain	lendemain	NOUN
venu	venir	VERB
,	,	PUNCTclause
M.	M.	PROPN
de	de	DET
Longpré	Longpré	PROPN
acheta	acheter	VERB
,	,	PUNCTclause
pour	pour	ADP
un	un	DET
acquéreur	acquéreur	NOUN
inconnu	inconnu	ADJ
,	,	PUNCTclause
les	le	DET
deux	deux	NUM
lots	lot	NOUN
moyennant	moyenner	VERB
la	le	DET
somme	somme	NOUN
de	de	DET
treize	treize	NUM
cent	cent	NUM
cinquante	cinquante	NUM
louis	louis	NOUN
de	de	DET
or	or	NOUN
,	,	PUNCTclause
c'est-à-dire	c'est-à-dire	CCONJ
de	de	DET
un	un	NUM
million	million	NOUN
deux	deux	NUM
cent	cent	NUM
quarante-deux	quarante-deux	NUM
mille	mille	NUM
francs	franc	NOUN
en	en	ADP
assignats	assignat	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Il	il	PRON
paya	payer	VERB
comptant	compter	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Cela	cela	PRON
se	se	PRON
passait	passer	VERB
le	le	DET
dimanche	dimanche	NOUN
,	,	PUNCTclause
veille	veiller	VERB
du	du	ADP_DET
jour	jour	NOUN
où	où	ADV
devait	devoir	VERB
avoir lieu	avoir lieu	VERB
le	le	DET
mariage	mariage	NOUN
de	de	DET
Catherine	Catherine	PROPN
et	et	CCONJ
de	de	DET
Pitou	Pitou	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Ce	ce	DET
dimanche	dimanche	NOUN
,	,	PUNCTclause
Catherine	Catherine	PROPN
,	,	PUNCTclause
de	de	DET
grand	grand	ADJ
matin	matin	NOUN
,	,	PUNCTclause
était	être	VERB
partie	partie	NOUN
pour	pour	ADP
Haramont	Haramont	PROPN
,	,	PUNCTclause
soit	soit	CCONJ
que	que	SCONJ
elle	elle	PRON
eût	avoir	VERB
quelques	quelque	DET
dispositions	disposition	NOUN
de	de	DET
coquetterie	coquetterie	NOUN
à	à	ADP
faire	faire	AUX
,	,	PUNCTclause
comme	comme	ADP
en	en	PRON
ont	avoir	VERB
les	le	DET
femmes	femme	NOUN
les	le	DET
plus	plus	ADV
simples	simple	ADJ
la	le	DET
veille	veille	NOUN
de	de	DET
un	un	NUM
mariage	mariage	NOUN
,	,	PUNCTclause
soit	soit	CCONJ
que	que	SCONJ
elle	elle	PRON
ne	ne	ADV
voulût	vouloir	VERB
pas	pas	ADV
demeurer	demeurer	VERB
à	à	ADP
la	le	DET
ville	ville	NOUN
pendant que	pendant que	SCONJ
on	on	PRON
y	y	PRON
vendait	vendre	VERB
à	à	ADP
la	le	DET
criée	criée	NOUN
cette	ce	DET
belle	beau	ADJ
ferme	ferme	ADV
où	où	ADV
se	se	PRON
était	être	AUX
écoulée	écouler	VERB
sa	son	DET
jeunesse	jeunesse	NOUN
,	,	PUNCTclause
où	où	ADV
elle	elle	PRON
avait	avoir	AUX
été	être	AUX
si	si	ADV
heureuse	heureux	NOUN
,	,	PUNCTclause
où	où	ADV
elle	elle	PRON
avait	avoir	VERB
tant	tant	ADV
souffert	souffrir	VERB
!	!	PUNCTsent
↵↵	↵↵	PUNCTstruct
Ce	ce	PRON
qui	qui	PRON
faisait	faire	AUX
que	que	ADV
,	,	PUNCTclause
le	le	DET
lendemain	lendemain	NOUN
,	,	PUNCTclause
à	à	ADP
onze	onze	NUM
heures	heure	NOUN
,	,	PUNCTclause
toute	tout	ADJ
cette	ce	DET
foule	foule	NOUN
rassemblée	rassembler	VERB
devant	devant	ADP
la	le	DET
porte	porte	NOUN
de	de	DET
la	la	NUM
mairie	mairie	NOUN
,	,	PUNCTclause
plaignait	plaindre	VERB
et	et	CCONJ
louait	louer	VERB
si	si	SCONJ
fort	fort	ADV
Pitou	Pitou	PROPN
de	de	DET
avoir	avoir	AUX
épousé	épouser	VERB
une	un	DET
fille	fille	NOUN
si	si	SCONJ
complètement	complètement	NOUN
ruinée	ruiner	VERB
—	—	PUNCTclause
laquelle	laquelle	PRON
,	,	PUNCTclause
par-dessus	par-dessus	NOUN
le	le	DET
marché	marché	NOUN
,	,	PUNCTclause
avait	avoir	AUX
un	un	DET
enfant	enfant	NOUN
qui	qui	PRON
,	,	PUNCTclause
