# columns = TERM LEMMA POS PROB
# identifier = dumas1855b-14
# creator = Dumas, Alexandre
# created = 1855
# isPartOf = Le Page du duc de Savoie
# title = XIV. Où Charles Quint tient la promesse faite à son fils don Philippe.

↵↵↵	↵↵↵	PUNCTstruct
XIV	XIV	NOUN
.	.	PUNCTsent
Où	où	ADV
Charles	Charles	PROPN
Quint	Quint	PROPN
tient	tenir	VERB
la	le	DET
promesse	promesse	NOUN
faite	faire	AUX
à	à	ADP
son	son	DET
fils	fils	NOUN
don	don	ADP
Philippe	Philippe	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
vendredi	vendredi	NOUN
25	25	NUM
octobre	octobre	NOUN
de	de	DET
l'	le:PRON	PRON
année	année	VERB
1555	1555	NUM
,	,	PUNCTclause
il y a	il y a	VERB
grande	grand	ADJ
affluence	affluence	NOUN
dans	dans	ADP
les	le	DET
rues	rue	NOUN
de	de	DET
la	le	AUX
ville	ville	NOUN
de	de	DET
Bruxelles	Bruxelles	PROPN
,	,	PUNCTclause
non seulement	non seulement	ADV
du	du	ADP_DET
peuple	peuple	NOUN
de	de	DET
la	le	AUX
capitale	capital	NOUN
du	du	ADP_DET
Brabant	Brabant	PROPN
méridional	méridional	ADJ
,	,	PUNCTclause
mais	mais	CCONJ
encore	encore	ADV
de	de	DET
celui	celui	PRON
des	un	ADP_DET
autres	autre	ADJ
États	état	NOUN
flamands	flamand	ADJ
de	de	DET
l'	le	NOUN
empereur	empereur	NOUN
Charles	Charles	PROPN
Quint	Quint	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Toute	tout	ADJ
cette	ce	DET
foule	foule	NOUN
se	se	PRON
pressait	presser	VERB
vers	vers	ADP
le	le	DET
palais	palais	NOUN
royal	royal	ADJ
qui	qui	PRON
ne	ne	ADV
existe	exister	VERB
plus	plus	ADV
aujourd'hui	aujourd'hui	ADV
,	,	PUNCTclause
mais	mais	CCONJ
qui	qui	PRON
alors	alors	ADV
se	se	PRON
élevait	élever	VERB
en haut	en haut	ADV
de	de	DET
la	le	AUX
ville	ville	NOUN
vers	vers	ADP
le	le	DET
sommet	sommet	NOUN
de	de	DET
Caudemberg	Caudemberg	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
ce	ce	PRON
est	être	AUX
que	que	ADV
une	un	DET
grande	grand	ADJ
assemblée	assemblée	NOUN
dont	dont	PRON
on	on	PRON
ignorait	ignorer	VERB
encore	encore	ADV
la	le	DET
cause	cause	NOUN
avait	avoir	AUX
été	être	AUX
convoquée	convoquer	VERB
par	par	ADP
l'	le	DET
empereur	empereur	NOUN
et	et	CCONJ
,	,	PUNCTclause
déjà	déjà	ADV
remise	remiser	VERB
une	un	DET
fois	fois	NOUN
,	,	PUNCTclause
devait	devoir	VERB
avoir lieu	avoir lieu	VERB
ce	ce	DET
jour	jour	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
À	à	ADP
cet	ce	DET
effet	effet	NOUN
,	,	PUNCTclause
l'	le	DET
intérieur	intérieur	NOUN
de	de	DET
la	le:PRON	PRON
grande	grand	ADJ
salle	salle	NOUN
avait	avoir	AUX
été	être	AUX
orné	orner	VERB
et	et	CCONJ
tapissé	tapisser	VERB
à	à	ADP
l'	le	DET
occident	occident	NOUN
,	,	PUNCTclause
c'est-à-dire	c'est-à-dire	CCONJ
du	du	ADP_DET
côté	côté	NOUN
des	un	ADP_DET
barrières	barrière	NOUN
,	,	PUNCTclause
et	et	CCONJ
l'on	on	PRON
y	y	PRON
avait	avoir	VERB
dressé	dresser	VERB
une	un	DET
espèce	espèce	NOUN
de	de	DET
échafaud	échafaud	NOUN
de	de	DET
six	six	NUM
à	à	ADP
sept	sept	NUM
degrés	degré	NOUN
,	,	PUNCTclause
couvert	couvrir	VERB
de	de	DET
magnifiques	magnifique	ADJ
tentures	tenture	NOUN
et	et	CCONJ
surmonté	surmonter	VERB
de	de	DET
un	un	PRON
dais	dais	VERB
aux	au	ADP_DET
armes	arme	NOUN
impériales	impérial	ADJ
,	,	PUNCTclause
abritant	abriter	VERB
trois	trois	NUM
fauteuils	fauteuil	NOUN
vides	vide	ADJ
,	,	PUNCTclause
mais	mais	CCONJ
évidemment	évidemment	ADV
destinés	destiner	VERB
,	,	PUNCTclause
celui	celui	PRON
du	du	ADP_DET
milieu	milieu	NOUN
à	à	ADP
l'	le	DET
empereur	empereur	NOUN
,	,	PUNCTclause
celui	celui	PRON
de	de	DET
droite	droite	NOUN
au	au	ADP_DET
roi	roi	NOUN
don	don	PRON
Philippe	Philippe	PROPN
arrivé	arriver	VERB
depuis	depuis	ADP
la	le	DET
veille	veille	NOUN
,	,	PUNCTclause
celui	celui	PRON
de	de	DET
gauche	gauche	NOUN
à	à	ADP
la	le	DET
reine	reine	NOUN
douairière	douairière	ADJ
de	de	DET
Hongrie	Hongrie	PROPN
,	,	PUNCTclause
Marie	Marie	PROPN
de	de	DET
Autriche	Autriche	PROPN
,	,	PUNCTclause
sœur	sœur	NOUN
de	de	DET
Charles	Charles	PROPN
Quint	Quint	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Des	un	ADP_DET
bancs	banc	NOUN
placés	placer	VERB
parallèlement	parallèlement	ADV
accompagnaient	accompagner	VERB
ces	ce	DET
trois	trois	NUM
fauteuils	fauteuil	NOUN
,	,	PUNCTclause
et	et	CCONJ
formaient	former	VERB
avec	avec	ADP
eux	eux	PRON
une	un	DET
sorte	sorte	NOUN
de	de	DET
hémicycle	hémicycle	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
D'autres	d'autre	PRON
sièges	siéger	VERB
étaient	être	AUX
rangés	ranger	VERB
en face de	en face de	ADP
l'	le	DET
estrade	estrade	NOUN
,	,	PUNCTclause
comme	comme	ADP
le	le	DET
sont	être	NOUN
dans	dans	ADP
une	un	DET
salle	salle	NOUN
de	de	DET
spectacle	spectacle	NOUN
les	le:PRON	PRON
banquettes	banqueter	VERB
en face	en face	ADV
du	du	ADP_DET
théâtre	théâtre	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
roi	roi	NOUN
Philippe	Philippe	PROPN
,	,	PUNCTclause
la	le	DET
reine	reine	NOUN
Marie	Marie	PROPN
,	,	PUNCTclause
la	le	DET
reine	reine	NOUN
Éléonore	Éléonore	PROPN
,	,	PUNCTclause
veuve	veuf	NOUN
de	de	DET
français	français	NOUN
1er	1er	ADJ
,	,	PUNCTclause
Maximilien	Maximilien	PROPN
,	,	PUNCTclause
roi	roi	NOUN
de	de	DET
bohème	bohème	NOUN
,	,	PUNCTclause
Christine	Christine	PROPN
,	,	PUNCTclause
duchesse	duchesse	NOUN
de	de	DET
Lorraine	Lorraine	PROPN
,	,	PUNCTclause
avaient	avoir	AUX
pris	prendre	VERB
leurs	leur	DET
logements	logement	NOUN
au	au	ADP_DET
palais	palais	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Charles	Charles	PROPN
Quint	Quint	PROPN
seul	seul	ADJ
avait	avoir	AUX
continué	continuer	VERB
de	de	DET
habiter	habiter	ADJ
ce	ce	PRON
que	que	SCONJ
il	il	PRON
appelait	appeler	VERB
sa	son	DET
petite	petit	ADJ
maison	maison	NOUN
du	du	ADP_DET
Parc	Parc	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
À	à	ADP
quatre	quatre	NUM
heures	heure	NOUN
de	de	DET
l'	le	NOUN
après-midi	après-midi	NOUN
,	,	PUNCTclause
il	il	PRON
quitta	quitter	VERB
cette	ce	DET
petite	petit	ADJ
maison	maison	NOUN
,	,	PUNCTclause
monta	monter	VERB
sur	sur	ADP
une	un	DET
mule	mule	NOUN
dont	dont	PRON
la	le	DET
douce	doux	NOUN
allure	allure	VERB
le	le	DET
faisait	faire	AUX
moins	moins	ADV
souffrir	souffrir	VERB
que	que	SCONJ
tout	tout	ADJ
autre	autre	ADJ
moyen	moyen	NOUN
de	de	DET
locomotion	locomotion	NOUN
.	.	PUNCTsent
quant à	quant à	ADP
aller	aller	VERB
à	à	ADP
pied	pied	NOUN
,	,	PUNCTclause
il	il	PRON
ne	ne	ADV
y	y	PRON
fallait	falloir	VERB
pas	pas	ADV
songer	songer	VERB
;	;	PUNCTclause
les	le	DET
accès	accès	NOUN
de	de	DET
goutte	goutte	NOUN
avaient	avoir	AUX
redoublé	redoubler	VERB
de	de	DET
violence	violence	NOUN
et	et	CCONJ
l'	le	DET
empereur	empereur	NOUN
ne	ne	ADV
savait	savoir	VERB
même	même	ADV
pas	pas	ADV
si	si	SCONJ
il	il	PRON
pourrait	pouvoir	VERB
marcher	marcher	VERB
du	du	ADP_DET
seuil	seuil	NOUN
de	de	DET
la	le:PRON	PRON
porte	porter	VERB
à	à	ADP
l'	le	DET
échafaud	échafaud	NOUN
de	de	DET
la	la	PROPN
grande	grand	ADJ
salle	salle	NOUN
,	,	PUNCTclause
ou	ou	CCONJ
si	si	SCONJ
l'on	on	PRON
